"Q" "C"
"AA" 0.000551034234412933 0.000518885679144994
"AC" 4.08764567979142e-05 4.03186424506689e-05
"AD" 1.91447224374776e-05 1.83385932423894e-05
"AE" 1.65976205651158e-06 1.62338568440898e-06
"AF" 1.1638877498588e-05 1.12457428697282e-05
"AH" 3.08806831566887e-06 2.95071015816139e-06
"AI" 6.40202630878733e-06 6.31303218880428e-06
"AM" 1.47514276231826e-05 1.4396521745798e-05
"AQ" 0.000313101646861979 0.000290733907432941
"AY" 5.13557124832029e-05 3.92073567182631e-05
"AZ" 1.76237263172885e-05 1.57421850396914e-05
"BA" 0.00078256387048603 0.000625828729156396
"BD" 1.05379754777755e-05 1.03007490667103e-05
"BF" 0.0011050105323405 0.000986844350381489
"BI" 2.76366292428973e-05 2.72059172571244e-05
"BK" 4.21436220554898e-06 4.0328236125568e-06
"BM" 8.22665666353712e-05 7.84011602810022e-05
"BP" 1.56658243526564e-05 1.46758362192207e-05
"BQ" 0.000104972056751176 8.05070957479855e-05
"BU" 3.95943237577461e-06 3.95564619115751e-06
"BV" 0.00334269753933844 0.00184028678862223
"CN" 0.0167876472912035 0.00965087930404422
"CO" 0.000218828566317855 0.000198555230502124
"CQ" 0.0026553887221261 0.00233037023816964
"CT" 7.2768294698837e-06 6.34951164624746e-06
"CU" 0.00199149318396487 0.00155283654280764
"DA" 8.37303658564416e-05 7.46509054067417e-05
"DB" 0.00024253408202445 0.000221215029054953
"DE" 2.5446912498555e-05 2.4430304384932e-05
"DI" 0.000818952534984158 0.000778786829787221
"DK" 2.30707356232452e-05 2.26094913911806e-05
"DM" 0.0014635698674082 0.0013161797215119
"DQ" 0.000606703777563662 0.000560932513303415
"DR" 0.000530517837883774 0.000466986467623811
"DS" 0.000234576075275551 0.000196687938181634
"DT" 2.51959976578733e-05 2.50626000759918e-05
"DW" 3.86399158987657e-05 3.70929915748963e-05
"DX" 3.06066571655851e-05 2.71267728091206e-05
"DY" 5.0958702551754e-05 4.96126013518e-05
"EA" 3.16034040465421e-05 3.06333629706228e-05
"EC" 6.77351988436931e-06 6.69788993742019e-06
"EE" 1.92192672985523e-05 1.87579624112628e-05
"EI" 1.60753389818484e-05 1.58908037651829e-05
"EN" 9.39127624686762e-06 8.32988897829434e-06
"EO" 9.65679741970373e-07 9.55430029498234e-07
"EP" 0.000793069995043935 0.000753872985748221
"EQ" 0.057482287026909 0.0278585495557367
"ER" 8.81614777962352e-05 7.81479344054869e-05
"ES" 3.83872756710532e-05 3.7692685246534e-05
"ET" 0.000193030600061397 0.000185670661659086
"EU" 0.0039380041575127 0.00330975767519387
"EV" 0.000427357186499648 0.000393758858132115
"EW" 8.85461749049015e-05 8.63832011205644e-05
"EX" 0.000172444512621391 0.000166953657953758
"FA" 8.29881028255789e-07 8.21041963573105e-07
"FE" 0.00369991244229763 0.0026639341908003
"FF" 0.000273541930770326 0.000237273364134548
"FI" 3.43928492746155e-06 3.38265847566004e-06
"FS" 5.64725047209183e-06 3.50834361423402e-06
"FU" 0.00173314362559323 0.0014746473381412
"FY" 0.000333501204878024 0.00031925562228229
"GA" 0.000257538167404195 0.000239054395178625
"GC" 2.65561929041853e-06 2.64728423678856e-06
"GM" 0.00616676795481597 0.00370671342182756
"GU" 0.000202055673212016 0.000195176941694387
"GY" 0.00160396612691297 0.00154014056996246
"HA" 0.015890784048715 0.0128357733699868
"HB" 0.000543673249347462 0.000482076908524436
"HE" 0.0120347833563629 0.00749513897063597
"HF" 0.000256787287831837 0.000217341419284829
"HI" 0.0450884279469903 0.0273948961834853
"HL" 0.00318150439622737 0.00247369443147534
"HQ" 2.26010152376045e-06 2.23551691568575e-06
