"Q" "C"
"AA" 0.000543186742113944 0.000506425010625917
"AC" 5.8511189945284e-05 5.72804904183643e-05
"AD" 0.000252806951240783 0.000230982409668481
"AE" 0.00014522750009597 0.000131575791217032
"AF" 0.000160644686476881 0.00015065887407774
"AH" 0.000514506793868988 0.000452132101265241
"AI" 8.06665988585295e-05 7.86394827618691e-05
"AM" 0.000372253109205635 0.000346274853048361
"AQ" 0.0024725285806246 0.00202547147302983
"AY" 9.81667861240001e-05 7.51117119860594e-05
"AZ" 0.000235839538534645 0.000184315782708523
"BA" 0.00129589954534078 0.00106332774347953
"BD" 0.000162765655464676 0.000152425318471896
"BF" 0.00150664032730417 0.00132241033674354
"BI" 2.93566499675731e-05 2.86099368427271e-05
"BK" 1.08308801436651e-05 1.00558022539289e-05
"BM" 0.000294837227256305 0.000277618681327402
"BP" 1.57533708152009e-05 1.49569612393515e-05
"BQ" 5.80346750688184e-05 5.02648476983547e-05
"BU" 8.60963790161809e-05 8.57572069955504e-05
"BV" 0.00042325908261267 0.000342754135071956
"CN" 0.00173903957747374 0.00139945291225875
"CO" 0.00168135646380057 0.0013758579322253
"CQ" 0.00700045802965082 0.00543165714611908
"CT" 1.73287597005951e-05 1.34613755498774e-05
"CU" 0.00484436212442565 0.00336942380618865
"DA" 0.00220152908025183 0.00174400835015265
"DB" 0.00423644109439575 0.00330305175165867
"DE" 0.000823128380700472 0.000741669797047014
"DI" 0.00105261705274006 0.0010124820886642
"DK" 0.00023599349238298 0.000229639925668221
"DM" 0.0276691386201781 0.0208684552287804
"DQ" 0.00832303400148826 0.00680389942488662
"DR" 0.00274909004979664 0.00212911999336115
"DS" 0.00365174912393635 0.00275053100438614
"DT" 0.000100878307230048 9.88199134139308e-05
"DW" 0.000875881830514178 0.000778392249160848
"DX" 0.000981858346587243 0.000777384463990063
"DY" 0.000931916095030044 0.000866377128041235
"EA" 0.00188907026003394 0.00173345598834267
"EC" 0.0005610294593608 0.000541782589434536
"EE" 0.000137005009694843 0.00012897442184986
"EI" 0.000292509859994735 0.000280090297453811
"EN" 6.87960208448676e-06 6.22815524825883e-06
"EO" 1.47980218004457e-06 1.47149983913924e-06
"EP" 0.000300529284435695 0.000288216750642429
"EQ" 0.0120439405498898 0.00912350894987474
"ER" 0.000141384022282682 0.000132239913884057
"ES" 6.48569351077192e-05 6.34600091589226e-05
"ET" 0.000732243885364676 0.000694481397238332
"EU" 0.00185631266566751 0.00164914942622725
"EV" 0.00117484227041544 0.00103479072091291
"EW" 0.000160851261737472 0.00015658528628529
"EX" 0.000296427792184479 0.000286455690393372
"FA" 0.00110184149009726 0.00106351223911114
"FE" 0.00108938788431289 0.000937808009476061
"FF" 0.00347041595677729 0.00271021425136371
"FI" 2.62719142281678e-05 2.49798824742831e-05
"FS" 5.31432794542013e-06 4.47058572095158e-06
"FU" 0.00358089145802855 0.00287153916411317
"FY" 0.005656324327583 0.00516931589774288
"GA" 0.00297196203270757 0.00249479149742582
"GC" 0.000341832240395726 0.000335725865612418
"GM" 0.00926421294900759 0.00680903462884962
"GU" 0.00124153157696525 0.00114606480162652
"GY" 0.00456923933551233 0.00430564421425871
"HA" 0.004618653966725 0.00416577835208763
"HB" 0.00242681674147945 0.00202641454024479
"HE" 0.000404372194047266 0.000345758310722414
"HF" 0.00105117973660587 0.000871881023897944
"HI" 0.00116690201109453 0.00103388176833764
"HL" 0.0231946558281318 0.0144267064624146
"HQ" 5.16929900315012e-05 4.96068008207712e-05
"HT" 0.000485335424248565 0.000430336060270268
"HY" 0.000594585829739769 0.000485730417025368
"IA" 0.0169454738608067 0.0123197057113452
"ID" 0.000432017072518625 0.000411227266979209
"IF" 0.000161027179420316 0.000153795966147908
"IG" 0.00104538598964695 0.000870713849699393
"IH" 0.00348619570273812 0.00313583296991972
"II" 0.000546436984341088 0.000516124586940337
"IJ" 0.00238957260350603 0.00225331326310592
"IK" 0.000156352477057957 0.000151874709938613
"IL" 8.25245910673411e-06 7.98708669819872e-06
"IM" 0.00104079950454916 0.000966380137620088
"IO" 2.02184770836582e-05 1.97089976205896e-05
"IP" 1.58465114246768e-05 1.53950927128959e-05
"IQ" 0.000328510018263784 0.000321111034474973
"IU" 0.000498755375430987 0.000486917533049594
"IX" 5.17230717803802e-05 5.09215457218816e-05
"IY" 0.00203596027198408 0.00182871453048457
"JA" 0.0264996383106023 0.0228591842704543
"JB" 0.00177326635256469 0.00161753571896661
"JI" 0.00504911906904242 0.00399702281229989
"JM" 0.000425009690056932 0.000321998330076737
"JO" 0.00468413437484695 0.00372433350356799
"JS" 2.79376154156855e-05 2.60292600688136e-05
"JU" 0.000132080180813814 0.000122966113440706
"JW" 3.99347612761959e-06 3.82867372290511e-06
"JY" 0.00267657304750611 0.00235198018461887
