"Q" "C"
"AA" 2.32412206289074e-05 2.27417441163875e-05
"AC" 0 0
"AD" 9.96132801743232e-05 9.80651023364587e-05
"AE" 3.29250625576189e-05 3.21420032334797e-05
"AF" 0.000588082864572317 0.000354698317439853
"AH" 3.78580858676454e-05 3.64652082719175e-05
"AI" 7.90201501382853e-05 7.75883073735391e-05
"AM" 0 0
"AQ" 8.29724450376749e-05 8.03487773721494e-05
"AY" 0 0
"AZ" 2.63400500460951e-05 2.52592063652137e-05
"BA" 0.000113534721658142 0.000108497170025224
"BD" 4.15895527043607e-05 4.02979639739832e-05
"BF" 0.00132151028367599 0.00121739843052709
"BI" 0.000115237718951666 0.000113209576244688
"BK" 7.90201501382853e-05 7.03039281068838e-05
"BM" 0.00392663731933208 0.00280611858249435
"BP" 2.07947763521803e-05 1.91733491275884e-05
"BQ" 0.000254913858461051 0.000195076173989874
"BU" 3.99642138630408e-05 3.98935624849214e-05
"BV" 0.000140059816863142 0.000129515660522649
"CN" 0.000291446867867354 0.000272593670224561
"CO" 0 0
"CQ" 0.000282153436196921 0.000274130159995294
"CT" 0 0
"CU" 0.000321114353799369 0.000302002064384151
"DA" 1.36241638169457e-05 1.32617916075165e-05
"DB" 0.000154885575667875 0.000149781976423053
"DE" 4.65492263745646e-05 4.58675759797052e-05
"DI" 0.047689303105961 0.0292616121660619
"DK" 0.00596159759314049 0.00400052317289026
"DM" 0.00021288437150079 0.000204080430162193
"DQ" 0.000327720363813599 0.000316281477295173
"DR" 0.000216872505753539 0.000210857557676457
"DS" 9.08907114332718e-05 8.59401922429187e-05
"DT" 0 0
"DW" 2.46937969182141e-05 2.42371495950944e-05
"DX" 0 0
"DY" 0.000203663911916869 0.000201214504714662
"EA" 1.97976130464993e-05 1.9506430879034e-05
"EC" 0 0
"EE" 4.93875938364283e-05 4.89954529367137e-05
"EI" 3.74389824243892e-05 3.7107290550222e-05
"EN" 4.5588548156703e-05 3.52727106831585e-05
"EO" 0 0
"EP" 0.000236193515196285 0.000224777188734148
"EQ" 0.00194616435798106 0.00171280597598185
"ER" 0.000146238662294739 0.000133823738519982
"ES" 8.04909607948719e-05 7.82379874475546e-05
"ET" 0.00180636677162605 0.00165172612513341
"EU" 0.00140699946523976 0.00110944021569206
"EV" 0.000473886997604541 0.000427893794561206
"EW" 0.00014533139667449 0.000138796035135454
"EX" 0.000256315355970076 0.000244666171660407
"FA" 0.000179203468937088 0.000175308922837187
"FE" 0.00112719298365714 0.000959174997101906
"FF" 2.82214821922447e-05 2.65837934493843e-05
"FI" 0 0
"FS" 0 0
"FU" 0.00838048251803932 0.00585150086316874
"FY" 0.000991043130600975 0.000973100407289899
"GA" 7.06071908705569e-05 6.86124473548755e-05
"GC" 9.1180977841559e-05 9.05872789704118e-05
"GM" 0.000473064830199214 0.00042381030337807
"GU" 0.0003874023639844 0.000373262994948051
"GY" 0.198838041267754 0.108722025841273
"HA" 0.00879390179159371 0.00760458342243988
"HB" 0.00147749259498706 0.00134891369680087
"HE" 0.000269520321173622 0.000251076625767951
"HF" 0.00269759472562633 0.0018301383368782
"HI" 0.00187911311274348 0.00165072726017821
"HL" 0.0123737905002812 0.0100712226184857
"HQ" 0 0
"HT" 2.07947763521803e-05 2.02648174005392e-05
"HY" 2.93069238150234e-05 2.85611899911178e-05
"IA" 0.000232784586046228 0.000220973549692006
"ID" 8.90913457441451e-05 8.65488144813567e-05
"IF" 0.000341337120467536 0.000324237362831442
"IG" 0 0
"IH" 0.0001321066353791 0.000127205634199753
"II" 0 0
"IJ" 0.0015494285625261 0.00126566037824288
"IK" 0.000256217914886304 0.000237846142231922
"IL" 0 0
"IM" 0.000280184791815045 0.000268637252079266
"IO" 0 0
"IP" 0 0
"IQ" 0.000131948583434193 0.000129250640186565
"IU" 6.64175762521493e-05 6.5316789597163e-05
"IX" 0 0
"IY" 3.31187393961931e-05 3.24059887122731e-05
"JA" 0.000949567454981396 0.0008934428991028
"JB" 0.00382790623451096 0.0027019374026603
"JI" 0.00331510698845388 0.00267396551032476
"JM" 0.00127141801594375 0.000926280692237319
"JO" 0.00359099882252306 0.00298670793530336
"JS" 8.23126563940471e-05 7.13713101094634e-05
"JU" 2.59583101903546e-05 2.54867978897388e-05
"JW" 0 0
"JY" 0.000190495004797652 0.000186044596666083
"KA" 1.64625312788094e-05 1.59370427391986e-05
"KI" 4.83394176875902e-05 4.68455061789259e-05
"KM" 0.000128574441021443 0.000124142337117143
"KU" 0.00564795330452005 0.00446499448512706
"KV" 0 0
"KY" 8.7800166820317e-06 8.71845481000206e-06
"LE" 0.000114169516143438 0.000112326300217391
