"Q" "C"
"AA" 0.000595544894400635 0.000570244850254769
"AC" 0.000230032546133809 0.000221953430620518
"AD" 1.01534489006106e-05 9.91984893350115e-06
"AE" 2.24828440548898e-05 2.20692405493478e-05
"AF" 2.81970357964311e-05 2.55168773601832e-05
"AH" 2.75061985572532e-05 2.66726111895083e-05
"AI" 0.000185526970812346 0.00018075443944047
"AM" 1.08577497699066e-05 1.07056611775038e-05
"AQ" 1.38968869350914e-06 1.33874257870605e-06
"AY" 1.02835103123454e-05 9.04030728644549e-06
"AZ" 4.46725131011138e-06 4.20756685451246e-06
"BA" 0.000501445869267499 0.000448572817872182
"BD" 2.37447252354943e-05 2.33286467996801e-05
"BF" 0.000780011962790146 0.000719024481591262
"BI" 2.28276738547337e-05 2.25349731969132e-05
"BK" 9.57423057531773e-06 8.81061116815096e-06
"BM" 0.000128026347680703 0.000117137188821571
"BP" 3.6781345287952e-05 3.34792215056981e-05
"BQ" 0.000196044778394404 0.000146361844069273
"BU" 0 0
"BV" 0.00151149362211868 0.00110823117392723
"CN" 0.00681948614174002 0.00524591575868074
"CO" 0.00012333442475145 0.000117260932720436
"CQ" 0.000417789622914495 0.000393061267436776
"CT" 0 0
"CU" 0.000719523952430506 0.000634388802643873
"DA" 0.000699300770572978 0.00065998525220186
"DB" 6.94160563507708e-05 6.6210360307372e-05
"DE" 3.20884959675392e-05 3.14733474041584e-05
"DI" 0.0668765347916902 0.0440701281962322
"DK" 0.00109416211915793 0.00101234456984947
"DM" 0.000516512147196509 0.000487535056484221
"DQ" 0.000484137772011514 0.000461744226065322
"DR" 8.25822068572898e-05 7.77927968604895e-05
"DS" 0.000240604516160128 0.000218242939207186
"DT" 4.2807020913678e-05 4.22740004627901e-05
"DW" 4.67871006664809e-06 4.56174845964007e-06
"DX" 3.64189514536389e-05 3.43459874266127e-05
"DY" 5.56187248549581e-05 5.4611322218235e-05
"EA" 3.45244250585232e-05 3.38283369985843e-05
"EC" 1.60066769020746e-06 1.58770285289842e-06
"EE" 1.81577122318625e-05 1.79178394273315e-05
"EI" 2.25947089736383e-05 2.23322370045173e-05
"EN" 3.29555528458768e-06 2.81021576452155e-06
"EO" 0 0
"EP" 0.001503990433564 0.00140077573090285
"EQ" 0.0277878135843731 0.019126425242255
"ER" 0.00220589822110009 0.00189788213568618
"ES" 0.000385191767549736 0.000369905492164838
"ET" 0.00212887197955008 0.00192753678625735
"EU" 0.00890872818766932 0.00678262804133001
"EV" 0.00107076197492322 0.000954757622160723
"EW" 0.000926071367382671 0.000874837957585213
"EX" 0.00100506211162851 0.000946768413699337
"FA" 0.000213142879524825 0.000208363909335934
"FE" 0.0151504580436217 0.0113918696756742
"FF" 0.000401550451475506 0.000367590457875419
"FI" 1.14845108402298e-05 1.13482343374563e-05
"FS" 5.67469947399589e-06 4.00355711504056e-06
"FU" 0.000570765103219259 0.000487885889572195
"FY" 0.000215235522813087 0.000209649818941317
"GA" 0.000118055724031738 0.000113458834925066
"GC" 4.70226916069408e-06 4.68015324392965e-06
"GM" 0.0042911711350267 0.00326816225638559
"GU" 0.000198104625975938 0.000193310588999957
"GY" 0.00616970571553011 0.00551450006039599
"HA" 0.0154886634356174 0.012854766976086
"HB" 0.000679564987871078 0.000614691216768781
"HE" 0.000827874216594928 0.000675513797875957
"HF" 0.00156338098396215 0.001079590425865
"HI" 0.0205017986812743 0.0150049296967819
"HL" 0.00273978920515708 0.00226513461719135
"HQ" 5.97464787476425e-06 5.90267460360634e-06
"HT" 4.49502369083366e-05 4.34959794054733e-05
"HY" 3.35402978658023e-05 3.13650215322655e-05
"IA" 0.00152833713514643 0.00137563930631358
"ID" 0.000101060975960947 9.93965518042897e-05
"IF" 0.000228432666915916 0.000215911857258764
"IG" 0.00167752148566547 0.00153789924921846
"IH" 0.000126525485630111 0.000123378150597439
"II" 9.28848513795733e-05 9.15045179047423e-05
"IJ" 0.0115622350656379 0.0092562435811889
"IK" 0.000455926472860598 0.000418758972356025
"IL" 3.73776533526768e-05 3.62237316979902e-05
"IM" 0.000621282357513917 0.000600890542001982
"IO" 1.02324618163419e-05 1.00883202780969e-05
"IP" 1.26329619242528e-05 1.25137884328032e-05
"IQ" 0.000691350330156156 0.000669774353310685
"IU" 0.000401370019293549 0.000392268963985497
"IX" 1.72267662603447e-06 1.71059822984348e-06
"IY" 6.16662356414797e-06 5.98568697712822e-06
"JA" 0.000867614532520477 0.000834163895794416
"JB" 0.00150100252416767 0.00134200447521972
"JI" 0.0180845007038306 0.0125863864575427
"JM" 0.000498649491936238 0.000361439266217655
"JO" 0.0106635012180091 0.00780416264485192
"JS" 0.000559550111218906 0.000456479386873933
"JU" 2.70706326948273e-06 2.66326255313084e-06
"JW" 5.4010489386298e-06 5.07294026994064e-06
"JY" 0.000236299571122086 0.000229433614584033
"KA" 2.80252669706498e-05 2.75762821801739e-05
"KI" 0.000174975751934447 0.000167383969272847
"KM" 0.00031095232198173 0.000292295680802247
"KU" 0.000379236511505655 0.000349636826258448
"KV" 1.75038888501371e-05 1.72779673676512e-05
"KY" 1.32593897882653e-05 1.3205576431034e-05
"LE" 4.04883343476505e-05 4.01050445213605e-05
"LI" 0.00120583115132658 0.000949431022763264
"LJ" 0.00313811187926274 0.0024442208490375
"LQ" 0.00315973873765202 0.0025151630728208
"MA" 0.000231109398728559 0.00021841593250545
"MC" 8.64663787838583e-05 7.87974146947856e-05
"ML" 9.79565487933401e-06 8.22072827075758e-06
"MM" 0.000187083581179781 0.000178323845620853
"MQ" 0.00012023068452451 0.000105020254559478
"MR" 0.000106358087685063 9.30859243179469e-05
"MU" 6.597213449332e-06 6.50769843827526e-06
"MW" 0.00494488935653345 0.00315074462263273
"MY" 0.0140876923959526 0.0100367985041042
"NE" 0.0267184028975191 0.0208993064791272
"NI" 0.000208706339788668 0.00019835723457268
"NM" 0.00366749168352174 0.00257438153526669
"NN" 0.000271528466467594 0.000255732760918398
"NQ" 0.228399156394063 0.116979303178159
"NS" 5.26004028658945e-06 5.18605795247212e-06
"NU" 0.00234245497318515 0.00191290015996031
"OA" 0.000216526154539986 0.000211133843542658
"OE" 0.000217061075983913 0.000203186330215574
"OI" 0.000103990908502043 9.24844411113328e-05
"OM" 0.00660845941165582 0.00590126619937879
"OO" 0.000110508274653835 9.2450465443263e-05
"OP" 0.000870706448751644 0.000792698915346077
"OR" 7.06234064540532e-05 6.70263006503723e-05
"OT" 0.00093194494295282 0.000780497232293421
"OU" 0 0
"OX" 0 0
"OY" 0.000282030679718237 0.00025838020089047
"OZ" 2.69596874788649e-05 2.28655875185396e-05
"PA" 0.000128471167182881 0.000120324846692536
"PC" 0.0939929669557202 0.0595480250159469
"PD" 3.46144467877813e-06 3.39513388775623e-06
"PE" 0.00251016128257485 0.00214202718368589
"PF" 1.37814130082757e-05 1.36592318450611e-05
"PG" 2.22934622192696e-06 2.21628768658137e-06
"PH" 0 0
"PI" 9.33545337076715e-06 9.1687560825007e-06
"PJ" 5.15739002246922e-06 5.08844167845547e-06
"PK" 1.54689329684728e-06 1.53377708865904e-06
"PM" 6.98428196135814e-05 6.90112820949165e-05
"PN" 0.000185758587090657 0.000180729656046611
"PO" 0.00762997922486671 0.00707317723150432
"PQ" 2.43284408543263e-05 2.41027437154278e-05
"PS" 0.00728161174125595 0.00637608532447584
"PT" 0.000697193673016169 0.000588270765975296
"PU" 0.000261283418542271 0.000255928970567722
"PW" 2.12714375499917e-05 1.93381195313093e-05
"PY" 0.00823947548134716 0.00684938039705692
"PZ" 1.9945268533188e-05 1.97817692755402e-05
"QA" 0.000359969349683478 0.000322609015544721
