"Q" "C"
"AA" 0.000314195221807115 0.000281448614063545
"AC" 0.00109787982286052 0.00088189441277865
"AD" 7.53182189070693e-06 7.3567513211442e-06
"AE" 1.72632289300329e-05 1.64643306525293e-05
"AF" 0.000154721147976497 0.000138394064308684
"AH" 0.000517722608204094 0.000492232562577542
"AI" 4.76814063411716e-05 4.24143164294848e-05
"AM" 0.000188269035222434 0.000182587136714648
"AQ" 0.000155130828752788 0.000149907417205735
"AY" 2.31343660555177e-05 2.14148681587313e-05
"AZ" 1.29830895258925e-05 1.23076432627465e-05
"BA" 0.000551863884146746 0.000523917064874531
"BD" 0.000333764781521036 0.000320984886932102
"BF" 0.00146222219929306 0.00137885893308147
"BI" 0.000218149161596217 0.00021305354039772
"BK" 0.000112593943850359 0.000101242713094442
"BM" 0.000499637932738089 0.000453989415765822
"BP" 0.00016575508306175 0.000147210145597277
"BQ" 0.00160440171684539 0.00130983651232826
"BU" 0.000515994967187749 0.000511356067047344
"BV" 0.000191476661409042 0.000176669947889497
"CN" 0.000675411532614827 0.00062544556177458
"CO" 0.00150538484114308 0.00138390264324154
"CQ" 0.00224518375482412 0.00208228365336711
"CT" 3.43302848040427e-06 3.2136119561371e-06
"CU" 0.00237320700129416 0.00213071541556405
"DA" 9.76182425356125e-05 9.01986708142066e-05
"DB" 0.00197826300749344 0.00182621237536094
"DE" 0.000253870900119072 0.000244431878487458
"DI" 0.0313119649119789 0.0223302523566238
"DK" 0.00213836151734586 0.00196119359901417
"DM" 0.00228074589384111 0.0021457254808272
"DQ" 0.000719927248723732 0.000689069610408278
"DR" 0.00108820740052641 0.00101764210065723
"DS" 0.000485651212458022 0.000455990821970597
"DT" 4.27730740507762e-05 4.10661580043036e-05
"DW" 0.000115953724728001 0.000110529955750013
"DX" 0.000123520705537578 0.000114508408559447
"DY" 0.00126630800957188 0.00120408842043136
"EA" 0.000520864576225647 0.000497445761223925
"EC" 7.79039562743406e-05 7.58978589784782e-05
"EE" 0.000134685740874131 0.000130495141983321
"EI" 0.000249203408032322 0.000239711540398901
"EN" 0.000132765693978379 0.000116209146347841
"EO" 3.05158087147047e-06 3.03651039897237e-06
"EP" 0.0212836629144347 0.0147798346495499
"EQ" 0.00216547156734063 0.00198721670995725
"ER" 0.00536324416397014 0.00349338721393768
"ES" 0.0104077739642448 0.00722210187379227
"ET" 0.130140167702029 0.0720377038243447
"EU" 0.0214122466093658 0.0170383911503904
"EV" 0.0472302597263449 0.03039424056428
"EW" 0.0202306915042853 0.0137305188617749
"EX" 0.0242183465215782 0.0160179731373984
"FA" 0.000149238374564912 0.000142943583462461
"FE" 0.00059389974492942 0.000550774497063362
"FF" 0.00063122818936856 0.000595249160255739
"FI" 8.8232109215483e-05 8.47225148650757e-05
"FS" 1.17703833613861e-05 1.06658535242702e-05
"FU" 0.000530706274473442 0.000478295698915334
"FY" 0.000277113346648053 0.000271094748708919
"GA" 0.000206062802245422 0.000198375895691925
"GC" 0.000330132057580766 0.0003213987135527
"GM" 0.000725016843463802 0.000668065732273164
"GU" 0.00263063407757096 0.00251417818937328
"GY" 0.0158059411028541 0.0139464548998693
"HA" 0.0148230383979102 0.0131151318640813
"HB" 0.00190744712878668 0.00171955177819068
"HE" 0.00023605912180043 0.000223064803159199
"HF" 0.00195015751288517 0.0015167429461669
"HI" 0.00311661435101034 0.00284608746040152
"HL" 0.00883789663175207 0.00746439898665614
"HQ" 8.49216572667239e-05 8.14645533046619e-05
"HT" 0.000532440044272305 0.000504536876053404
"HY" 8.32678923474941e-05 7.86639835151453e-05
"IA" 0.000847763683285982 0.000788883995535574
"ID" 0.000307385667434996 0.000292865294151146
