"Q" "C"
"AA" 0.000249314990231622 0.00023143530771452
"AC" 0.000158373811865743 0.000155464201964396
"AD" 0.000550382958182081 0.000478158831519421
"AE" 0.000305937090168614 0.00026568342634363
"AF" 6.73061805477777e-06 6.49826415103962e-06
"AH" 0.00534824141331404 0.0040977334121659
"AI" 5.12308204615897e-06 5.01351780821795e-06
"AM" 0.000258337943297211 0.000217030587658197
"AQ" 0.00289086235179046 0.002389528692671
"AY" 0.000655146314302682 0.000402518003459329
"AZ" 0.000592049954415321 0.000427650251287003
"BA" 0.0073794593768659 0.00579448059761371
"BD" 0.000281487250205278 0.000261267942876417
"BF" 0.000626564831697896 0.000561279171034838
"BI" 1.67024839081902e-05 1.62657564310129e-05
"BK" 2.02990043338374e-06 1.96041978160523e-06
"BM" 5.06677549947034e-05 4.96532671916016e-05
"BP" 0 0
"BQ" 3.3382853260564e-05 2.98314130812081e-05
"BU" 4.05051560792372e-06 4.04170911828438e-06
"BV" 0.000920613725900498 0.000698344952165151
"CN" 0.00345876424608588 0.00250964128674638
"CO" 0.00536031436436761 0.0035028699784458
"CQ" 0.0455999792108273 0.0256582500887358
"CT" 6.48206015160492e-05 4.08908295445766e-05
"CU" 0.00527043488519095 0.00278943143479424
"DA" 0.00599040950912983 0.00353291270520985
"DB" 0.00740158878250849 0.00466992845191193
"DE" 0.0494243623190223 0.0364262623321884
"DI" 0.00011606886433564 0.000114825142923092
"DK" 1.44365777016879e-05 1.43556044413991e-05
"DM" 0.0306927714234512 0.0208668243201212
"DQ" 0.0114034446371392 0.00908748168195418
"DR" 0.0202566980475439 0.0118417514404715
"DS" 0.00201840779517389 0.0015106526309252
"DT" 4.2735252210689e-05 4.17941883821817e-05
"DW" 0.0133980075183119 0.0101552259134822
"DX" 0.062567425381954 0.0334851661813973
"DY" 0.00695559574211085 0.00578096294124621
"EA" 0.00578792643327332 0.004857907361681
"EC" 0.000179504193606057 0.000162518149900914
"EE" 0.00432383757977424 0.00357353558220104
"EI" 0.000763008889579109 0.000694276241586704
"EN" 0 0
"EO" 0 0
"EP" 0.000590701962717612 0.000565986891900843
"EQ" 0.00443189552495258 0.00368145626693681
"ER" 4.68598504605051e-05 4.38462486741963e-05
"ES" 4.65019036348873e-05 4.56656769680819e-05
"ET" 0.000326126306218129 0.000308410921615611
"EU" 0.000112032392311626 0.000106812419365817
"EV" 0.000621755096168686 0.000520598610792343
"EW" 5.70774447029857e-05 5.59125171557406e-05
"EX" 0.00017050555251402 0.000165359534937496
"FA" 6.51723224232682e-06 6.39535025839221e-06
"FE" 4.1162362557711e-05 3.85570700161162e-05
"FF" 0.000669654468670946 0.000549762290610531
"FI" 0.000105033347293277 9.18921933211213e-05
"FS" 0 0
"FU" 5.63221842596434e-05 5.21461900015542e-05
"FY" 0.0028769038054551 0.00262199812321998
"GA" 0.00539345685734384 0.00432261023442475
"GC" 5.47114909619078e-05 5.4128782202411e-05
"GM" 0.00101159768171644 0.000796244563960153
"GU" 0.00126575123906693 0.00114300648589495
"GY" 0.00025074074020187 0.000246004016429339
"HA" 0.000481370308106766 0.000460427026563514
"HB" 0.00147443167362998 0.00130139205123753
"HE" 6.97134458810699e-05 6.14148179280963e-05
"HF" 0.000184508781233109 0.0001660297936452
"HI" 0.000166646889130187 0.000156022703423202
"HL" 0.0121798660661677 0.00943596680138808
