"Q" "C"
"AA" 2.63739565336124e-05 2.57931995655457e-05
"AC" 4.9240328113063e-05 4.85883013713869e-05
"AD" 9.696146366893e-05 9.48285510776929e-05
"AE" 3.86058642594826e-05 3.73443781158049e-05
"AF" 0.000676850821537106 0.000535393856800877
"AH" 0.00014338000715978 0.000137402038526966
"AI" 5.66862196902735e-06 5.60074250351636e-06
"AM" 0.000103617262123361 0.000101097727941306
"AQ" 4.26444999983228e-05 4.11637403308388e-05
"AY" 7.61533663017341e-05 7.07683539574679e-05
"AZ" 2.6043862602536e-05 2.47348302457276e-05
"BA" 0.000289054511738297 0.000271189265284633
"BD" 0.000577886774636165 0.000553871274247896
"BF" 0.00219111597435071 0.00203097064978068
"BI" 5.33547487690115e-05 5.23626754598653e-05
"BK" 4.53035336756267e-05 4.19109569216863e-05
"BM" 0.00315699811480535 0.00245799316162776
"BP" 8.00319983149287e-05 7.62441504922619e-05
"BQ" 0.00122891798600049 0.00100246133843192
"BU" 2.33165404578579e-05 2.32710768065221e-05
"BV" 0.00048751700225706 0.000429329518194573
"CN" 0.00146226496644846 0.00129938608976362
"CO" 0.000236571406245481 0.000226426512549013
"CQ" 0.000966758521012513 0.000918893594711244
"CT" 6.57186303412438e-05 6.25142387822733e-05
"CU" 0.00102698682377226 0.000938293708206632
"DA" 1.78169645722203e-05 1.70197173146855e-05
"DB" 0.00132202420073141 0.00125657531975155
"DE" 0.00017753917907972 0.000172929191530503
"DI" 0.00739872849301171 0.0065107396293637
"DK" 0.0135620276978067 0.0111090464774363
"DM" 0.000777036541244994 0.00073833386995225
"DQ" 0.000551436194757791 0.000529516995586117
"DR" 0.000585859195771968 0.000558272141428504
"DS" 0.00044599713206759 0.000416706656734444
"DT" 4.38420548579667e-05 4.33460494442872e-05
"DW" 3.57477419900921e-05 3.47149191104937e-05
"DX" 5.45205249140792e-05 5.17986117489865e-05
"DY" 0.00034329921193859 0.000336982011606836
"EA" 0.000273076511085956 0.000266998834476565
"EC" 3.49817362113914e-05 3.46752458020751e-05
"EE" 2.51193036569014e-05 2.47677650961834e-05
"EI" 8.25417065456483e-05 8.14984422072641e-05
"EN" 3.88653674361117e-05 3.21482914997616e-05
"EO" 0.000115943488036511 0.000114838205001506
"EP" 0.000834705220687392 0.000811468936445467
"EQ" 0.0106178455138197 0.00868900916301141
"ER" 4.84566930749668e-05 4.60093590411244e-05
"ES" 0.000232608994512243 0.000229051529203923
"ET" 0.00065347206075523 0.000628678267221284
"EU" 0.0020900563359707 0.00180775937680733
"EV" 0.000432597200699087 0.000408004649529289
"EW" 0.000391488518513821 0.000382916494258436
"EX" 0.00050590401757815 0.000493714448253232
"FA" 2.52812298785925e-05 2.48875115574387e-05
"FE" 0.026664556653868 0.0194725788061397
"FF" 0.000484672782322776 0.000454192030673886
"FI" 9.39628846605591e-06 9.28579583292101e-06
"FS" 1.76180408738548e-06 1.57054262024738e-06
"FU" 0.00235573251160843 0.00190979861317583
"FY" 0.000114612796846375 0.000112432704224166
"GA" 0.000209521265721444 0.000202246123876276
"GC" 0.000109190610098163 0.000108201941969001
"GM" 0.00193983906761837 0.0016528914798451
"GU" 0.00276912594067618 0.00263967497192183
"GY" 0.0690997137608889 0.0522643450196609
"HA" 0.00348989517803717 0.00318711242586837
"HB" 0.000415877734379938 0.000387368277624789
"HE" 0.000602595496653576 0.000545387100678623
"HF" 0.00889381594150686 0.00719929366178191
"HI" 0.0010291843942607 0.000914595631764874
"HL" 0.00614657558745855 0.00519264581073481
"HQ" 4.30334219663905e-05 4.24254651651095e-05
"HT" 0.000379093452595185 0.000363500577793484
"HY" 0.000113853874042 0.000108627894357302
"IA" 0.000560730022565278 0.000522099541375575
"ID" 0.00115174880231157 0.00111999499378562
"IF" 0.000116207586348926 0.000113236884154649
"IG" 0.000120907109553214 0.000115561276840905
"IH" 0.000507317847502044 0.000486137248604276
"II" 0.000158007754512789 0.000154780303134856
"IJ" 0.000227808161098015 0.000214939626178361
"IK" 5.67364078426283e-05 5.54441134707408e-05
"IL" 3.72495721332931e-05 3.64941047618689e-05
"IM" 0.000213034639000567 0.000205584756199565
"IO" 2.49001644350482e-05 2.45164188594587e-05
"IP" 3.3492396600219e-05 3.29859752767868e-05
"IQ" 0.00027563230609148 0.000272117915950595
"IU" 4.19191216689404e-05 4.14633651165911e-05
"IX" 2.58521390978418e-05 2.56330083324789e-05
"IY" 2.8711160480076e-05 2.77887103649494e-05
"JA" 0.00532742532711845 0.00499708473524426
"JB" 0.0102062273275624 0.00833216700130855
"JI" 0.000295108929140433 0.000262778010674325
"JM" 0.000677324388655691 0.000529932391432078
"JO" 0.00581557763335156 0.0047867241127311
"JS" 0.000151880814228219 0.000136834494524988
"JU" 0.00216552323338379 0.0020976600860318
"JW" 4.97450565850019e-06 4.68565091177002e-06
"JY" 0.00161926768074906 0.00156821735827782
"KA" 0.000201666055491169 0.000194646022060111
"KI" 0.000126906705294337 0.00012213156943008
"KM" 0.00174633675782702 0.00164870407890219
"KU" 0.00204224929436155 0.00177296089915484
"KV" 9.40851732565264e-05 9.14154992491847e-05
"KY" 2.81907386614185e-05 2.79066820503239e-05
"LE" 0.000395498350224156 0.000387182617530349
"LI" 0.000413023362929742 0.000359689059154448
"LJ" 0.000588874717762939 0.000510084496170593
"LQ" 0.0097418854322922 0.00790284582253822
"MA" 0.000236911435525867 0.000225321344384428
"MC" 5.97937313787373e-05 5.59035369833951e-05
"ML" 8.75277555119452e-06 7.5841710974277e-06
"MM" 0.003991278562103 0.0035844342085594
"MQ" 0.0014028651664053 0.00123136037378453
"MR" 0.000948996514568064 0.00075045621325182
"MU" 2.99506694855532e-05 2.93611501322259e-05
"MW" 6.92794845024394e-05 5.83920284482992e-05
"MY" 0.00419426298637899 0.00356774326349448
"NE" 0.0101655353496425 0.00855020802535631
"NI" 0.000738721705754574 0.000704447342266178
"NM" 0.00355026231386261 0.00275926266856112
"NN" 0.000688205898684589 0.000649970547526385
"NQ" 0.00876543259619387 0.00744296990291003
"NS" 0.000174849281055452 0.000172733727882027
"NU" 0.00308184834247724 0.00284613572477762
"OA" 6.87198194722135e-05 6.76659625765555e-05
"OE" 0.0356074653107418 0.0266044324301591
"OI" 5.62540954217821e-06 5.16374945199078e-06
"OM" 0.476274078480471 0.213605466392369
"OO" 0.00368420072183082 0.00302089308948683
"OP" 0.00832859643565916 0.00745164699268317
"OR" 0.000101348302400789 9.29027148768127e-05
"OT" 0.000506106537095652 0.000472519334261816
"OU" 0.000191644846299373 0.000183588621886786
"OX" 4.81895365616296e-05 4.57554165500711e-05
"OY" 0.000266582705288287 0.000256615338933307
"OZ" 0.000332776060302998 0.000249114577110267
"PA" 0.000410555493600094 0.000387037926366701
"PC" 0.00656831490701913 0.00578617591296235
"PD" 3.08062738295296e-05 2.99769606923967e-05
"PE" 0.000933230390823455 0.000883125861815873
"PF" 8.83251115809255e-05 8.65674085993018e-05
"PG" 0 0
"PH" 2.11416490486258e-05 2.07116098870554e-05
"PI" 0.00189491886552716 0.00182302865456771
"PJ" 1.40944326990839e-05 1.38609760503225e-05
"PK" 1.83642167226299e-05 1.82415724625445e-05
"PM" 0.000314704769681793 0.000311676371237253
"PN" 0.000134945010913584 0.000133054889211479
"PO" 0.00132603414017546 0.00123328712759036
"PQ" 6.58059620425368e-05 6.54796341160123e-05
"PS" 0.00245639230566841 0.00196510006589084
"PT" 0.000371697508719187 0.000329893669544243
"PU" 3.95300025321167e-05 3.91238092089487e-05
"PW" 0.00020766695215946 0.000191362946657333
"PY" 0.0161532193604732 0.0139415198408562
"PZ" 2.19928063479861e-05 2.18663802531794e-05
"QA" 0.000867500190390998 0.000795973595166487
"QC" 3.12669045282821e-05 3.04327416619701e-05
"QD" 0 0
"QE" 2.81063728990928e-05 2.7375884536928e-05
"QF" 1.5720713395132e-05 1.55761822628616e-05
"QG" 2.81888653981677e-05 2.79933448666074e-05
"QH" 0 0
"QJ" 1.69133192389006e-05 1.66515064734695e-05
"QK" 1.11580925534414e-05 1.08951577606662e-05
"QQ" 0.000955052322920585 0.000933820344780392
"QU" 0.000247054941337561 0.000237756858892967
"RA" 1.40944326990839e-05 1.35041702693014e-05
"RB" 2.8964554317204e-06 2.84138240917581e-06
"RE" 2.05799647820682e-05 2.041355253509e-05
"RO" 0.00138144701819848 0.00125518683849526
"RP" 8.54497060127415e-05 7.92921259025185e-05
"RQ" 2.28542484264518e-05 2.20104808789999e-05
"RT" 0.0024457465037688 0.00219738871376467
"RU" 0.00360249682410074 0.00325368852617664
"RX" 0.000296163686121066 0.000271458222408825
"RY" 9.39628846605591e-06 9.22640431377599e-06
"RZ" 0.000598587740834151 0.000524491730690392
"SA" 0.00199477996280698 0.00183780227424631
"SD" 0.00120640097222366 0.00113956825282561
"SI" 0.000879621400082453 0.000855444451935717
"SR" 4.03201449713078e-05 3.94841058137321e-05
"SU" 0.000112652120271925 0.000109730258452128
"SY" 1.76102607538187e-05 1.74682917096709e-05
"TA" 4.79725386566308e-05 4.6404863175483e-05
"TC" 0.00014467780246716 0.000140319124033932
"TD" 3.90113694006757e-05 3.73201847719228e-05
"TE" 1.20573927183474e-05 1.19080594199729e-05
"TI" 3.85322400826277e-05 3.67067511214812e-05
"TM" 0.0015389150210272 0.00143726413775407
"TQ" 0.00263731867111958 0.00237900435308437
"TU" 0.00305818197211279 0.00276752788626321
"UA" 0.00280536642673011 0.00261097733885585
"UB" 7.50198289342782e-05 7.43844192626899e-05
"UE" 4.38877638648893e-05 4.2603001635314e-05
"UF" 6.63032845698889e-06 6.56832391443094e-06
"UH" 1.54236922314609e-05 1.5276289685884e-05
"UI" 0.000149133293744321 0.000147871121885657
"UK" 5.72242471011281e-05 5.68074728422191e-05
"UM" 0.00025618296792617 0.000236155671073996
"UN" 3.19260255835309e-05 3.18098335027784e-05
"UP" 3.2164281171655e-05 3.21035095237603e-05
"UQ" 0.00441909686513725 0.00341712936301391
"UR" 5.45743887688322e-05 5.39592816513725e-05
"UT" 4.20819490586932e-05 4.17624080971686e-05
"UU" 0.0290830330404042 0.0229410132780423
"UY" 1.58337048702497e-05 1.56767926463479e-05
"VE" 0.0192196327811106 0.0161728306039854
"VI" 0.0050662281023306 0.00425919007388919
"VJ" 0.0150731646740027 0.0116265252310588
"VM" 0.00651325450965592 0.0051768908183076
"VP" 0.000119289302531278 0.000105154057293397
"VS" 0.000424625656725077 0.000379690751583821
"VX" 0.00495979465877201 0.00442232064139506
"VY" 0.000648615570658267 0.000616712246583698
"WC" 0.00105172948848275 0.000945150930855478
"WE" 0.000231263817696111 0.000219057843810653
"WF" 0.000460930106463229 0.000444425582577748
"WH" 6.20316750387e-05 5.96631615860077e-05
"WM" 0.00617913356423523 0.00459462917220674
"WQ" 0.0153279005505564 0.0127532562979769
"WU" 0.00789930892314837 0.00588876661082981
"WV" 0.00347990824176661 0.00282889836530071
"WY" 0.00271462634223326 0.00224668768932258
"XA" 0.017714781501804 0.0141305903597681
"XE" 4.04399849047409e-05 3.93051667404079e-05
"XQ" 1.56158573247662e-05 1.52731810820956e-05
"XW" 0.000494573570648623 0.000470199988911894
"XY" 0.00132006534092335 0.00122812752183266
"YA" 0.00101911691164779 0.000974128370982239
"YE" 0.000247377660039262 0.000244819760614199
"YG" 6.37050849386542e-05 6.10739137733883e-05
"YI" 0.000513381687709387 0.000450184836061693
"YO" 0.00042497820501034 0.000391351689395997
"YP" 0.000223957589015687 0.000214611959927241
"YQ" 0.000427922425281162 0.000384240984869746
"YR" 9.69819236891535e-05 9.36235537179146e-05
"YU" 0.000117346940004241 0.00010887091330307
"YY" 0.00353440877864007 0.00294473306026792
"ZA" 0.000249229244992629 0.000240307155237253
"ZC" 0.000290917109147142 0.000281395745710542
"ZD" 0.000266605591194486 0.000252386904067246
"ZE" 0.000162087365819848 0.00015592911642624
"ZK" 0.00320622741769046 0.00250663210046151
"ZM" 0.000296306259754881 0.000280339376753309
"ZQ" 4.02698077116682e-06 3.98820346820147e-06
"ZR" 0.000717695400065204 0.000690790629194558
