"Q" "C"
"AA" 0.000879450879450879 0.000856014181543766
"AC" 0 0
"AD" 0 0
"AE" 0 0
"AF" 0.000720720720720721 0.000608743600303097
"AH" 0.00032032032032032 0.000306173126111736
"AI" 0 0
"AM" 0 0
"AQ" 0 0
"AY" 0 0
"AZ" 0 0
"BA" 0 0
"BD" 0.000750750750750751 0.000705671684886095
"BF" 0.0780853456852919 0.0590035512363971
"BI" 0.0230456417157184 0.0191173842898189
"BK" 0.000900900900900901 0.000789315840865816
"BM" 0.0911076167257798 0.0603899484256919
"BP" 0.0042042042042042 0.00363881325943571
"BQ" 0.0158122758122758 0.0106147131360237
"BU" 0 0
"BV" 0.000759342229930465 0.000677625682918847
"CN" 0.00188195835254659 0.00169429445501982
"CO" 0.000163800163800164 0.000156929189103988
"CQ" 0.000560560560560561 0.000534336009212581
"CT" 0 0
"CU" 0.000488950488950489 0.000445974704368047
"DA" 0 0
"DB" 0.000225225225225225 0.000214735089936519
"DE" 0.000617760617760618 0.000597486152787478
"DI" 0.00169359669359669 0.00153668886279975
"DK" 0.000910910910910911 0.00081451168346663
"DM" 0.000138600138600139 0.000133445279427096
"DQ" 0.00015015015015015 0.000146364601714559
"DR" 0.000735150735150735 0.000703667896602683
"DS" 0 0
"DT" 6.67334000667334e-05 6.58107798449045e-05
"DW" 0 0
"DX" 0.000617760617760618 0.000593478413230232
"DY" 0.000960960960960961 0.000940875585694799
"EA" 0.000630630630630631 0.000614263216982939
"EC" 0.00018018018018018 0.000177951887846076
"EE" 0 0
"EI" 0.0003003003003003 0.000295081135075143
"EN" 0.00189195689195689 0.00122157798587401
"EO" 0 0
"EP" 0.000585522497287203 0.00056505515096959
"EQ" 0.000561990561990562 0.000504495804723149
"ER" 0.000675675675675676 0.000637926663458276
"ES" 0.000225225225225225 0.000220554340919435
"ET" 0.000128700128700129 0.000123381413561542
"EU" 0.0171358723912903 0.0140416617412457
"EV" 0.00123805623805624 0.00116077286061738
"EW" 0.000307125307125307 0.000298602067404053
"EX" 0.00037001287001287 0.000358504455953287
"FA" 0 0
"FE" 0.00214714714714715 0.00189701921259938
"FF" 0 0
"FI" 0 0
"FS" 0 0
"FU" 0.00511149397338656 0.00400185787656638
"FY" 0 0
"GA" 0.000112612612612613 0.000109714703411872
"GC" 0.00408086658086658 0.00392574195736485
"GM" 0.000112612612612613 0.000102636698228986
"GU" 0.00189141012670424 0.00176518969476069
"GY" 0.0140034547888005 0.0116111770649878
"HA" 0.00483828112311084 0.00434012545569736
"HB" 0 0
"HE" 0 0
"HF" 0.00485126926303397 0.00408651950461606
"HI" 0 0
"HL" 0.00202322452322452 0.00180860294582039
"HQ" 0 0
"HT" 0.000630148865442983 0.000583855951437243
"HY" 0.000257400257400257 0.000245658066457389
"IA" 0.00113256113256113 0.00106777314082638
"ID" 0.000750317416984084 0.000726686436303187
"IF" 0.00036036036036036 0.000348824930653034
"IG" 0 0
"IH" 0 0
"II" 0.000257400257400257 0.00025132826731678
"IJ" 0.000198000198000198 0.00018808394134191
"IK" 0.000128700128700129 0.000125592804766037
"IL" 0 0
"IM" 0 0
"IO" 0 0
"IP" 0 0
"IQ" 0.000601673101673102 0.000590545891136189
"IU" 0 0
"IX" 0 0
"IY" 0 0
"JA" 0.00298842882176215 0.00277176167422991
"JB" 0.00960606632175259 0.00772623322406718
"JI" 0.000744975744975745 0.000668481265319148
"JM" 0.00592131739190563 0.00429508071604635
"JO" 0.00317557967174335 0.00275441571258841
"JS" 0.00588946088946089 0.00488851147351503
"JU" 0 0
"JW" 0.00145645645645646 0.00122448038160064
"JY" 5.005005005005e-05 4.87128310764186e-05
"KA" 0.000778050778050778 0.000739533908366846
"KI" 0.00036036036036036 0.000350981086746272
"KM" 0.0027005677005677 0.00253698327132818
"KU" 0.0156820441493121 0.0126111956154979
"KV" 0.00128018775077599 0.00117773812830682
"KY" 0.00074002574002574 0.000703499879245146
"LE" 0.00466782187370423 0.00434926743573823
"LI" 0 0
"LJ" 0.0012977262977263 0.00117779997548595
"LQ" 0.00196530946530947 0.00171473505820202
"MA" 0 0
"MC" 0 0
"ML" 0 0
"MM" 0.0409541842150538 0.03186773916228
"MQ" 0.00697519138695609 0.00562492066472935
"MR" 0.00201762201762202 0.00158003306586292
"MU" 0 0
"MW" 0.000734558087499264 0.000607619091485061
"MY" 0.00157867657867658 0.00140618425639712
"NE" 0.00582739495782974 0.00507744828634434
"NI" 9.00900900900901e-05 8.69560725693479e-05
"NM" 0.00128766128766129 0.00105143210993055
"NN" 0.000631703131703132 0.000605697137789577
"NQ" 0.00036036036036036 0.000323336245701638
"NS" 0 0
"NU" 0.000210600210600211 0.000195386654779917
"OA" 0.00048048048048048 0.000469374414497718
"OE" 0.022177158922257 0.0171454727987162
"OI" 0.000617760617760618 0.000580672266007413
"OM" 0.00600737184070517 0.00538561951390182
"OO" 0 0
"OP" 0 0
"OR" 0.182923612200769 0.114128095749384
"OT" 0.0154332420121894 0.0135268531137821
"OU" 0 0
"OX" 0.00138352638352638 0.00115398624034851
"OY" 0.0188301598208719 0.0167124138641612
"OZ" 0.00528099528099528 0.00363179486602234
