"Q" "C"
"AA" 0.000291954803152558 0.000277042142141511
"AC" 0.000251949647740619 0.000243143420718489
"AD" 0.000291203760835663 0.000269929150255247
"AE" 0.00247286623908341 0.00173711936667271
"AF" 0.000548336137006217 0.000502172157932753
"AH" 0.000845902163461288 0.000665130388288309
"AI" 8.9234672826192e-05 8.30395338402489e-05
"AM" 0.00247684055852484 0.00196496037260956
"AQ" 2.52725520364505e-05 2.42184249637209e-05
"AY" 0.000160750932122818 0.000142064873006949
"AZ" 1.06993274364071e-05 9.83134385767295e-06
"BA" 5.43651993136937e-07 5.32811687598756e-07
"BD" 0.00786431532518821 0.00461470357175525
"BF" 0.000167792655093004 0.000145674097605788
"BI" 0.000189133281651997 0.000163675116857212
"BK" 5.87260441784285e-07 4.73955478311693e-07
"BM" 1.11470586804598e-05 1.06727936825663e-05
"BP" 4.02513193969577e-06 3.56491074102358e-06
"BQ" 3.32477188708963e-06 3.10176476979785e-06
"BU" 0.00311184383021024 0.00298263503683571
"BV" 3.14062514628741e-05 2.99917421257851e-05
"CN" 0.00086886894603852 0.000796480935639157
"CO" 0.00196995681655895 0.00167097517672575
"CQ" 0.00835142255719763 0.00711470334080805
"CT" 0 0
"CU" 0.0069156601076861 0.00527536370994396
"DA" 0.00122605946575511 0.0010542582519727
"DB" 0.0117926437442195 0.00916641283293898
"DE" 0.0144482905754896 0.0118146058886705
"DI" 0.00028192712948526 0.000277887777730147
"DK" 5.52339719535437e-05 5.45279921217788e-05
"DM" 0.000208902006296234 0.000196663165597025
"DQ" 2.66093620413334e-05 2.59838615429483e-05
"DR" 0.00114198765611393 0.0010082735241837
"DS" 1.98383955177465e-05 1.91575894801431e-05
"DT" 0.000491149391517418 0.00044974385400433
"DW" 0.000965997350728712 0.000818243270338557
"DX" 0.000488385754791135 0.000430798500313295
"DY" 0.00480143544367134 0.00428020934956398
"EA" 0.0047743965014139 0.00416241199492116
"EC" 0.000428820904203576 0.000403415039738607
"EE" 0.000349140157815871 0.000327682932622854
"EI" 0.00253074773806843 0.00225506366401141
"EN" 0 0
"EO" 5.60439180005119e-06 5.58596633610797e-06
"EP" 0.000708265374723418 0.000680075171687311
"EQ" 2.55852184518113e-05 2.52167743746983e-05
"ER" 3.80163690689841e-05 3.66143116125631e-05
"ES" 7.64505641069448e-05 7.44283695447901e-05
"ET" 0.000194749145858988 0.000186546944472678
"EU" 2.9996176856638e-05 2.94983278082543e-05
"EV" 0.00297548996358643 0.00254260836965139
"EW" 0.000482814680669172 0.000468586845836939
"EX" 0.000564119829176873 0.000545652995500914
"FA" 0.000277535792292302 0.000243636453837236
"FE" 2.33654686412045e-06 2.31453926660128e-06
"FF" 0 0
"FI" 3.72194685873777e-05 3.45094495643527e-05
"FS" 6.41835410012525e-06 6.26367302269512e-06
"FU" 2.3576332231884e-05 2.26147072219155e-05
"FY" 2.01924710104079e-05 1.98089311055938e-05
"GA" 3.04853681799354e-05 2.92251047905343e-05
"GC" 0.0149813952398186 0.0118212951649021
"GM" 1.68982767268866e-05 1.64378177640713e-05
"GU" 0.0779369250525697 0.0446557599559242
"GY" 0.00242896440244017 0.0023268809527317
"HA" 5.68281949588329e-05 5.6108412733261e-05
"HB" 6.80698461359198e-05 6.60678228862346e-05
"HE" 2.38734136116655e-06 2.35411388286995e-06
"HF" 2.11776256559158e-05 2.04374517963901e-05
"HI" 7.50890274281445e-06 7.44575121873414e-06
"HL" 2.12199948719857e-05 2.06410240432707e-05
"HQ" 0.000399959764754557 0.000355956369030539
"HT" 0.00635388077474263 0.00465042491954096
"HY" 0.000302486875719679 0.00027133358442642
"IA" 0.000402612911164669 0.000368315841744358
"ID" 0.00273150871682516 0.00220443711043886
"IF" 0.00051569772433224 0.000458959327449776
"IG" 9.38726247577014e-05 8.72227764104467e-05
"IH" 0.0292883389283359 0.0166250754859055
"II" 0.00590213207395593 0.00469590801354462
"IJ" 0.000130004859355966 0.000124620224984788
"IK" 2.69244991700501e-05 2.56113885367537e-05
"IL" 9.66203120364055e-06 7.49130031018082e-06
"IM" 0.0210315691979158 0.0134533235600304
"IO" 0.00158281046473732 0.00115374446285093
"IP" 0.000729245090835608 0.000570249210421771
"IQ" 0.00137060945001674 0.00131590894263812
"IU" 0.00281356221464813 0.00259129736052546
"IX" 0.00129152403254765 0.00104339734450609
"IY" 0.00218807425595231 0.00174003921253771
"JA" 0.12540362194085 0.05952945663378
"JB" 0.00216890944914413 0.00152957384189532
"JI" 8.33087023451648e-07 8.07723964788839e-07
