"Q" "C"
"AA" 0 0
"AC" 0 0
"AD" 0 0
"AE" 0 0
"AF" 0 0
"AH" 0 0
"AI" 0 0
"AM" 0 0
"AQ" 0 0
"AY" 0 0
"AZ" 0 0
"BA" 0 0
"BD" 0 0
"BF" 0.0125384024577573 0.0107965918519613
"BI" 0.00288018433179724 0.00264444546055133
"BK" 0.00492831541218638 0.00445784255838126
"BM" 0.00716845878136201 0.00588617412688518
"BP" 0.021878733572282 0.0183539858222588
"BQ" 0.0882661096370774 0.0498192328753316
"BU" 0 0
"BV" 0.00420412721938253 0.00355939385781022
"CN" 0.00623394043460895 0.00536616364110899
"CO" 0 0
"CQ" 5.32311295645694e-05 5.04121458523473e-05
"CT" 0 0
"CU" 0.00368023553507424 0.0033376705814192
"DA" 0 0
"DB" 0.000896057347670251 0.000854113709280565
"DE" 0 0
"DI" 0.000672043010752688 0.000619369286873808
"DK" 0 0
"DM" 0 0
"DQ" 0 0
"DR" 5.32311295645694e-05 5.06177678740547e-05
"DS" 0 0
"DT" 0 0
"DW" 0 0
"DX" 0 0
"DY" 0 0
"EA" 0 0
"EC" 0 0
"EE" 0 0
"EI" 0 0
"EN" 0 0
"EO" 0.00268817204301075 0.00252702428141143
"EP" 0.00017343045438779 0.000166427771643156
"EQ" 0.000212924518258277 0.000186270640480939
"ER" 0 0
"ES" 0 0
"ET" 0 0
"EU" 0.0108588991653508 0.00878558144962743
"EV" 0.000413564929693962 0.000387336426776206
"EW" 0 0
"EX" 0 0
"FA" 0 0
"FE" 0.000384024577572965 0.000339262611658754
"FF" 0 0
"FI" 0 0
"FS" 0 0
"FU" 0.00166410650281618 0.00141233544949394
"FY" 0 0
"GA" 0 0
"GC" 0 0
"GM" 0 0
"GU" 0 0
"GY" 0.00134408602150538 0.00123080320322257
"HA" 0.00205278592375367 0.00181429589474592
"HB" 0 0
"HE" 0 0
"HF" 0.00516266887234629 0.00445111832694946
"HI" 0 0
"HL" 0.000896057347670251 0.000817391785280357
"HQ" 0 0
"HT" 0.00134408602150538 0.0012732974578555
"HY" 0 0
"IA" 0.000159693388693708 0.000150051934908881
"ID" 0 0
"IF" 0 0
"IG" 0 0
"IH" 0 0
"II" 0 0
"IJ" 0 0
"IK" 0 0
"IL" 0 0
"IM" 0 0
"IO" 0 0
"IP" 0 0
"IQ" 0 0
"IU" 0 0
"IX" 0 0
"IY" 0 0
"JA" 0.00144009216589862 0.00137762708605066
"JB" 0.00588410991636798 0.00523811647276004
"JI" 0 0
"JM" 0.00501792114695341 0.00384793772026871
"JO" 0.00166410650281618 0.00144652488219176
"JS" 0.0168633337988177 0.0129569750965721
"JU" 0 0
"JW" 0.0017921146953405 0.00152265028060226
"JY" 0.003584229390681 0.00348506810236348
"KA" 0 0
"KI" 0 0
"KM" 0.00498154654175095 0.00468314922320323
"KU" 0.0003584229390681 0.000318549124247263
"KV" 0 0
"KY" 0 0
"LE" 0.003584229390681 0.00346619525846399
"LI" 0 0
"LJ" 0 0
"LQ" 0 0
"MA" 0 0
"MC" 0.000413564929693962 0.000384551091256621
"ML" 0 0
"MM" 0.0467165898617512 0.0360542084587307
"MQ" 0.0167304022142732 0.0135726250570161
"MR" 0.00201612903225806 0.00167554358395351
"MU" 0 0
"MW" 0 0
"MY" 0.00297312941071707 0.0025649719899849
"NE" 0.000672043010752688 0.00060301072584983
"NI" 0 0
"NM" 0 0
"NN" 0 0
"NQ" 0.00125680770842061 0.00111359412405971
"NS" 0 0
"NU" 0 0
"OA" 0 0
"OE" 0.00755248335893497 0.00669777102259561
"OI" 0 0
"OM" 0.00614439324116743 0.0056488116480526
"OO" 0.000896057347670251 0.000788527701254553
"OP" 0 0
"OR" 0.000597371565113501 0.000473027290952327
"OT" 0.00393772893772894 0.00317941110309809
"OU" 0 0
"OX" 0.0842083368556019 0.0443828648660595
"OY" 0.0352361199135393 0.0284939158962779
"OZ" 0.0191500256016385 0.0113924605153837
"PA" 0.222358866135163 0.117007962333492
"PC" 0.00134408602150538 0.00123672825294195
"PD" 0.0146505376344086 0.0101111591070014
"PE" 0 0
"PF" 0.0274257552483359 0.0192368352985236
"PG" 0.0138959086929951 0.00981228782716579
"PH" 0.00998696643857934 0.00750544497148075
"PI" 0 0
"PJ" 0 0
"PK" 0 0
"PM" 0 0
"PN" 0 0
"PO" 0.00206936016182263 0.00197768956138921
"PQ" 0.00201612903225806 0.00199515494030121
"PS" 5.32311295645694e-05 4.90292215883157e-05
"PT" 0.000413564929693962 0.000379653195063102
"PU" 0 0
"PW" 0 0
"PY" 0.00128616548290774 0.00117939336455908
"PZ" 0 0
"QA" 5.32311295645694e-05 4.96193771557911e-05
"QC" 0.0246927803379416 0.0178594438096819
"QD" 0 0
"QE" 0 0
"QF" 0 0
"QG" 0 0
"QH" 0 0
"QJ" 0 0
"QK" 0.00761648745519713 0.0052986694594396
"QQ" 0.00268817204301075 0.00262562641461834
"QU" 0 0
"RA" 0 0
"RB" 0 0
"RE" 0 0
"RO" 0.0017921146953405 0.00161895910497125
"RP" 0.00465949820788531 0.00405649282899844
"RQ" 0 0
"RT" 0.00204791984574802 0.00185273879110396
"RU" 0.0080215569875143 0.00704035054507424
"RX" 0.000566877933778086 0.000506197170575039
"RY" 0 0
"RZ" 0 0
"SA" 0.00137513751375138 0.00129448099493994
"SD" 5.32311295645694e-05 5.12016237132401e-05
"SI" 0 0
"SR" 0 0
"SU" 0 0
"SY" 0 0
"TA" 0 0
"TC" 0 0
"TD" 0 0
"TE" 0 0
"TI" 0 0
"TM" 0 0
"TQ" 0 0
"TU" 0.000212924518258277 0.000196230407612111
"UA" 0.0506704219050959 0.0415421360779174
"UB" 0 0
"UE" 0 0
"UF" 0 0
"UH" 0 0
"UI" 0.000768049155145929 0.000756469477281283
"UK" 0 0
"UM" 0 0
"UN" 0 0
"UP" 0 0
"UQ" 0.00115207373271889 0.00100893536401969
"UR" 0 0
"UT" 0.0192012288786482 0.0134340836278358
"UU" 0.014652671104284 0.0126561955403084
"UY" 0 0
"VE" 0.00529823318937784 0.00467038960058036
"VI" 0.00639023877116417 0.005300881028984
"VJ" 0.0106298602242771 0.0084603792488201
"VM" 0 0
"VP" 0 0
"VS" 0.00040009203834015 0.000344740872733205
"VX" 0.0140006445100776 0.0117004897505653
"VY" 0.000566877933778086 0.000538382098227308
"WC" 0 0
"WE" 0 0
"WF" 5.32311295645694e-05 5.16119118832874e-05
"WH" 0 0
"WM" 0.00184331797235023 0.0014843990802449
"WQ" 0.00599776567518503 0.00510241299889352
"WU" 0.010480347401806 0.00805302450013251
"WV" 0.00642994997833708 0.00554022254047233
"WY" 0 0
"XA" 0.0242009185557573 0.0187395580070308
"XE" 0 0
"XQ" 0 0
"XW" 0 0
"XY" 0 0
"YA" 0 0
"YE" 0 0
"YG" 0.00432667690732207 0.0035589857619647
"YI" 0.00641654978962132 0.00521079894951129
"YO" 0 0
"YP" 0 0
"YQ" 0 0
"YR" 0 0
"YU" 0 0
"YY" 0.0003584229390681 0.000320728026886666
"ZA" 0 0
"ZC" 0 0
"ZD" 0 0
"ZE" 0.000597371565113501 0.000579068588363819
"ZK" 0.0118056946948953 0.00964184010905042
"ZM" 0 0
"ZQ" 0 0
"ZR" 0 0
