"Q" "C"
"AA" 0.0136167835294342 0.0124469272837719
"AC" 0.000673262809703485 0.000649581494427153
"AD" 3.6992128897018e-05 3.63298663796039e-05
"AE" 0 0
"AF" 0 0
"AH" 5.82868559613556e-05 5.70957733827694e-05
"AI" 1.9083241097668e-05 1.85912436492327e-05
"AM" 0 0
"AQ" 7.4212604268709e-06 7.29135512329051e-06
"AY" 3.9025063850017e-05 3.40556290109921e-05
"AZ" 0 0
"BA" 0.00014986127062002 0.000135722141595421
"BD" 3.11771911689127e-05 3.0660664677206e-05
"BF" 0.00872923311316501 0.00799988429217213
"BI" 0.000598848120125792 0.000582234746072959
"BK" 2.13041355357587e-05 2.03095733572443e-05
"BM" 0.00153689307317146 0.00143872336983142
"BP" 0.000380132295999963 0.000348052878127248
"BQ" 0.0049672335594965 0.00362766024650755
"BU" 6.96538300064883e-05 6.94823906440814e-05
"BV" 0.00255073816485226 0.00177763969257968
"CN" 0.0057442615949938 0.00426746133525949
"CO" 0.00035140315365309 0.000335713447962114
"CQ" 0.000826865393412601 0.000783943247148089
"CT" 0 0
"CU" 0.00141587679039614 0.00125605287654957
"DA" 7.52722342701056e-05 7.16430797824231e-05
"DB" 0.000493188972470817 0.000475452273106862
"DE" 0.000153331611228164 0.000150761046814986
"DI" 0.00174027717768692 0.00164409104323352
"DK" 6.09001160029747e-05 5.96123761716343e-05
"DM" 0.000472124369477861 0.000456555682845374
"DQ" 0.000188372039294837 0.000184204371973766
"DR" 0.000212249025119121 0.000201765978320094
"DS" 3.5065455516965e-05 3.28836507652628e-05
"DT" 8.90551251224508e-06 8.80918406058143e-06
"DW" 6.13114758369809e-05 6.02279211543506e-05
"DX" 2.97244117893238e-05 2.84158086130337e-05
"DY" 0.000190390001908735 0.000187328241770804
"EA" 1.78905385290638e-05 1.76060367711479e-05
"EC" 9.54162054883401e-06 9.46432730482425e-06
"EE" 7.52065230758792e-05 7.43417955859249e-05
"EI" 6.31200837102428e-05 6.24598699142043e-05
"EN" 0.000416166089724474 0.000347392976632158
"EO" 0.000535811165064202 0.000522559952920883
"EP" 0.00826175416767036 0.00761411782715143
"EQ" 0.00141759981704511 0.00115483114007556
"ER" 0.000685803169276281 0.00059840929580745
"ES" 0.000348145264747622 0.000332355480179354
"ET" 0.00323520888975771 0.00301633036674868
"EU" 0.030761614756931 0.0244939142197737
"EV" 0.00914310523397158 0.00827640461381652
"EW" 0.000935494443094796 0.000885891967038632
"EX" 0.00282919446768927 0.00265432726225054
"FA" 0 0
"FE" 0.000422364742862337 0.000374064952677295
"FF" 2.81333236182288e-05 2.69633757430842e-05
"FI" 0 0
"FS" 2.22637812806127e-05 1.52781556683387e-05
"FU" 0.000731923514900088 0.000669691347777298
"FY" 0.000113647947715407 0.000111755401590628
"GA" 2.83456067586444e-05 2.77266921408197e-05
"GC" 4.24296293251677e-05 4.21622989759768e-05
"GM" 6.03435214709594e-05 5.18737554383264e-05
"GU" 0.000379557753130898 0.000370750048876027
"GY" 0.00128187715844745 0.0012340982614538
"HA" 0.0613493051116676 0.0447535322631988
"HB" 0.000536967785751523 0.000487975500425369
"HE" 0.00157563837940926 0.00121070122917131
"HF" 0.000583877560563683 0.000523524776738222
"HI" 0.0113133911485102 0.00799392518899574
"HL" 0.000552756865607601 0.000505069269633223
"HQ" 2.67165375367352e-05 2.64342805507436e-05
"HT" 0.000604702046238584 0.00058341983966665
"HY" 8.92214917581581e-05 8.34175665734999e-05
"IA" 0.000152699867868229 0.000141585315327209
"ID" 2.61093435018094e-05 2.58114051782251e-05
"IF" 0.000267816705563691 0.00025660184606459
"IG" 0.000147248256205095 0.000136318106418806
"IH" 3.25514285511241e-05 3.21128133041707e-05
"II" 6.9079039594116e-05 6.82965071764275e-05
"IJ" 0.000121104456937389 0.000114894028491283
"IK" 9.08025236336635e-05 8.82968190690276e-05
"IL" 0 0
"IM" 3.27916158396621e-05 3.21930618901718e-05
"IO" 0 0
"IP" 0 0
"IQ" 0.00130635684974022 0.00125656039454952
"IU" 4.56879778279725e-05 4.47274598622087e-05
"IX" 1.48425208537418e-05 1.47217911452603e-05
"IY" 3.10657413217852e-06 3.02479306678303e-06
"JA" 0.000223913959924857 0.000219202006631167
"JB" 0.000677736454699258 0.000645833659290152
"JI" 0.000389999173422132 0.000338903208872517
"JM" 0.000931513078990893 0.0007648007387784
"JO" 0.000570072358536098 0.000488943067103624
"JS" 0.000632555970680383 0.000523510465323362
"JU" 2.52042806950332e-06 2.48764195567208e-06
"JW" 0.000313645436207552 0.000283582475211852
"JY" 0.000179614711041116 0.000176224689979026
"KA" 2.22637812806127e-05 2.19803132888052e-05
"KI" 2.26442286709171e-05 2.20843178312823e-05
"KM" 0.00145615951682312 0.00138125258074182
"KU" 0.00171729735077029 0.00163806616724942
"KV" 0.000144755898162257 0.000142674334396215
"KY" 4.42013533116926e-05 4.39308921905792e-05
"LE" 3.87725923581259e-05 3.83579948204847e-05
"LI" 0.000108787082101417 9.14298989675221e-05
"LJ" 0.000525398315240285 0.000450831097782947
"LQ" 0.000435575934904173 0.000396683587524924
"MA" 5.62217563954139e-05 5.43515843533714e-05
"MC" 0.000269284316927547 0.000246824118696038
"ML" 0 0
"MM" 0.00362343293506549 0.00342364114614974
"MQ" 0.00229170684775917 0.00198583750283902
"MR" 0.000301040537815852 0.000278534389255082
"MU" 2.22637812806127e-05 2.19931829865655e-05
"MW" 1.26991133391487e-05 1.09523965269751e-05
"MY" 0.0144177669799364 0.0106018356283904
"NE" 0.00159580447505316 0.00144652005220639
"NI" 4.55956832420969e-05 4.42471697989808e-05
"NM" 0.000159123691559677 0.000147581563353116
"NN" 5.53925482212671e-05 5.39992178173271e-05
"NQ" 0.00178467819185967 0.0015394457960134
"NS" 2.75646815855205e-05 2.72006807322888e-05
"NU" 0.00273813026811987 0.00253834419022258
"OA" 1.9083241097668e-05 1.85627807424723e-05
"OE" 0.00118578294509394 0.00114029003158316
"OI" 4.30911895753794e-06 3.96060585105735e-06
"OM" 0.000865854856602125 0.000822149447646961
"OO" 3.94757734803239e-05 3.56647578973817e-05
"OP" 6.8885927915807e-05 6.51106592483167e-05
"OR" 0.00134065642156351 0.0011923348938827
"OT" 0.283057202455777 0.100394136551213
"OU" 0 0
"OX" 0.00148070416405344 0.00125646258240938
"OY" 0.284184019710066 0.112576138334789
"OZ" 0.000515898741636231 0.000442631293871906
"PA" 0.0143969236670602 0.0118582628398481
"PC" 0.00189203314268976 0.00178421554746918
