"Q" "C"
"AA" 0.000318150877504513 0.000308239943772858
"AC" 0.000307882958227287 0.000299835551277015
"AD" 0.000124300807955252 0.000122177078292229
"AE" 0 0
"AF" 3.45280022097921e-05 3.18448282550801e-05
"AH" 4.78080030597122e-05 4.65239535373638e-05
"AI" 0 0
"AM" 0 0
"AQ" 0 0
"AY" 0 0
"AZ" 0 0
"BA" 5.10126434836874e-05 4.85212843027921e-05
"BD" 0.000239878752194345 0.000233200294871226
"BF" 0.0147133242036302 0.0128420276549906
"BI" 0.00130795127769384 0.00122018100805993
"BK" 0 0
"BM" 0.00975977915814341 0.00801564628228725
"BP" 0.00581291629821859 0.00504615345895053
"BQ" 0.0606683660695729 0.0358520385382665
"BU" 0.000414336026517506 0.000412611621608858
"BV" 0.00176568806632063 0.00153273921481727
"CN" 0.00280648740456976 0.00247805852694476
"CO" 0.00013001692698137 0.000125384049599586
"CQ" 0.000380776352140986 0.000365141098591077
"CT" 0 0
"CU" 0.00108384177763655 0.00100116579318801
"DA" 0.000105938188598226 0.000101940439131327
"DB" 0.000425007138068536 0.000409687774011655
"DE" 0 0
"DI" 0.00404032980254292 0.00367576612893147
"DK" 7.71038846338967e-05 7.30834718601294e-05
"DM" 0.000585518686823845 0.000567026121113066
"DQ" 0.000193356812374836 0.000189314931027666
"DR" 0.000121475789592632 0.000116803226148955
"DS" 0 0
"DT" 0 0
"DW" 0 0
"DX" 0 0
"DY" 8.87862913966084e-05 8.74504102552731e-05
"EA" 0.000103584006629376 0.000101862087605378
"EC" 0.000207168013258753 0.000205509924201334
"EE" 0 0
"EI" 0 0
"EN" 0.00137665139026483 0.000887248789788958
"EO" 0.00532311871378884 0.00501896050654902
"EP" 0.00264526353484301 0.00250614541532559
"EQ" 0.00223681505413692 0.0019687880040768
"ER" 0.000667530484041894 0.000613593231536002
"ES" 0.00118497605452262 0.0011403120965163
"ET" 0.00496969264461262 0.0046527908239897
"EU" 0.0285463079629602 0.0225335031228035
"EV" 0.00305014648994033 0.00283119162299884
"EW" 0.00186441782016308 0.00177957557844265
"EX" 0.00243133441511085 0.00231070661516084
"FA" 8.87862913966084e-05 8.76284919550262e-05
"FE" 0.00102480501796847 0.000901787716674383
"FF" 6.22615853800903e-05 6.0050381216113e-05
"FI" 0 0
"FS" 0.000372902423865755 0.000305245465374532
"FU" 0.000444447288856526 0.000373599474492599
"FY" 0 0
"GA" 1.55376009944065e-05 1.52101687905601e-05
"GC" 1.59360010199041e-05 1.5767105814856e-05
"GM" 1.72640011048961e-05 1.56160741278939e-05
"GU" 0.000610503106741372 0.000590304476423552
"GY" 0.00340578746916007 0.00310736205973303
"HA" 0.0166028525466023 0.0143038546823365
"HB" 0.000654304380437343 0.000611673147627279
"HE" 0.000186451211932878 0.000169111293282041
"HF" 0.00262644958107979 0.00227907430406383
"HI" 0.00517441656265415 0.00444146651499617
"HL" 0.00191477607751049 0.0017385111722932
"HQ" 0 0
"HT" 0.000400334171574505 0.000383653582758493
"HY" 0 0
"IA" 0.000107664588708716 0.000102160285533184
"ID" 0 0
"IF" 0.000223673157172225 0.000216476136844041
"IG" 0 0
"IH" 3.27107389355926e-05 3.19932580479054e-05
"II" 0 0
"IJ" 0.000258960016573441 0.000244254141620085
"IK" 0.000351920022522881 0.000341893000313023
"IL" 0 0
"IM" 0.00021308709935186 0.000208049159254797
"IO" 0 0
"IP" 0 0
"IQ" 0.00134726835469261 0.00130898637177884
"IU" 0 0
"IX" 0 0
"IY" 0 0
"JA" 0.000493075448098182 0.000476228736138176
"JB" 0.00259036570437299 0.00231150874195914
"JI" 0.000424706417015193 0.000379185645207826
"JM" 0.001987724022529 0.00150005825300744
"JO" 0.00122259115825959 0.00105324202434083
"JS" 0.00930637062241423 0.00706829703039178
"JU" 0 0
"JW" 0.0010968395368644 0.000933880980055947
"JY" 0.000531731234030799 0.000521456395432671
"KA" 0 0
"KI" 0 0
"KM" 0.00178910277369602 0.00170414935564951
"KU" 0.00545303558289722 0.00484306804777673
"KV" 4.78080030597122e-05 4.64406962236927e-05
"KY" 0 0
"LE" 4.78080030597122e-05 4.6788795829415e-05
"LI" 0 0
"LJ" 0.000524369992011095 0.000473770013932626
"LQ" 0.000823701208230166 0.000737375446722914
"MA" 2.95954304655361e-05 2.87137051307879e-05
"MC" 6.90560044195843e-05 6.48053080509823e-05
"ML" 0 0
"MM" 0.0304322366459061 0.0242502192242394
"MQ" 0.00667320092099343 0.00560906218156169
"MR" 0.00285562726683397 0.00239563262207747
"MU" 0 0
"MW" 0 0
"MY" 0.00390079532585033 0.00336798089201707
"NE" 0.00226910869003902 0.0020341506416979
"NI" 0.000488538398360664 0.00047456739463466
"NM" 0.000732252193353275 0.000629872429743415
"NN" 0.000360291533010007 0.000348920712971195
"NQ" 0.00160294047167118 0.00140899262469397
"NS" 5.91908609310722e-05 5.84687290492221e-05
"NU" 0.00397307887629655 0.00360821313158222
"OA" 0 0
"OE" 0.00241227771335419 0.00214158921501171
"OI" 0 0
"OM" 0.00588702100217242 0.00541891471657889
"OO" 0.00088197745904396 0.000785797210611816
"OP" 0.000366243452011009 0.000346889204665
"OR" 0.00483692411908695 0.00391131820594347
"OT" 0.0205094596760186 0.0163414662022168
"OU" 8.87862913966084e-05 8.67751215396777e-05
"OX" 0.0199288618967351 0.0107699077836047
"OY" 0.045410651379692 0.0359252937963887
"OZ" 0.017017791005105 0.01032747393183
"PA" 0.31970917681001 0.161242080694062
"PC" 0.00454758660488756 0.00412284440094905
"PD" 0.012992054757944 0.00887016963942475
"PE" 0.00139826077520298 0.00132613493140576
"PF" 0.0245988655016001 0.0173748765336256
"PG" 0.0202158495119962 0.0139926016384269
"PH" 0.0059233011998705 0.00448169799819114
"PI" 0.000207168013258753 0.000202815794256745
"PJ" 0 0
"PK" 0 0
"PM" 0.000123169217966864 0.000121894785364109
"PN" 0.000279676817899316 0.00027418364083367
"PO" 0.000517519410433863 0.000493762435530247
"PQ" 7.76880049720323e-05 7.70679057080085e-05
"PS" 0.000410187148387711 0.000376147009010931
"PT" 0.000146669702356732 0.000133566046878785
"PU" 0 0
"PW" 0 0
"PY" 0.00437220951984 0.00401705618117499
"PZ" 2.95954304655361e-05 2.93973166703912e-05
"QA" 0.000194401356979502 0.000183116996603727
"QC" 0.00696814320959753 0.00504140716773828
"QD" 0.000964071147414839 0.000704055483883259
"QE" 0 0
"QF" 0 0
"QG" 0 0
"QH" 0 0
"QJ" 0 0
"QK" 0.0103672456609063 0.00741995618581279
"QQ" 0 0
"QU" 0 0
"RA" 0 0
"RB" 0 0
"RE" 0 0
"RO" 0.00109220630593865 0.00100524380480521
"RP" 0.00214126735198358 0.00188445616032275
"RQ" 0 0
"RT" 0.00156160174500216 0.00143157767191828
"RU" 0.00667703012254286 0.00599825473283576
"RX" 0.000431729964934335 0.000392527680437578
"RY" 0 0
"RZ" 0.00023425921499259 0.000215273363951033
