"Q" "C"
"AA" 0 0
"AC" 0 0
"AD" 0 0
"AE" 0 0
"AF" 0 0
"AH" 0 0
"AI" 0 0
"AM" 0 0
"AQ" 0 0
"AY" 0 0
"AZ" 0 0
"BA" 0 0
"BD" 0 0
"BF" 0.0626275065930238 0.0499188395284611
"BI" 0.00104493207941484 0.000908481126965725
"BK" 0 0
"BM" 0.0404090162710852 0.030640638348296
"BP" 0.00766283524904215 0.00661474978073592
"BQ" 0.049599442702891 0.0289555222782625
"BU" 0 0
"BV" 0 0
"CN" 0 0
"CO" 0 0
"CQ" 0 0
"CT" 0 0
"CU" 0 0
"DA" 0 0
"DB" 0 0
"DE" 0 0
"DI" 0 0
"DK" 0 0
"DM" 0 0
"DQ" 0 0
"DR" 0 0
"DS" 0 0
"DT" 0 0
"DW" 0 0
"DX" 0 0
"DY" 0 0
"EA" 0 0
"EC" 0 0
"EE" 0 0
"EI" 0 0
"EN" 0.0113300492610837 0.00669424065604375
"EO" 0 0
"EP" 0 0
"EQ" 0.0014367816091954 0.0013284525815528
"ER" 0 0
"ES" 0.00229885057471264 0.0022428746148566
"ET" 0 0
"EU" 0.036887346370105 0.029382981035994
"EV" 0 0
"EW" 0.00229885057471264 0.0022305619996696
"EX" 0.00229885057471264 0.00222586523942718
"FA" 0 0
"FE" 0.00431034482758621 0.00390762040480574
"FF" 0 0
"FI" 0 0
"FS" 0 0
"FU" 0 0
"FY" 0 0
"GA" 0 0
"GC" 0 0
"GM" 0 0
"GU" 0 0
"GY" 0 0
"HA" 0 0
"HB" 0 0
"HE" 0 0
"HF" 0 0
"HI" 0 0
"HL" 0 0
"HQ" 0 0
"HT" 0 0
"HY" 0 0
"IA" 0 0
"ID" 0 0
"IF" 0 0
"IG" 0 0
"IH" 0 0
"II" 0 0
"IJ" 0 0
"IK" 0 0
"IL" 0 0
"IM" 0 0
"IO" 0 0
"IP" 0 0
"IQ" 0 0
"IU" 0 0
"IX" 0 0
"IY" 0 0
"JA" 0 0
"JB" 0.00651340996168582 0.00575093112660946
"JI" 0 0
"JM" 0.00391849529780564 0.00304642079137628
"JO" 0 0
"JS" 0 0
"JU" 0 0
"JW" 0.00478927203065134 0.00393253966102452
"JY" 0 0
"KA" 0.00229885057471264 0.00223253603147201
"KI" 0 0
"KM" 0 0
"KU" 0.00431034482758621 0.00374971627679693
"KV" 0 0
"KY" 0 0
"LE" 0 0
"LI" 0 0
"LJ" 0 0
"LQ" 0 0
"MA" 0 0
"MC" 0 0
"ML" 0 0
"MM" 0.0428894859929343 0.0322679171052935
"MQ" 0.0014367816091954 0.00125129738275579
"MR" 0 0
"MU" 0 0
"MW" 0 0
"MY" 0 0
"NE" 0 0
"NI" 0 0
"NM" 0 0
"NN" 0 0
"NQ" 0 0
"NS" 0 0
"NU" 0 0
"OA" 0 0
"OE" 0 0
"OI" 0 0
"OM" 0 0
"OO" 0 0
"OP" 0 0
"OR" 0 0
"OT" 0.00229885057471264 0.00204462379281588
"OU" 0 0
"OX" 0.00777230432402846 0.00397221189537853
"OY" 0.00613026819923372 0.0053635363271094
"OZ" 0.0338582873065632 0.0185818059316929
"PA" 0.205351545006717 0.0977690351180171
"PC" 0 0
"PD" 0.307006020799124 0.141165950580981
"PE" 0 0
"PF" 0.0411330049261084 0.0263685727181836
"PG" 0 0
"PH" 0 0
"PI" 0 0
"PJ" 0 0
"PK" 0 0
"PM" 0 0
"PN" 0 0
"PO" 0 0
"PQ" 0 0
"PS" 0 0
"PT" 0 0
"PU" 0 0
"PW" 0 0
"PY" 0 0
"PZ" 0 0
"QA" 0 0
"QC" 0.018007662835249 0.0133758076349725
"QD" 0 0
"QE" 0 0
"QF" 0 0
"QG" 0 0
"QH" 0 0
"QJ" 0 0
"QK" 0 0
"QQ" 0 0
"QU" 0 0
"RA" 0 0
"RB" 0 0
"RE" 0 0
"RO" 0.00229885057471264 0.00216411312765385
"RP" 0.00949644225506294 0.0086812142871039
"RQ" 0 0
"RT" 0 0
"RU" 0 0
"RX" 0 0
"RY" 0 0
"RZ" 0 0
"SA" 0 0
"SD" 0 0
"SI" 0 0
"SR" 0 0
"SU" 0 0
"SY" 0 0
"TA" 0 0
"TC" 0 0
"TD" 0 0
"TE" 0 0
"TI" 0 0
"TM" 0 0
"TQ" 0 0
"TU" 0 0
"UA" 0 0
"UB" 0 0
"UE" 0 0
"UF" 0 0
"UH" 0 0
"UI" 0 0
"UK" 0 0
"UM" 0 0
"UN" 0 0
"UP" 0 0
"UQ" 0 0
"UR" 0 0
"UT" 0.00229885057471264 0.00155637910140945
"UU" 0.0228516694033935 0.0190329476647857
"UY" 0 0
"VE" 0.00229885057471264 0.00215624493700523
"VI" 0 0
"VJ" 0 0
"VM" 0 0
"VP" 0 0
"VS" 0 0
"VX" 0 0
"VY" 0 0
"WC" 0.00229885057471264 0.00217206760751777
"WE" 0 0
"WF" 0 0
"WH" 0 0
"WM" 0.000821018062397373 0.000692362313600268
"WQ" 0 0
"WU" 0.0128091257401602 0.0101494636214014
"WV" 0 0
"WY" 0 0
"XA" 0.00307881773399015 0.00241440839545632
"XE" 0 0
"XQ" 0 0
"XW" 0 0
"XY" 0 0
"YA" 0 0
"YE" 0 0
"YG" 0.00948275862068966 0.00763334958634725
"YI" 0.00941434044882321 0.00786852991816458
"YO" 0 0
"YP" 0 0
"YQ" 0 0
"YR" 0 0
"YU" 0 0
"YY" 0.00651340996168582 0.00574677225737123
"ZA" 0 0
"ZC" 0.00114942528735632 0.00112785839717206
"ZD" 0 0
"ZE" 0 0
"ZK" 0.00526819923371648 0.00446933131527195
"ZM" 0 0
"ZQ" 0 0
"ZR" 0 0
