"Q" "C"
"AA" 0.000805170795528926 0.000679768243581771
"AC" 0.0287502608201028 0.0184286933185808
"AD" 0.000136544346313195 0.00013431742827022
"AE" 0.000319148274981411 0.000297441007806192
"AF" 0.000313724508990866 0.00028044019832999
"AH" 0.000402049946486693 0.000383253205319992
"AI" 0.00187222164650659 0.00149264315520016
"AM" 0.000167583195999565 0.000162989985970015
"AQ" 1.58731129280021e-05 1.5668823968523e-05
"AY" 9.66145832934808e-06 9.23445517535058e-06
"AZ" 4.43513067003737e-06 4.32378447177543e-06
"BA" 0.000356036934930863 0.000348597112055464
"BD" 9.77380799939403e-05 9.48301433529932e-05
"BF" 0.000174959682738764 0.000169749972302592
"BI" 1.07541409817619e-05 1.05515992489829e-05
"BK" 1.9998182461986e-05 1.73645659660034e-05
"BM" 6.97858685568915e-05 6.54827958535723e-05
"BP" 5.68802914285495e-06 5.05211962960116e-06
"BQ" 1.19461564953606e-05 1.07444890505558e-05
"BU" 0.000156426878414365 0.000154479330424518
"BV" 6.50157197896871e-05 6.26023141142547e-05
"CN" 0.000276730222854623 0.000266547902847424
"CO" 0.00119704737663327 0.00110963551791852
"CQ" 0.00126397478088637 0.00120475715417111
"CT" 0 0
"CU" 0.00113495030260855 0.00105859839941722
"DA" 0.000342706406264644 0.00032256949120007
"DB" 0.00161400712060562 0.00150948640965387
"DE" 0.000115788961952962 0.000112753741767917
"DI" 0.0204049032671146 0.0160012141085968
"DK" 0.0083770017962688 0.00759069543877864
"DM" 0.00061302260544162 0.000596420906218146
"DQ" 0.000166628914601916 0.000163912358891329
"DR" 0.000259456838818768 0.000249635920613167
"DS" 0.000209571614474242 0.000204581401837522
"DT" 0.00110286290338875 0.000982673443560967
"DW" 0.000273042040176781 0.000255375382305393
"DX" 8.83793095773672e-05 8.42192974108872e-05
"DY" 0.000624349288017834 0.00057497950477308
"EA" 0.000668408884688041 0.000627668144472983
"EC" 7.47475190722613e-05 7.18127409196789e-05
"EE" 7.62569826561647e-05 7.38699959683906e-05
"EI" 0.000746460290194022 0.000682001750205597
"EN" 0 0
"EO" 0 0
"EP" 0.0522425016373557 0.0311288296150146
"EQ" 0.000132118837217907 0.000128529364322964
