"Q" "C"
"AA" 0 0
"AC" 0 0
"AD" 0 0
"AE" 0 0
"AF" 0 0
"AH" 0 0
"AI" 0 0
"AM" 0 0
"AQ" 0 0
"AY" 0 0
"AZ" 0 0
"BA" 0 0
"BD" 0.00130718954248366 0.00127278187952701
"BF" 0.00684458968772694 0.00608035228474766
"BI" 0 0
"BK" 0 0
"BM" 0 0
"BP" 0.00108932461873638 0.000945322878368591
"BQ" 0.0773472351903724 0.0428073327579841
"BU" 0 0
"BV" 0 0
"CN" 0 0
"CO" 0 0
"CQ" 0 0
"CT" 0 0
"CU" 0.00572673513849984 0.00543857726405213
"DA" 0 0
"DB" 0 0
"DE" 0 0
"DI" 0 0
"DK" 0 0
"DM" 0.00163398692810458 0.00159833251660418
"DQ" 0 0
"DR" 0 0
"DS" 0 0
"DT" 0 0
"DW" 0 0
"DX" 0 0
"DY" 0 0
"EA" 0 0
"EC" 0 0
"EE" 0 0
"EI" 0 0
"EN" 0 0
"EO" 0 0
"EP" 0 0
"EQ" 0 0
"ER" 0 0
"ES" 0 0
"ET" 0 0
"EU" 0.00493827160493827 0.00421390833193612
"EV" 0 0
"EW" 0 0
"EX" 0 0
"FA" 0 0
"FE" 0 0
"FF" 0 0
"FI" 0 0
"FS" 0 0
"FU" 0 0
"FY" 0 0
"GA" 0 0
"GC" 0 0
"GM" 0 0
"GU" 0.00130718954248366 0.00126823815202155
"GY" 0.00217864923747277 0.00200044229535405
"HA" 0.00108932461873638 0.00100260766757567
"HB" 0 0
"HE" 0 0
"HF" 0.00239651416122004 0.00217408450875028
"HI" 0.00108932461873638 0.00100350597117916
"HL" 0.00130718954248366 0.00122715862325411
"HQ" 0 0
"HT" 0 0
"HY" 0 0
"IA" 0 0
"ID" 0 0
"IF" 0 0
"IG" 0 0
"IH" 0 0
"II" 0 0
"IJ" 0 0
"IK" 0 0
"IL" 0 0
"IM" 0 0
"IO" 0 0
"IP" 0 0
"IQ" 0 0
"IU" 0 0
"IX" 0 0
"IY" 0 0
"JA" 0.00130718954248366 0.00126980819826719
"JB" 0.000933706816059757 0.000844322320084886
"JI" 0 0
"JM" 0.00290486564996369 0.00233754354274619
"JO" 0 0
"JS" 0.00599128540305011 0.00473739110863185
"JU" 0 0
"JW" 0.00435729847494553 0.00368208316832495
"JY" 0 0
"KA" 0 0
"KI" 0 0
"KM" 0 0
"KU" 0.00556333644568939 0.00499102177371265
"KV" 0 0
"KY" 0 0
"LE" 0 0
"LI" 0 0
"LJ" 0 0
"LQ" 0 0
"MA" 0 0
"MC" 0 0
"ML" 0 0
"MM" 0.121109554933084 0.0783169615914709
"MQ" 0.0100217864923747 0.00857981544118169
"MR" 0.00108932461873638 0.000857820903340245
"MU" 0 0
"MW" 0 0
"MY" 0.00108932461873638 0.00100663187408088
"NE" 0 0
"NI" 0 0
"NM" 0 0
"NN" 0 0
"NQ" 0 0
"NS" 0 0
"NU" 0 0
"OA" 0 0
"OE" 0 0
"OI" 0 0
"OM" 0 0
"OO" 0.00108932461873638 0.0010047624484265
"OP" 0 0
"OR" 0 0
"OT" 0 0
"OU" 0 0
"OX" 0.0323321921361137 0.0149079809642937
"OY" 0.00572673513849984 0.00507742434854903
"OZ" 0.0214052287581699 0.011976848990868
"PA" 0.199631704533665 0.0911909426249115
"PC" 0 0
"PD" 0.0122626828509181 0.00743047917961644
"PE" 0 0
"PF" 0.363409067330636 0.149676588474813
"PG" 0.00261437908496732 0.00171728622411497
"PH" 0 0
"PI" 0 0
"PJ" 0 0
"PK" 0 0
"PM" 0 0
"PN" 0 0
"PO" 0 0
"PQ" 0 0
"PS" 0 0
"PT" 0 0
"PU" 0 0
"PW" 0 0
"PY" 0 0
"PZ" 0 0
"QA" 0 0
"QC" 0.00420168067226891 0.00313488242308407
"QD" 0 0
"QE" 0 0
"QF" 0 0
"QG" 0 0
"QH" 0 0
"QJ" 0 0
"QK" 0 0
"QQ" 0 0
"QU" 0 0
"RA" 0 0
"RB" 0 0
"RE" 0 0
"RO" 0 0
"RP" 0 0
"RQ" 0 0
"RT" 0 0
"RU" 0 0
"RX" 0 0
"RY" 0 0
"RZ" 0 0
"SA" 0 0
"SD" 0 0
"SI" 0 0
"SR" 0 0
"SU" 0 0
"SY" 0 0
"TA" 0 0
"TC" 0 0
"TD" 0 0
"TE" 0 0
"TI" 0 0
"TM" 0 0
"TQ" 0 0
"TU" 0 0
"UA" 0.00326797385620915 0.00292653417233486
"UB" 0 0
"UE" 0 0
"UF" 0 0
"UH" 0 0
"UI" 0 0
"UK" 0 0
"UM" 0 0
"UN" 0 0
"UP" 0 0
"UQ" 0 0
"UR" 0 0
"UT" 0.0160130718954248 0.0100641108601631
"UU" 0.0161038489469862 0.0140277494781139
"UY" 0 0
"VE" 0 0
"VI" 0.00326797385620915 0.00299908575272891
"VJ" 0 0
"VM" 0 0
"VP" 0 0
"VS" 0 0
"VX" 0.00108932461873638 0.00100592843886337
"VY" 0 0
"WC" 0 0
"WE" 0 0
"WF" 0 0
"WH" 0 0
"WM" 0.00108932461873638 0.000932634004419355
"WQ" 0.000933706816059757 0.00084448084768579
"WU" 0.0193536673928831 0.0158285625664716
"WV" 0 0
"WY" 0 0
"XA" 0.00814140471003216 0.0065777946583882
"XE" 0 0
"XQ" 0 0
"XW" 0 0
"XY" 0 0
"YA" 0 0
"YE" 0 0
"YG" 0.00529100529100529 0.00427785302807989
"YI" 0.00729847494553377 0.0060802122320175
"YO" 0 0
"YP" 0 0
"YQ" 0 0
"YR" 0 0
"YU" 0 0
"YY" 0.00108932461873638 0.000984816739407526
"ZA" 0 0
"ZC" 0 0
"ZD" 0 0
"ZE" 0 0
"ZK" 0.0117647058823529 0.0101012041472523
"ZM" 0 0
"ZQ" 0 0
"ZR" 0 0
