"Q" "C"
"AA" 0 0
"AC" 0 0
"AD" 0 0
"AE" 0 0
"AF" 0 0
"AH" 0 0
"AI" 0 0
"AM" 0 0
"AQ" 0 0
"AY" 0 0
"AZ" 0 0
"BA" 0.00131233595800525 0.00127859179893587
"BD" 0 0
"BF" 0.000984251968503937 0.00089719194571152
"BI" 0 0
"BK" 0.00078740157480315 0.000736236713904828
"BM" 0.00242277407631738 0.00211998485078617
"BP" 0.0031496062992126 0.00272220062221741
"BQ" 0.0686530074428955 0.0415967980794492
"BU" 0 0
"BV" 0 0
"CN" 0 0
"CO" 0 0
"CQ" 0.00131233595800525 0.00127829744964987
"CT" 0 0
"CU" 0 0
"DA" 0 0
"DB" 0 0
"DE" 0.00459317585301837 0.00450924123647336
"DI" 0.00224971878515186 0.00214468774101824
"DK" 0 0
"DM" 0 0
"DQ" 0 0
"DR" 0 0
"DS" 0 0
"DT" 0 0
"DW" 0 0
"DX" 0 0
"DY" 0 0
"EA" 0 0
"EC" 0 0
"EE" 0 0
"EI" 0 0
"EN" 0.00243719535058118 0.0017029812211965
"EO" 0.00288713910761155 0.00269511142950618
"EP" 0 0
"EQ" 0 0
"ER" 0 0
"ES" 0 0
"ET" 0.00131233595800525 0.00127418087797039
"EU" 0.00255905511811024 0.00225656212037923
"EV" 0 0
"EW" 0 0
"EX" 0 0
"FA" 0 0
"FE" 0 0
"FF" 0 0
"FI" 0 0
"FS" 0 0
"FU" 0 0
"FY" 0 0
"GA" 0 0
"GC" 0 0
"GM" 0 0
"GU" 0 0
"GY" 0 0
"HA" 0.0026246719160105 0.00242073599702018
"HB" 0 0
"HE" 0 0
"HF" 0 0
"HI" 0 0
"HL" 0 0
"HQ" 0 0
"HT" 0 0
"HY" 0 0
"IA" 0 0
"ID" 0 0
"IF" 0 0
"IG" 0 0
"IH" 0 0
"II" 0 0
"IJ" 0 0
"IK" 0 0
"IL" 0 0
"IM" 0 0
"IO" 0 0
"IP" 0 0
"IQ" 0 0
"IU" 0 0
"IX" 0 0
"IY" 0 0
"JA" 0 0
"JB" 0 0
"JI" 0 0
"JM" 0.00158994548758328 0.00136853076406582
"JO" 0 0
"JS" 0.0028554123042312 0.0023428517936603
"JU" 0 0
"JW" 0 0
"JY" 0 0
"KA" 0 0
"KI" 0 0
"KM" 0.00131233595800525 0.00127467622862986
"KU" 0.00196850393700787 0.00183131259500576
"KV" 0 0
"KY" 0 0
"LE" 0 0
"LI" 0 0
"LJ" 0 0
"LQ" 0 0
"MA" 0 0
"MC" 0 0
"ML" 0 0
"MM" 0.0476596675415573 0.0357410566410509
"MQ" 0.00426509186351706 0.00377449366555731
"MR" 0 0
"MU" 0 0
"MW" 0 0
"MY" 0 0
"NE" 0 0
"NI" 0 0
"NM" 0 0
"NN" 0 0
"NQ" 0 0
"NS" 0 0
"NU" 0.00131233595800525 0.00124804047460246
"OA" 0 0
"OE" 0 0
"OI" 0 0
"OM" 0 0
"OO" 0 0
"OP" 0 0
"OR" 0 0
"OT" 0.011261383318988 0.00960607840579859
"OU" 0 0
"OX" 0.0187763461385509 0.00846972161821583
"OY" 0.0394563786814098 0.0324541156142153
"OZ" 0.00638670166229221 0.00390810402820355
"PA" 0.204748172350742 0.0863738843642776
"PC" 0 0
"PD" 0.000605693519079346 0.000391178501195954
"PE" 0 0
"PF" 0.00774278215223097 0.0050221880971997
"PG" 0.337326372572954 0.136407698176108
"PH" 0 0
"PI" 0 0
"PJ" 0 0
"PK" 0 0
"PM" 0 0
"PN" 0 0
"PO" 0 0
"PQ" 0 0
"PS" 0 0
"PT" 0 0
"PU" 0 0
"PW" 0 0
"PY" 0.00131233595800525 0.0012653264631278
"PZ" 0 0
"QA" 0 0
"QC" 0 0
"QD" 0 0
"QE" 0 0
"QF" 0 0
"QG" 0 0
"QH" 0 0
"QJ" 0 0
"QK" 0.0760862129075971 0.0409981975547687
"QQ" 0 0
"QU" 0 0
"RA" 0 0
"RB" 0 0
"RE" 0 0
"RO" 0.00131233595800525 0.00125289110489778
"RP" 0 0
"RQ" 0 0
"RT" 0.0026246719160105 0.00251483977499955
"RU" 0.0026246719160105 0.00248474114862301
"RX" 0 0
"RY" 0 0
"RZ" 0 0
"SA" 0 0
"SD" 0 0
"SI" 0 0
"SR" 0 0
"SU" 0 0
"SY" 0 0
"TA" 0 0
"TC" 0 0
"TD" 0 0
"TE" 0.00196850393700787 0.00193987081911308
"TI" 0 0
"TM" 0 0
"TQ" 0 0
"TU" 0 0
"UA" 0.00989620615604868 0.00882065754979402
"UB" 0 0
"UE" 0 0
"UF" 0 0
"UH" 0 0
"UI" 0.00172675783948059 0.00171187268408726
"UK" 0 0
"UM" 0 0
"UN" 0 0
"UP" 0 0
"UQ" 0 0
"UR" 0 0
"UT" 0.0320244060401541 0.018589299655393
"UU" 0.00688976377952756 0.00631911048632493
"UY" 0 0
"VE" 0 0
"VI" 0 0
"VJ" 0 0
"VM" 0 0
"VP" 0 0
"VS" 0 0
"VX" 0 0
"VY" 0 0
"WC" 0 0
"WE" 0 0
"WF" 0 0
"WH" 0 0
"WM" 0.000984251968503937 0.000884213032637486
"WQ" 0 0
"WU" 0.00776465441819772 0.00675530597904274
"WV" 0 0
"WY" 0 0
"XA" 0.00196850393700787 0.00169262607974406
"XE" 0 0
"XQ" 0 0
"XW" 0.0015748031496063 0.00153954109675209
"XY" 0 0
"YA" 0 0
"YE" 0 0
"YG" 0.0641155938503638 0.0446390619555143
"YI" 0 0
"YO" 0 0
"YP" 0 0
"YQ" 0 0
"YR" 0 0
"YU" 0 0
"YY" 0 0
"ZA" 0 0
"ZC" 0 0
"ZD" 0 0
"ZE" 0 0
"ZK" 0.00257419745608722 0.00232928285838521
"ZM" 0 0
"ZQ" 0 0
"ZR" 0 0
