"Q" "C"
"AA" 0.00245098039215686 0.00237314995031268
"AC" 0 0
"AD" 0 0
"AE" 0 0
"AF" 0 0
"AH" 0 0
"AI" 0 0
"AM" 0 0
"AQ" 0 0
"AY" 0 0
"AZ" 0 0
"BA" 0 0
"BD" 0.000525210084033613 0.000513822320846294
"BF" 0 0
"BI" 0 0
"BK" 0.000919117647058824 0.000855336566841032
"BM" 0.0111694677871148 0.00944150276866561
"BP" 0.00330882352941176 0.0029367731752554
"BQ" 0.0419292717086835 0.0268432851376785
"BU" 0.000525210084033613 0.00052341621407175
"BV" 0.000919117647058824 0.000821150487368789
"CN" 0.000919117647058824 0.000834690946249714
"CO" 0 0
"CQ" 0 0
"CT" 0 0
"CU" 0.00735294117647059 0.00692097985208307
"DA" 0 0
"DB" 0 0
"DE" 0 0
"DI" 0 0
"DK" 0 0
"DM" 0.00245098039215686 0.00239318268864603
"DQ" 0 0
"DR" 0 0
"DS" 0 0
"DT" 0 0
"DW" 0 0
"DX" 0 0
"DY" 0 0
"EA" 0 0
"EC" 0 0
"EE" 0 0
"EI" 0 0
"EN" 0 0
"EO" 0 0
"EP" 0 0
"EQ" 0 0
"ER" 0 0
"ES" 0 0
"ET" 0.00318627450980392 0.00307006747051546
"EU" 0.0100752801120448 0.00851463252711377
"EV" 0.00134803921568627 0.00128445110560192
"EW" 0 0
"EX" 0.000735294117647059 0.000714619770955741
"FA" 0 0
"FE" 0 0
"FF" 0 0
"FI" 0 0
"FS" 0 0
"FU" 0.0100490196078431 0.00874725699668206
"FY" 0 0
"GA" 0 0
"GC" 0 0
"GM" 0 0
"GU" 0.000525210084033613 0.000511746317827498
"GY" 0.00301995798319328 0.00280380170279072
"HA" 0 0
"HB" 0 0
"HE" 0 0
"HF" 0 0
"HI" 0.00147058823529412 0.00130981072604376
"HL" 0 0
"HQ" 0 0
"HT" 0 0
"HY" 0 0
"IA" 0 0
"ID" 0 0
"IF" 0 0
"IG" 0 0
"IH" 0 0
"II" 0 0
"IJ" 0 0
"IK" 0 0
"IL" 0 0
"IM" 0 0
"IO" 0 0
"IP" 0 0
"IQ" 0 0
"IU" 0 0
"IX" 0 0
"IY" 0 0
"JA" 0 0
"JB" 0.00367647058823529 0.0033593175865328
"JI" 0 0
"JM" 0.00943627450980392 0.00767159942719678
"JO" 0 0
"JS" 0.00157563025210084 0.00129361474095345
"JU" 0 0
"JW" 0.00245098039215686 0.00211951016019608
"JY" 0 0
"KA" 0 0
"KI" 0 0
"KM" 0.00183823529411765 0.00177209229954006
"KU" 0.00428921568627451 0.00389551865939906
"KV" 0 0
"KY" 0 0
"LE" 0 0
"LI" 0 0
"LJ" 0 0
"LQ" 0 0
"MA" 0 0
"MC" 0 0
"ML" 0 0
"MM" 0.0548494397759104 0.0434695712414274
"MQ" 0 0
"MR" 0 0
"MU" 0 0
"MW" 0 0
"MY" 0 0
"NE" 0.000919117647058824 0.000856915035825945
"NI" 0 0
"NM" 0 0
"NN" 0 0
"NQ" 0 0
