"Q" "C"
"AA" 0.00116061261125143 0.00107367070566106
"AC" 0.000858767042040123 0.000810275406235894
"AD" 0.000286506644098201 0.000262448507941203
"AE" 0.0236120479759976 0.0156125832273696
"AF" 0.000108633283717183 0.000102834638675264
"AH" 0.00484926302818735 0.00362916237760391
"AI" 0.000105101421312198 9.54432072216578e-05
"AM" 0.00691645289316612 0.00557015914569517
"AQ" 0.000134315477713292 0.000129114744302404
"AY" 5.15746027802693e-05 4.49326442026608e-05
"AZ" 0 0
"BA" 1.75204730332831e-05 1.70867991372127e-05
"BD" 0.000147155931054377 0.000124388971524789
"BF" 0.000156722300545527 0.000148231634011963
"BI" 0.00040463294526346 0.000386409250721065
"BK" 5.2766051988447e-05 4.54934199129229e-05
"BM" 0 0
"BP" 0.000193964434800535 0.000171273168295375
"BQ" 9.42984281889349e-05 8.9797418609379e-05
"BU" 0.000109849471509524 0.000108837961225512
"BV" 2.23014414305239e-05 2.15665267792956e-05
"CN" 3.58329019211396e-05 3.39776011907889e-05
"CO" 0.00316103182657637 0.0023745796888924
"CQ" 0.0254234240778146 0.0198269029066059
"CT" 7.91298008457456e-06 6.61870197325289e-06
"CU" 0.000955656986487472 0.000745479737164113
"DA" 0.00300205403096562 0.00229276635626484
"DB" 0.047334307545977 0.0326797373534876
"DE" 0.0109292394781821 0.00874288583366505
"DI" 0.000958257060758711 0.000945432772873853
"DK" 2.16001382408847e-05 2.14456685498038e-05
"DM" 0.000267107830423517 0.000244770453724912
"DQ" 6.50696205766238e-05 6.2894506469443e-05
"DR" 0.00208958781431498 0.00173280657752273
"DS" 1.72015853272378e-05 1.64999742183125e-05
"DT" 0.00173939403325264 0.00142697218523308
"DW" 0.0243738293797923 0.0150577090933355
"DX" 0.00211201557494271 0.00162615121262504
"DY" 0.0196737442434454 0.012898192976236
"EA" 0.00938582849988293 0.00736940116559686
"EC" 0.00096544323745861 0.000758200746978116
"EE" 0.0219371455359294 0.0167730406049989
"EI" 0.0285156685793451 0.0187060651946203
"EN" 0 0
"EO" 0 0
"EP" 0.000914459852725479 0.000871725625994156
"EQ" 1.38858031548545e-05 1.37010100057665e-05
"ER" 0.000137842310762217 0.000131976486493632
"ES" 3.59564333297295e-05 3.46416723028579e-05
"ET" 0.000119994850970999 0.000113487947549509
"EU" 8.60919795600977e-05 8.50402563274649e-05
"EV" 0.0017364710244033 0.00143482433927083
"EW" 0.000203658241385258 0.000197061117340919
"EX" 0.000176627961997041 0.000169821661628721
"FA" 0.00594948866535411 0.00507931505960157
"FE" 1.76728403789057e-05 1.75651039476768e-05
"FF" 2.70001728011059e-06 2.64838454386812e-06
"FI" 0.00100363495432016 0.000743120804232837
"FS" 1.08604047021208e-06 1.05935138974912e-06
"FU" 0 0
"FY" 0.000100976189626976 9.80036906616499e-05
"GA" 0.000314459689278218 0.00029733783243378
"GC" 0.000625606496245726 0.00059821102196988
"GM" 4.56548376455064e-05 4.4343110269141e-05
"GU" 0.00206196896548978 0.0017195176817662
"GY" 0.00092095176523285 0.000901628564867249
"HA" 2.76117962584607e-05 2.73238144603429e-05
"HB" 0.000188660408210367 0.000179195475513251
"HE" 0 0
"HF" 4.93147771530353e-05 4.80273550058005e-05
"HI" 3.38089120292109e-05 3.35876488227486e-05
"HL" 3.59105627063038e-05 3.50431819424132e-05
"HQ" 0.000829570537321331 0.00060229589160165
"HT" 0.00035729584927176 0.000301136216775796
"HY" 0.000145428026677493 0.000126033327074738
"IA" 0.000261792410602272 0.000233763550308445
"ID" 0.0255166797395712 0.0174769124860936
"IF" 0.00239496618630513 0.00182033014583822
"IG" 0.00213158457014704 0.00176214075243459
"IH" 0.0101606032298636 0.0072990669004154
"II" 0.0340668811952371 0.0214771768538688
"IJ" 0.00192746034050498 0.0017928677446828
"IK" 0.00577097855592454 0.0048919892534313
"IL" 0 0
"IM" 0.00663209056130085 0.00520134547385769
"IO" 0 0
"IP" 9.2292843980883e-05 7.34198308711731e-05
"IQ" 0.00155549509564781 0.00142908270355414
"IU" 0.00499967225454142 0.00416003436218104
"IX" 7.88173265033405e-05 7.42480251507456e-05
"IY" 0.0018013454305852 0.00154258846010161
"JA" 0.0163334957556794 0.0121925481727241
"JB" 0.000510459436475123 0.000447842950287903
"JI" 0.000216627225338045 0.000211561116142688
"JM" 0 0
"JO" 5.7176836519989e-06 5.67663123562441e-06
"JS" 7.47697092953703e-06 7.42995670892157e-06
"JU" 8.91276274910361e-05 8.21073047057691e-05
"JW" 0 0
"JY" 0.0125964166744144 0.00990155396439057
"KA" 0.116374927676554 0.0840777335419889
"KI" 2.27180904679933e-05 2.17113596014152e-05
"KM" 0.000795577707532175 0.00064543950246397
"KU" 1.79260674241475e-05 1.68199195422035e-05
"KV" 0.000192303042395308 0.000173931428775262
"KY" 0 0
"LE" 0.00069610830029191 0.000635974144128749
"LI" 2.10517507843248e-05 1.94719594415409e-05
"LJ" 1.04359141722819e-05 1.02028094710894e-05
"LQ" 0 0
"MA" 0.000176519233724358 0.000162454132606411
"MC" 4.70146547217804e-05 3.65220561272963e-05
"ML" 0 0
"MM" 0 0
"MQ" 5.38341906926666e-05 5.02126721748244e-05
"MR" 0 0
"MU" 0.000339042654590856 0.000280037404102691
"MW" 1.76728403789057e-05 1.72661103424656e-05
"MY" 3.00178391729942e-05 2.96166185320076e-05
"NE" 0.000702710644299271 0.000659698838754523
"NI" 0.000413717759784338 0.000378787494315475
"NM" 1.21500777604977e-05 1.20133156194989e-05
"NN" 0.000128094012930489 0.000119154253645588
"NQ" 5.54869199960569e-05 5.4940042466818e-05
"NS" 0.00184652781744979 0.00126930088000612
"NU" 0.000575106982738483 0.000562876918826408
"OA" 0.00280896482172775 0.00226390518229662
"OE" 0 0
"OI" 0.000243587725964668 0.000207398123595322
"OM" 3.88802488335925e-05 3.84815427013152e-05
"OO" 1.49539418590741e-05 1.4442985435956e-05
"OP" 6.73952879586826e-05 5.97179821920545e-05
"OR" 0 0
"OT" 0 0
"OU" 7.98974231197062e-05 6.63469303815448e-05
"OX" 1.65026523062787e-05 1.63773998765183e-05
"OY" 0 0
"OZ" 0 0
"PA" 4.86003110419907e-05 4.83474520463386e-05
"PC" 0.000807954284456186 0.000796113518416488
"PD" 0 0
"PE" 0.000807464085608392 0.00077335092093392
"PF" 0 0
"PG" 0 0
"PH" 0 0
"PI" 0.000381052173534409 0.000333272536953726
"PJ" 0.268352889472849 0.135053915167128
"PK" 0.000814798021235815 0.000620095543250849
"PM" 0.0269521498044263 0.0186898382360848
"PN" 0.000412745925945672 0.000398756255037073
"PO" 0.000405091412970565 0.000353001582527046
"PQ" 1.62001036806636e-05 1.60566330142698e-05
"PS" 0.000119530159834175 0.000116785630431936
"PT" 2.7771606309709e-05 2.60714710570086e-05
"PU" 0.00831766785829983 0.00710335270528677
"PW" 7.80328732757792e-05 6.75643561556384e-05
"PY" 0.000131322096732738 0.000123525089572129
"PZ" 0.00111328476359761 0.000882005532136151
"QA" 0.000269360834903998 0.000223890187456619
"QC" 0 0
"QD" 0 0
"QE" 0.00387156737520914 0.00288584405878466
"QF" 0.00197408474508363 0.00145175227368486
"QG" 0.0041463599123782 0.0031015568488642
"QH" 0.012432910490497 0.00893956174874989
"QJ" 0.0316690401942262 0.0179407300071843
"QK" 0 0
"QQ" 0.000773501234849933 0.000706230321634795
"QU" 0.00559432435965801 0.00467927698009959
"RA" 0.000485946858184538 0.000358771990456407
"RB" 5.13737074154641e-05 4.8716758543017e-05
"RE" 0.000696397995287163 0.000624752527259642
"RO" 0.00130527170020952 0.0009537540640156
"RP" 0 0
