"Q" "C"
"AA" 0.00130115834285093 0.00112821528578686
"AC" 0.000282231145637288 0.000250498845801621
"AD" 1.2766344089956e-05 1.25082470495242e-05
"AE" 0.0001264982169379 0.000109300006678785
"AF" 0 0
"AH" 4.46075654392183e-05 4.14394718774475e-05
"AI" 0.000437285507565695 0.000361301023608787
"AM" 1.41030705262696e-05 1.36523378285513e-05
"AQ" 0 0
"AY" 2.02989109405521e-05 1.90621693789242e-05
"AZ" 0 0
"BA" 4.57872154324561e-06 4.51688531193768e-06
"BD" 2.27409172776393e-06 2.22503013662679e-06
"BF" 8.50632180741031e-05 8.32446427721468e-05
"BI" 0.000303008694733178 0.000291719898761346
"BK" 1.05961845505572e-05 9.01797051487034e-06
"BM" 4.8008603141683e-06 4.77015510649609e-06
"BP" 8.13479864777124e-05 6.88071188614208e-05
"BQ" 8.37545982668247e-06 8.1307590322867e-06
"BU" 0.00020282624275856 0.000198435374158349
"BV" 0 0
"CN" 4.32077428275147e-06 4.24295727875896e-06
"CO" 0.000777224528533076 0.000652479543119822
"CQ" 0.0014776942025697 0.00134735220723548
"CT" 2.38907264351119e-05 2.19966989840821e-05
"CU" 8.81308361503373e-05 8.14607554802375e-05
"DA" 0.00099431275266771 0.000841921768155916
"DB" 0.00132906805445839 0.00116601786715002
"DE" 8.90231622046285e-05 8.5756433448784e-05
"DI" 7.61629578730676e-05 7.5672484649874e-05
"DK" 9.31881278839454e-06 9.29594920256742e-06
"DM" 0.000144945267097526 0.000140314427805799
"DQ" 1.6573084377235e-05 1.62906124591443e-05
"DR" 0.000529168931294814 0.000498279724081844
"DS" 4.87248389935992e-05 4.77684748997293e-05
"DT" 0.00173717415578169 0.0013655283130459
"DW" 0.00599877887272994 0.00388903927613952
"DX" 0.000233272281337844 0.000204039718456149
"DY" 0.0211465402981614 0.00912043766449712
"EA" 0.00709452652164271 0.00538827484597505
"EC" 0.0104855312102573 0.00696513467418926
"EE" 0.00101661285173097 0.000796576685124961
"EI" 0.0840824914884972 0.027450701024757
"EN" 0 0
"EO" 0 0
"EP" 0.000127628023363718 0.000118233599157693
"EQ" 7.2263820756819e-06 7.18206824810854e-06
"ER" 9.37994175512774e-06 8.71471333058752e-06
"ES" 0.000118855777040299 0.000107495112027843
"ET" 7.4676514087445e-05 6.87364428257354e-05
"EU" 1.48992216646602e-06 1.47866940835721e-06
"EV" 0.000379432724196783 0.000310948355886375
"EW" 0.000108660941621428 0.000102549925957211
"EX" 5.9776726347181e-05 5.58258466374366e-05
"FA" 0.00369216351741702 0.00275558600502058
"FE" 0 0
"FF" 2.15129126780354e-05 2.12316119002495e-05
"FI" 0.00928924303716976 0.00462555253293576
"FS" 0 0
"FU" 0 0
"FY" 0.00291005636251903 0.00282393115652678
"GA" 0.000110753936175 0.00010825993887829
"GC" 0.00289096613491074 0.00275768286258928
"GM" 4.37751991123038e-06 4.32509637977624e-06
"GU" 3.20736716140231e-05 3.12717951591256e-05
"GY" 1.1885742252426e-05 1.18091831979598e-05
"HA" 1.02891165369562e-05 1.02057873992904e-05
"HB" 1.40698807796217e-05 1.31835912592285e-05
"HE" 0 0
"HF" 9.19313677181164e-07 9.09942445275969e-07
"HI" 0 0
"HL" 6.88338897175043e-06 6.79424299601048e-06
"HQ" 0.0161601683878272 0.00783881871709533
"HT" 0 0
"HY" 2.73743438691769e-05 2.62406549648324e-05
"IA" 0.000684397856278867 0.000657532048556843
"ID" 0.00972627993936408 0.00615747557203097
"IF" 0.00255736970460114 0.00132087048310823
"IG" 0.0141052540519766 0.0109331552320332
"IH" 0.00398563162886141 0.00312933042835663
"II" 0.0116378675009935 0.00705659932249723
"IJ" 0.00239804838252389 0.00210102040929798
"IK" 0.00432406645854297 0.00282714802974457
"IL" 0 0
"IM" 0.00148789710867157 0.00119212392922057
"IO" 1.57742553179816e-05 1.48591787270187e-05
"IP" 7.86590177637187e-05 6.28563662280985e-05
"IQ" 0.0139614665427579 0.0104848578328163
"IU" 0.00527308823020317 0.00360618121927094
"IX" 0.000103280392698691 9.50566540905209e-05
"IY" 1.85112646228491e-05 1.79748420499619e-05
"JA" 0.00560571190329139 0.00481098373759973
"JB" 2.96233546731956e-05 2.8555118741185e-05
"JI" 1.08019357068787e-05 1.05944065815045e-05
