"Q" "C"
"AA" 0.00259413954391757 0.00221815897692951
"AC" 0.0165370090242061 0.0122984772247634
"AD" 3.134335943583e-05 3.09133799697432e-05
"AE" 5.11527160862925e-05 4.87565188813702e-05
"AF" 4.91798054000077e-05 4.75019731238184e-05
"AH" 8.19446587085934e-05 7.92473362426292e-05
"AI" 0.00126953775889146 0.00102255585439164
"AM" 9.28497827119189e-05 9.08689210217573e-05
"AQ" 1.0703065043212e-05 1.05947860410481e-05
"AY" 1.83202742719163e-05 1.75425287371333e-05
"AZ" 7.52592681788762e-07 7.35911906822354e-07
"BA" 1.69937485897433e-05 1.67510773034569e-05
"BD" 9.35463981651673e-05 9.14931823200132e-05
"BF" 5.24025391629636e-05 5.13565465176127e-05
"BI" 1.12354257653284e-05 1.10597318243121e-05
"BK" 2.92257336468039e-06 2.72235669569757e-06
"BM" 2.95912518572592e-06 2.90683876571239e-06
"BP" 1.46135812017071e-05 1.3663384854737e-05
"BQ" 1.20645148231123e-05 1.15252259264177e-05
"BU" 0.00222716593273254 0.00214238033184812
"BV" 3.39164556034768e-05 3.30845533666353e-05
"CN" 0.000138019254432921 0.000134262862170628
"CO" 0.00106259859582633 0.00098837969003166
"CQ" 0.00201962780726462 0.00192094838230965
"CT" 1.77838612607249e-06 1.70854074031999e-06
"CU" 0.00393359393524805 0.00366870079591949
"DA" 0.00124611534242131 0.00116795404410226
"DB" 0.00108456242145513 0.00102172770571432
"DE" 0.000210055823251813 0.000204721019508781
"DI" 0.000346052970566382 0.000333230006935276
"DK" 0.00136533141491022 0.00132014049213979
"DM" 0.000435890819576574 0.000425387147148375
"DQ" 0.000277968414864694 0.00027426706115889
"DR" 0.000731076881828537 0.000701496708268012
"DS" 2.60466509319368e-05 2.56186038842238e-05
"DT" 0.0027794092654982 0.00241193735650282
"DW" 8.23764618746133e-05 7.76452778930379e-05
"DX" 5.02354376028674e-05 4.8012451625448e-05
"DY" 0.00212162721718132 0.00194635403192312
"EA" 0.00034965255757096 0.000331242050961024
"EC" 4.95106562831018e-05 4.74184287749941e-05
"EE" 5.62049812509968e-05 5.43536297976311e-05
"EI" 0.00164039289266083 0.00148676529276345
"EN" 0 0
"EO" 0 0
"EP" 0.0178003981388603 0.0129154057317458
"EQ" 1.71734225779587e-05 1.69658596439666e-05
"ER" 0.0015061766196955 0.00109653918318102
"ES" 0.00545701291820653 0.0040983858255701
"ET" 0.0114805285203723 0.00846111412540757
"EU" 3.3405923764444e-05 3.25420649005099e-05
"EV" 0.0272915847465295 0.0163974874239678
"EW" 0.0230003382871228 0.0158060483379582
"EX" 0.039333141115987 0.0264360500134
"FA" 0.000472281932246072 0.000438333901307471
"FE" 3.64112477031541e-05 3.61090264074516e-05
"FF" 2.74957198902602e-05 2.71992646587437e-05
"FI" 0.000265383499647923 0.000246032290897464
"FS" 0 0
"FU" 2.34707227353995e-05 2.2980827734464e-05
"FY" 8.31967481057838e-05 8.23934468958315e-05
"GA" 2.60250810361945e-05 2.56511665858131e-05
"GC" 0.00112604969752746 0.0010882009608572
"GM" 1.44764540119697e-05 1.42606474556727e-05
"GU" 0.00142173348333024 0.00138329406157179
"GY" 0.00429603743136487 0.00410451301353131
"HA" 0.000120813452906384 0.000117715353394513
"HB" 0.000215390148474954 0.000205334562228124
"HE" 1.23956441706384e-06 1.22724725698258e-06
"HF" 2.39105187358871e-05 2.33210705043964e-05
"HI" 1.5439140412785e-05 1.52063762960014e-05
"HL" 7.36069361650915e-05 7.14875979351646e-05
"HQ" 0.000308919039912402 0.000284547238350177
"HT" 0.000407187357011142 0.000392577816449594
"HY" 0.000112477379321924 0.000108638772652165
"IA" 0.000167291950859196 0.000162404736783019
"ID" 0.00111791143593378 0.00102207123822098
"IF" 0.00981814342727073 0.00640316030401371
"IG" 0.00199395323967145 0.00179819954994783
"IH" 0.000368535439675123 0.000349180159240016
"II" 0.00223433934903828 0.00204902372926748
"IJ" 0.00216656515655302 0.00180203743550751
"IK" 0.00186254401390256 0.00153774014803529
"IL" 4.07128813646985e-05 3.40752348963497e-05
"IM" 0.00230276749428717 0.00207068673898311
"IO" 0.000310939886086891 0.000280018746697561
"IP" 0.000129855355050046 0.000121644168506455
"IQ" 0.0263766618553532 0.0203141698863645
"IU" 0.00790098857357882 0.00640339780706923
"IX" 0.000368493213054165 0.00034946145593113
"IY" 0.000123208660809114 0.00012020870199084
"JA" 0.00124133773542805 0.00118145943644045
"JB" 0.000301812073212369 0.000289592230998031
"JI" 6.40427744922795e-05 6.05869137356067e-05
"JM" 5.85349863613482e-07 5.78176814895338e-07
"JO" 4.93081574755328e-06 4.89185812330657e-06
"JS" 9.78745340917853e-06 9.64392722276653e-06
"JU" 5.78446947937072e-05 5.69025031058308e-05
"JW" 1.76832965790926e-06 1.75845015222111e-06
"JY" 0.000185396268933524 0.000180628916520908
"KA" 0.000126612014078421 0.000123809611250641
"KI" 7.49869457011952e-05 7.40038794500303e-05
"KM" 0.000936849278912529 0.000895130705663909
"KU" 0.00013086271621633 0.000126928291467998
"KV" 0.000141403788500189 0.000136888409882032
"KY" 7.07988766051357e-05 6.94680998169144e-05
"LE" 0.00146118369679088 0.00140890506762233
"LI" 2.68288603004015e-05 2.60648145472695e-05
"LJ" 4.60612972071161e-06 4.54127915941931e-06
"LQ" 3.58601123176245e-05 3.51912767325043e-05
"MA" 0.000173677839539081 0.000169788089349405
"MC" 0.00201697742491543 0.00169364925903002
"ML" 0 0
"MM" 5.98827667195843e-06 5.92539432956888e-06
"MQ" 0.000322636443331979 0.000299075316469054
"MR" 2.01945702946651e-06 1.96187657794797e-06
"MU" 2.91047392281043e-05 2.85579506899519e-05
"MW" 7.14934540400772e-06 6.94652371391247e-06
"MY" 8.18644919973567e-06 8.07890608283188e-06
"NE" 0.000309589705792783 0.000301740714729825
"NI" 0.000304833016417234 0.000298550128610116
"NM" 4.36959872214324e-06 4.23521197814462e-06
"NN" 0.000189790477564044 0.000186837393945966
"NQ" 3.65056804438873e-05 3.56939214685432e-05
"NS" 0.00048296808896107 0.000428101556341159
"NU" 0.000260843377690889 0.000237598637127049
"OA" 0.0017650998373144 0.00144055819542288
"OE" 2.89491897914486e-05 2.84983917941127e-05
"OI" 3.77068230824421e-06 3.65883919255576e-06
"OM" 7.83191629934437e-06 7.75845593624779e-06
"OO" 2.47975487676257e-06 2.43946519098617e-06
"OP" 4.50297779346352e-06 4.36947915277452e-06
"OR" 3.32078518496746e-06 3.28664118125954e-06
"OT" 6.55542248342525e-05 6.44631024245776e-05
"OU" 0.000181611165788489 0.000174607907673773
"OX" 0 0
"OY" 7.95077817684899e-05 7.84785726875549e-05
"OZ" 2.28874597389922e-06 2.23321121543627e-06
"PA" 6.80106123490161e-06 6.72130764891966e-06
"PC" 0.00126938154536934 0.00120528599148363
"PD" 0 0
"PE" 0.0259309360212778 0.0192227473383609
"PF" 0 0
"PG" 0 0
"PH" 0 0
"PI" 0.00017138948654878 0.000167496347315919
"PJ" 2.07287375621609e-05 1.98224824228496e-05
"PK" 0.000164240155549943 0.000149746967380074
"PM" 0.00464322725288277 0.00412187732218723
"PN" 0.291925617070215 0.112288949326036
"PO" 0.0211351979439357 0.0118085548816545
"PQ" 0.227779841934325 0.107051979351302
"PS" 0.00209200524320835 0.00188472831543628
"PT" 0.000221861212663125 0.000192128072609342
"PU" 0.0297996651478161 0.0217892554363034
"PW" 3.49295764478669e-05 3.36555956446749e-05
"PY" 0.000235803282882647 0.000230134678171419
"PZ" 0.000687458795808631 0.000631146498435378
"QA" 0.00021254054324028 0.000202947721727814
"QC" 0 0
"QD" 0 0
"QE" 0.00010941826049415 0.000102847756222483
"QF" 0.00025541652151914 0.000218578185896724
"QG" 0.000145262725324012 0.000130871118680793
"QH" 0.000659203142764416 0.0005918247452813
"QJ" 0.000110275270886897 0.000102189364823198
"QK" 1.75604959084045e-06 1.75030034493932e-06
"QQ" 0.00150102672333193 0.00145325902666828
"QU" 0.000288125442326958 0.000280237114894398
"RA" 5.84654389614707e-05 5.23009662665243e-05
"RB" 0.000837161620473022 0.000682693108800781
"RE" 3.97809347528156e-05 3.84231704285489e-05
"RO" 0.00148520397388833 0.00131806565987649
"RP" 9.73284668058368e-05 9.33988850210228e-05
"RQ" 7.66010783340616e-06 7.4082458672283e-06
"RT" 0.000224035574911432 0.000219161759104024
"RU" 0.00160792820930087 0.00155756581284946
"RX" 0.000146605663468611 0.000141836045793967
"RY" 0.000531150234388652 0.000484650027392522
"RZ" 2.60595082871427e-05 2.56766124796646e-05
"SA" 4.84044842244871e-05 4.71999318111041e-05
"SD" 3.59493550813367e-05 3.54708558698452e-05
"SI" 0.000656574893489269 0.000636577650183907
"SR" 0.000343060066272269 0.000313176558949909
"SU" 0.000105172280268094 0.000103855718084956
"SY" 0.003213006517997 0.00274421303590258
"TA" 1.78769809271151e-05 1.75479763295547e-05
"TC" 5.2001049946442e-05 5.15013238112561e-05
"TD" 3.25332666856427e-05 3.20632586420811e-05
"TE" 1.21900285260703e-05 1.20089281949384e-05
"TI" 5.5576280476485e-05 5.40885752475625e-05
"TM" 3.73537641992323e-05 3.62269519832449e-05
"TQ" 2.94667279035233e-05 2.89704839395028e-05
"TU" 0.00024760387770897 0.000237140197951563
"UA" 0.00049085037852256 0.000470486972980995
"UB" 0.00388842436387509 0.00333559233021184
"UE" 0.00130802304343912 0.00106236268238881
"UF" 0.0106572071524794 0.00811898807025148
"UH" 0.00269001907348459 0.00238805290053242
"UI" 0.0287009389691974 0.0224595360501245
"UK" 0.00305371342734622 0.0026461427281588
"UM" 0.000486153468428321 0.000466739596492481
"UN" 0.000764090894460876 0.000685459794444379
"UP" 0.00232096726883166 0.00212390572363876
"UQ" 0.000134495044202602 0.000129211832937067
"UR" 0.0518115574690097 0.0326269895306583
"UT" 0 0
"UU" 9.64312056482704e-05 9.51440147088171e-05
"UY" 0.000470335991060864 0.000440625036811428
"VE" 8.7485446655495e-05 8.5932551965668e-05
"VI" 0.00011957917479761 0.000116672270995864
"VJ" 9.4682083953177e-05 9.21048590150943e-05
"VM" 1.33626863524231e-05 1.30127563505279e-05
"VP" 0 0
"VS" 0.000103149739973937 9.74123957932891e-05
"VX" 0.000221076045720424 0.000215644402674181
"VY" 0.00136323304628403 0.00129994521205999
"WC" 3.71468569184476e-05 3.64859784697573e-05
"WE" 5.29300769547615e-05 5.20508700527542e-05
"WF" 1.49350474221086e-05 1.46850054393758e-05
"WH" 1.77909787913864e-05 1.75806601363585e-05
"WM" 3.9352194025042e-06 3.84722813580677e-06
"WQ" 5.38327363471095e-05 5.32015827401026e-05
"WU" 8.18704426120491e-05 7.85394628672709e-05
"WV" 8.62414127357826e-06 8.48556846589639e-06
"WY" 3.9318001835973e-06 3.89539240375697e-06
"XA" 0.00010826654329755 0.000106366231056478
"XE" 9.90609722349095e-05 9.67641753657041e-05
"XQ" 0.000321104397203389 0.000294398571964966
"XW" 0.000120681013892621 0.000118952475101205
"XY" 0.0187650323989482 0.0151950248739807
"YA" 0.000147666822324144 0.000145720600460194
"YE" 0.00239394165511482 0.00196741719544494
"YG" 8.15308738604492e-07 8.10907794415338e-07
"YI" 1.19578614995326e-06 1.18571138295162e-06
"YO" 6.66467790471193e-05 6.38205434934776e-05
"YP" 3.60665035433841e-05 3.55247590033124e-05
"YQ" 0.000331617772558059 0.000311955804717775
"YR" 0.000459538277593767 0.000380319031078069
"YU" 5.84583920224297e-05 5.73208680838394e-05
"YY" 4.46646150114148e-05 4.35217404686083e-05
"ZA" 6.99157305860495e-05 6.91199028325668e-05
"ZC" 0.000108137242627971 0.000106414320140832
"ZD" 0.000178145933659688 0.000174663486458218
"ZE" 0.00013198004083536 0.000128760716360991
"ZK" 5.26814877252134e-06 5.19348061830325e-06
"ZM" 0.000132956093757115 0.000129039191757845
"ZQ" 0.000122483337014001 0.000112624243326085
"ZR" 0.00113117136478754 0.00107686267010247
