"Q" "C"
"AA" 4.72118661843332e-05 4.41544765728692e-05
"AC" 0.00173480493745611 0.00156007095836373
"AD" 0.000152037986065067 0.000148260051942323
"AE" 0 0
"AF" 0.00203884506857417 0.00115701763444656
"AH" 0.000253688092787899 0.000238982764715487
"AI" 4.328403499197e-05 3.9801260743638e-05
"AM" 0.000183346596359165 0.000176997651069027
"AQ" 0.00014064968304949 0.000137044722812416
"AY" 8.62902136794335e-06 8.11166517575525e-06
"AZ" 0 0
"BA" 4.43930759027035e-05 4.28408620452789e-05
"BD" 0.000353432117811435 0.000335899070088154
"BF" 0.000975590717018167 0.000917842975247721
"BI" 1.02467385785667e-05 1.00448074108631e-05
"BK" 1.46666391051972e-05 1.31708546564504e-05
"BM" 0.000456042178217698 0.000347641181691087
"BP" 2.87918922031556e-05 2.69029323854722e-05
"BQ" 7.83095362114143e-05 6.74147938469769e-05
"BU" 0.000360796131264299 0.000355989421804033
"BV" 0.000340163338631631 0.00031462420397369
"CN" 0.00111254893549025 0.00103496729605295
"CO" 0.00034972425532211 0.000322591396951587
"CQ" 0.000816400244565756 0.000768141695579641
"CT" 0 0
"CU" 0.00357040527676447 0.00322576664870951
"DA" 0.000328178034902874 0.000308006242061498
"DB" 0.00102172029122744 0.000945523133262941
"DE" 0.000126337499021302 0.000122034202734248
"DI" 0.0112991519661148 0.00936399878910845
"DK" 0.0457750653446694 0.0272577339739155
"DM" 0.00123282608461519 0.00118081293739991
"DQ" 0.000413487606233398 0.000403194861793276
"DR" 0.000306805642381224 0.000291255955851187
"DS" 0.000135320412430262 0.000130063412774315
"DT" 8.28223137746359e-05 7.7501867730103e-05
"DW" 0.000179652023386884 0.000170888724792739
"DX" 5.34444094962381e-05 5.05935618223353e-05
"DY" 0.000643290073351772 0.000612429731635334
"EA" 0.000178397524795335 0.000169923039399209
"EC" 2.43326601180327e-05 2.37198931778623e-05
"EE" 1.60677524268809e-05 1.56553523627268e-05
"EI" 0.000348376564613856 0.000332230901975005
"EN" 0 0
"EO" 0 0
"EP" 0.00459174804823057 0.00401749566474072
"EQ" 0.00245438826945925 0.0022787413526875
"ER" 0.000573875179357533 0.000497066305006073
"ES" 0.000942848068848885 0.000861302295608253
"ET" 0.00275475171500894 0.00242090144638194
"EU" 0.00255013811182157 0.00228843437256235
"EV" 0.00606022000118812 0.00468806620317433
"EW" 0.00288539852339531 0.00256372513491564
"EX" 0.0050445638924365 0.00444013637266709
"FA" 0.000263660508077718 0.000251473313725377
"FE" 0.000521092032993966 0.000485996766598447
"FF" 0.000149871192533257 0.000145003922964916
"FI" 1.32787440759565e-05 1.27855370500264e-05
"FS" 0 0
"FU" 0.00237185720067253 0.00183209681721461
"FY" 3.73553093421718e-05 3.67989574932777e-05
"GA" 9.27430259404032e-05 9.03120305824888e-05
"GC" 0.000269487937656243 0.000263874051388964
"GM" 0.000794070174215621 0.000740004540092217
"GU" 0.00232155612699993 0.00218635941185561
"GY" 0.26563833315918 0.128774724139012
"HA" 0.005244995472398 0.00477888070780696
"HB" 0.000381501573608967 0.000358733560882923
"HE" 7.58787368650498e-05 7.24325358542285e-05
"HF" 0.000638477139530786 0.000545939131010711
"HI" 0.00385812584479617 0.00354434390278477
"HL" 0.00356616069510851 0.0031271234827249
"HQ" 1.92614749233654e-05 1.84558832529967e-05
"HT" 0.000318437783359581 0.000300527963651055
"HY" 3.57298319467535e-05 3.41067359425811e-05
"IA" 0.000248739744957864 0.000235836116880239
"ID" 0.000843416896500132 0.000788619642877964
"IF" 0.000728687877677175 0.000606484909881742
"IG" 0.000291055539615795 0.000272095774180055
"IH" 0.00143301093831406 0.00133534575756031
"II" 0.000453349035188951 0.000428854189607527
"IJ" 0.00317714042972008 0.00270290795969908
"IK" 0.00130339202730289 0.00117399717384939
"IL" 3.97782721227807e-05 3.64507850625704e-05
"IM" 0.00181930269795919 0.00166149711985491
"IO" 0.000106260530928423 0.000100377863696578
"IP" 2.04573970917158e-05 1.9610674925319e-05
"IQ" 0.00321102591062898 0.00295723744922239
"IU" 0.0002848203444422 0.000261084255065552
"IX" 0.000122797160622109 0.000118884537231073
"IY" 0.000258297208146056 0.000248149045769665
"JA" 0.0067586551700473 0.00616928210416869
"JB" 0.00522387784608024 0.00374328115146776
"JI" 0.000605669166883468 0.000543991581112252
"JM" 3.01502789122276e-05 2.64267260795085e-05
"JO" 0.000461462696064001 0.000426222780104931
"JS" 5.83770829156198e-05 5.49077668778024e-05
"JU" 0.00015956159116533 0.000154705629357528
"JW" 0 0
"JY" 0.00160397841054107 0.00153998557583145
"KA" 0.00028340146186113 0.000270059828176619
"KI" 8.97590006504464e-05 8.74320742911015e-05
"KM" 0.000963942384452401 0.000900786096541825
"KU" 0.00186327417133528 0.00152659134919956
"KV" 0.000403271864666355 0.000386597711361008
"KY" 2.92087286379343e-05 2.86945734137223e-05
"LE" 0.00115597468940986 0.00111406517382833
"LI" 0.000366164495156302 0.000339236652658
"LJ" 0.000511931273513226 0.00047669724135368
"LQ" 0.00280288136611714 0.00239374254315889
"MA" 0.000221154611526761 0.000212581172894706
"MC" 0.0018989714227929 0.0015552118502712
"ML" 1.27963965347358e-05 1.19565330138601e-05
"MM" 0.000262010577285697 0.000228674525632943
"MQ" 0.000855398714578811 0.00076133696634683
"MR" 0.000288804965766444 0.000181528205826084
"MU" 4.43550771778343e-06 4.3120807307108e-06
"MW" 0.000280672796313581 0.000235188936311026
"MY" 0.00185227955320291 0.00171778541933323
"NE" 0.0120425306210897 0.0106641048479352
"NI" 0.00121498398809919 0.00116618549035719
"NM" 0.00436126601825409 0.00281041570333534
"NN" 0.00155391384102803 0.00148697681018254
"NQ" 0.00452004614727465 0.0040145030133517
"NS" 0.00035474168749221 0.000337648111476675
"NU" 0.00153908427084534 0.00137219514216277
"OA" 0.000176495291652498 0.000162968477380705
"OE" 0.0019132603647822 0.00150377290845992
"OI" 2.67831555378192e-06 2.52329048514258e-06
"OM" 0.00192498583730063 0.00171105253364974
"OO" 3.25917480867624e-05 3.00779802633928e-05
"OP" 0.000215311845769597 0.000202686324050632
"OR" 1.43959461015778e-05 1.36213661059599e-05
"OT" 0.000164551562443254 0.000156355488912817
"OU" 6.51171521013094e-05 6.12153684353376e-05
"OX" 0 0
"OY" 4.7317977468847e-05 4.59015672720083e-05
"OZ" 2.08820317077832e-05 1.66353944944799e-05
"PA" 5.23228830415787e-05 5.05636441704532e-05
"PC" 0.0167999265840708 0.0138280811759265
"PD" 0 0
"PE" 0.0203110920083867 0.0164896357791486
"PF" 0 0
"PG" 0 0
"PH" 0 0
"PI" 0.000219948460855653 0.000211151329720976
"PJ" 4.79864870052593e-06 4.63285704553138e-06
"PK" 0 0
"PM" 0.000721160801130892 0.000688313591239008
"PN" 0.0168466936146713 0.014141988269681
"PO" 0.0989405497979339 0.0644495662333256
"PQ" 0.00383176959659578 0.00349350406082795
"PS" 0.145660601838381 0.0655082047536168
"PT" 0.00256883380145049 0.00210651246755819
"PU" 0.000423613893128035 0.000376264607975464
"PW" 3.27044465638612e-05 3.06840992321843e-05
"PY" 0.00326638696114412 0.00301457624951123
"PZ" 0.000108048694366787 0.000104722178917163
"QA" 0.00217632497592457 0.00201193382510984
"QC" 4.79864870052593e-06 4.71740373044971e-06
"QD" 0 0
"QE" 1.15875784807963e-05 1.11089301042596e-05
"QF" 6.44769951850725e-05 6.0593936052374e-05
"QG" 2.30288910905415e-05 2.22134174925803e-05
"QH" 5.75837844063112e-06 5.5013280492928e-06
"QJ" 1.03946113389854e-05 9.95848945961586e-06
"QK" 0 0
"QQ" 0.00179599280408101 0.00173025705791933
"QU" 0.00134893484238829 0.00129028502117917
"RA" 4.92169097489839e-07 4.59797483329563e-07
"RB" 7.10577124259031e-05 6.56850794086186e-05
"RE" 9.59729740105186e-06 9.40026312271431e-06
"RO" 0.000822246026376271 0.000730281440288785
"RP" 2.90713739406587e-05 2.72486825397628e-05
"RQ" 5.75837844063112e-06 5.47832237494875e-06
"RT" 0.000578322623838555 0.000547818205341169
"RU" 0.00294350068115432 0.00275993551065992
"RX" 0.000188061801030484 0.000177898807464999
"RY" 0.000330106148360805 0.000315900026504646
"RZ" 0.000158922022719634 0.000148584154381577
"SA" 0.000716036184937894 0.000673264160985259
"SD" 0.00018089744434331 0.000174982903119016
"SI" 0.000192420557496324 0.000185855443930848
"SR" 0.000168117987350796 0.000159990739050585
"SU" 0.000139665305572993 0.000136711104595579
"SY" 0.000117504725077837 0.000111991564959518
"TA" 0 0
"TC" 7.51683714404608e-05 7.38095294910655e-05
"TD" 1.57367617692593e-05 1.52804413483781e-05
"TE" 1.7885872429233e-05 1.75775855095922e-05
"TI" 5.57332307127121e-05 5.3014296795349e-05
"TM" 6.69639306235346e-05 6.35083230929919e-05
"TQ" 0.000439142177147397 0.000416288376799292
"TU" 0.00104925734965492 0.000974754177517496
"UA" 0.000638991857274838 0.000608362249974951
"UB" 0.000313221975629339 0.000298009645203113
"UE" 0.000239731929580555 0.000219464697664746
"UF" 0.00144171197563232 0.00131839046380901
"UH" 0.000561946447641448 0.000533727032758838
"UI" 0.00511417963767681 0.00474145651541217
"UK" 0.000838349140875719 0.000799595937115421
"UM" 0.00025146348171991 0.000235281171521757
"UN" 1.15456209335962e-05 1.11801687001182e-05
"UP" 6.1878699885816e-05 6.0431471717884e-05
"UQ" 0.00477071881608235 0.00293931582260999
"UR" 0.00348844205261109 0.00307833459752783
"UT" 0 0
"UU" 0.00812722103266319 0.00666226581073019
"UY" 5.39384243850713e-05 5.23022632591205e-05
"VE" 0.0015957608580619 0.00149196619573838
"VI" 0.00491152459736835 0.00447250823152462
