"Q" "C"
"AA" 0.000849594834767643 0.000781026322946713
"AC" 0.000292176840466054 0.000286235559772512
"AD" 0.000336006507459345 0.000291574722019504
"AE" 0.000122066809584826 0.000107879868178725
"AF" 0 0
"AH" 0.000915226308950659 0.000752984217503618
"AI" 1.44549953306186e-05 1.41388001638171e-05
"AM" 0.000136360988899633 0.000120907604067594
"AQ" 0.00240143064277245 0.0018761987810867
"AY" 0.001353006982896 0.000780365778267594
"AZ" 0.000395953494560739 0.000261407289410107
"BA" 0.00169615867711719 0.00135646278682041
"BD" 2.80709792704288e-05 2.63621430218878e-05
"BF" 0.000171602824889194 0.000153449298417194
"BI" 7.00526620887252e-06 6.83674958894193e-06
"BK" 8.43226488105026e-07 8.20798161379364e-07
"BM" 0 0
"BP" 1.95146701532877e-06 1.86691589217074e-06
"BQ" 1.13163682702452e-05 1.03522639565501e-05
"BU" 1.11315462444644e-05 1.11076497445843e-05
"BV" 0.000153491681520879 0.00012743615075967
"CN" 0.000596457170225776 0.000479695958807794
"CO" 0.0171199636674371 0.0108125768632879
"CQ" 0.0512225073686262 0.0270140873723023
"CT" 0.000121224790256569 6.52051218094814e-05
"CU" 0.00428555883741977 0.00210103757490243
"DA" 0.00637874098265687 0.00354131529446961
"DB" 0.00991296108708578 0.00596166274318586
"DE" 0.00615186637214868 0.00485894237714185
"DI" 8.25029687555361e-05 8.1968187151649e-05
"DK" 0 0
"DM" 0.0578454525145061 0.0327457091623543
"DQ" 0.0280776962983463 0.0200293796086734
"DR" 0.0283823875404424 0.0146230548464576
"DS" 0.00522604657285662 0.00368128211756479
"DT" 7.75001617207998e-06 7.61606088414815e-06
"DW" 0.00281799503098957 0.0023064505908129
"DX" 0.0079786563377591 0.00487899114336862
"DY" 0.00311489433159407 0.00269884891198699
"EA" 0.014579511962704 0.0122761988539886
"EC" 0.000221448342130111 0.000206575403386538
"EE" 0.00121038316564812 0.0010629980253351
"EI" 0.000675430011395152 0.000627207156618503
"EN" 0 0
"EO" 1.58840338456993e-06 1.58169335012846e-06
