"Q" "C"
"AA" 0.00316455696202532 0.00300967949865336
"AC" 0 0
"AD" 0 0
"AE" 0 0
"AF" 0 0
"AH" 0 0
"AI" 0 0
"AM" 0 0
"AQ" 0 0
"AY" 0 0
"AZ" 0 0
"BA" 0 0
"BD" 0 0
"BF" 0.00656215561278852 0.00589415783710911
"BI" 0.000602772754671489 0.000574047112307616
"BK" 0 0
"BM" 0.00436005625879044 0.00380506690677141
"BP" 0.00246132208157525 0.00218977096172733
"BQ" 0.0363289312656401 0.0237050106543928
"BU" 0 0
"BV" 0.00101592324693591 0.000818521130124322
"CN" 0.00214905230728016 0.00179738959436949
"CO" 0 0
"CQ" 0.00168776371308017 0.0016205751145181
"CT" 0 0
"CU" 0.000664876614243703 0.00061063499939021
"DA" 0 0
"DB" 0 0
"DE" 0.000527426160337553 0.000518810427322043
"DI" 0.00263713080168776 0.00247997709829878
"DK" 0 0
"DM" 0.00105485232067511 0.00102540186932821
"DQ" 0.000527426160337553 0.000518037782368959
"DR" 0.000562587904360056 0.000541126171072725
"DS" 0 0
"DT" 0 0
"DW" 0 0
"DX" 0 0
"DY" 0 0
"EA" 0 0
"EC" 0 0
"EE" 0 0
"EI" 0 0
"EN" 0.000383582662063675 0.000283617333413967
"EO" 0.000843881856540084 0.000807016131289745
"EP" 0 0
"EQ" 0 0
"ER" 0 0
"ES" 0 0
"ET" 0 0
"EU" 0.00943917779360817 0.00765582763108688
"EV" 0.00316455696202532 0.0029615788078375
"EW" 0 0
"EX" 0 0
"FA" 0 0
"FE" 0.00105485232067511 0.000946570209172384
"FF" 0 0
"FI" 0 0
"FS" 0 0
"FU" 0.00279340521956556 0.00247156822374618
"FY" 0 0
"GA" 0 0
"GC" 0 0
"GM" 0 0
"GU" 0 0
"GY" 0.00107159600830487 0.00100265945673988
"HA" 0.0698667438508752 0.0526158728667565
"HB" 0.000384376829065877 0.00035135935496968
"HE" 0.00076716532412735 0.000646380265483992
"HF" 0.000911008822401227 0.00081844682726257
"HI" 0.00229807112718505 0.00178030910445969
"HL" 0.000803697006228652 0.000741332154457266
"HQ" 0.000843881856540084 0.00083682975665057
"HT" 0.000281293952180028 0.000272073483298381
"HY" 0 0
"IA" 0 0
"ID" 0 0
"IF" 0 0
"IG" 0 0
"IH" 0 0
"II" 0 0
"IJ" 0 0
"IK" 0 0
"IL" 0 0
"IM" 0 0
"IO" 0 0
"IP" 0 0
"IQ" 0 0
"IU" 0 0
"IX" 0 0
"IY" 0 0
"JA" 0 0
"JB" 0.00165762507534659 0.00152973685492802
"JI" 0 0
"JM" 0.00333716915995397 0.00266267224944473
"JO" 0 0
"JS" 0.0130768200388454 0.0105508697532565
"JU" 0 0
"JW" 0 0
"JY" 0 0
"KA" 0 0
"KI" 0 0
"KM" 0.00112517580872011 0.00107748070056563
"KU" 0.0082782313794972 0.00758968325271736
"KV" 0 0
"KY" 0 0
"LE" 0 0
"LI" 0 0
"LJ" 0.000527426160337553 0.000472788240674241
"LQ" 0 0
"MA" 0.00105485232067511 0.00102593717619531
"MC" 0 0
"ML" 0 0
"MM" 0.0565738761941294 0.0467672641613836
"MQ" 0.00346594333936106 0.00298068006166638
"MR" 0.00225035161744023 0.00193370809732832
"MU" 0 0
"MW" 0 0
"MY" 0.00180999263277744 0.00148044329722826
"NE" 0 0
"NI" 0.000562587904360056 0.000548505096678664
"NM" 0 0
"NN" 0 0
"NQ" 0.00200924251557163 0.0017800159150559
"NS" 0 0
"NU" 0.00111878276435238 0.00104476385274669
"OA" 0 0
"OE" 0.00267229254571027 0.00247457543710484
"OI" 0 0
"OM" 0.00070323488045007 0.000662630649172264
"OO" 0 0
"OP" 0.00070323488045007 0.000670940526577318
"OR" 0 0
"OT" 0.176908823704136 0.0919033669607348
"OU" 0 0
"OX" 0.0233748319191357 0.0162810722468894
"OY" 0.145591401343786 0.0756118519882379
"OZ" 0.013880517045074 0.0101846069797257
"PA" 0.0824291742013261 0.0563574009678674
"PC" 0.00140646976090014 0.00131997200476999
"PD" 0.0205344585091421 0.0167737656122122
"PE" 0 0
"PF" 0.00319652218386396 0.00269145613470871
"PG" 0 0
"PH" 0 0
"PI" 0 0
"PJ" 0 0
"PK" 0 0
"PM" 0 0
"PN" 0 0
"PO" 0 0
"PQ" 0.000183452577508714 0.000182563745611066
"PS" 0 0
"PT" 0 0
"PU" 0 0
"PW" 0 0
"PY" 0.000281293952180028 0.000260991226149093
"PZ" 0 0
"QA" 0 0
"QC" 0.143260708491859 0.0775118093633462
"QD" 0 0
"QE" 0 0
"QF" 0 0
"QG" 0 0
"QH" 0 0
"QJ" 0 0
"QK" 0.00567611010648985 0.00455239983469138
"QQ" 0 0
"QU" 0 0
"RA" 0 0
"RB" 0 0
"RE" 0 0
"RO" 0 0
"RP" 0.00708257986738999 0.00583995717513758
"RQ" 0 0
"RT" 0.00239099859353024 0.0021277494036087
"RU" 0.00620660594289286 0.00530628307755098
"RX" 0 0
"RY" 0 0
"RZ" 0.000281293952180028 0.000260296492163643
"SA" 0 0
"SD" 0.00140646976090014 0.00135904076490067
"SI" 0 0
"SR" 0 0
"SU" 0 0
"SY" 0 0
"TA" 0 0
"TC" 0 0
"TD" 0.00112517580872011 0.00105896699457158
"TE" 0 0
"TI" 0 0
"TM" 0.000562587904360056 0.000533792191535823
"TQ" 0.00093764650726676 0.00087451681122333
"TU" 0 0
"UA" 0.00500301386377336 0.0043787326533431
"UB" 0 0
"UE" 0 0
"UF" 0 0
"UH" 0 0
"UI" 0.00140646976090014 0.00139236738605885
"UK" 0 0
"UM" 0.000586029067041725 0.000529702623160866
"UN" 0 0
"UP" 0 0
"UQ" 0 0
"UR" 0 0
"UT" 0.00179005242296382 0.00151160327250708
"UU" 0.00626061702011069 0.00568700072963933
"UY" 0 0
"VE" 0.00154711673699015 0.00135740463764263
"VI" 0.0040215800764324 0.00312900446237995
"VJ" 0.009728549892052 0.00746354352006457
"VM" 0.000602772754671489 0.000551056850821519
"VP" 0 0
"VS" 0.00070323488045007 0.000547018039031925
"VX" 0.0167685318208158 0.0125311220783737
"VY" 0 0
"WC" 0.00076716532412735 0.000647868907880227
"WE" 0 0
"WF" 0.00093764650726676 0.00091526970118391
"WH" 0 0
"WM" 0.00231118701582837 0.00194956318185115
"WQ" 0.00345437497336232 0.00293397833757841
"WU" 0.00638842716901789 0.00510875729827598
"WV" 0 0
"WY" 0 0
"XA" 0.0136638638748343 0.011238375353566
"XE" 0 0
"XQ" 0 0
"XW" 0.00046882325363338 0.000442394511757443
"XY" 0 0
"YA" 0 0
"YE" 0 0
"YG" 0.00847513948779772 0.00733184318203882
"YI" 0.0070323488045007 0.00597701088055026
"YO" 0 0
"YP" 0 0
"YQ" 0 0
"YR" 0 0
"YU" 0 0
"YY" 0.00213314580403188 0.00196033963916831
"ZA" 0 0
"ZC" 0 0
"ZD" 0 0
"ZE" 0 0
"ZK" 0.00909182238296162 0.00767174895467834
"ZM" 0 0
"ZQ" 0 0
"ZR" 0 0
