"Q" "C"
"AA" 0.0152302211209915 0.0122772134914662
"AC" 0.00176255545371302 0.00147653970228965
"AD" 4.43621848489105e-05 4.34531280014736e-05
"AE" 0.000798817369277474 0.000686458819336691
"AF" 4.74944758521021e-05 4.65369344130269e-05
"AH" 0.000170707444020024 0.000158612164544659
"AI" 0.00268407963764674 0.00202936286868705
"AM" 0.000220910778869249 0.00021266118670001
"AQ" 0 0
"AY" 0.000159265919427201 0.000150097766969286
"AZ" 1.29342431528793e-05 1.25467091312423e-05
"BA" 4.16618779450638e-05 4.10200493654685e-05
"BD" 5.24365015515458e-05 5.08575824595063e-05
"BF" 8.96949669620568e-05 8.72851418010027e-05
"BI" 0.000632801719280773 0.000606488297356175
"BK" 5.09207132473897e-05 4.10001828167095e-05
"BM" 8.25053737462297e-06 8.16443819443241e-06
"BP" 0.000329556986562257 0.000281066553983575
"BQ" 1.49710749658693e-05 1.44571493219711e-05
"BU" 0.000667304628005669 0.000651387456642711
"BV" 9.88120539698931e-06 9.69593945516815e-06
"CN" 1.33656304580329e-05 1.30688573268394e-05
"CO" 0.000870594935669958 0.000752572821752344
"CQ" 0.00188014665688875 0.00173569334356533
"CT" 4.314163606199e-06 4.01958800032063e-06
"CU" 0.000665586784501725 0.000615846096233059
"DA" 0.00240468635655514 0.00210235592462339
"DB" 0.00120113763490093 0.00106785086953107
"DE" 0.000245304085083062 0.000236377011691118
"DI" 0.000196824486569498 0.000193541581174302
"DK" 2.54770216901401e-05 2.53037196383692e-05
"DM" 0.000128628062282967 0.00012455360165156
"DQ" 0.000358010373614291 0.000351569623244908
"DR" 0.000717391197655614 0.000679105984312226
"DS" 0.000161650564200609 0.000158253586760102
"DT" 0.00445847611648112 0.00317488865843272
"DW" 0.00293001852235556 0.00212593197736495
"DX" 0.000441044832756249 0.000396828090811255
"DY" 0.00807730095477451 0.00468620571883696
"EA" 0.00516158645885913 0.00417322776039016
"EC" 0.00198435791208285 0.00151545228860432
"EE" 0.00126595233145544 0.00106873027336951
"EI" 0.0258532348858945 0.0130762768687683
"EN" 0 0
