"Q" "C"
"AA" 0.0018850952435552 0.00168767345217965
"AC" 0.00108678814272694 0.000995793980183811
"AD" 0.000530085338236298 0.000495887208653932
"AE" 0.00406524741924047 0.00306116139861779
"AF" 4.14339758602054e-05 4.00492102278883e-05
"AH" 0.00200731086274673 0.00161677099698551
"AI" 9.06906856436159e-05 7.95445022321701e-05
"AM" 0.00208096351163431 0.00187924620380438
"AQ" 0.000478928252118536 0.00046183210373653
"AY" 3.65452572520962e-05 3.22959614262628e-05
"AZ" 8.75263170345138e-06 8.09190787454368e-06
"BA" 1.2814885771312e-05 1.2439932067866e-05
"BD" 7.87385287271968e-05 7.40788199413857e-05
"BF" 0.000109444462071897 0.000105331262220992
"BI" 0.000279483741980534 0.000269037948174416
"BK" 0 0
"BM" 1.49622690606297e-05 1.47700206800108e-05
"BP" 0.000295628856929046 0.000256091655708138
"BQ" 0.000121529053409717 0.000116159268278701
"BU" 7.82766179043758e-05 7.74410037255605e-05
"BV" 6.92635630389852e-05 6.68605905392343e-05
"CN" 0.000140913269117096 0.000134591767174223
"CO" 0.00417992004677274 0.00316638253639937
"CQ" 0.0203422458561774 0.016399942378537
"CT" 8.40363667000028e-05 7.19494936700398e-05
"CU" 0.000796001556924491 0.000659459514784683
"DA" 0.0051234709932201 0.0039196623105071
"DB" 0.0163500092942459 0.0124444014879794
"DE" 0.00280534778271665 0.00249142829408431
"DI" 0.00123332395261217 0.00121570080199347
"DK" 2.83965102905681e-05 2.82334731376101e-05
"DM" 0.000838547142090837 0.000774480560364215
"DQ" 0.000362373424383689 0.000349265916646992
"DR" 0.00163620321276505 0.001399296079475
"DS" 0.000263415894881565 0.00025182129362809
"DT" 0.00286678333228731 0.00227608040128799
"DW" 0.0508891497263503 0.0276204730612258
"DX" 0.00275646553625319 0.0020866264799502
"DY" 0.041797068376458 0.0209210237365662
"EA" 0.0126163581207121 0.00940041162382013
"EC" 0.00657176650618892 0.00442309879272503
"EE" 0.0295154944658716 0.020115537369557
"EI" 0.0522708404656167 0.0255809493630895
"EN" 0 0
"EO" 0 0
"EP" 0.00363892293012703 0.00338979695324283
"EQ" 3.1328320802005e-05 3.08205895730774e-05
"ER" 0.000376752753856558 0.000352055319162541
"ES" 0.000240848828931284 0.000225580928155111
"ET" 0.000977777723873393 0.000902759384126614
"EU" 7.38228724177202e-05 7.28495179125482e-05
"EV" 0.00242354027634969 0.00193148066085705
"EW" 0.00394869744110493 0.00374054852143566
"EX" 0.00112493518377462 0.00105711094926022
"FA" 0.00175413355712546 0.00145650541327688
"FE" 0 0
"FF" 5.60947032441584e-05 5.467717572605e-05
"FI" 0.00453954271795303 0.00275204033404455
"FS" 0 0
"FU" 1.73475583311649e-05 1.7087691719081e-05
"FY" 0.000280612577972871 0.000271158541274965
"GA" 0.00249399833271258 0.00236016048329932
"GC" 0.000147947554386318 0.000142475636410602
"GM" 0 0
"GU" 0.000508129236107671 0.000473737615774177
"GY" 0.000848506357960499 0.000836541117873495
"HA" 0.00012917735400171 0.000127533704166393
"HB" 0.000342225824625387 0.000319049076567534
"HE" 0 0
"HF" 6.74189198779363e-05 6.5822314621804e-05
"HI" 0 0
"HL" 6.90115678406076e-05 6.70345990871115e-05
"HQ" 0.00363293947512639 0.00229568381053645
"HT" 8.06944477465874e-05 7.37141828878121e-05
"HY" 0.000138977490290799 0.000123847903075874
"IA" 0.000267699867110633 0.00024162758867854
"ID" 0.00662734767999012 0.00440429172708448
