"Q" "C"
"AA" 0.00030837684749483 0.000290999097959072
"AC" 0.000253363325667454 0.00024044850424564
"AD" 0.000507630540393526 0.000492000901618794
"AE" 0.00142440227208976 0.00112851972581255
"AF" 0.000150328514972691 0.000140842595927048
"AH" 0.00143450479820458 0.00124020600385931
"AI" 0.00397916400307282 0.00347539780240735
"AM" 0.00635795144080004 0.00546624032345563
"AQ" 0.000228513849262018 0.000224370203535466
"AY" 2.84528130558326e-05 2.71832845206207e-05
"AZ" 4.84105640857324e-06 4.65544900013667e-06
"BA" 1.36102151216379e-05 1.34617710124432e-05
"BD" 0.00250639003688549 0.00195829307980009
"BF" 0.000135882037445774 0.00012112011461947
"BI" 0.000118222111016639 9.94087456425041e-05
"BK" 8.42089778293504e-06 6.97972181525037e-06
"BM" 4.99151626497702e-05 4.8088253991315e-05
"BP" 2.72453880949395e-05 2.37691438943604e-05
"BQ" 2.52958761817537e-05 2.3907751883876e-05
"BU" 0.0494697208861012 0.0416306226355624
"BV" 1.36126833090622e-05 1.33597352420636e-05
"CN" 7.53433794017496e-05 7.30003320196168e-05
"CO" 0.000731007190393952 0.000673191937378134
"CQ" 0.00151641306335412 0.00142945989562867
"CT" 1.76898474427557e-06 1.70192134034753e-06
"CU" 0.00144444469269213 0.00129385227055064
"DA" 0.00160581402672239 0.00150327539025948
"DB" 0.00228923622854747 0.00204290677695667
"DE" 0.00407768307940428 0.00371994436876518
"DI" 0.000243389178088468 0.00024027282532214
"DK" 0.000120600366293665 0.000119257636801211
"DM" 0.000185692981463433 0.000181076948336825
"DQ" 0.000218542944098997 0.000215764015196198
"DR" 0.000379354434010066 0.000363223116320564
"DS" 0.000163552819698259 0.000160656650685486
"DT" 0.00148648329356749 0.00135182381035679
"DW" 0.00063072931484621 0.000564225266403011
"DX" 0.000115742964345866 0.000109485030270855
"DY" 0.00235415629786699 0.00214893502850426
"EA" 0.00339898906654696 0.00306255579088443
"EC" 0.00037396340869463 0.000355638693777994
"EE" 0.000175561004389005 0.000168731432200024
"EI" 0.00486276198652696 0.00437232733725356
"EN" 1.69849646327761e-06 1.64529485410185e-06
"EO" 0 0
"EP" 0.00073050136591601 0.000694487798087492
"EQ" 4.00186635872519e-05 3.96170141795298e-05
"ER" 4.65765771273555e-05 4.4397584664993e-05
"ES" 0.000128001972187176 0.000122226775381396
"ET" 0.000301428764678523 0.000286505431076221
"EU" 0.000179753023380686 0.000177066864524041
"EV" 0.00321388707610298 0.00278655084528927
"EW" 0.000531939925572829 0.00051095319318126
"EX" 0.000369670644524451 0.000353947226731269
"FA" 0.00135559567391562 0.00119929443708849
"FE" 2.83186213264282e-06 2.80940067622171e-06
"FF" 2.88861146910588e-05 2.85458473202433e-05
"FI" 9.32726342898235e-05 8.76986746842447e-05
"FS" 5.30355804957602e-06 5.23044062757223e-06
"FU" 8.70631177496557e-05 8.41422842965605e-05
"FY" 1.56988371523924e-05 1.55548209935227e-05
"GA" 5.70718372605491e-05 5.60956894112408e-05
"GC" 0.0489053459467515 0.0316185524270913
"GM" 4.23717811763282e-06 4.16895715345805e-06
"GU" 0.011092951819395 0.00868988414319148
"GY" 0.00178384258685146 0.00172518576906694
"HA" 0.000215583820613481 0.000213128939003246
"HB" 8.89856344851131e-05 8.65896973890832e-05
"HE" 0 0
"HF" 4.56317444008306e-05 4.44947211859566e-05
"HI" 4.44597308446947e-05 4.41788143944558e-05
"HL" 4.28870324104491e-05 4.19318744035334e-05
"HQ" 0.000329391081645739 0.000296630494102193
"HT" 0.000387548561926937 0.000348229500384553
"HY" 6.43628514091005e-05 6.20208094235369e-05
"IA" 0.000222952150531326 0.000215048890341006
"ID" 0.00605853290468149 0.0050261247915991
"IF" 0.000698608324036696 0.000613333919191281
"IG" 0.000159838515336859 0.0001520155530145
"IH" 0.017864305442752 0.0116164141891931
"II" 0.00755151893383411 0.00627337280061684
"IJ" 0.000189593938621629 0.000181515026180477
"IK" 6.04299912555341e-05 5.70329349826773e-05
"IL" 4.34261856084934e-05 3.39334888501036e-05
"IM" 0.00879706215600795 0.00603654428518559
"IO" 0.00800293935607162 0.00502215975168448
"IP" 0.000323882379459123 0.000237523013392135
"IQ" 0.00636264621719 0.00592936726164044
"IU" 0.00598956254968541 0.00543464338607114
"IX" 0.00235091887538543 0.00175024515892215
"IY" 0.00026548857529803 0.000242452737066995
"JA" 0.0937945599948546 0.0532197774222954
"JB" 0.00346009664968098 0.00264948826716812
"JI" 5.42351889512992e-05 5.27377063013756e-05
"JM" 2.46835080596591e-07 2.4212425155185e-07
"JO" 5.03028032942433e-06 4.97971708214997e-06
"JS" 3.38464494714317e-06 3.35778294832802e-06
"JU" 0.000483892410515796 0.000424542406103735
"JW" 0 0
"JY" 0.000622041795029778 0.000585544317398484
"KA" 0.00642387133209755 0.00505130251615176
"KI" 3.57372048885522e-05 3.52329179513148e-05
"KM" 0.000517573770246825 0.000484455156962638
"KU" 0.00187764318738955 0.00161052174002523
"KV" 0.00664568587938639 0.00386466421268605
"KY" 0.00247646443134357 0.00164394871423061
"LE" 0.106961926469475 0.0542816340405684
"LI" 2.19786431402629e-05 2.13820251245904e-05
"LJ" 8.61725832475097e-06 8.493945225784e-06
"LQ" 2.13397780692303e-05 2.08404196807597e-05
"MA" 0.000155195886219427 0.000151631691159793
"MC" 8.02161787149436e-05 7.4041939864381e-05
"ML" 0 0
"MM" 6.588442955836e-05 6.46393336244296e-05
"MQ" 0.000230910326341729 0.000212423383368115
