"Q" "C"
"AA" 0.00445021823369969 0.00339997410464217
"AC" 0.123754804171138 0.0576992920217779
"AD" 8.87701762252559e-05 8.66508215615813e-05
"AE" 0.000612735857436959 0.000571386149771601
"AF" 0 0
"AH" 0.000382586213485224 0.000362881168110773
"AI" 0.00676449935097757 0.00482566466900109
"AM" 0.000119075366390742 0.000115407267192689
"AQ" 1.49945474372955e-05 1.46900440961004e-05
"AY" 0.000311952097806365 0.000279139063120445
"AZ" 2.65055131467345e-06 2.53830244860078e-06
"BA" 0.000333390547191992 0.000315115984178244
"BD" 6.8563663424153e-05 6.63867896213247e-05
"BF" 9.88205565869024e-05 9.54133526137704e-05
"BI" 6.8646368509057e-05 6.70203297235396e-05
"BK" 0 0
"BM" 0 0
"BP" 6.8718698251141e-05 6.17066363674409e-05
"BQ" 3.27746432127448e-05 3.04671780196713e-05
"BU" 0.000582611002129646 0.000573098939524531
"BV" 0.000462670562681678 0.000417100365150077
"CN" 0.00279656556193075 0.0025082414281921
"CO" 0.00177766634369842 0.00158954802235097
"CQ" 0.00245232850409993 0.00224942400850048
"CT" 9.62339852584838e-06 8.81746240170128e-06
"CU" 0.0118948016849301 0.0105252538168637
"DA" 0.00442952255527851 0.00398948936121598
"DB" 0.00123567966974279 0.00112793932910246
"DE" 0.000595542143039495 0.000572416732541188
"DI" 0.000308228536767172 0.00029524681876393
"DK" 4.20585696110505e-05 4.14714677640928e-05
"DM" 0.000549353266139565 0.000523755369052452
"DQ" 0.00116186697651809 0.00112284750840464
"DR" 0.000899627461722571 0.000832560305148439
"DS" 0.000214838509815547 0.00020377805264535
"DT" 0.000506548518127109 0.000433642674680986
"DW" 0.000129515190155747 0.000118849175054201
"DX" 6.80200827110707e-05 6.30499609276474e-05
"DY" 0.00199810858287432 0.00178060774091198
"EA" 0.00163595975282596 0.00148974025591554
"EC" 3.21549539824054e-05 3.04270891621893e-05
"EE" 0.000126627215538302 0.000121121813100455
"EI" 0.00226569525531376 0.00200207214009386
"EN" 0 0
"EO" 0 0
"EP" 0.109943198615367 0.0536107126770271
"EQ" 9.21354599900585e-05 8.79230620216606e-05
"ER" 0.0131455394376741 0.00629994839860079
"ES" 0.00463378416089328 0.00252814369253154
"ET" 0.00926353820755165 0.00527631365636584
"EU" 0.000607586252404953 0.000582892439612202
"EV" 0.0137138350085333 0.00809786979521423
"EW" 0.0183640204827177 0.0113727357415865
"EX" 0.023765780760795 0.0137902691854343
"FA" 0.00057466401985067 0.00051627305088496
"FE" 1.36966288030973e-05 1.34298362862928e-05
"FF" 0.000115184001826387 0.000110990749668365
"FI" 0.000141717279513153 0.000127938728673036
"FS" 0 0
"FU" 0 0
"FY" 0.000464710893009623 0.000453089100759273
"GA" 9.32355623639781e-05 9.03990676301963e-05
"GC" 0.00114809065939983 0.00109333877132752
"GM" 6.08301526717557e-05 5.79118731629052e-05
"GU" 0.00094052705814121 0.000904006778441942
"GY" 0.000355199229466773 0.000347041721547416
"HA" 0.000220091155503364 0.000212094021420954
"HB" 0.00059890880260508 0.000562028504897609
"HE" 2.29434600224901e-05 2.18833419255964e-05
"HF" 9.29763303978414e-06 8.93723367397649e-06
"HI" 0.000156316343541135 0.0001509208360745
"HL" 0.000231977733505347 0.000220160612927251
"HQ" 0.00115034991953478 0.00100490891491828
"HT" 0.00023265152278103 0.000221037122832907
"HY" 0.000116604662526168 0.000108614495168602
"IA" 0.000233011751285797 0.000217449351668265
"ID" 0.00138033744902123 0.00121217821454869
"IF" 0.00681297323199821 0.00432561018325843
"IG" 0.0159265546734825 0.0128649033611058
"IH" 0.000931137208267255 0.000864185996816812
"II" 0.00197243750362272 0.0017565060367347
"IJ" 0.00841182432852709 0.00628747915597676
"IK" 0.0183232999147293 0.0127092543155337
"IL" 0.0003081143563479 0.000226787540407162
"IM" 0.00687228379219695 0.00598858758609086
"IO" 0.00394984470409718 0.00337276311328242
"IP" 5.54068639609109e-05 5.12153160149283e-05
"IQ" 0.105743486635774 0.053638957480337
"IU" 0.0432596600647438 0.0321935110187334
"IX" 0.000337393223573668 0.000318685744502738
"IY" 0.000851491926765009 0.000817130530169045
"JA" 0.00110216370632515 0.00102756834327308
"JB" 0.000282115766366306 0.000270045463688632
"JI" 0.00124965481783525 0.00112014572539775
"JM" 0 0
"JO" 2.93453895553132e-05 2.87380761495831e-05
"JS" 7.11337717281339e-06 6.91771077734268e-06
"JU" 0.000376885977593813 0.000365901074383758
"JW" 0 0
"JY" 0.000412910834049151 0.000395274545667693
"KA" 0.000210855126205992 0.000204357278455424
"KI" 0.000594913110317189 0.000575945259238167
"KM" 0.000367906541253243 0.000341872500334686
"KU" 0.0001761446101791 0.000170376607323702
"KV" 0.000434431284466079 0.000413915618438957
"KY" 0.000234925155250229 0.000229089944510036
"LE" 0.00164088832846456 0.0015627496258007
"LI" 0.000216024690097201 0.000197616554626941
"LJ" 0.000189921304623462 0.000181021338824469
"LQ" 3.06706652126499e-05 2.96646418026152e-05
"MA" 0.000284432777434557 0.000271121766743668
"MC" 0.00138189529105697 0.00113466528118083
"ML" 0 0
"MM" 9.76917484551072e-06 9.68664419192311e-06
"MQ" 9.75981248415219e-05 9.11117859235297e-05
"MR" 0 0
"MU" 7.85699139706773e-05 7.64194329897144e-05
"MW" 0 0
"MY" 0.000961355782695184 0.000913959884976784
"NE" 0.000418036091651624 0.000399027070699764
"NI" 0.000115295057078158 0.000110718216496794
"NM" 3.18066157760814e-05 3.1034068355662e-05
"NN" 6.33199874277516e-05 6.15719540646375e-05
"NQ" 0.000675932011040171 0.000648825141481094
"NS" 0.00275029197883685 0.00229548060703225
"NU" 0.000275723632942055 0.000244626386417083
"OA" 0.0151592991123583 0.00968237202801011
"OE" 1.21568555490311e-05 1.20246335123525e-05
"OI" 1.8338204890284e-05 1.70979287796836e-05
"OM" 6.60598943041691e-06 6.52421426932671e-06
"OO" 5.61293219577907e-06 5.3984103198076e-06
"OP" 5.06065976008724e-05 4.77326459251166e-05
"OR" 1.59033078880407e-05 1.57006115584322e-05
"OT" 0.000558933984315702 0.000527135780611551
"OU" 0.000149950188267398 0.000142063509887611
"OX" 0 0
"OY" 0.000105693280417455 0.000102571682342888
"OZ" 0 0
"PA" 1.90839694656489e-05 1.86836588317316e-05
"PC" 0.000802618633973696 0.00075763513426539
"PD" 0 0
"PE" 0.00850542287161619 0.00599932678556112
"PF" 0 0
"PG" 0 0
"PH" 0 0
"PI" 0.00110557573530492 0.0010626880140503
"PJ" 7.99394374876496e-05 7.49230487815918e-05
"PK" 0.000387360715339456 0.000335752854832421
"PM" 0.00968258040024294 0.00813849245505525
"PN" 0.0110946575620969 0.00896127576557696
"PO" 0.00113473671856916 0.00084379996818421
"PQ" 0.00121201564826393 0.00112762717657774
"PS" 9.11155584800184e-05 8.66193674802532e-05
"PT" 0.00124890842804254 0.00101376722642296
"PU" 0.0103191432175856 0.00817860145360393
"PW" 0.000105275215564872 9.73888608777757e-05
"PY" 0.00106008478651503 0.000994352014736493
"PZ" 0.000581148513232887 0.000509529335202125
"QA" 0.00062449461068531 0.000569206349419352
"QC" 0 0
"QD" 0 0
"QE" 0.002975998039779 0.00264122738054865
"QF" 0.000355380830308401 0.000283730276982064
