"Q" "C"
"AA" 0.000253334869373733 0.000236819972009108
"AC" 0.000417857772296095 0.000395949830332202
"AD" 0.000190675099289257 0.000186478953131743
"AE" 0.000557249772509647 0.000471999117140051
"AF" 2.0124287600219e-06 1.95864575230138e-06
"AH" 0.000320332277472295 0.000291294252720112
"AI" 0.000143139016047957 0.000125871663483982
"AM" 0.000581631262967094 0.000539468834061396
"AQ" 2.41026587186077e-06 2.38262010701025e-06
"AY" 9.07591287225051e-05 8.70078296212523e-05
"AZ" 2.82544997907074e-05 2.75124411545746e-05
"BA" 4.34690093754815e-06 4.31190952303607e-06
"BD" 0.000114530293911148 0.000104092085501203
"BF" 0.000381208287755953 0.000342798612336114
"BI" 0.00113715368316956 0.000937155673371429
"BK" 1.08715873680294e-05 9.37128588057014e-06
"BM" 7.47473539436704e-06 7.35881971497732e-06
"BP" 0.000214049774023166 0.000182245684799688
"BQ" 2.57362032569223e-05 2.46808709393273e-05
"BU" 0.00552486360905821 0.0050584452494087
"BV" 8.04971504008758e-06 7.95983979873291e-06
"CN" 5.2012334322722e-05 5.11318590517057e-05
"CO" 0.000885959484400296 0.000798082965158237
"CQ" 0.00209654551885241 0.00196734858530547
"CT" 1.06992212853259e-05 1.02241645234719e-05
"CU" 0.000757776945886807 0.000699749595499263
"DA" 0.0007951131593555 0.000726561312313271
"DB" 0.00360847756584299 0.00325009442937328
"DE" 0.000908580591912492 0.000860591839494406
"DI" 5.99795216051095e-05 5.96266454608214e-05
"DK" 4.93053167386801e-05 4.91411572182998e-05
"DM" 0.000173401747282261 0.000169553629704184
"DQ" 4.72967957076568e-05 4.68316312658963e-05
"DR" 0.000458542014376182 0.000439165718226274
"DS" 1.92285234863378e-05 1.89828657683424e-05
"DT" 0.00155305669088321 0.00136129093323069
"DW" 0.00497577493635062 0.00403940948944525
"DX" 0.000252053485465041 0.000233015034118212
"DY" 0.0110437739996168 0.00837505314022325
"EA" 0.00664877250881719 0.0057372848302238
"EC" 0.00659919581511962 0.00559220338608244
"EE" 0.000941078160821091 0.000842775009389015
"EI" 0.0394295516724623 0.028312642588375
"EN" 0 0
"EO" 2.13563868410487e-06 2.12812866172704e-06
"EP" 0.000486537762594822 0.000466520762763197
"EQ" 0 0
"ER" 5.30623430328062e-05 5.10912828555796e-05
"ES" 1.75349625956574e-05 1.68273279376579e-05
"ET" 0.000115727011446129 0.000110872757901441
"EU" 2.0124287600219e-06 1.99887097765987e-06
"EV" 0.00166044916238381 0.00144791574600122
"EW" 0.000137360624502841 0.000133090592814781
"EX" 0.000200553925978067 0.000193543387795006
"FA" 0.00307478187872309 0.00263981343130855
"FE" 0 0
"FF" 2.79731453802668e-05 2.77691702395816e-05
"FI" 0.0125983495503557 0.00998498004422904
"FS" 0 0
"FU" 0 0
"FY" 0.000197213326568658 0.000195004544880042
"GA" 4.7722921239704e-05 4.69878324089731e-05
"GC" 0.226722994249506 0.104562013644824
"GM" 0 0
"GU" 0.000933825756315374 0.000845010473495361
"GY" 0.000306119860328897 0.000302524260127187
"HA" 3.08210698818386e-05 3.06252795676754e-05
"HB" 2.54572322990934e-05 2.4642358131453e-05
"HE" 0 0
"HF" 0 0
"HI" 0 0
"HL" 3.10854181688732e-05 3.07654132085239e-05
