"Q" "C"
"AA" 0.00173929886685357 0.00159021718316696
"AC" 0.00196255421308948 0.00184217939071995
"AD" 0.00161599011493919 0.00142877825050376
"AE" 0.000903073471593436 0.000761473216363135
"AF" 0.000110764841766279 0.000106262018928746
"AH" 0.00273803549044582 0.00223567667985515
"AI" 0.000982783022620024 0.000909181559435007
"AM" 0.00332426782304631 0.002833539765444
"AQ" 0.000792260654723446 0.000690624013544449
"AY" 0.00116516076982051 0.000771154809310695
"AZ" 0.000172379688024226 0.000135009163272069
"BA" 0.000632214226275883 0.000560157598973872
"BD" 0.00324435741199698 0.00279202227676504
"BF" 0.00351470954482346 0.00312736619500249
"BI" 0.000761987077724769 0.000720338494742107
"BK" 0 0
"BM" 3.23331732968847e-05 3.15395415590064e-05
"BP" 4.45866467723018e-05 4.11621455445817e-05
"BQ" 6.07126911354828e-05 5.49138494543816e-05
"BU" 0.00593952363657672 0.00576558327675528
"BV" 0.00105997306568182 0.000891571907785575
"CN" 0.00580243768042771 0.00469826037635707
"CO" 0.0112934918018025 0.00766400324260729
"CQ" 0.0867438135920539 0.0518584130195012
"CT" 0.000850705799462828 0.000572644460375894
"CU" 0.0216326163312161 0.0121979946849506
"DA" 0.0119149908272407 0.00728024812447553
"DB" 0.018899040875762 0.0122128766083676
"DE" 0.0145206730335464 0.0112675564541583
"DI" 0.000610822558581367 0.000600702730977511
"DK" 0.000381402076092123 0.000376522619305408
"DM" 0.0212588088652937 0.0162163330065291
"DQ" 0.00565454527130794 0.00497663166671636
"DR" 0.0463758129571468 0.0285502753316016
"DS" 0.00141944690618503 0.00120849645308252
"DT" 0.00177849476567374 0.00165471746741849
"DW" 0.00278063508505777 0.00222198917080225
"DX" 0.00328088052688932 0.00228747776724915
"DY" 0.0127556748643383 0.0103732045545547
"EA" 0.00371857750401778 0.00314819663902247
"EC" 0.00118101730974597 0.00105852333848364
"EE" 0.00250470545774526 0.0021767241789976
"EI" 0.0105460478832123 0.00893154407246814
"EN" 1.91236766415764e-06 1.84151349516227e-06
"EO" 4.0797176835363e-05 4.06048178714933e-05
"EP" 0.00387079805602821 0.00357193698911184
"EQ" 0.000979066068073132 0.000896293707511447
"ER" 0.000419415990908169 0.000381515130188464
"ES" 0.00119893256269114 0.0011271092240074
"ET" 0.00244281879367061 0.00223537802953929
"EU" 0.00023341966171379 0.000225792423075874
"EV" 0.00544008727240765 0.00433571110165558
"EW" 0.0016958590022608 0.00159801445966129
"EX" 0.00331092657445383 0.00308211404881363
"FA" 0.00205189436034612 0.00192711934386651
"FE" 7.53449420975025e-05 7.283964576953e-05
"FF" 0.000211259671595569 0.000192883654362962
"FI" 0.00121634888635276 0.00102699544704739
"FS" 4.84162924497053e-06 4.2579515640621e-06
"FU" 0.000390284313461435 0.000370690792782836
"FY" 0.00109550112576125 0.00102551380861148
"GA" 0.00129293872309344 0.00110821678899161
"GC" 0.00812810664298083 0.00764455748636396
"GM" 0.000511755416781183 0.000454345232841497
"GU" 0.0239392258171807 0.0199882827126023
"GY" 0.00313432665246695 0.00305050762725927
"HA" 0.00107123051989461 0.00103934798320601
"HB" 0.000441619598935474 0.000410551893191235
"HE" 0.000118863723997715 0.000111058665145178
"HF" 0.000627602171717347 0.000587033376968457
"HI" 0.000503265551120081 0.000483018520100679
"HL" 0.0011145636928745 0.000998441368862445
"HQ" 0.00140644237237005 0.00123426106755345
"HT" 0.0106265023569569 0.00796350647902029
"HY" 0.00869087061822261 0.00587110758439421
"IA" 0.011249903770005 0.00812202364503664
"ID" 0.00323871090499783 0.00287327454313661
"IF" 0.00237891640213215 0.00204920500317489
"IG" 0.00388287118643849 0.00305990156617553
"IH" 0.0025832182413509 0.00225879931152788
"II" 0.00347923334172196 0.00304176289004212
"IJ" 0.00122536259330636 0.00115930114857786
"IK" 0.00152657052813454 0.00140927796878
"IL" 6.67394446104637e-05 6.17016422414424e-05
"IM" 0.00305724774728864 0.00273624847812611
"IO" 0.000439951536045515 0.000410777370332606
"IP" 0.000134190873733014 0.000122935575851257
"IQ" 0.00813343063286076 0.0074812227121548
"IU" 0.00416659033894554 0.0038135240001358
"IX" 0.000652651851932899 0.000618101198553776
"IY" 0.0044208163723822 0.00358679016520858
"JA" 0.0151026295918579 0.0128025918055838
"JB" 0.0019395596118907 0.00178912392471823
"JI" 0.00022515510820751 0.000211623966627841
"JM" 1.75980896275319e-05 1.67155989307315e-05
"JO" 0.000219063255169568 0.000209584861152479
"JS" 0 0
"JU" 0.00240044727978658 0.00210869536957816
"JW" 0 0
"JY" 0.00482416259390257 0.00406394692466102
"KA" 0.00123928301385579 0.00109544893098142
"KI" 0.00490294911030354 0.00424243637498289
"KM" 0.0307672213738862 0.019556763254884
"KU" 0.000692097758393412 0.000657060383007488
"KV" 0.00307637129795514 0.00276287926892232
"KY" 0.00196729123702936 0.00184929510736401
"LE" 0.0166288645023463 0.0151330552374513
"LI" 0.00135059548716591 0.00102311963893324
"LJ" 0.000457799095417047 0.000409749228295027
"LQ" 0.000685826249157696 0.000623773453426608
"MA" 0.00835698559458052 0.00637267437393527
"MC" 0.00409235953219213 0.00263072261670865
"ML" 2.61036617895688e-05 2.31104005782234e-05
"MM" 0.000155219639896897 0.000153005186140041
"MQ" 0.000748448021788552 0.000656224624042604
"MR" 4.26190208082347e-05 4.15277414103229e-05
"MU" 0.00148780054365481 0.00125968266615879
"MW" 1.28857949734098e-05 1.23762046301055e-05
"MY" 0.00150870101021843 0.00138650587572861
"NE" 0.00829414396659573 0.00709532924914706
"NI" 0.0229770811849792 0.0175366404294336
"NM" 4.58597660725665e-05 4.47755200058998e-05
"NN" 0.00894376230705135 0.00738425550980483
"NQ" 0.000466881974723364 0.000451123667796202
"NS" 0.004458275039079 0.00377148456542792
"NU" 0.00111694141432082 0.00107516987957291
"OA" 0.00201350923839639 0.00174246626743026
"OE" 0.000419517812205321 0.000410557311460332
"OI" 0.000724022886155766 0.000543425902663485
"OM" 0.000257026564570621 0.000251142268714189
"OO" 0.000157113249809821 0.000138614439944196
"OP" 0.00036596722849083 0.000295137503285948
"OR" 1.22391530506089e-06 1.20139844430685e-06
"OT" 0.000407072953635771 0.000383903392160237
"OU" 0.000727329319441506 0.000637804012813747
"OX" 0 0
"OY" 0.000155023141335937 0.00015175440531941
"OZ" 3.28677335935751e-06 2.94728778250277e-06
"PA" 0 0
"PC" 0.000851245555019592 0.000835507303266342
"PD" 0 0
"PE" 0.00155798932096201 0.00148310869255585
"PF" 0 0
"PG" 2.03985884176815e-05 2.03332572057702e-05
"PH" 0 0
"PI" 0.00622661428676471 0.00531974397460448
"PJ" 0.000223354932578573 0.000196706839438056
"PK" 0.000630357819691975 0.000565389787604866
"PM" 0.0159465494159304 0.0137592046211125
"PN" 0.0102511191213127 0.0095995300591376
"PO" 0.00481461411395574 0.00420852758678136
"PQ" 0.00435570854322419 0.00422215544124457
"PS" 0.000597201049345866 0.000573265258352584
"PT" 0.000588075086048948 0.000502904877131978
"PU" 0.0071337804169617 0.00648801729893093
"PW" 0.0011468749032396 0.000787942183678615
"PY" 0.0118815662939562 0.00933846588792899
"PZ" 0.00175227379181574 0.00159487340919921
