"Q" "C"
"AA" 2.31658563023702e-05 2.21751142813034e-05
"AC" 3.56563085441234e-05 3.48974674428432e-05
"AD" 0.0014752802471865 0.00120783485712668
"AE" 0.000819214495102621 0.00061330678876668
"AF" 2.1171994759669e-05 2.0212031722208e-05
"AH" 0.00362369972814394 0.00247295964671519
"AI" 2.54789047892496e-05 2.48314698603911e-05
"AM" 0.00868549189246765 0.00608074217203742
"AQ" 0.00137186173865842 0.00111202639733668
"AY" 7.46922203258536e-05 4.85520869729052e-05
"AZ" 2.3567598308553e-05 1.78115752278986e-05
"BA" 0.000138132540562655 0.000126387494443625
"BD" 0.0038242951141358 0.00311097101882086
"BF" 6.07911947352908e-05 5.3827229098831e-05
"BI" 1.11668830880654e-05 1.06707265888239e-05
"BK" 0 0
"BM" 7.39655912069705e-06 7.2679590145084e-06
"BP" 4.75493086330525e-06 4.4998629915668e-06
"BQ" 7.65210243004935e-06 7.05268071854162e-06
"BU" 0.000199591189913861 0.000198676455566447
"BV" 3.04093218666458e-06 2.76124558836851e-06
"CN" 7.09353054549471e-05 6.15633383794271e-05
"CO" 0.0162755728160727 0.00925823009905551
"CQ" 0.0845286426679598 0.0401232366225946
"CT" 1.01605364763259e-05 6.3706024245708e-06
"CU" 0.00616179401747284 0.00272571060965448
"DA" 0.00576401707047872 0.00297949885599134
"DB" 0.0526778458071656 0.0224972119070863
"DE" 0.0859784087856426 0.0506754790227279
"DI" 0 0
"DK" 0 0
"DM" 0.00410702632749665 0.00307368252062148
"DQ" 0.00100603243608288 0.000896882181965214
"DR" 0.0218924627850711 0.0115033233173888
"DS" 0.00177590203334329 0.00149063532868275
"DT" 2.06487275452793e-05 2.00449711870256e-05
"DW" 0.00882721980083095 0.00653981909300809
"DX" 0.00468795883016854 0.00278371666494799
"DY" 0.00197638172535463 0.00167337595842007
"EA" 0.00371138422292868 0.00305426270026278
"EC" 0.000220669986188624 0.000203600110982892
"EE" 0.00232136385274003 0.00198465593009922
"EI" 0.000719432725599694 0.000656704828984131
"EN" 0 0
"EO" 0 0
"EP" 9.58307555881605e-05 9.22912017284662e-05
"EQ" 0 0
"ER" 3.86511923976275e-06 3.72084840046828e-06
"ES" 5.31466048707428e-06 5.21361649826644e-06
"ET" 3.32263702205368e-05 3.14027592256573e-05
"EU" 1.29260256478201e-06 1.26803054170168e-06
"EV" 0.00739052755426419 0.00606611962609985
"EW" 1.45405396685457e-05 1.42128895186528e-05
"EX" 3.1145274089601e-05 3.01706976506205e-05
"FA" 0.000131531130270688 0.000128395669332924
"FE" 0 0
"FF" 3.63144402509336e-05 3.33661397653971e-05
"FI" 0.000134932785957024 0.000118305622888399
"FS" 2.71710335046014e-06 2.55176346191103e-06
"FU" 0 0
"FY" 0.00274387507670416 0.00252569619862212
"GA" 0.0203455049488179 0.0161444118225239
"GC" 0.000146823975389828 0.000143206110896966
"GM" 5.50043588674649e-05 5.00377634024383e-05
"GU" 0.0230109294415956 0.0176653008874551
"GY" 5.18586909610276e-05 5.1035567019302e-05
"HA" 1.59765677007056e-05 1.5706184887143e-05
"HB" 1.65213699487725e-05 1.55667021993341e-05
"HE" 0 0
"HF" 0 0
"HI" 0 0
"HL" 0.00012389998130159 0.000113119681013588
"HQ" 0.000120587354177649 0.000110921366356596
"HT" 0.0222563660053542 0.0141898432696617
"HY" 0.00138380136551478 0.000857738308611546
"IA" 0.00135580408586734 0.000957477912311946
"ID" 0.00084085479301277 0.000766601928144481
"IF" 2.47502170982621e-05 2.33558108248168e-05
"IG" 0.000192647006012307 0.000155086096095709
"IH" 0.000510034390543164 0.000446483007505677
