"Q" "C"
"AA" 0.00138998831315863 0.00126223401351721
"AC" 0.000296913510688844 0.000289428402764521
"AD" 0.000184348350602918 0.000166868220155874
"AE" 5.7752946626096e-06 5.3819933443675e-06
"AF" 1.99178401148043e-06 1.96032593430566e-06
"AH" 0.0001253150568421 0.000111061371754029
"AI" 3.69893901003534e-05 3.61296993502895e-05
"AM" 2.02320901099452e-05 1.87760584863334e-05
"AQ" 0.00019772695705432 0.000175899183090338
"AY" 0.00190577135691489 0.000950061926422228
"AZ" 4.67976946305248e-05 3.6858876988748e-05
"BA" 0.00637432261937953 0.00436478266691346
"BD" 3.02898004767252e-05 2.87148811198094e-05
"BF" 0.000152119477694626 0.00013569402239733
"BI" 8.26552537215794e-06 8.09482263502068e-06
"BK" 8.47353196500084e-07 8.25661290076059e-07
"BM" 1.39603956647355e-06 1.37756529931772e-06
"BP" 6.69960972802511e-06 6.3073352577832e-06
"BQ" 1.66355096632502e-05 1.39411455228384e-05
"BU" 2.9694526350828e-05 2.96336978197e-05
"BV" 0.00511817102943807 0.00243630438080381
"CN" 0.023298531841204 0.0100200442122319
"CO" 0.00552542569458063 0.00401883198433284
"CQ" 0.0556218672644912 0.0348999106943605
"CT" 0.00021759138969873 0.000142117998803227
"CU" 0.00811301984354872 0.00424613951223092
"DA" 0.00641944644008942 0.00418369482263549
"DB" 0.00341903438651951 0.00252324436717022
"DE" 0.000366226825083344 0.000312854985538813
"DI" 4.36974994387372e-05 4.31623294536107e-05
"DK" 1.21072495997553e-05 1.20528501243557e-05
"DM" 0.00637818119721692 0.00494350069236105
"DQ" 0.00420894568214781 0.00357736033760887
"DR" 0.0269475247730445 0.017051078177572
"DS" 0.00284008926512511 0.00210912901256842
"DT" 8.34740427403974e-06 8.25515320693771e-06
"DW" 0.000253844155734038 0.000224231125239389
"DX" 0.00176939566978014 0.00123556586422601
"DY" 0.000931643288636804 0.000847219815848979
"EA" 0.000823993316696495 0.000746679609273743
"EC" 8.54435351291298e-05 8.16706497648755e-05
"EE" 0.000392428128242701 0.000359364382564211
"EI" 0.000181205599896664 0.000173067881164852
"EN" 0 0
"EO" 3.12103530983298e-07 3.09255386389034e-07
"EP" 0.00449297289959411 0.00414836923427894
"EQ" 0.00566341788443326 0.00399035866503666
"ER" 0.000715079042883843 0.000613694403993241
"ES" 0.000257543714000854 0.000249567590000123
"ET" 0.000320051724675177 0.000302355305728194
"EU" 0.00011173494646195 0.000105982209990631
"EV" 0.00128626063539365 0.00109800742718421
"EW" 0.000234802484814294 0.000227005100620574
"EX" 0.000698905166338072 0.000665584684430595
"FA" 1.2139560005276e-05 1.20025626110732e-05
"FE" 4.06729850151076e-05 3.6800840476819e-05
"FF" 0.000421748038082666 0.000354474357551534
"FI" 3.31158487203077e-05 3.08104086637523e-05
"FS" 2.19261629225899e-07 1.27777499503038e-07
"FU" 3.64473945501827e-05 3.45795227841694e-05
"FY" 0.000639454872001921 0.000592668257982201
"GA" 0.000506391018257423 0.000434335670628217
"GC" 4.34924122930596e-05 4.32217858428991e-05
"GM" 0.00255393138138757 0.00177474255732096
"GU" 0.000449421874480158 0.000415913999307581
"GY" 0.000176815025293825 0.000174408143629654
"HA" 0.000127656988115381 0.000120895826489762
"HB" 6.33314583073762e-05 5.86255001288571e-05
"HE" 0.000239685659582766 0.000190037998241541
"HF" 6.3762427225686e-05 5.70355659190616e-05
"HI" 0.000352808166372278 0.000308832483337087
"HL" 0.000808919508253048 0.00067811578235564
"HQ" 7.68568944026235e-05 7.4047426325183e-05
"HT" 0.000441736429184305 0.000367521715165227
"HY" 0.00669965742043091 0.00433489143061132
"IA" 0.0172091738253798 0.0110349385073841
"ID" 1.42591479815644e-05 1.39102911024509e-05
"IF" 5.94872608969498e-05 5.71726428368316e-05
"IG" 0.00431139232899385 0.00316189881627115
"IH" 4.97817718785762e-05 4.81417605640215e-05
"II" 4.66793578374729e-05 4.50268413648179e-05
"IJ" 0.000147632015691106 0.000142828781087438
"IK" 2.26332993712472e-05 2.22138173192196e-05
"IL" 3.62052417440366e-07 3.55749243453013e-07
"IM" 2.71492819811744e-05 2.65373369789733e-05
"IO" 3.29926290991694e-06 3.2686556591089e-06
"IP" 2.78426248819642e-06 2.75160212127558e-06
"IQ" 0.00166390498069327 0.00161233677254419
"IU" 6.39637281270176e-05 6.28688282538579e-05
"IX" 2.52767009699097e-06 2.51737336786803e-06
"IY" 0.000303417753604683 0.0002617266710183
"JA" 0.000766885431546541 0.000725036136045474
"JB" 1.86353953326874e-05 1.82499748254697e-05
"JI" 0.000253162462958562 0.000221381210004886
"JM" 2.84534852856102e-06 2.59893673171874e-06
"JO" 9.93825084801637e-05 8.87418746944794e-05
"JS" 5.24775502777522e-06 4.97114044002065e-06
"JU" 7.95271694507989e-05 7.39292339326666e-05
"JW" 5.9898657461441e-08 5.7984659631158e-08
"JY" 0.00094264714810083 0.000835300710328195
"KA" 5.30703708112536e-06 5.09794916374691e-06
"KI" 0.00371015500302227 0.00313594211814622
"KM" 0.0139576700819131 0.0095312168092173
"KU" 9.1407385378519e-06 9.00589780694986e-06
"KV" 7.50491140743805e-06 7.34781550212014e-06
"KY" 3.87757528354718e-06 3.85499612042514e-06
"LE" 3.28319633544291e-05 3.24377072834255e-05
"LI" 0.00531574608524175 0.00273092217344776
"LJ" 0.00164256527428425 0.00119641266627901
"LQ" 0.000363198745625917 0.000311329968005461
"MA" 0.00593670028990882 0.00449935475973783
"MC" 0.000864148137604241 0.000572700703791174
"ML" 8.02593340739016e-06 6.48427946807781e-06
"MM" 6.57381958141777e-06 6.49881798333781e-06
"MQ" 0.000103411475006537 8.73203595472342e-05
"MR" 1.84727722291754e-05 1.78623798181764e-05
"MU" 5.72072892760668e-06 5.22783752377593e-06
"MW" 2.59739431578407e-05 2.41956915253913e-05
"MY" 0.00327198249612285 0.00240069409618496
"NE" 0.00346007721183814 0.00284791215799607
"NI" 0.00870059929431603 0.00689029172303535
"NM" 3.36711501749196e-06 3.3022962880088e-06
"NN" 0.000984351171957393 0.000851086866654593
"NQ" 0.000438004582802446 0.00040175552216137
"NS" 0.000156276367289233 0.000149100332242497
"NU" 0.000101257343244974 9.82742491203983e-05
"OA" 0.000127335070423898 0.000120724857861879
"OE" 4.38523109246035e-06 4.34100658792607e-06
"OI" 0.000464547460581048 0.000304475282089782
"OM" 6.87906984674301e-05 6.58505541502102e-05
"OO" 4.22270430169772e-05 3.43208325358324e-05
"OP" 0.000151900582555966 0.000117544804355567
"OR" 2.09761169276166e-06 2.05444623063058e-06
"OT" 0.00152311677253454 0.00119742704086088
"OU" 8.68064873788e-06 8.41905806581822e-06
"OX" 7.47935272627758e-07 6.98026530573804e-07
"OY" 9.02972854982692e-05 8.43189384764205e-05
"OZ" 6.33200186172171e-06 5.3639942983353e-06
"PA" 2.39834473337226e-06 2.31239480738618e-06
"PC" 6.43758704558413e-05 6.3592235405582e-05
"PD" 5.13898129862106e-07 5.12141310263164e-07
"PE" 7.20128997837894e-05 7.06521495417372e-05
"PF" 2.03692597936195e-07 2.03398432085208e-07
"PG" 9.88327848113776e-08 9.8325174221889e-08
"PH" 7.14453866106344e-08 7.08126074472802e-08
"PI" 0.000200090594497895 0.0001864003815985
"PJ" 4.09993261154996e-06 3.86882309466587e-06
"PK" 1.10927801271484e-05 1.0922826432375e-05
"PM" 0.000195123178654971 0.00018929063404014
"PN" 0.000440299136469872 0.000432085640904375
"PO" 0.000650590340604207 0.000618920145430136
"PQ" 6.24945167785144e-05 6.21896713327651e-05
"PS" 0.000116215844017614 0.000112773088333168
"PT" 0.000523534296038783 0.000425443244954732
"PU" 8.46469345008497e-05 8.31804082264173e-05
"PW" 0.00085604643707309 0.000564737854843403
"PY" 0.0114750039627319 0.00779666454214054
"PZ" 2.36329775311352e-05 2.33835602157968e-05
"QA" 0.00875201133718875 0.00501504660886046
"QC" 5.81466217306938e-07 5.6688099505877e-07
"QD" 3.90129413729122e-08 3.85720285055637e-08
"QE" 0.000286700682597331 0.000240540585719676
"QF" 3.13668156391301e-06 3.07423828424972e-06
"QG" 8.65128199289672e-06 8.51274359810334e-06
"QH" 4.40674501104713e-06 4.34600938149132e-06
"QJ" 4.32647402380423e-06 4.09321718338113e-06
"QK" 3.68015431375875e-07 3.61228118229271e-07
"QQ" 4.46166406640819e-05 4.41850468035201e-05
"QU" 0.000798491185598013 0.000661970397699257
"RA" 0.000519680442852399 0.000364159039802812
"RB" 0.000206096961728785 0.000189563860307716
"RE" 1.16051008286607e-06 1.15033308733573e-06
"RO" 0.000797921533570232 0.000417599759950061
"RP" 8.10880023253885e-05 6.26542627156829e-05
"RQ" 1.96786425369409e-05 1.60327313618497e-05
"RT" 0.0975849160276244 0.0450144045071477
"RU" 0.324858879605778 0.1185269504981
