"Q" "C"
"AA" 0.00105970731852719 0.000897579256937154
"AC" 0.000239341842381136 0.000230005505920874
"AD" 4.1927322655071e-05 3.95315657007926e-05
"AE" 0 0
"AF" 0 0
"AH" 5.25297917116256e-06 4.9127039363567e-06
"AI" 4.92574440312292e-06 4.77086640786209e-06
"AM" 4.0892553761061e-06 3.94509954124154e-06
"AQ" 3.46168059905494e-05 3.20429426178147e-05
"AY" 0.00147434612863524 0.000837845909646387
"AZ" 1.40067518292857e-06 1.19595755801853e-06
"BA" 0.00257882481985199 0.00173119061584125
"BD" 3.34961144507237e-06 3.26198855938493e-06
"BF" 0.000187050425767436 0.000170190863597396
"BI" 1.14371644708591e-05 1.12456493817169e-05
"BK" 0 0
"BM" 1.29984921749077e-06 1.28534038775225e-06
"BP" 1.83508124822227e-06 1.72799345743961e-06
"BQ" 1.84840385213208e-06 1.57227945812067e-06
"BU" 1.92616412203147e-05 1.92063108900089e-05
"BV" 0.00380483033569033 0.00184196137496717
"CN" 0.014338689540055 0.00637559873313619
"CO" 0.00344735353314626 0.00281610313627711
"CQ" 0.0061007741157442 0.00469172324658124
"CT" 1.35080165575624e-05 9.99716951830284e-06
"CU" 0.00425725787141509 0.00273626279730345
"DA" 0.00306512705689368 0.00238215153169256
"DB" 0.000586297001845921 0.000493734102875876
"DE" 2.17452056075513e-05 2.01654547377019e-05
"DI" 9.02542673898913e-05 8.91556768371481e-05
"DK" 1.59119912649961e-05 1.58405929166928e-05
"DM" 0.00593384824574406 0.00473893497533252
"DQ" 0.0044780574052732 0.00378415951584816
"DR" 0.00162726056951216 0.00124844829292688
"DS" 0.00140441599956389 0.00103230164291851
"DT" 1.8960470696946e-05 1.87373536699071e-05
"DW" 8.11728132321462e-06 7.55780654250413e-06
"DX" 0.000249042067695666 0.000198831403954704
"DY" 0.000233077500636687 0.000219370308339122
"EA" 0.000195947582091188 0.000183630965883522
"EC" 4.76677437742453e-05 4.62148440563853e-05
"EE" 6.35768979696098e-05 6.03935506567425e-05
"EI" 0.000183784860065153 0.000177968697017526
"EN" 0 0
"EO" 0 0
"EP" 0.00584709813587975 0.00527548986946486
"EQ" 0.00374529351293973 0.00264131381840587
"ER" 0.000402231592293437 0.000338214677924076
"ES" 0.000173509612865291 0.000165177012185127
"ET" 0.000640306132478207 0.000598536821145162
"EU" 5.51371235416222e-05 5.2412636441599e-05
"EV" 0.00592836450329211 0.00505531888828788
"EW" 0.000508357755963835 0.000483214300907437
"EX" 0.00169446552734712 0.00158126760495266
"FA" 1.54712354118802e-05 1.52840788732986e-05
"FE" 2.44487946200473e-05 2.22148366471029e-05
"FF" 0.000420804901713712 0.000340969727985045
"FI" 8.78631902506138e-06 8.42029076758103e-06
"FS" 0 0
"FU" 0.000113017868460595 0.000107977571964342
"FY" 0.000842982513647733 0.000780175466375801
"GA" 0.000357768726335395 0.000316233651495145
"GC" 4.0624557516891e-05 4.03444210338661e-05
"GM" 0.000944845420608105 0.000674327221625599
"GU" 6.23427180180112e-05 5.98206050893752e-05
"GY" 0.000184256971639065 0.000181897537828059
"HA" 7.13228534198177e-05 6.76505760901668e-05
"HB" 3.52854780448722e-05 3.28387652329078e-05
"HE" 0.000152726092150574 0.000120835273341993
"HF" 4.20240871211965e-05 3.77678242396771e-05
"HI" 0.000228031607245292 0.000199976518911024
"HL" 0.000589826357606835 0.000491800192689285
"HQ" 1.94944325678987e-05 1.8948389354416e-05
"HT" 0.000143806361293587 0.000130589008565464
"HY" 0.000703189862857387 0.000534679994179908
"IA" 0.00548465931968301 0.00398793393118457
"ID" 1.06433977415598e-05 1.04515967618851e-05
"IF" 0.000106466318499426 0.000101453126438276
"IG" 0.00938399488024438 0.00660165576678061
"IH" 2.12702599225763e-06 2.07925835443615e-06
"II" 2.14398432512778e-05 2.09208323868058e-05
"IJ" 2.64488181888232e-05 2.54371879711736e-05
"IK" 2.14822015630707e-05 2.09438001423252e-05
"IL" 0 0
"IM" 2.70856192102359e-05 2.65570143520646e-05
"IO" 0 0
"IP" 0 0
"IQ" 0.00511436686789012 0.00483772688010592
"IU" 6.98819320711404e-05 6.83199731553443e-05
"IX" 0 0
"IY" 1.24785524879114e-06 1.14990325914926e-06
"JA" 0.000129741877124255 0.000124664146667344
"JB" 1.24488912111196e-05 1.22526426423717e-05
"JI" 9.35583572939929e-05 8.18444390448211e-05
"JM" 2.4215372834933e-06 2.22582570900419e-06
"JO" 3.54666465268238e-05 3.1866436559442e-05
"JS" 1.76383635466398e-05 1.67209839545591e-05
"JU" 6.18220969294391e-06 5.94729234681325e-06
"JW" 0 0
"JY" 0.000156979173445188 0.000146204119296136
"KA" 0 0
"KI" 0.000809739158864719 0.000690748938685587
"KM" 0.00332781169307292 0.00265971945467747
"KU" 4.25897695302004e-06 4.20803678118289e-06
"KV" 0 0
"KY" 2.0345466012899e-06 2.0245328118568e-06
"LE" 4.23354672837929e-06 4.19199123975122e-06
"LI" 0.00351955294331184 0.00191966980175645
"LJ" 0.000864650623711536 0.000631430080436435
"LQ" 0.000290409125918765 0.000250479716407659
"MA" 0.00492138415412794 0.00395070618263867
"MC" 0.000872658048882142 0.00065841056322204
"ML" 5.8004092971354e-06 4.69511175163866e-06
"MM" 1.55981906098893e-06 1.54352231034402e-06
"MQ" 4.03669084790736e-05 3.47632730648789e-05
"MR" 2.97017143063002e-06 2.8742975993029e-06
"MU" 1.55981906098893e-06 1.49446923760519e-06
"MW" 9.17540624111133e-07 8.60596080825129e-07
"MY" 0.0024852201000438 0.00182781338125889
"NE" 0.0010364819136588 0.000869078288551388
"NI" 0.000916167215285617 0.000788051867694188
"NM" 0 0
"NN" 0.000577841920799547 0.000525845700365604
"NQ" 0.000203748604233033 0.000187675142369125
"NS" 6.86267147995685e-05 6.60216687209617e-05
"NU" 0.000120674949625251 0.00011678461917262
"OA" 0.000208269621545547 0.000195483951012342
"OE" 0 0
"OI" 0.000102208190764547 7.38089691657965e-05
"OM" 4.0736518080629e-05 3.9063925697032e-05
"OO" 2.95576501940695e-05 2.43095495911639e-05
"OP" 0.000171537304775367 0.000140264172512758
"OR" 8.13818640515961e-07 7.98278596905705e-07
"OT" 0.00172286436661995 0.00133658753970364
"OU" 3.01907601669026e-06 2.96468387502472e-06
"OX" 0 0
"OY" 6.46077548951849e-05 6.0224477492982e-05
"OZ" 0 0
"PA" 4.32683103849944e-06 4.17022000124212e-06
"PC" 8.56531023773227e-05 8.45899538589125e-05
"PD" 0 0
"PE" 4.45159238541901e-05 4.32902240694356e-05
"PF" 1.18467270454855e-06 1.18311401434179e-06
"PG" 0 0
"PH" 1.12758004408838e-06 1.1175832673431e-06
"PI" 1.43345236251422e-05 1.38066405744233e-05
"PJ" 3.34458356530832e-06 3.23840091500243e-06
"PK" 3.11963812197785e-06 3.06747144958311e-06
"PM" 0.000111506711526941 0.000108627932155213
"PN" 0.000681436639262813 0.00066448585340006
"PO" 0.000405672337222107 0.000385605251241356
"PQ" 6.98204996603998e-05 6.93233517523757e-05
"PS" 0.000101039564754073 9.81303059607004e-05
"PT" 0.00101598087786826 0.000807521358799431
"PU" 0.00013676662186877 0.00013378237059834
"PW" 0.000275580605827735 0.000199718795453894
"PY" 0.0105574054768863 0.00722944774377105
"PZ" 1.89068764345234e-05 1.86912846249819e-05
"QA" 0.00285304740066588 0.00191763580884353
"QC" 0 0
"QD" 0 0
"QE" 9.41070112538769e-05 8.20741963852037e-05
"QF" 2.33972859148339e-06 2.28142231723879e-06
"QG" 2.71272880171987e-07 2.66567559302625e-07
"QH" 1.73313228998769e-06 1.70946755530352e-06
"QJ" 0 0
"QK" 0 0
"QQ" 2.7028208925477e-05 2.67948084715082e-05
"QU" 0.000228932109321542 0.000207790758146405
"RA" 0.000155136549067879 0.000121874037723692
"RB" 9.24868596270445e-05 8.38314041443316e-05
"RE" 3.22721185032191e-06 3.20173246760455e-06
"RO" 0.000263710390094253 0.000169386371856009
"RP" 4.40790184424066e-05 3.37464396121109e-05
"RQ" 1.50784612332123e-05 1.36011189953767e-05
"RT" 0.151820469994244 0.0623238321156957
"RU" 0.236738891587547 0.0886571513877377
"RX" 0.106391718212496 0.0379155249339333
"RY" 0.000264909205838609 0.000241079258249304
"RZ" 6.36150749061248e-05 5.25933622792345e-05
"SA" 0.000479192959273766 0.000392645292862402
"SD" 0.000776535058238725 0.000669964459515536
"SI" 8.06802962580479e-07 7.95984532428381e-07
"SR" 2.05225388731136e-05 2.00388465760154e-05
"SU" 0.00342837905234102 0.00293488666442144
"SY" 0.00100477009049019 0.000954571580961455
"TA" 0 0
"TC" 0.00434321213682255 0.00353986017234226
"TD" 0.00641441437995047 0.00475790730452023
"TE" 8.03613613119015e-06 7.96019341651706e-06
"TI" 1.17380975078154e-05 1.05066466042387e-05
"TM" 0.00263627866223982 0.00178714730550179
"TQ" 0.00776330587957402 0.00550615211051891
"TU" 0.00659452812198737 0.00405763138533726
"UA" 2.61878005701555e-05 2.3641904868732e-05
"UB" 0.000213003644193915 0.000206376284266793
"UE" 0.00383311192688449 0.00333654658567485
"UF" 0.000334627008321729 0.000324895776427437
"UH" 0.000682356570548896 0.000660644270889056
"UI" 0.000571496140397136 0.000556612161273488
"UK" 8.70523417356718e-05 8.52105687267177e-05
"UM" 0.00984821041001034 0.00557689479806758
"UN" 1.26254185683292e-05 1.24715386114009e-05
"UP" 2.25593852200144e-05 2.24091681308966e-05
"UQ" 0 0
"UR" 0.000806679212963482 0.000778001995999343
"UT" 1.94977382623616e-06 1.94817605080723e-06
"UU" 2.90216334905151e-06 2.87244966092089e-06
"UY" 2.33585113334313e-05 2.2627050169626e-05
"VE" 0.040246736300138 0.0216306562327965
"VI" 0.0109244114088737 0.00518725285889858
"VJ" 0.0037169490851477 0.00236987564150909
"VM" 1.76583289923275e-06 1.74230952868317e-06
"VP" 4.38566300051138e-05 3.53397983234113e-05
"VS" 0.000547960574139327 0.00042928413233575
"VX" 0.0247595325557413 0.0134435773469434
"VY" 0.163053460595171 0.0896618753080619
"WC" 0.0015936802319257 0.00101120914995394
"WE" 0.000693185846942285 0.000570317830254973
"WF" 4.86867584683e-05 4.36615290013246e-05
"WH" 0.000778322564453526 0.00068160516926481
"WM" 2.20761531694016e-05 1.86363820064045e-05
"WQ" 0.000800645823151616 0.000711953690382795
"WU" 6.34612496611691e-05 5.5138890266303e-05
"WV" 8.40842722126735e-05 7.20893137681654e-05
"WY" 1.93327381928401e-05 1.74612543176156e-05
"XA" 4.62358348356211e-05 4.4639783562749e-05
"XE" 1.5309207390752e-05 1.5048469676056e-05
"XQ" 0.00261149081570563 0.00236432200261962
"XW" 0.00103666890115215 0.000829777654145802
"XY" 0.00157507821129981 0.00149833879147442
"YA" 0.0397335795184574 0.0295778668185746
"YE" 2.16980990644156e-05 2.10282005020453e-05
"YG" 0 0
"YI" 0 0
"YO" 0.000440318285636146 0.000342568364301928
"YP" 0.000161041690521754 0.000134030888736781
"YQ" 2.35351725039744e-05 2.25284814124523e-05
"YR" 1.41661836329408e-05 1.37613969563407e-05
"YU" 5.72495742678674e-05 5.18205545517246e-05
"YY" 0 0
"ZA" 0.000551922475499352 0.000489815062518452
"ZC" 0.000141206135581856 0.000128371361569006
"ZD" 0.0191590374180189 0.0145650916490574
"ZE" 0.000320861023945514 0.000285959028357296
"ZK" 1.75254012110594e-05 1.51887383865097e-05
"ZM" 0.001125832551145 0.000931337454399157
"ZQ" 0 0
"ZR" 1.03441325327082e-05 1.01819551829142e-05
