"Q" "C"
"AA" 0.00040360376017815 0.00034182826414879
"AC" 0.00077920089861479 0.000668507856682872
"AD" 0.000125810983094014 0.000121827979471173
"AE" 0.000262802282253746 0.000229391043331133
"AF" 5.99287199670306e-06 5.86256222856971e-06
"AH" 0.00035637309407261 0.000324484733010637
"AI" 0.000846517006777638 0.000692215763465821
"AM" 0.000278475779866078 0.000264467858683383
"AQ" 4.23356102429158e-05 4.12298807279027e-05
"AY" 8.92137333178021e-05 8.05300471811842e-05
"AZ" 1.8493317757798e-05 1.73882315476418e-05
"BA" 4.64662374748459e-05 4.48783874085621e-05
"BD" 1.30587580273799e-05 1.24306928926291e-05
"BF" 0.000178240717982863 0.000170570763707838
"BI" 0.000366629588710178 0.000348118387180278
"BK" 0 0
"BM" 0 0
"BP" 6.77574249858558e-05 5.86621191771842e-05
"BQ" 4.42117921692074e-06 4.24104630536084e-06
"BU" 0.00830815718885612 0.00755014485150569
"BV" 2.14531250385034e-05 2.05195614886977e-05
"CN" 8.04095322118412e-05 7.64270263333222e-05
"CO" 0.00188931814076404 0.00154767938646111
"CQ" 0.00459700059312973 0.00407837013877121
"CT" 3.09004680981934e-05 2.79579336918937e-05
"CU" 0.00448870763347998 0.00392223800128393
"DA" 0.00509874821089232 0.00431168976624578
"DB" 0.00207341491509311 0.00179950571961589
"DE" 0.00074130704381445 0.000699457466521539
"DI" 8.831308266081e-06 8.75485222387277e-06
"DK" 3.64097111981708e-07 3.62359641171783e-07
"DM" 0.00726005578366021 0.00662911366007942
"DQ" 0.000870533073811663 0.000834871712061031
"DR" 0.00186679550136643 0.00169531771650378
"DS" 9.44104682720444e-05 9.02543775447146e-05
"DT" 0.00604874140627532 0.0050786727655567
"DW" 0.00171651497381498 0.00134905988476355
"DX" 0.0012600059422405 0.00110031944829987
"DY" 0.00837143282755754 0.00584847752801439
"EA" 0.0154510502168501 0.0121218304195462
"EC" 0.0254938163894785 0.0201713102221968
"EE" 0.0013541246169805 0.00116827772248114
"EI" 0.0186005271504067 0.0122856434531668
"EN" 0 0
"EO" 0 0
"EP" 0.000987194301879198 0.000879496183253871
"EQ" 1.71839161453077e-05 1.67740703801788e-05
"ER" 6.24602687128406e-05 5.5675373035943e-05
"ES" 0.000643713158584732 0.000564883505331472
"ET" 0.000375275732664612 0.000334856333894402
"EU" 3.65671483918393e-05 3.60003298623896e-05
"EV" 0.00341210487648264 0.00273045181905612
"EW" 0.000741040478420311 0.000680309810928201
"EX" 0.000806578620560841 0.000729099835584786
"FA" 0.00105901992616162 0.000914526842749874
"FE" 7.9354498765244e-07 7.85005658356791e-07
"FF" 3.79962713121695e-05 3.66928603740454e-05
"FI" 0.00243833294983588 0.00178410749308926
"FS" 0 0
"FU" 0 0
"FY" 0.00023483076296184 0.000228197822617594
"GA" 0.000214663455934955 0.000205905280227985
"GC" 0.00433851751904402 0.00403697656384578
"GM" 2.71807087291928e-06 2.62641706293727e-06
"GU" 0.000269765095782136 0.000255816455518224
"GY" 8.42491569081048e-05 8.3169624397848e-05
"HA" 4.83805165212765e-05 4.76599485226373e-05
"HB" 9.08217148115016e-05 8.51900197114268e-05
"HE" 0 0
"HF" 7.26820830148366e-06 7.09808450876072e-06
"HI" 2.09269149600915e-05 2.06920585500989e-05
"HL" 5.82138102778623e-05 5.55900992154407e-05
"HQ" 0.00318331203279275 0.0022718094611593
"HT" 7.60910809203962e-05 7.20209682381297e-05
"HY" 0.000126353282876796 0.000117371767955825
"IA" 0.000937675642847494 0.000869299604076478
"ID" 0.00710274414228968 0.00549687416741603
"IF" 0.00260150330781828 0.00180156303533276
"IG" 0.00831976950154155 0.00672303793077207
"IH" 0.00294559647184584 0.00243076665080768
"II" 0.0062476049427434 0.00480053216071614
"IJ" 0.00133414977478581 0.00121453542849379
"IK" 0.000441618203646186 0.000358228797467294
"IL" 4.18219655654664e-07 3.67355956303884e-07
"IM" 0.00190792389281617 0.0016066427807624
"IO" 7.50485258770055e-05 6.87922653597143e-05
"IP" 7.3279777328122e-05 6.31456503631187e-05
"IQ" 0.0305133910758146 0.0238117588012084
"IU" 0.00748061218017613 0.00593661574672493
"IX" 0.000387925424075907 0.000361105230496474
"IY" 0.000226757839058536 0.000215871123224672
