"Q" "C"
"AA" 0.000312072947664333 0.000290007356898417
"AC" 6.05873817846637e-05 5.9640995942495e-05
"AD" 2.98284352392457e-05 2.8132619838515e-05
"AE" 1.38699969964282e-05 1.33544531481189e-05
"AF" 1.75484998758802e-05 1.68448738919118e-05
"AH" 2.49504112909894e-05 2.32498411984611e-05
"AI" 1.00629489625259e-05 9.89229537295432e-06
"AM" 1.96821102693917e-05 1.90477131360843e-05
"AQ" 0.00109487411527545 0.000935122859955674
"AY" 4.66783821166179e-05 3.65710048282077e-05
"AZ" 4.74357161457141e-05 3.77088668197729e-05
"BA" 0.00851289098717293 0.00654027046718958
"BD" 1.22906836176693e-05 1.2011304767297e-05
"BF" 0.000624774141803938 0.000556268759817294
"BI" 1.5313413277718e-05 1.50977353572225e-05
"BK" 1.5542484978271e-05 1.4833626719461e-05
"BM" 5.58009385096169e-05 5.32367692351933e-05
"BP" 1.54620217300424e-05 1.48590046931476e-05
"BQ" 0.000110192353498505 9.48970000535445e-05
"BU" 1.255473866056e-06 1.25385103317666e-06
"BV" 0.000345750436024913 0.00026961947303212
"CN" 0.00173679600592421 0.00135432419529932
"CO" 0.000162645423634719 0.000142872383201425
"CQ" 0.00137220428313354 0.00115191438158032
"CT" 1.58637686032436e-05 1.27880289916632e-05
"CU" 0.000738347250092104 0.000561894641048144
"DA" 0.000237808593455436 0.00020270389391622
"DB" 0.000522182750544228 0.000448919747036594
"DE" 0.000186507429587457 0.000176087811510125
"DI" 0.00173595766273749 0.00166236787012782
"DK" 4.10795058207993e-05 4.03174830210382e-05
"DM" 0.0261868943991514 0.0199727623169812
"DQ" 0.0200697876156783 0.0156752815570199
"DR" 0.00135103743393075 0.00111862570259486
"DS" 0.0170126889719495 0.0120040962354742
"DT" 1.96453774367026e-05 1.94957027116313e-05
"DW" 6.24071657679584e-05 5.84460061418942e-05
"DX" 0.0002698017953991 0.000226682363097149
"DY" 0.00029478243868507 0.000282836961615855
"EA" 0.000105659998807006 0.000100840590479666
"EC" 1.92877457470764e-05 1.89467038812318e-05
"EE" 4.17298566486426e-05 4.02083882124968e-05
"EI" 4.91346474324464e-05 4.82317645886244e-05
"EN" 1.21742920344825e-06 1.10928666430442e-06
"EO" 0 0
"EP" 0.000303965879182494 0.000292336758820866
"EQ" 0.0138975959780654 0.00965012329139978
"ER" 9.08447930798499e-05 8.46077190328802e-05
"ES" 4.91629673618803e-05 4.81691063260108e-05
"ET" 0.00233211572538853 0.00221506747209545
"EU" 0.00108407778252974 0.000955961113848148
"EV" 0.00344807439299341 0.00311773038345264
"EW" 0.000153512494458867 0.000149644347122874
"EX" 0.000343146563691569 0.000332237516968866
"FA" 4.66548111590614e-05 4.58606950297617e-05
"FE" 0.00086122274019745 0.000721256828906715
"FF" 0.00733075454766608 0.00530728130794224
"FI" 1.02017185501176e-05 9.93711803222531e-06
"FS" 1.0043790928448e-06 8.15287661579596e-07
"FU" 0.00106957122479833 0.000874889990795367
"FY" 0.00157821308014785 0.00145339255024966
"GA" 0.00352035364412493 0.00299091287979046
"GC" 1.1406876840166e-05 1.13499269138728e-05
"GM" 0.00397525339442786 0.00281065022688719
"GU" 0.000149358168686056 0.000144482909259976
"GY" 0.000858761944477554 0.000821050159865814
"HA" 0.00669922861005055 0.00594270755773674
"HB" 0.00551956361451323 0.00443369920105766
"HE" 0.000855422651862703 0.000691536623290568
"HF" 0.00183367177398304 0.00148731593766357
"HI" 0.00169792542182305 0.00145696566282058
"HL" 0.0379559074581487 0.021386364636506
"HQ" 2.64451430199944e-05 2.60034176586767e-05
"HT" 5.43079833906071e-05 5.07668992840697e-05
"HY" 0.000188482951200447 0.000161227141228375
"IA" 0.0111639572715665 0.00833629842248023
"ID" 4.92437249987025e-05 4.8472569443468e-05
"IF" 0.000102703180015811 9.98597101348451e-05
"IG" 0.00085984968286987 0.00072078465437765
"IH" 0.00013289440867675 0.000128250843957935
"II" 8.14949727421855e-05 7.98199778003433e-05
"IJ" 0.00061940223737503 0.000588140172393427
"IK" 6.15685586504729e-05 6.03701192961264e-05
"IL" 0 0
"IM" 3.03429225010155e-05 2.95515578302502e-05
"IO" 8.6744572703353e-06 8.60219576542556e-06
"IP" 1.49540887156893e-05 1.48291293071891e-05
"IQ" 0.000200272579521343 0.000196720426079415
"IU" 4.07258080143056e-05 4.02263860335459e-05
"IX" 8.58861290342549e-06 8.5504194034002e-06
"IY" 3.83036232839829e-05 3.61208698341546e-05
"JA" 0.00121917785398424 0.00114464100508037
"JB" 0.000286631193909303 0.000273361702010377
"JI" 0.000863005685312373 0.000690557249290575
"JM" 0.000327458116016993 0.000245713584551627
"JO" 0.00552660060279805 0.00420963333215612
"JS" 1.62917394939478e-05 1.50786230867392e-05
"JU" 3.99109871698072e-05 3.85118327187761e-05
"JW" 1.68482836917211e-05 1.61399614993875e-05
"JY" 0.000251068422905508 0.00023228890954855
"KA" 7.00021791982742e-06 6.8678145010088e-06
"KI" 0.00596562061084957 0.00494020228705283
"KM" 0.00171621527410597 0.00144011820858426
"KU" 0.000254433309313983 0.000243780125532242
"KV" 1.48733308467645e-05 1.46752756161946e-05
"KY" 3.52010958254179e-06 3.50468219848715e-06
"LE" 6.02102747258231e-05 5.9589562912142e-05
"LI" 0.0164336672676789 0.0100286741383293
"LJ" 0.0176393849719703 0.011410963191481
"LQ" 0.02276123044983 0.012793430317249
"MA" 0.00636008995355991 0.00485393117988689
"MC" 0.00018265245487081 0.000153256304551518
"ML" 0.000230014539632252 0.000128011618803937
"MM" 0.000228779642139447 0.000222882408185275
"MQ" 0.00070011792888562 0.000587185037192591
"MR" 0.000420629074711059 0.000395960643116773
"MU" 8.70454802388732e-06 8.38689733205317e-06
"MW" 5.81430451733246e-05 5.14481366288336e-05
"MY" 0.00890770503042064 0.00671198215819672
"NE" 0.0703347519092443 0.0392502934971904
"NI" 0.00519035419315073 0.00421194463011926
"NM" 0.000521026059071965 0.000473077944362355
"NN" 0.00946464082899358 0.00749831797372126
"NQ" 0.00559216776120167 0.00483345987931884
"NS" 2.84676508576602e-05 2.78538418192819e-05
"NU" 0.00214263771742051 0.00197964427510872
"OA" 3.25986318190924e-05 3.17298943594977e-05
"OE" 5.76385199480046e-05 5.5994938363488e-05
"OI" 0.00215539100122042 0.00159098997284462
"OM" 0.000655162696830618 0.000608937733772909
"OO" 0.00147393646598719 0.000953217732300093
"OP" 0.00055001217584968 0.000437007031400377
"OR" 2.61952835172071e-05 2.526080433198e-05
"OT" 0.000329292200752276 0.000296348327592383
"OU" 2.84025235271686e-06 2.77206916517824e-06
"OX" 1.14228542315515e-05 1.09525217384427e-05
"OY" 0.000125206168540717 0.000120064862998685
"OZ" 3.62884645001681e-05 3.10719866142745e-05
"PA" 0.000112960819721334 0.000109038435786991
"PC" 0.00554988415855301 0.00527256311282649
"PD" 1.49249172864476e-06 1.47640600074406e-06
"PE" 0.00028279121277777 0.000273885583588432
"PF" 1.14786182039406e-06 1.14237046877066e-06
"PG" 4.46390707931024e-06 4.4431144366584e-06
"PH" 5.7393091019703e-06 5.68355857509653e-06
"PI" 3.55378628459049e-05 3.43252699711287e-05
"PJ" 1.0043790928448e-06 9.79722879288341e-07
"PK" 3.93275385325438e-05 3.90449651228479e-05
"PM" 0.00010321284467282 0.000101845359429728
"PN" 0.000202380062767781 0.000199459091402554
"PO" 0.000806828179207115 0.000772320940909238
"PQ" 0.00106289526206828 0.00105680071133017
"PS" 0.000465018037235654 0.000438780429170711
"PT" 0.00593341506998096 0.00398762853441695
"PU" 7.81354471654493e-05 7.72187858077983e-05
"PW" 0.00054648537455212 0.000370708081438139
"PY" 0.0711677036529224 0.0360169294431259
"PZ" 3.62681064142343e-05 3.60835711067694e-05
"QA" 0.00316628506921438 0.00217340531439583
"QC" 1.33917212379307e-05 1.30968157189767e-05
"QD" 2.1144823007259e-06 2.08906476825246e-06
"QE" 7.32484332773689e-05 6.66978783573874e-05
"QF" 1.13351354763914e-05 1.12074738243868e-05
"QG" 1.37718891485313e-05 1.36759091832647e-05
"QH" 1.03013240291775e-06 1.02281767087274e-06
"QJ" 1.31469263335814e-05 1.2811167990683e-05
"QK" 2.73120630510429e-06 2.69830785391605e-06
"QQ" 7.84659425150066e-05 7.74081757189269e-05
"QU" 0.00205550205044155 0.00179861752824197
"RA" 5.5926378693644e-06 4.83116510839007e-06
"RB" 1.95491800030446e-05 1.88647405259e-05
"RE" 1.59026689700427e-05 1.58095854498588e-05
"RO" 0.000147168278674826 0.00011120110979632
"RP" 2.2392919078127e-05 1.98761749494971e-05
"RQ" 2.80820785194587e-05 2.50471698571556e-05
"RT" 0.018114562450412 0.0128065247457567
"RU" 0.00858882896999447 0.00662921309336762
"RX" 0.000170699072177717 0.000136756335873779
"RY" 4.68934929199586e-05 4.49440719865496e-05
"RZ" 0.249285406688186 0.124656505769525
"SA" 0.00896090889314814 0.00664471462553842
"SD" 0.0260367020703844 0.0196874687992311
"SI" 2.94454004342674e-05 2.90828928911828e-05
"SR" 2.86965455098515e-06 2.83334111335246e-06
"SU" 0.000693937941860656 0.000637222235503915
"SY" 3.39435804053364e-05 3.34140900310102e-05
"TA" 2.67834424758614e-06 2.61130642753512e-06
"TC" 0.00356353342781095 0.00305006536216651
"TD" 0.000973430053481186 0.00081478083923282
"TE" 8.89347641185655e-06 8.83088542812642e-06
"TI" 8.92794035214902e-05 7.54067671353998e-05
"TM" 0.000969408000327252 0.000707055315979625
"TQ" 0.0298671664045522 0.0190545508070609
"TU" 0.00788779624280813 0.00558437630187046
"UA" 0.000343471872754751 0.000324729912388281
"UB" 2.37307760623004e-05 2.34452198500423e-05
"UE" 2.13108499669101e-05 2.0440032022492e-05
"UF" 1.63692272818086e-05 1.61518803002271e-05
"UH" 5.76874145633938e-06 5.6839958398379e-06
"UI" 5.44167524883631e-05 5.38150299449139e-05
"UK" 2.69902018503851e-05 2.67436164843138e-05
"UM" 0.00171953166165472 0.00129270978943967
"UN" 3.65740285909872e-06 3.64236377956591e-06
"UP" 1.28902526174531e-05 1.28649939898376e-05
"UQ" 0.000214678445283749 0.00020240435396985
"UR" 0.000107473554152151 0.000105832807056381
"UT" 3.66996932020435e-05 3.65706690877571e-05
"UU" 0.000293966507425763 0.000285401444927879
"UY" 4.52934767481498e-05 4.43882142878542e-05
"VE" 0.0413115352207299 0.0279733249493469
"VI" 0.0107488411416814 0.00757268002388912
"VJ" 0.01264019599916 0.00845675511581182
"VM" 0.000395871003540225 0.000371150006306
"VP" 0.000326349346995516 0.000258062006150329
"VS" 0.000617209264829737 0.000544430917998147
"VX" 0.00132124424294211 0.00109779191674708
"VY" 0.00174791718215632 0.00143824338725287
"WC" 0.0107582292912947 0.0076965489703604
"WE" 0.00980008406761852 0.00723348175678929
"WF" 0.00141493601765682 0.0012045220500766
"WH" 0.00215582946305169 0.00183672396261679
"WM" 0.00183190374744669 0.00122850019472184
"WQ" 0.00405747000004622 0.00345964978519024
"WU" 0.00578980933944476 0.00390366445078194
"WV" 0.0123020785264727 0.00717628867209144
"WY" 0.00440675539615272 0.00327851388204518
"XA" 0.00273851217855243 0.00241445614356165
"XE" 4.01751637137921e-06 3.93312914109376e-06
"XQ" 3.44377027936653e-05 3.27731270365406e-05
"XW" 0.0048001927390589 0.00398669465835492
"XY" 0.00058591490524331 0.000546008154389479
"YA" 0.0139182564163779 0.0107230053515748
"YE" 6.0201864207022e-05 5.94924949790597e-05
"YG" 7.3097779095931e-06 7.14417879563769e-06
"YI" 0.000261910506009136 0.000227961058917272
"YO" 0.00123431032982738 0.000966637881911009
"YP" 0.00190221091810661 0.00150144096454439
"YQ" 0.000197745310252054 0.000172209920730134
"YR" 2.02195561644246e-05 1.96446714888118e-05
"YU" 0.000623243523321473 0.000472144005554088
"YY" 0.000148938533845199 0.000142559077836818
"ZA" 0.00684943598131688 0.00573052562746518
"ZC" 0.000577591904332359 0.000518242723642314
"ZD" 0.00771047419935189 0.00571479287622251
"ZE" 0.000685489283410877 0.00059115118478674
"ZK" 0.00330837604999723 0.00206673996553333
"ZM" 6.34046285649409e-05 5.780481002417e-05
"ZQ" 4.58254244763425e-06 4.54658663018021e-06
"ZR" 6.83970393685619e-05 6.67608067000328e-05
