"Q" "C"
"AA" 0.000156213501585541 0.000145813376796893
"AC" 9.36641571659354e-05 9.19909491888525e-05
"AD" 0.00434821822122848 0.0035580562296127
"AE" 0.000713575758775272 0.000601428070847501
"AF" 0.00149828035354179 0.00139720043600271
"AH" 0.0168923289874958 0.0116055071959475
"AI" 1.0372124712973e-05 1.01350452976326e-05
"AM" 0.00143928468463138 0.00123821307001005
"AQ" 0.00192880253836748 0.00162621076251345
"AY" 0.000202466985676995 0.000133305480663341
"AZ" 8.63318488325425e-05 6.16441214599938e-05
"BA" 0.000775387184162445 0.000642914909473643
"BD" 4.97123790128862e-05 4.64303502165636e-05
"BF" 0.000909113005619957 0.000806191413129887
"BI" 5.62437269469031e-05 5.47140444523427e-05
"BK" 3.87510202800276e-06 3.71346225580981e-06
"BM" 9.32258991516002e-05 9.07125214214527e-05
"BP" 5.41916809352445e-06 5.12046103774808e-06
"BQ" 1.52383589986705e-05 1.37587210664479e-05
"BU" 6.71546321725684e-06 6.70052369354581e-06
"BV" 0.00247303609519357 0.00197068014632278
"CN" 0.00860814035027243 0.00672870628226933
"CO" 0.00728682416450632 0.00493082300978357
"CQ" 0.0512740862928613 0.0309538146051647
"CT" 2.33146494297954e-05 1.54321237642401e-05
"CU" 0.00424857635789902 0.00243656383640849
"DA" 0.00651734405861884 0.00406409615830952
"DB" 0.0101454878369007 0.00655521480711395
"DE" 0.00675573957161016 0.00538628105757117
"DI" 0.000862470770665545 0.000849871642420782
"DK" 7.67415335084658e-05 7.59130184487772e-05
"DM" 0.0194025240272767 0.0139235418850774
"DQ" 0.0143940019027197 0.0113801928269115
"DR" 0.0157062054093307 0.00974689076218688
"DS" 0.00374946053520368 0.00287981776044546
"DT" 6.38297224848895e-05 6.18965256572204e-05
"DW" 0.0364924679658431 0.0253049667056685
"DX" 0.00628421014146407 0.0040698550765662
"DY" 0.00292099952100195 0.00249991587793433
"EA" 0.011734004535495 0.00978227707541948
"EC" 0.000327420902860327 0.00030177462477035
"EE" 0.00255552887688418 0.00221294059461634
"EI" 0.00178585234472775 0.00162210544410702
"EN" 2.48980802497602e-06 2.37279339096343e-06
"EO" 0 0
"EP" 0.000165771688773481 0.000159950705534929
"EQ" 0.00596334573293418 0.00505994122960657
"ER" 8.07041331301603e-06 7.65464115960717e-06
"ES" 6.29785103571731e-06 6.20427545838998e-06
"ET" 0.000118474099236849 0.000113096056704419
"EU" 0.000287381866421607 0.000272355981877749
"EV" 0.000436176616595132 0.000374250029766078
"EW" 3.5699193035502e-05 3.50765916356173e-05
"EX" 6.77130186440501e-05 6.59641606468622e-05
"FA" 1.03038916867722e-05 1.0060029300838e-05
"FE" 1.32300666136188e-05 1.23916537237184e-05
"FF" 0.000271052373400703 0.000223758005917631
"FI" 0.000115998399245179 0.000103549917991144
"FS" 0 0
"FU" 0.000208576097902571 0.000189146596113038
"FY" 0.00119634274030495 0.00109892932748703
"GA" 0.00121870713624184 0.00100659006169134
