"Q" "C"
"AA" 0.000338234661709329 0.00031995056546535
"AC" 6.50843007446121e-05 6.40852736708725e-05
"AD" 6.28748215685785e-05 5.86646544551513e-05
"AE" 2.21338844764755e-06 2.09475547418927e-06
"AF" 9.26471514706809e-07 9.16219205234862e-07
"AH" 7.1634342928011e-05 6.58198190611591e-05
"AI" 3.62468490023993e-05 3.56599778318802e-05
"AM" 8.55880306344702e-06 8.08599085785124e-06
"AQ" 0.00145771420651491 0.00129903572718058
"AY" 0.00101243061039225 0.000706538135094664
"AZ" 1.72241062788573e-05 1.4508335748666e-05
"BA" 0.00141570340271045 0.00118733756464253
"BD" 1.04038843207351e-05 1.00542579929468e-05
"BF" 0.000189202588991808 0.000176128881874571
"BI" 1.33823663235428e-06 1.3202813969025e-06
"BK" 0 0
"BM" 4.37968352406855e-07 4.34102348989762e-07
"BP" 8.09139079812196e-06 7.84307910587225e-06
"BQ" 4.32682852864643e-06 3.97774825616781e-06
"BU" 3.15303029904678e-05 3.14725539069174e-05
"BV" 0.000329665240965053 0.000262809052071523
"CN" 0.00190505934250873 0.00147955388120952
"CO" 0.0031289466304984 0.0025244721586111
"CQ" 0.0322488197518964 0.0236987968937117
"CT" 0.000191160938904848 0.000141781723564928
"CU" 0.00345469210015148 0.00238455491121866
"DA" 0.00433635269872414 0.0032564404394727
"DB" 0.00367205299683665 0.00292235015042762
"DE" 0.00012030455821017 0.000107411183479022
"DI" 8.59469740635687e-06 8.54366520714052e-06
"DK" 1.25962193032012e-06 1.25625517457791e-06
"DM" 0.00966039136745419 0.00782700083075376
"DQ" 0.00264962710602697 0.00231815288698182
"DR" 0.0160241504229259 0.011776993570112
"DS" 0.000913946909425895 0.000734496534479003
"DT" 1.29416073596711e-05 1.28253352947419e-05
"DW" 0.000157028895429683 0.000144001091374079
"DX" 0.00066914807032663 0.000537022144522831
"DY" 0.000935293940996708 0.00087437602377957
"EA" 0.000489768913173322 0.000457744353772595
"EC" 2.54761407153887e-05 2.46809527091697e-05
"EE" 0.000189723904607334 0.000178785161309867
"EI" 0.000389151253124718 0.000375519947324837
"EN" 0 0
"EO" 6.51034037361541e-07 6.47888644668362e-07
"EP" 0.00102001232959245 0.000980159910363458
"EQ" 0.000264450706703632 0.000236917603867109
"ER" 0.000162952891721694 0.000152346363147168
"ES" 5.96977537246698e-05 5.85954091677191e-05
"ET" 0.000130175600919605 0.000125602423415053
"EU" 2.84165775523775e-05 2.76364574145548e-05
"EV" 0.000682280057504283 0.000617190274208915
"EW" 0.000187415628395857 0.000183742355042413
"EX" 0.000189934571243585 0.000184871258212147
"FA" 6.96274168129742e-05 6.89933371212566e-05
"FE" 5.12516157071852e-07 4.94698972280532e-07
"FF" 0.000519794097284917 0.000441133633248697
"FI" 1.9945053136257e-05 1.89054951092726e-05
"FS" 5.2365781266037e-07 4.39123843890852e-07
"FU" 1.85278244522276e-05 1.7845078904492e-05
"FY" 0.00103542174135775 0.000964424997165891
"GA" 0.00611874908870751 0.00521262951949313
"GC" 2.16170166777323e-05 2.15200331875523e-05
"GM" 7.84403399088105e-05 6.88492814321944e-05
"GU" 0.000141982787694775 0.000134994424911484
"GY" 0.000112445011996783 0.000111460765291111
"HA" 0.000131270354516127 0.000127781266911663
"HB" 0.000258459843336783 0.00024255413346871
"HE" 7.94128518533592e-05 7.27892064377053e-05
"HF" 4.37380672785566e-05 4.10383457403702e-05
"HI" 8.0756825880991e-05 7.67141485787969e-05
"HL" 0.00197870589955238 0.00173588731751723
"HQ" 2.65195736586171e-05 2.57784738981414e-05
"HT" 0.000195200335113667 0.000170917611856099
"HY" 0.0030807470969452 0.00236325251719209
"IA" 0.00862347787453018 0.00663515897290906
"ID" 1.88225316066335e-05 1.84441771675874e-05
"IF" 9.12770985341504e-05 8.87119281676779e-05
"IG" 0.00284367038208998 0.00232522298160667
"IH" 5.00318169381468e-05 4.87909154115065e-05
"II" 0.00024093198064392 0.000234362289404622
"IJ" 6.73506236335475e-05 6.61034249597146e-05
"IK" 3.14364272897816e-05 3.099423496589e-05
"IL" 0 0
"IM" 0.000124416625766346 0.000122342347990422
"IO" 1.41695643425747e-06 1.40790636783217e-06
"IP" 1.98513173002522e-06 1.96711701854372e-06
"IQ" 0.000968610341058692 0.000947507799805725
