"Q" "C"
"AA" 0.00192368422660397 0.0015810099278102
"AC" 0.0015616588946159 0.00119229488041951
"AD" 4.20936037745081e-05 4.12474244077851e-05
"AE" 0.000181161854436441 0.000166462658138745
"AF" 1.7732502939505e-06 1.75381576772752e-06
"AH" 0.000158036147759138 0.00014941740145267
"AI" 0.00215910329695774 0.00166684270131144
"AM" 0.000141605015623395 0.000137584212754735
"AQ" 1.71913341031276e-05 1.69057352747066e-05
"AY" 0.000284433876923708 0.000263161489837279
"AZ" 4.05153656467671e-06 3.9006128263832e-06
"BA" 0.00015884726644523 0.000155029329367518
"BD" 1.99063528379723e-05 1.94945522225416e-05
"BF" 3.4282123565145e-05 3.34560271506707e-05
"BI" 7.66078748333967e-05 7.42513373127892e-05
"BK" 7.81156327320976e-06 7.11656715234318e-06
"BM" 1.0284481867499e-06 1.021929945444e-06
"BP" 6.61544228515784e-05 5.83639932303598e-05
"BQ" 4.43562568665119e-06 4.27591042497726e-06
"BU" 0.0107916724031534 0.0100418501380751
"BV" 4.68555577824836e-05 4.53668510055507e-05
"CN" 0.000154225088915895 0.00014869403814729
"CO" 0.00747737462523072 0.0063450835072462
"CQ" 0.00455628210378329 0.00415731797487336
"CT" 1.33968201136989e-05 1.23948828635385e-05
"CU" 0.000967941256568433 0.000879942690206749
"DA" 0.00428861205351534 0.00371814701449477
"DB" 0.00199954277170835 0.00180082538667742
"DE" 0.00027293053671851 0.000262555802435165
"DI" 3.77436352238019e-05 3.73360804026169e-05
"DK" 5.75970232375585e-06 5.73226208042282e-06
"DM" 0.00257002040742787 0.00244754067732776
"DQ" 0.000818285941585053 0.000797353900548484
"DR" 0.00208358132467172 0.00193974135465403
"DS" 0.000187185967564222 0.000181562284141229
"DT" 0.000865425729097288 0.00073935223754387
"DW" 0.000735255409435159 0.000594661336215233
"DX" 0.000254883244914804 0.000230292838565214
"DY" 0.011981119922516 0.00809825424822238
"EA" 0.0061119532034133 0.00506143317616789
"EC" 0.00130546774839553 0.00106880543362524
"EE" 0.000740077961651989 0.000650256412414452
"EI" 0.0190005561491114 0.0117309718951141
"EN" 0 0
"EO" 0 0
"EP" 0.0109979906291206 0.00873327387835697
"EQ" 1.94620433371186e-05 1.91935188453115e-05
"ER" 0.000641973619798073 0.000509090071914673
"ES" 0.00242193966561882 0.00178422449242336
"ET" 0.00353110642165871 0.00277210745816305
"EU" 1.66749674140736e-05 1.64320636905842e-05
"EV" 0.00349600105088195 0.0026293092506052
"EW" 0.00425192673728641 0.00354287966246419
"EX" 0.00438466197801535 0.00354398822719423
"FA" 0.000555439078294754 0.000486690441043478
"FE" 3.22048242229765e-06 3.20282887183762e-06
"FF" 2.8837062449014e-05 2.82389641860017e-05
"FI" 0.00416274383523528 0.00293179596389806
"FS" 3.70079378325857e-07 3.58602191468531e-07
"FU" 4.09220078809509e-06 4.05948662356198e-06
"FY" 0.00100786078766185 0.000986098937523776
"GA" 0.000986607902652287 0.000957526293869971
"GC" 0.00208837747337395 0.00197631275147824
"GM" 9.51206659451618e-06 9.32986918440636e-06
"GU" 0.000227199863947119 0.000221440988533705
"GY" 4.92659185365836e-05 4.88270474085398e-05
"HA" 3.62025885046134e-05 3.56810959120101e-05
"HB" 0.000340067231660115 0.000315892681507056
"HE" 8.25520099934332e-07 8.162084798257e-07
"HF" 2.33416973202954e-06 2.30060285771838e-06
"HI" 7.47463141442975e-06 7.41211918580013e-06
"HL" 8.73844927444999e-05 8.52613843745091e-05
"HQ" 0.00355968884921575 0.00248496655263855
"HT" 4.03428762495078e-05 3.88859109127985e-05
"HY" 0.000201185546507952 0.000190395779777297
"IA" 0.000535396801687535 0.000508874508108768
"ID" 0.00257916924199372 0.0020336817824112
"IF" 0.00437311322409885 0.00268848572205492
"IG" 0.00643761471024498 0.00521651346041657
"IH" 0.00049961983487572 0.000441926042883801
"II" 0.00202031749016949 0.00160011609881404
"IJ" 0.000700239518002202 0.000617619906707965
"IK" 0.00221042914054336 0.00167992006809057
"IL" 1.44272603473649e-05 1.22703127249088e-05
"IM" 0.00102758370933959 0.000905812835827559
"IO" 0.000312826399147902 0.000284698014227404
"IP" 1.59331681130667e-05 1.41482366841683e-05
"IQ" 0.0981810779679434 0.0580163092109514
"IU" 0.00347746361852938 0.00271058180280226
"IX" 0.000115030241224955 0.000109178964198547
"IY" 3.77025067331272e-05 3.65413999255585e-05
"JA" 0.00195182495136878 0.00177970977139519
"JB" 6.95834574643943e-05 6.76627730647809e-05
"JI" 0.000149862131875954 0.00014496569557094
"JM" 0 0
"JO" 5.30859776811941e-06 5.27828564718097e-06
"JS" 2.90408741930009e-06 2.87639122258945e-06
"JU" 2.32424622380748e-05 2.27997089102734e-05
"JW" 2.70442622622742e-07 2.69266085315114e-07
"JY" 0.000500428111539698 0.000474187329882098
"KA" 6.37046679798389e-05 6.20857975455745e-05
"KI" 0.000592433230198294 0.000576513519466098
"KM" 0.000355328517541013 0.000334039326286176
"KU" 6.33328024700816e-05 6.2224474883522e-05
"KV" 0.000330827632338191 0.000318875084098687
"KY" 4.56865763069544e-05 4.45565880044563e-05
"LE" 0.00172996329818951 0.00165127853512162
"LI" 3.86173285267598e-05 3.69084255401657e-05
"LJ" 1.4787553380912e-05 1.45214603689157e-05
"LQ" 7.19730564660766e-06 7.09332111892732e-06
"MA" 0.00054966550698205 0.000527156727040401
"MC" 0.000248730820785499 0.000217185783763344
"ML" 7.21159178010782e-07 7.07541798750129e-07
"MM" 5.61013784529227e-06 5.58636534056687e-06
"MQ" 2.83506406462421e-05 2.63797629909838e-05
"MR" 9.19151397149187e-07 9.1271282220028e-07
"MU" 5.37624567573188e-05 5.2407531381134e-05
"MW" 0 0
"MY" 1.46343266354116e-05 1.44301536317155e-05
"NE" 0.000331473897581494 0.000322096163345044
"NI" 0.000351253488016168 0.000339333292004839
"NM" 2.70442622622742e-07 2.68855068056614e-07
"NN" 0.000113159557652722 0.000110563526005978
"NQ" 7.25794593605396e-05 7.19080489646294e-05
"NS" 0.0119789572886262 0.00652475828734935
"NU" 7.24347855331875e-05 6.94776937049072e-05
"OA" 0.0239361905308217 0.0129049534783026
"OE" 6.09164660939199e-06 6.05948310541524e-06
"OI" 2.80085737282389e-05 2.64965539660336e-05
"OM" 1.02331647527777e-05 1.01827325892399e-05
"OO" 7.17201876848252e-07 7.03040276848792e-07
"OP" 0.000127113641043387 0.000120189834878775
"OR" 2.70579990304074e-06 2.68447973753593e-06
"OT" 9.44991782013764e-06 9.30202497968081e-06
"OU" 9.86622770062454e-05 9.43272934350849e-05
"OX" 1.88182991574991e-06 1.8675726698079e-06
"OY" 5.67679306042985e-06 5.63081778702374e-06
"OZ" 4.54450515731657e-06 4.46292196771614e-06
"PA" 2.50753566033247e-06 2.48832285678061e-06
"PC" 3.80433688154832e-05 3.75162776082225e-05
"PD" 0 0
"PE" 0.000347576693984887 0.000312273321067413
"PF" 0 0
"PG" 1.40630163763826e-06 1.40449297731629e-06
"PH" 7.03150818819129e-07 7.01973286557989e-07
"PI" 0.000188152771376885 0.000182950154085438
"PJ" 5.8033738689551e-05 5.1326848324303e-05
"PK" 0.00324545481390874 0.00201935807848343
"PM" 0.0389612806544277 0.0218882611791852
"PN" 0.00255659729233484 0.00227272058508162
"PO" 0.000672828197472513 0.000525514580197641
"PQ" 0.000390356688329578 0.000377443894921978
"PS" 2.16383905955674e-05 2.1181760125206e-05
"PT" 0.000385791982468303 0.00035109600683804
"PU" 0.00323516503557771 0.00253409824444518
"PW" 0.000178056618390825 0.000165794489683965
"PY" 0.0005515838921661 0.000529693809152439
"PZ" 0.00190321535830719 0.00129761303252846
"QA" 0.000662046610370978 0.000610155596776304
"QC" 0 0
"QD" 0 0
"QE" 0.000745489694924021 0.000606034661191384
"QF" 0.00127115889541297 0.000830333066490362
"QG" 0.00424691640579962 0.00239114019597193
"QH" 0.00074663592549468 0.00056828352066352
"QJ" 0.000187178195550217 0.000143072332745433
"QK" 1.45957063906395e-06 1.45524492659497e-06
"QQ" 0.00239280660515271 0.00228237436838839
"QU" 0.000510472180009696 0.000488585518969764
"RA" 0.00158832312623272 0.00103404390408849
"RB" 0.000726696692219171 0.000596131556652927
"RE" 0.000156394326385678 0.000140786734592023
"RO" 0.00124316132704134 0.00102105717566085
"RP" 3.35270462886222e-06 3.25156464081706e-06
"RQ" 1.82461572330657e-05 1.73735526189714e-05
"RT" 0.000686280680187611 0.00066115309717728
"RU" 0.0032143844490685 0.00306529526971755
"RX" 0.000576413827955942 0.000546272412764441
"RY" 0.00341787386537259 0.00258407033844413
"RZ" 1.70748230981137e-05 1.67905666925839e-05
"SA" 0.000114898109535565 0.000109769786910279
"SD" 0.000193092950187526 0.000188491523871335
"SI" 0.000707779489196824 0.000683596200572603
"SR" 0.00373993776017764 0.00316983630103503
"SU" 0.00318426103113474 0.00309058344267378
"SY" 0.295758279760327 0.13029760787136
"TA" 7.74928506756593e-06 7.6304984433467e-06
"TC" 0.00022118698041613 0.00021668178817129
"TD" 0.000335953392596531 0.000327028422725618
"TE" 2.04963551909529e-05 2.01243002355508e-05
"TI" 4.45304029614958e-05 4.27795804924132e-05
"TM" 0.000322645815650175 0.000304769990420811
"TQ" 0.000161892482221189 0.000157052042648245
"TU" 0.00106174310274731 0.00097067576202845
"UA" 8.65894020027115e-06 8.53930275292372e-06
"UB" 0.114336875315626 0.0526816598828568
"UE" 0.00819080955572502 0.00603252414416725
"UF" 0.00637866665751161 0.00466631223044343
"UH" 0.0432384844202136 0.0259572234583234
"UI" 0.0651628945499805 0.037954069864252
"UK" 0.0304437929987856 0.0159251258122215
"UM" 0.00084433341979607 0.000791401686013847
"UN" 0.00171674555760481 0.00140341547364934
"UP" 0.00265987362242548 0.00230617499220016
"UQ" 1.73940348959058e-05 1.71599931317507e-05
"UR" 0.00878250340427225 0.00615282404968161
"UT" 0 0
"UU" 5.66198752772791e-06 5.64153653424892e-06
"UY" 0.00351357139449898 0.00272800800069782
"VE" 0.000138686627263736 0.000135154601420791
"VI" 0.000276204736464868 0.000267827077834037
"VJ" 0.000118250159036758 0.000115390118240845
"VM" 1.00910513343626e-06 9.99288218891793e-07
"VP" 1.95319671894202e-07 1.93740835341739e-07
"VS" 3.11697343065089e-05 3.04380972104105e-05
"VX" 0.000351537892409552 0.00034177338587046
"VY" 0.0140151681420924 0.0126104516046953
"WC" 8.00507902212222e-05 7.80329234429756e-05
"WE" 0.000273621745108322 0.000265039768520093
"WF" 5.68969698827381e-05 5.53453393860444e-05
"WH" 0.000178790450227433 0.00017517634299919
"WM" 1.78268366508241e-06 1.75032259710325e-06
"WQ" 1.02850299405633e-05 1.02130072910871e-05
"WU" 2.18487242792213e-05 2.13689395339645e-05
"WV" 2.42083116309665e-06 2.38385772775766e-06
"WY" 4.67761722630039e-06 4.64841439216287e-06
"XA" 5.47840662301188e-06 5.43827979552611e-06
"XE" 8.578361992001e-05 8.29959779310985e-05
"XQ" 0.00754527374021164 0.00532134968134731
"XW" 0.000237252298428934 0.000231948347021534
"XY" 0.000432179072547492 0.000408810322659309
"YA" 0.00281006483233537 0.00272070421680215
"YE" 0.0107361484768191 0.00780504349686502
"YG" 3.0723879311033e-06 3.06348427594579e-06
"YI" 1.49280034947712e-06 1.48169973739334e-06
"YO" 0.000222826191508987 0.000205438258065186
"YP" 5.23987473632385e-05 5.07909688614987e-05
"YQ" 1.83570038022335e-05 1.7974617847676e-05
"YR" 0.0002200339068899 0.000176386197802278
"YU" 2.49289882798797e-05 2.42707574344618e-05
"YY" 1.57022928985883e-05 1.55261373864423e-05
"ZA" 0.000644853694522824 0.000630570928736009
"ZC" 7.97651467279148e-05 7.78241195746634e-05
"ZD" 0.000591289571410175 0.000569553387272025
"ZE" 6.09986903053379e-05 5.87195531420722e-05
"ZK" 1.83142565077066e-06 1.80773402847092e-06
"ZM" 0.000114187854622784 0.000110408730066649
"ZQ" 0.000113841347292463 8.61637742362505e-05
"ZR" 0.00028633858131377 0.000269831125220815
