"Q" "C"
"AA" 0.000699975017627857 0.000640882123627168
"AC" 3.20340695387581e-05 3.15916165461794e-05
"AD" 4.27641384147872e-05 4.07455441001038e-05
"AE" 0 0
"AF" 6.90101120517189e-07 6.82815285730534e-07
"AH" 1.24454324175477e-05 1.17761783137119e-05
"AI" 9.26003862442677e-06 9.10598146696207e-06
"AM" 7.59111232568908e-07 7.36798585404483e-07
"AQ" 0.00025094640070787 0.000225019040200961
"AY" 0.00255767216955314 0.00178996810427758
"AZ" 8.55723066005104e-06 7.36720089673485e-06
"BA" 0.00758185630634016 0.00556490713328221
"BD" 1.68003703013301e-06 1.65191778968275e-06
"BF" 0.000247053294389872 0.000229133101667941
"BI" 1.50525000679221e-05 1.48819847783922e-05
"BK" 0 0
"BM" 0 0
"BP" 0 0
"BQ" 1.71245576173873e-06 1.59544677892927e-06
"BU" 3.39743119154806e-06 3.39435020539731e-06
"BV" 5.13794429999798e-05 4.23919961215553e-05
"CN" 0.000268375483063863 0.000217521417563245
"CO" 0.000630938503647832 0.000550111298453765
"CQ" 0.00725546985149531 0.00602066612659357
"CT" 0.000286964522212276 0.000213561503842451
"CU" 0.000990982658498884 0.000767221249646097
"DA" 0.00787310132380992 0.00648100406505942
"DB" 0.00220280446898448 0.00189064147147903
"DE" 5.30801772466642e-05 4.9921357350218e-05
"DI" 1.75102801728717e-05 1.73869109002241e-05
"DK" 1.65210872897255e-05 1.64706947629874e-05
"DM" 0.00693932313608609 0.00555927967045738
"DQ" 0.00311778589556689 0.00249634103488944
"DR" 0.00752774815151615 0.0061209182122124
"DS" 0.0142988984531477 0.00881105324854894
"DT" 9.84548531866339e-06 9.76364050566351e-06
"DW" 6.16917067203385e-05 5.81814845596697e-05
"DX" 0.000185623629058113 0.00015938787166776
"DY" 0.000237720720012045 0.000226952467203956
"EA" 0.000178515425587743 0.000170554462307323
"EC" 2.0030878246458e-05 1.96033086528633e-05
"EE" 8.10818632997332e-05 7.80109678054698e-05
"EI" 0.00013527061428513 0.00013185341990649
"EN" 0 0
"EO" 0 0
"EP" 0.000148473080051111 0.000143511901562825
"EQ" 0.000651158011319854 0.000566766106596961
"ER" 6.00214061374395e-05 5.66282351171381e-05
"ES" 1.7544724632926e-05 1.72870771095943e-05
"ET" 0.000105103542826144 0.00010191625221991
"EU" 3.5969382233723e-05 3.47474538437695e-05
"EV" 0.000629475014897086 0.000573712637858285
"EW" 5.32627133361276e-05 5.23323369321881e-05
"EX" 0.000123911180199444 0.000120878506683303
"FA" 4.13965400976e-06 4.10075856300783e-06
"FE" 1.19258305963529e-05 1.14059161211666e-05
"FF" 0.011072619510098 0.00672407291442192
"FI" 7.87972628822824e-06 7.62133582548249e-06
"FS" 0 0
"FU" 5.96714688198391e-06 5.68207996425667e-06
"FY" 0.00216483431471358 0.0019153697423051
"GA" 0.00221069840831504 0.00180519841672109
"GC" 6.30328474486117e-06 6.2837516013111e-06
"GM" 0.000151303746247194 0.000132450295170571
"GU" 2.94538117319298e-05 2.86949877142157e-05
"GY" 0.000177923585799026 0.000176010503904352
"HA" 0.000123297894692224 0.000118647081103457
"HB" 0.000333739790655033 0.000302075006269883
