"Q" "C"
"AA" 3.81588419016522e-05 3.6996318276734e-05
"AC" 4.00230988133677e-05 3.92974233972476e-05
"AD" 0.000137976824573594 0.00013125984003637
"AE" 1.33373252412264e-05 1.17267961562256e-05
"AF" 3.35565965557509e-06 3.22265030367365e-06
"AH" 7.24512741571873e-05 6.27653400671353e-05
"AI" 4.82411926553616e-05 4.49697945541019e-05
"AM" 0.000368992152105865 0.000309400548377098
"AQ" 1.13127255278251e-05 1.10246526752939e-05
"AY" 0.00506410797735882 0.00444700788785757
"AZ" 0 0
"BA" 0 0
"BD" 0.014406630433883 0.0101819227285043
"BF" 0.0122541187817663 0.00938342360996077
"BI" 0.00636322564745898 0.00445017519628976
"BK" 0 0
"BM" 5.81922825761637e-05 5.65222198591835e-05
"BP" 3.93575389742873e-05 3.33803747456653e-05
"BQ" 0.000160732069626668 0.000148529320342337
"BU" 0.00376200405983625 0.00349404717744577
"BV" 5.25491732228106e-05 4.99845738744051e-05
"CN" 0.000447625124594668 0.000411359603754767
"CO" 0.000444332424818197 0.00039847624950559
"CQ" 0.00707193135450091 0.00616852949855724
"CT" 0 0
"CU" 0.0154785732183072 0.0123757691998706
"DA" 0.000458911970818315 0.000406734018076005
"DB" 0.000801358357833 0.000691944928142936
"DE" 0.0332275986819627 0.0275350079084579
"DI" 9.39584703561026e-06 9.344301088948e-06
"DK" 2.5491739312737e-05 2.53932353556122e-05
"DM" 0.000175089638870822 0.000166003710347497
"DQ" 0.000170870306300083 0.000167348679054816
"DR" 0.000931552884660413 0.000830322731794483
"DS" 2.68452772446007e-06 2.61229798818842e-06
"DT" 3.0012095745828e-05 2.91285041622762e-05
"DW" 6.38863440562296e-05 5.94387708969043e-05
"DX" 9.90646773778952e-05 9.04536533096749e-05
"DY" 0.000696993421201468 0.000662837159521572
"EA" 0.000815096516346057 0.000763602731654525
"EC" 0.000465220669211756 0.000452242307829741
"EE" 6.78244945729653e-05 6.55780131461374e-05
"EI" 0.00040263066270796 0.000386339223251382
"EN" 0 0
"EO" 0 0
"EP" 0.000126729954320943 0.000123535800008301
"EQ" 6.03263423653247e-06 5.94913218474174e-06
"ER" 5.08254883505233e-06 4.95585808327037e-06
"ES" 5.20630376810216e-06 5.12260571422908e-06
"ET" 4.87455798881145e-05 4.73675855836603e-05
"EU" 8.25083341836743e-06 8.16263236944353e-06
"EV" 0.000730002046597689 0.000655617213426688
"EW" 8.30748736088803e-05 8.15589450106545e-05
"EX" 7.28027605685931e-05 7.12872092705201e-05
"FA" 1.64958353439045e-05 1.55853886270055e-05
"FE" 2.93620219862821e-06 2.9156088422448e-06
"FF" 1.56597450593504e-05 1.54681406807119e-05
"FI" 0.000121667782473518 0.000117092401918638
"FS" 0 0
"FU" 8.49557019414153e-06 8.27773792846307e-06
"FY" 0.000256015936842686 0.000252129208312185
"GA" 4.28562753764178e-05 4.14371924977007e-05
"GC" 0.0341919623174186 0.0197160565640896
"GM" 8.55710527236951e-06 8.37033268354248e-06
"GU" 0.0298844008686196 0.0206749187111607
"GY" 1.8861141692722e-05 1.85367356258054e-05
"HA" 2.08375639902647e-05 2.06719940468193e-05
"HB" 5.81713277927358e-06 5.7155973079433e-06
"HE" 0 0
"HF" 3.4907171649326e-06 3.4174129516968e-06
"HI" 0 0
"HL" 1.18746088204058e-05 1.16838389969529e-05
"HQ" 3.3967192963498e-05 3.2546773427389e-05
"HT" 0.0338411927959932 0.0251478066539994
"HY" 0.00147809508272012 0.00132409558036925
"IA" 0.000205551589012051 0.000190599158930269
"ID" 0.00223468143625022 0.0020556117578401
"IF" 5.95427009339945e-05 5.62882652286272e-05
"IG" 0.000246915606289871 0.000234921444860091
"IH" 0.000278433653938997 0.000231670304359707
"II" 0.000184504393202235 0.000172231718323623
"IJ" 9.39584703561026e-06 9.23726375740053e-06
"IK" 7.63851003240845e-06 7.49137587132364e-06
"IL" 0 0
"IM" 0.000219569412958389 0.000176339971449739
"IO" 3.91552881690751e-05 2.90095971990343e-05
"IP" 0.00206809635838827 0.00136079592921416
"IQ" 0.000166786159484833 0.000162418666461554
