"Q" "C"
"AA" 8.71008833846754e-05 8.35271985316651e-05
"AC" 1.50489030201681e-05 1.4833888919755e-05
"AD" 0.00279783061508174 0.00224934972827156
"AE" 0.000487138820932417 0.000410096337811394
"AF" 7.67380057979132e-06 7.40759172273865e-06
"AH" 0.000983734437028194 0.000782014892346206
"AI" 4.96904487919616e-06 4.87721679391804e-06
"AM" 0.000846576401792082 0.000720256712936697
"AQ" 0.00127364808150752 0.00092313964175684
"AY" 0.00048644601379112 0.000321008413137161
"AZ" 2.36708738446872e-05 1.76976435762181e-05
"BA" 8.49614688242007e-05 7.59705207313943e-05
"BD" 0.00241803200185837 0.00207759687844452
"BF" 0.000233641274381774 0.000207111137191351
"BI" 6.48533893390259e-05 6.27270397549867e-05
"BK" 0 0
"BM" 5.34079590036093e-06 5.2172210274899e-06
"BP" 0 0
"BQ" 1.06506326927404e-05 9.78089584186436e-06
"BU" 2.66027341571676e-05 2.65265436937893e-05
"BV" 0.000139645591171169 0.000123661566439972
"CN" 0.000933392996946163 0.000792731287522221
"CO" 0.00952414843352821 0.00611079440850308
"CQ" 0.0772898264194357 0.0415773489438054
"CT" 7.06149994767204e-06 4.58915733949127e-06
"CU" 0.0112321356337631 0.00537716566816414
"DA" 0.00576944761086131 0.00331234702217273
"DB" 0.015383809549922 0.00841775915741512
"DE" 0.00517316596549626 0.00393087891384399
"DI" 2.24678172174579e-05 2.23135868160842e-05
"DK" 3.34465781662816e-06 3.32926183149121e-06
"DM" 0.00320039303225798 0.00238361523375661
"DQ" 0.00114814110844709 0.00100295166113615
"DR" 0.0269779082550437 0.01516248856282
"DS" 0.000558822557967672 0.000451289249109801
"DT" 2.51082573754353e-05 2.4707678751066e-05
"DW" 0.00105785735557964 0.000870247755062892
"DX" 0.00456937823734668 0.00298222725019352
"DY" 0.001350991366348 0.00119179423497825
"EA" 0.00165608573507255 0.00143726474185896
"EC" 0.00016055494527232 0.000151289195025589
"EE" 0.000974891725653483 0.000865803485712919
"EI" 0.000319813035115363 0.000300273204643938
"EN" 0 0
"EO" 0 0
"EP" 7.5777949371613e-05 7.35752044003911e-05
"EQ" 4.00998407234485e-05 3.71115177781283e-05
"ER" 2.94439356142569e-06 2.84110142516417e-06
"ES" 3.59033224821876e-06 3.54147882710249e-06
"ET" 0.000129371527416292 0.000123530011526803
"EU" 1.6537471068374e-05 1.59304042002744e-05
"EV" 0.00185064322330692 0.00158164533396325
"EW" 3.36855123386606e-05 3.31320161181611e-05
"EX" 6.62010351350165e-05 6.46171129789817e-05
"FA" 1.34127722502475e-05 1.31587239621088e-05
"FE" 2.01558856193803e-06 1.94262397814367e-06
"FF" 0.000108473284101489 9.6022615002507e-05
"FI" 0.000497433503931546 0.000448900044391359
"FS" 2.01558856193803e-06 1.86165284572054e-06
"FU" 0.000151543577502239 0.000137618535373803
"FY" 0.000267771081805999 0.000246221058090601
"GA" 0.00228846982190051 0.0018280318790585
"GC" 2.69567375411324e-05 2.65252494752026e-05
"GM" 6.41291705863056e-05 5.59071092684114e-05
"GU" 0.0137062880981365 0.0112941655823579
"GY" 0.000187401907735793 0.000184143799105764
"HA" 5.42045060462878e-05 5.24929588321995e-05
"HB" 3.0548408892756e-05 2.81833391260164e-05
"HE" 1.51774816779727e-05 1.43635139261577e-05
"HF" 3.74531591210513e-05 3.4509334975714e-05
"HI" 6.4219618250493e-06 6.23886313215208e-06
"HL" 0.00100439691327437 0.000841041363119255
"HQ" 2.90138347614278e-05 2.74705523799787e-05
"HT" 0.0102250539733879 0.00732148136851275
"HY" 0.00192558478495567 0.00125968171003284
"IA" 0.00180171014333683 0.00126264714557423
"ID" 0.000444409382948167 0.00042118073949448
"IF" 4.69100788771093e-05 4.51589373479473e-05
"IG" 0.000132639226211777 0.000108860087571989
"IH" 0.000454308473993662 0.000415204198113796
"II" 9.55294970829531e-05 8.95036702991836e-05
"IJ" 1.04514484458326e-05 1.02361870167528e-05
"IK" 6.99455912252282e-06 6.88600835428431e-06
"IL" 0 0
"IM" 7.43188475336039e-05 7.05864435106582e-05
"IO" 1.54528456415249e-06 1.51649284870492e-06
"IP" 2.46587962364759e-07 2.4032170821676e-07
"IQ" 0.000292892715773542 0.000288716613220811
"IU" 1.99229826941904e-05 1.96035797882248e-05
"IX" 5.15094854717496e-06 5.10180033931614e-06
"IY" 0.0216707665040366 0.0159834546530582
"JA" 0.00368186644423769 0.00321329944718752
"JB" 5.20170430350011e-05 4.91420705002497e-05
"JI" 0 0
"JM" 4.11647555548834e-06 3.77928194088648e-06
"JO" 2.77314558253432e-05 2.60441887661717e-05
"JS" 3.56111248861498e-06 3.50031736183924e-06
"JU" 0.00659482252300411 0.0054361687559046
"JW" 2.7269727602691e-07 2.67747975114478e-07
"JY" 0.00185579467939952 0.00148328817275066
"KA" 0.000128747681452765 0.000115517272057917
"KI" 0.0035860162108358 0.00294436990490312
"KM" 0.0180604709757176 0.0105426437032235
"KU" 7.86432788876358e-05 7.56084940628007e-05
"KV" 0.000570416178949679 0.000536634074369896
"KY" 2.35296917151007e-05 2.31051532748212e-05
"LE" 0.000369053998401608 0.00035495970873079
"LI" 0.000174780409830855 0.000130614802897606
"LJ" 2.562484697513e-05 2.26552040484208e-05
"LQ" 0.000710786394920282 0.000587910611553337
"MA" 0.00409493505692851 0.00290934122592772
"MC" 0.00113744041825403 0.000693120485161522
"ML" 5.27065014012546e-06 4.30690118353324e-06
"MM" 8.24151767547994e-06 8.15055166785127e-06
"MQ" 5.40670787652951e-05 4.7330685520122e-05
"MR" 2.43992299603025e-06 2.39697115048796e-06
"MU" 9.59039828401028e-05 8.06620043805346e-05
"MW" 0 0
"MY" 3.4953105496219e-05 3.26197946528392e-05
"NE" 0.0443320579900039 0.0320295051943421
"NI" 0.065768263093121 0.0358455239250437
"NM" 8.80605939735296e-06 8.59042543371663e-06
"NN" 0.0435548660849878 0.0240018414613426
"NQ" 0 0
"NS" 0.00015968111364908 0.000150755195281201
"NU" 8.77346316482169e-05 8.52586978440231e-05
