"Q" "C"
"AA" 0.000511763226838459 0.000471594143514485
"AC" 8.66995630192896e-06 8.55165407323773e-06
"AD" 0.000292345993891005 0.000254966830271272
"AE" 9.13714933272e-06 8.24963174626312e-06
"AF" 1.87092335647589e-06 1.83837159417909e-06
"AH" 0.000137838137097711 0.000117237006913881
"AI" 1.82901980731017e-06 1.79931180448718e-06
"AM" 1.2267609646694e-05 1.10395220887019e-05
"AQ" 0.00204836764556463 0.00160617890191639
"AY" 0.00320668132131573 0.00173295807964921
"AZ" 0.000278085785743548 0.000184870787320472
"BA" 0.000442539136061852 0.000355944902674522
"BD" 3.63309442486943e-05 3.42683142718459e-05
"BF" 0.000227115329973447 0.000204023959945444
"BI" 3.51782145841111e-05 3.44562163589492e-05
"BK" 0 0
"BM" 1.97425570559899e-07 1.94836633024915e-07
"BP" 1.89275720424247e-06 1.83023940029253e-06
"BQ" 7.94814760890795e-06 7.26663956326627e-06
"BU" 1.17300196985907e-05 1.17121376303883e-05
"BV" 6.25130077133521e-05 5.12731966140293e-05
"CN" 0.000399190111406828 0.000315351728227854
"CO" 0.00514536198628233 0.00339263413375415
"CQ" 0.0540262081846939 0.0281896431210592
"CT" 0.000253202156258727 0.000130979570123623
"CU" 0.0039393566918397 0.00188422664357876
"DA" 0.00523277401959156 0.00289915987841487
"DB" 0.00723546099934462 0.00444869435204134
"DE" 0.000345132433238783 0.000276569195610399
"DI" 2.96767546674562e-05 2.95253824116545e-05
"DK" 7.07330906305693e-06 7.0557225508605e-06
"DM" 0.12527911763182 0.0626203701454467
"DQ" 0.0114545548093708 0.00885339281076511
"DR" 0.0614364762524569 0.0301661411486572
"DS" 0.0028259608385062 0.0020250119744961
"DT" 3.90364196334346e-06 3.86328450345396e-06
"DW" 0.000318885411269421 0.00027243943206602
"DX" 0.0010593843525063 0.000679808802174042
"DY" 0.00075004259975944 0.000669554576539547
"EA" 0.0012853111238796 0.00113903579318094
"EC" 8.16082744666869e-05 7.74627969600926e-05
"EE" 0.000209573801652546 0.000188645201090857
"EI" 0.000160936522426581 0.000152671714569757
"EN" 0 0
"EO" 0 0
"EP" 0.000156651817839997 0.000151057445040776
"EQ" 0.000237062780042679 0.000211350013200958
"ER" 5.04934239719691e-06 4.78833972546019e-06
"ES" 5.30226171632771e-06 5.22613946102886e-06
"ET" 0.000158847301145109 0.000151877865668499
"EU" 8.5157384264411e-06 8.23014114709944e-06
"EV" 0.000516148349577086 0.000442481099715259
"EW" 5.0425125250789e-05 4.95644230387809e-05
"EX" 9.34362204536366e-05 9.0960307735708e-05
"FA" 9.75194160397346e-06 9.64954061943279e-06
"FE" 3.87418488536489e-05 3.73533296297069e-05
"FF" 0.000618898596449437 0.000495449515120212
"FI" 2.98047853155758e-05 2.72755159668265e-05
"FS" 0 0
"FU" 1.43956295696266e-05 1.35729848633789e-05
"FY" 0.00739463130675722 0.00647762641036841
"GA" 0.0213250237333162 0.0153889611287308
"GC" 2.59290017871821e-05 2.57582154934995e-05
"GM" 0.000333843398586407 0.000286209611362331
"GU" 0.000259382566138022 0.000238070551876342
"GY" 2.68140627717297e-05 2.65143382271507e-05
"HA" 4.25138612081379e-05 4.13724443670249e-05
"HB" 0.000246980058548661 0.000226176800512922
"HE" 1.57179831313447e-05 1.43770072960032e-05
"HF" 4.23421812060345e-05 3.87873890948425e-05
"HI" 1.21734751193947e-05 1.17055519966303e-05
"HL" 0.000867930670406323 0.000691814842041627
"HQ" 3.92856295310748e-05 3.76495248285168e-05
"HT" 0.000336112149041317 0.000264925137420301
"HY" 0.00603694329739113 0.00355987582082708
"IA" 0.016880025390104 0.010247634234318
"ID" 1.24555419535507e-05 1.20764622369841e-05
"IF" 1.78305725934299e-05 1.72649395875553e-05
"IG" 0.000950640755792649 0.00070034707923154
"IH" 8.44614025477409e-05 8.08486681905817e-05
"II" 3.25498015339559e-05 3.11739654315506e-05
"IJ" 2.12888543778736e-05 2.09369104400722e-05
"IK" 3.29734876433927e-05 3.25181116907624e-05
"IL" 1.21147509207211e-06 1.19768091484881e-06
"IM" 2.06900596361066e-05 2.01645245015361e-05
"IO" 2.66091850580124e-06 2.64296999481998e-06
"IP" 7.01380316462799e-07 6.92444604282059e-07
"IQ" 0.00019941425085458 0.000196128705857725
"IU" 3.10091321663486e-05 3.05995407867884e-05
"IX" 1.21851582294428e-06 1.21425344517068e-06
"IY" 7.36280221974544e-05 6.20448642918061e-05
"JA" 0.00110615421253472 0.00103164604281831
"JB" 1.26360928682148e-05 1.24066241624979e-05
"JI" 3.37150305389206e-05 3.16130510130224e-05
"JM" 1.66577825159915e-07 1.56068299068911e-07
"JO" 3.17817313165174e-05 3.00749754454715e-05
"JS" 4.97134107392079e-06 4.88070866686011e-06
"JU" 0.000194637132517287 0.000176368423442472
"JW" 0 0
"JY" 0.00084406042182146 0.000718380333967942
"KA" 2.0501886173528e-06 1.9545855941488e-06
"KI" 0.0252462845329403 0.0180053027702203
"KM" 0.0277016026489423 0.0156230945166996
"KU" 2.04876832257483e-06 2.02167151368027e-06
"KV" 2.15111857001939e-05 2.10289953344492e-05
"KY" 3.4205616991785e-06 3.39891385341506e-06
"LE" 4.91374964846838e-05 4.84752996814376e-05
"LI" 0.00221354257685409 0.00144016292291884
"LJ" 0.000693650104025533 0.000583194539681832
"LQ" 0.000179693931461093 0.000151659228009867
"MA" 0.0307670814630852 0.0171875177719036
"MC" 0.000306794177996498 0.000191729827704913
"ML" 1.3574479477868e-05 1.05289513846906e-05
"MM" 1.16809016398007e-05 1.15894060402818e-05
"MQ" 3.30510775778941e-05 2.90604483419288e-05
"MR" 2.50015202824685e-06 2.46281456132859e-06
"MU" 4.07696818753727e-06 3.57427218643023e-06
"MW" 4.51736475009938e-07 4.38812460916759e-07
"MY" 0.000115656516832204 0.000104530258659991
"NE" 0.00498121221745504 0.00388046413883793
"NI" 0.0342453805390158 0.021637245395672
"NM" 2.22103766879886e-06 2.18630903145222e-06
"NN" 0.0092559276391371 0.00695165316015585
"NQ" 2.15707912164466e-05 2.09243689954796e-05
"NS" 0.00014144916506934 0.00013417323962851
"NU" 7.61785719816033e-05 7.42120855001892e-05
"OA" 0.000109109255942707 0.000103443418898516
"OE" 6.75936043739882e-06 6.69495010721338e-06
"OI" 0.000208430195762196 0.000137957819861782
"OM" 0.000201796918986074 0.0001969843666436
"OO" 5.76633529461404e-05 4.69233939188558e-05
"OP" 0.00546754011465851 0.00399394416669076
"OR" 3.97797791426662e-07 3.92859324079243e-07
"OT" 2.89091762710489e-05 2.71381974739309e-05
"OU" 3.68057670829526e-06 3.54470252686465e-06
"OX" 0 0
"OY" 5.06732543763774e-06 4.97678336063419e-06
"OZ" 4.17486171229786e-06 3.70520836310726e-06
"PA" 2.70562770562771e-06 2.66833042240361e-06
"PC" 3.28036560736635e-05 3.26285808422817e-05
"PD" 0 0
"PE" 2.10138790593413e-05 2.07737224929761e-05
"PF" 4.17766609131215e-06 4.17262954543973e-06
"PG" 1.63511975617094e-07 1.63020082560434e-07
"PH" 0 0
"PI" 0.000233070555247904 0.000213134666684593
"PJ" 0 0
"PK" 2.63284480520793e-06 2.59391503553987e-06
"PM" 0.000132826376559882 0.000128631854203629
"PN" 4.37027629651878e-05 4.31855131825711e-05
"PO" 0.000260804873824504 0.00024919160279708
"PQ" 5.70532560028798e-06 5.68947861963655e-06
"PS" 2.099516874274e-05 2.05730049178845e-05
"PT" 0.000375415729906792 0.000299982773955349
"PU" 2.2552599196969e-05 2.22444094498363e-05
"PW" 0.0225639951431843 0.0101812237450084
"PY" 0.0248561304776008 0.0147477544573271
"PZ" 1.60190490772987e-05 1.58578417053712e-05
"QA" 0.0252552845805314 0.0100713094742107
"QC" 4.59525034923903e-07 4.54588120128613e-07
"QD" 0 0
"QE" 0.000389505728641896 0.000310014357134733
"QF" 3.71946000943869e-06 3.65167852137019e-06
"QG" 1.22587612098754e-05 1.20704828138191e-05
"QH" 1.27150271320043e-06 1.2544292850589e-06
"QJ" 8.88415067519545e-07 8.30743028189683e-07
"QK" 1.08833932777473e-06 1.07801483491622e-06
"QQ" 2.3402748286345e-05 2.31521836911261e-05
"QU" 0.0126634414470464 0.00912312576157015
"RA" 0.00181851089745451 0.00112545527398061
"RB" 0 0
"RE" 7.56555983598736e-06 7.49192525945097e-06
"RO" 0.000589051131353841 0.00027873661233863
"RP" 1.4027606329256e-06 1.30260856353029e-06
"RQ" 0.00038581954760223 0.000275581588745353
"RT" 0.0270900605949638 0.0196627099864912
"RU" 0.0306419761984526 0.0222394822486452
"RX" 0.000912402639521905 0.000733478991928683
"RY" 0.000115319097186848 0.000108763359640022
"RZ" 0.000205739956759635 0.000168379230178225
"SA" 0.00170370062364782 0.00120565942711729
"SD" 0.0159104708521389 0.0118874372330168
"SI" 1.16459038855056e-05 1.13475064091275e-05
"SR" 1.34597052296911e-05 1.33019393260671e-05
"SU" 0.00424831853585297 0.00368007425420915
"SY" 0.000259322605463191 0.000252053144077676
"TA" 4.40957234732262e-06 4.16025353238347e-06
"TC" 0.00203754870412041 0.00172656486773692
"TD" 0.00424590309609538 0.00331010810165087
"TE" 5.25323692098514e-06 5.16303957149068e-06
"TI" 0.00135538144339248 0.000956516676594452
"TM" 0.161674249247694 0.0675748506973115
"TQ" 0.0104743775628673 0.00725885341357228
"TU" 0.0119984653131063 0.00661036684458322
"UA" 7.65403750478377e-07 7.38835615800775e-07
"UB" 8.20858339693152e-05 7.99893214889251e-05
"UE" 7.7962077253326e-05 7.42386582899821e-05
"UF" 1.48834049149867e-05 1.45127566877481e-05
"UH" 3.62742349306245e-05 3.47153172509537e-05
"UI" 4.92631294275889e-05 4.81778644210378e-05
"UK" 4.57220846223776e-05 4.47575917978016e-05
"UM" 0.00617940544048945 0.00355846314116534
"UN" 9.27294119035156e-06 9.22164317784115e-06
"UP" 9.85551015853099e-06 9.837168859367e-06
"UQ" 7.4281370923162e-06 7.32649141573045e-06
"UR" 2.08985357007705e-05 2.03982371468362e-05
"UT" 2.08222281449893e-07 2.0808627388266e-07
"UU" 3.1841721632483e-06 3.1642088140328e-06
"UY" 3.52931462743089e-05 3.33511582265346e-05
"VE" 0.0026977927052468 0.00221185142541821
"VI" 0.000403653841319877 0.000331446787411421
"VJ" 0.000198100450773726 0.000167996633995041
"VM" 8.88415067519545e-07 8.76999126290927e-07
"VP" 2.83699345953863e-06 2.63643502098187e-06
"VS" 1.06536409409742e-05 1.00361650759141e-05
"VX" 0.000117855275488431 0.000103065658121508
"VY" 0.0115994272447771 0.00874936943447997
"WC" 0.000295481831884342 0.000242488403018427
"WE" 0.00960661564408808 0.0066328493710921
"WF" 0.00302562655866734 0.00228395497190954
"WH" 0.00514072519810257 0.00417845655118957
"WM" 3.95032223059014e-05 3.47057273092692e-05
"WQ" 2.36611270812625e-05 2.27497278014437e-05
"WU" 4.08834253245096e-05 3.67992574352314e-05
"WV" 0.000132592176605788 0.000109199182043999
"WY" 2.64879138207519e-05 2.50143043338712e-05
"XA" 2.96667240644368e-05 2.89149514161511e-05
"XE" 3.87672029463074e-06 3.70507252658047e-06
"XQ" 0.000268397874553973 0.000234662440694406
"XW" 0.000631607896934858 0.000540383813774573
"XY" 0.000525180586828867 0.000487591490833075
"YA" 0.0499288857048057 0.0346973664566429
"YE" 1.7845573075598e-05 1.7741740147291e-05
"YG" 0 0
"YI" 2.09553557221044e-06 2.0090101658829e-06
"YO" 0.00699399859832736 0.00438435526669686
"YP" 0.00389997479660204 0.00257375262939723
"YQ" 1.63280926808671e-05 1.58192659694109e-05
"YR" 1.47447038516899e-06 1.46142064113806e-06
"YU" 0.00153170867925258 0.00118132193641541
"YY" 0 0
"ZA" 0.0170403441621694 0.0131243292587845
"ZC" 0.0106999366597761 0.00856533844054669
"ZD" 0.008649356529761 0.00584394670517876
"ZE" 0.00557124821861102 0.00385091712064558
"ZK" 2.64892741596e-05 2.28143451725204e-05
"ZM" 0.000986485831925904 0.000802928115215586
"ZQ" 5.12547154338199e-07 5.06326820925675e-07
"ZR" 4.459780209203e-05 4.33540640765743e-05
