"Q" "C"
"AA" 0.000247575685020565 0.000229313782800186
"AC" 0.000115007312230604 0.000112524883614764
"AD" 0.000356070191903911 0.000309634238383211
"AE" 0.000161224924775241 0.000138386033084234
"AF" 5.51874178645177e-06 5.37205710151409e-06
"AH" 0.00205797361879262 0.00163500178934761
"AI" 1.28416135290664e-05 1.25051436591864e-05
"AM" 0.00023839977008904 0.000208155189455898
"AQ" 0.00250137052491653 0.00203706393369141
"AY" 0.00040004984527204 0.000235500232656887
"AZ" 0.00022166126827662 0.00015916523882168
"BA" 0.00438872034381888 0.00349421193864422
"BD" 7.22927397472891e-05 6.74141916143936e-05
"BF" 0.000102537751298743 9.2285748157276e-05
"BI" 6.31648719083093e-06 6.15019038157297e-06
"BK" 5.11117522394676e-07 4.92919847255416e-07
"BM" 2.6439114698977e-06 2.60132580835159e-06
"BP" 2.78661155425146e-06 2.62689721243703e-06
"BQ" 6.80021991706231e-06 6.10649151450081e-06
"BU" 1.88541019566181e-05 1.88027439677792e-05
"BV" 0.000794573509425435 0.00060262528376222
"CN" 0.00471785198596437 0.00340822103164534
"CO" 0.0116061128638511 0.00712399360494325
"CQ" 0.0728815503159334 0.0380835865966743
"CT" 0.000156923920038731 9.36290247847483e-05
"CU" 0.00422138640689553 0.00208211839419145
"DA" 0.0105095367279875 0.00572872581216651
"DB" 0.0131167578635725 0.00781443951171478
"DE" 0.0129484929281478 0.00996891765395623
"DI" 8.5010623131006e-05 8.43346470488914e-05
"DK" 9.26820488659463e-06 9.22823142251388e-06
"DM" 0.0407181413447158 0.0270976170795044
"DQ" 0.0183284819257801 0.0144904203553882
"DR" 0.025810574352349 0.0140639375699121
"DS" 0.00349493656199536 0.00263040812460602
"DT" 7.3647978373524e-05 7.13819506400307e-05
"DW" 0.00779525734481827 0.00588906828043881
"DX" 0.0345235836269944 0.018486532168653
"DY" 0.0267106297273847 0.0211554379283938
"EA" 0.0149517087990558 0.012169028243863
"EC" 0.00124414257380388 0.00109059390315597
"EE" 0.0120625459173634 0.00973109553114577
"EI" 0.00461010966550815 0.00403035047060426
"EN" 1.1688715480301e-07 1.12902782711005e-07
"EO" 4.47418053662633e-07 4.45006803991145e-07
"EP" 0.000214179986009454 0.00020456124651409
"EQ" 0.00315571253643971 0.00265586585430806
"ER" 6.61252560778919e-06 6.17623742494374e-06
"ES" 9.73072737739451e-06 9.53203731291147e-06
"ET" 0.000669011979525751 0.000631117895534843
"EU" 4.13577585670587e-05 3.98088659380278e-05
"EV" 0.00156532207245405 0.00129028558357669
"EW" 3.11174483689401e-05 3.04317704352864e-05
"EX" 0.000195590582538448 0.000189196900830549
"FA" 1.98806718253937e-05 1.93697663800156e-05
"FE" 1.3401080626246e-05 1.26703034568711e-05
"FF" 0.000822467336032565 0.000689377397529617
"FI" 0.000887807027933514 0.000745663546406799
"FS" 1.20964782121037e-06 1.00384887353857e-06
"FU" 3.36379801905861e-05 3.16074440275541e-05
"FY" 0.00127919890611954 0.00116574776185389
"GA" 0.00455224728492411 0.00362137170199004
"GC" 3.37926266371084e-05 3.33772338760132e-05
"GM" 0.00287008045686242 0.0022767644392667
"GU" 0.000648826439975604 0.000587805795267176
"GY" 0.000389343853554765 0.000383385161324373
"HA" 0.00017945001952295 0.000173265180734238
"HB" 0.00140767666900612 0.00126468927331952
"HE" 3.28925694589129e-05 2.95268377426944e-05
"HF" 8.86772217855125e-05 8.09472625616011e-05
"HI" 5.28943984847196e-05 5.00537857104148e-05
"HL" 0.00337860903894051 0.0027465822051555
"HQ" 0.000260506775190288 0.000235318824409011
"HT" 0.00046957791831905 0.000371353305569564
"HY" 0.00180967549673711 0.00114556325644852
"IA" 0.0196674069696551 0.0121783013893086
"ID" 0.000182131063389535 0.000169130734408125
"IF" 0.000131778424750455 0.000122843445900544
"IG" 0.00326052603334573 0.00239019741066433
"IH" 0.000442638724892389 0.000405099176953426
"II" 0.0023271224515982 0.00209256897001425
"IJ" 5.39569570917997e-05 5.25429384885001e-05
"IK" 3.73549430040862e-05 3.61496134705175e-05
"IL" 3.45354518874871e-07 3.38238711856375e-07
"IM" 6.06349985584743e-05 5.74453200366383e-05
"IO" 9.07996234345501e-07 8.9646493395832e-07
"IP" 3.88958892568311e-06 3.7364824703663e-06
"IQ" 0.000175014758649021 0.000170073562832859
"IU" 0.00015310759917333 0.000148295179854226
"IX" 3.11789765807758e-06 3.08996976980317e-06
"IY" 0.000477670931272572 0.000395240621962276
"JA" 0.00339355442228875 0.00303591456388553
"JB" 5.78537564485129e-05 5.60628364701931e-05
"JI" 3.55112971305153e-05 3.28564901448013e-05
