"Q" "C"
"AA" 1.37009828043017e-05 1.31257826303204e-05
"AC" 0.000200023790360006 0.000192180533046809
"AD" 6.8116482724693e-05 6.61890800953391e-05
"AE" 0 0
"AF" 5.32930311495413e-05 4.92262640571553e-05
"AH" 0.000348985614058895 0.000335496308300827
"AI" 9.32357465852408e-06 9.06396385874753e-06
"AM" 2.04401444436874e-05 1.99334525691721e-05
"AQ" 3.03682146020499e-05 2.94858201615773e-05
"AY" 3.50049719654998e-05 3.03766890862735e-05
"AZ" 0 0
"BA" 0.000437209241883059 0.000397701917327661
"BD" 0.000259532460484396 0.000250251991586309
"BF" 0.00295839709164178 0.00270137730237246
"BI" 0.000571135643280562 0.000553188501610129
"BK" 0.00011465406948135 0.000107284101306038
"BM" 0.00101383618197399 0.000901316605241521
"BP" 0.00407984363404399 0.00364927272537344
"BQ" 0.00793364881939607 0.00576682836894351
"BU" 0.000667211430153388 0.000658427585987234
"BV" 0.00480698627921655 0.00369690189227256
"CN" 0.0110264924190274 0.00864223777313045
"CO" 0.000197186850709094 0.00018505808887552
"CQ" 0.00252734764175616 0.00233732868158083
"CT" 8.31963225721588e-05 7.7111112997878e-05
"CU" 0.00482644451332806 0.00418316218388095
"DA" 0.000417137275257382 0.000388331011949135
"DB" 0.000633575623708175 0.000595195904057092
"DE" 0.000195241311777414 0.000188832947264228
"DI" 0.00262499180795404 0.00237198148060812
"DK" 0.0004011048737569 0.000379181723893224
"DM" 0.000308558982266192 0.000293149561153355
"DQ" 0.000132368861332546 0.000128060319579949
"DR" 0.000894635438900998 0.000830317051010685
"DS" 9.99405159776128e-05 9.28462956463815e-05
"DT" 0 0
"DW" 6.20017714791851e-05 6.01459698232618e-05
"DX" 7.81929649225017e-05 7.34410755981012e-05
"DY" 0.000428739193142568 0.000418166484041476
"EA" 1.47623265426631e-05 1.43989059178431e-05
"EC" 0 0
"EE" 6.67180472317762e-05 6.55752697816915e-05
"EI" 0.000114110194292936 0.000112053384069249
"EN" 0.000239149689991143 0.000196219415178798
"EO" 0.00118058553259709 0.00113846611590725
"EP" 0.0120361329312188 0.011059807343348
"EQ" 0.00214034618545127 0.00181591824295993
"ER" 0.000567783825583098 0.000501698478571879
"ES" 0.000607205374156747 0.00057736433726757
"ET" 0.00168655194122349 0.00156125231044637
"EU" 0.00730477752318459 0.00627559624500738
"EV" 0.00113685556082849 0.00102623847397504
"EW" 0.00183831719252121 0.00171855819984443
"EX" 0.008455433448969 0.00781717623102293
"FA" 0 0
"FE" 0.000376174110937194 0.000336482432795765
"FF" 5.80245752964973e-05 5.49873478981216e-05
"FI" 0 0
"FS" 3.98582816651904e-05 3.07433489668749e-05
"FU" 0.000303719357648861 0.000269618835962813
"FY" 5.83463382400495e-05 5.72389439294993e-05
"GA" 2.0458847843832e-05 1.97818043615228e-05
"GC" 3.76183781423931e-05 3.71982773386703e-05
"GM" 0.000257477613818632 0.000223029893007702
"GU" 0.00128039399271065 0.00122359175455998
"GY" 0.0105825772280187 0.00968536681528018
"HA" 0.00626222224060899 0.00562512718052911
"HB" 0.000302538721431435 0.000281049304376375
"HE" 9.09300012913423e-05 8.12926329512777e-05
"HF" 0.049426113215279 0.0366876193280751
"HI" 0.00132152603552429 0.00114534115886403
"HL" 0.00197275517426791 0.00173864653365604
"HQ" 9.32357465852408e-06 9.17085702065265e-06
"HT" 0.00090468829660105 0.000851601078216456
"HY" 0.000419250100138711 0.000385221504850696
"IA" 0.00029786264834398 0.000271463375991097
"ID" 4.51822403383022e-05 4.42869432873019e-05
"IF" 7.04373866464212e-05 6.6973457473964e-05
"IG" 0.000116842001742559 0.000108594759596152
"IH" 8.05217811417989e-06 7.83134526041542e-06
"II" 0.000273413364367224 0.000268440800120987
"IJ" 0.00016957961622546 0.000159157262729523
"IK" 3.79602682525623e-05 3.67392055008918e-05
"IL" 0 0
"IM" 1.61043562283598e-05 1.56694942127956e-05
"IO" 0 0
"IP" 0 0
"IQ" 0.000751959262412945 0.000723300173197564
"IU" 5.03541336136553e-05 4.93548820389021e-05
"IX" 0 0
"IY" 3.03682146020499e-05 2.90683931024395e-05
"JA" 0.00119895505062208 0.00114874803326017
"JB" 0.00188410425543848 0.0017180514504863
"JI" 0.00021465648718021 0.000188738582301193
"JM" 0.0004217429749723 0.000350834900884948
"JO" 0.000363741341074646 0.000321253491975823
"JS" 0.000289870195602196 0.000255292003128751
"JU" 0.000116002942478697 0.00011309752890199
"JW" 0.000102070943523556 9.47909370027662e-05
"JY" 0.000126796242828129 0.00012289771868346
"KA" 0 0
"KI" 5.63771465698713e-05 5.44056569858297e-05
"KM" 0.00177311930151661 0.00163476171188778
"KU" 0.000963106667567861 0.000891391724690101
"KV" 0.000149988734345803 0.000146134195275116
"KY" 0.000115567927791134 0.000114311532787128
"LE" 0.000634913405715261 0.000622424178597344
"LI" 0.000161871657431716 0.000136581847885447
"LJ" 0.000431976286190982 0.000377005669192217
"LQ" 0.00143197931056437 0.00125015261325213
"MA" 0.00018819094375618 0.000178738195854176
"MC" 0.000476859424342414 0.000427333040806752
"ML" 0 0
"MM" 0.00857796541484119 0.00775919462560902
"MQ" 0.0689176726436902 0.0450310436405778
"MR" 0.0027703542411046 0.00242219147891046
"MU" 8.99159889416754e-05 8.77457281357013e-05
"MW" 5.67295119996626e-05 4.94814482677828e-05
"MY" 0.00448014519106146 0.00374764874936265
"NE" 0.00258981657959702 0.00226709553021814
"NI" 0.000362941562444778 0.000345706399628173
"NM" 0.000293032624299232 0.000259713105778718
"NN" 0.000120904470492038 0.000115448164896768
"NQ" 0.00133842479863642 0.00117335825838469
"NS" 3.3215234720992e-05 3.25438995906151e-05
"NU" 0.00257907017883343 0.00237744511607676
"OA" 0 0
"OE" 0.00293799337145749 0.00267670573920083
"OI" 0.000215715145064387 0.000195842243911862
"OM" 0.00794786818546631 0.00727222354373866
"OO" 0.0037840527839671 0.00294804531245086
"OP" 0.000714506613116709 0.000657245161051426
"OR" 0.00871191150919774 0.00648741672441592
"OT" 0.0117335688755332 0.00968024654105114
"OU" 0 0
"OX" 0.000986536979646612 0.000813240270110335
"OY" 0.00836673366737461 0.00739452523202429
"OZ" 0.00150768254677868 0.00119972917783282
"PA" 0.00590534918902481 0.00524464581864173
"PC" 0.00234894318741841 0.00213438180852254
"PD" 0.000151597737957348 0.000145247778645085
"PE" 0.000350858150279233 0.000329542330601601
"PF" 8.26690286389135e-05 7.91255915876954e-05
"PG" 0.00019150160096059 0.00018462258967209
"PH" 0.00032983255303893 0.000310621839400956
"PI" 0.000172414217886836 0.000167167429152477
"PJ" 0 0
"PK" 2.95246530853262e-05 2.91791356760321e-05
"PM" 0.000237673457336876 0.000233689067127744
"PN" 0.00767288830295318 0.00713907196439364
"PO" 0.00144288386838055 0.00133535978536488
"PQ" 0.0201873575904328 0.0189684883353885
"PS" 0.00140348038605308 0.00127930595549016
"PT" 0.000200648513997757 0.000177576731898864
"PU" 5.59265063250891e-05 5.44955021626368e-05
"PW" 1.22170978284109e-05 1.12518913732564e-05
"PY" 0.00408789353322659 0.00359998817550985
"PZ" 0.000127694124594036 0.000126379782971178
"QA" 0.000482394248981057 0.000433868868863233
"QC" 0.000222776927825644 0.000204000794612836
"QD" 0 0
"QE" 0 0
"QF" 1.51408477360647e-06 1.488201559993e-06
"QG" 0 0
"QH" 0 0
"QJ" 3.54295837023915e-05 3.47685295334299e-05
"QK" 0.00105328673367459 0.000924979120381614
"QQ" 0.000426061176460768 0.000418560870152684
"QU" 0.000346571847375942 0.000333151967782965
"RA" 0 0
"RB" 0.000200029560799112 0.000188584726779109
"RE" 0 0
"RO" 0.00228568028298178 0.00197130465279815
"RP" 0.000189671128967802 0.000161796425128428
"RQ" 6.56103401896139e-06 6.28631339872246e-06
"RT" 0.00252715221364648 0.00214573677512217
"RU" 0.0264560888300476 0.0211657643727034
"RX" 0.000885424632681326 0.000729841244337548
"RY" 0 0
"RZ" 0.000558827302241997 0.000501702020843088
"SA" 0.000426506203261315 0.000394571027982592
"SD" 0.000975224894858362 0.000925380226665951
"SI" 5.69977602934847e-05 5.58482675408138e-05
"SR" 0 0
"SU" 0.000738693101867054 0.000703914719229051
"SY" 0.000574915941318714 0.00055994201169729
"TA" 3.18678795206696e-05 3.05818941416783e-05
"TC" 2.26301599197968e-05 2.18955491056748e-05
"TD" 3.28051700948069e-06 3.06413044443157e-06
"TE" 0.000107802835880781 0.000106190818753041
"TI" 2.21434898139947e-05 2.10497436213891e-05
"TM" 2.7776482836853e-05 2.54183952296737e-05
"TQ" 0.000812968099860556 0.000737826713286916
"TU" 0.000489181084033335 0.00043130456990729
"UA" 0.448397956375913 0.206501351719742
"UB" 0.000128249771972675 0.000125638486869329
"UE" 6.71265455301302e-05 6.33343756967945e-05
"UF" 0.000257013622843296 0.00024918597437959
"UH" 0.000426987012388545 0.000417897832078041
"UI" 0.00487853709121088 0.00469988998676144
"UK" 0.000277119207821739 0.000271613929200442
"UM" 0.000712898280363134 0.000612392248275693
"UN" 1.96831020568842e-05 1.93236877969713e-05
"UP" 0.000354864601985948 0.000348530604192199
"UQ" 0.000905911895643955 0.000807499724196496
"UR" 0.000971332372604323 0.000923566792497442
"UT" 0 0
"UU" 0.0172292714389088 0.0153951092928676
"UY" 5.70809959649641e-05 5.62814617589871e-05
"VE" 0.0034997431870265 0.0029196166429673
"VI" 0.00899699921983832 0.00682186478075775
"VJ" 0.0140158622187472 0.0105462306814489
"VM" 0.00616983506110663 0.00545470825682117
"VP" 0.00035441181392164 0.000320521198762561
"VS" 0.000666958879132029 0.00054455774696735
"VX" 0.0302429674066852 0.0230558906460582
"VY" 0.000724733182577602 0.00066601700381204
"WC" 0.000474100582295235 0.000412153302221509
"WE" 1.59273852807954e-05 1.51807336259175e-05
"WF" 0.000560499899298014 0.000537192925481715
"WH" 1.47306795640763e-05 1.41683893158744e-05
"WM" 0.00568674914566413 0.00427571119633468
"WQ" 0.00683044999320248 0.00583847040353861
"WU" 0.0155798655122805 0.0122165771942587
"WV" 0.00647859938551802 0.00534241435136068
"WY" 0.000373762941077779 0.000330665413089632
"XA" 0.00804526910735404 0.00690178702419384
"XE" 0 0
"XQ" 0 0
"XW" 0.000342914562892342 0.000320741438414943
"XY" 0.00132436487957868 0.00124859540297558
"YA" 0.000268440917759117 0.000256954809512609
"YE" 0.000239736175242648 0.000232862049833393
"YG" 0.000151851062549479 0.000142548683487634
"YI" 0.0118979188370729 0.00983127721993675
"YO" 0.000162279675340704 0.000148800971370255
"YP" 6.99514339904065e-05 6.7272381021103e-05
"YQ" 4.90296275217861e-05 4.53218741708549e-05
"YR" 2.27112716040971e-06 2.18501442191891e-06
"YU" 3.16159826788702e-05 2.9713163611167e-05
"YY" 0.000323464990565386 0.000298979871352047
"ZA" 0.000184419274249932 0.000178369079083902
"ZC" 0.00022699018354214 0.000218461357153943
"ZD" 0.000201870022507755 0.000191360666947672
"ZE" 0.000155074725491023 0.000148594002616405
"ZK" 0.00313572387619872 0.00261752474477396
"ZM" 0.00107727058922071 0.000977764748244459
"ZQ" 2.21434898139947e-05 2.1856660340188e-05
"ZR" 0 0
