"Q" "C"
"AA" 0.0124378782798153 0.00967045711525245
"AC" 0.00599848510009232 0.00387146849773539
"AD" 0.000152120129552856 0.000147980075009717
"AE" 0.000558411416246301 0.000505185051559019
"AF" 1.82187934373446e-05 1.76628899855509e-05
"AH" 0.0008171514134705 0.000754199756330551
"AI" 0.00216592792478385 0.00167338289207597
"AM" 0.00189619548194778 0.00178209410195789
"AQ" 2.01593885484957e-05 1.97051328855875e-05
"AY" 0.000316120645226683 0.000283540911881861
"AZ" 6.72378213967863e-06 6.37808416781398e-06
"BA" 0.000137321252768511 0.000130866002338621
"BD" 0.000968576305588489 0.000889105783904421
"BF" 0.000191819764136372 0.000181320175846385
"BI" 0.000308050793540433 0.000289573986550462
"BK" 2.65028732366367e-05 2.38891426504707e-05
"BM" 8.27597610695895e-06 8.11974639610846e-06
"BP" 0.000208210451880468 0.000184249781063344
"BQ" 9.57157460915381e-06 8.94139980254411e-06
"BU" 0.00583380038870907 0.00557969839229051
"BV" 0.000119439946773239 0.000110638358212567
"CN" 0.000530601437707293 0.000487514976574261
"CO" 0.00517707943237184 0.00454732171821333
"CQ" 0.0035094170349077 0.00319548681941033
"CT" 0 0
"CU" 0.00159721972458694 0.00139641673490325
"DA" 0.00345328260524892 0.00307693767952839
"DB" 0.0018861176371742 0.00169177901463924
"DE" 0.00159764716004474 0.00150557287495794
"DI" 0.000164286110519493 0.00015906004612396
"DK" 2.03016398049962e-05 2.0044541510182e-05
"DM" 0.00311471275240683 0.0029053203101703
"DQ" 0.00219585327397039 0.00209987923049448
"DR" 0.00243971186176755 0.00224611419906939
"DS" 0.000310414016441792 0.000294737134682218
"DT" 0.000409031184631515 0.000371709053344983
"DW" 0.000350954482444239 0.00031774489829903
"DX" 0.000130193638229686 0.000119420003572545
"DY" 0.00228816611426966 0.00200877135661927
"EA" 0.00275809529122476 0.00246668398660064
"EC" 0.000210395563674421 0.000196695857657912
"EE" 0.000179571687049019 0.000170203002772272
"EI" 0.00267069693305573 0.002323419996533
"EN" 0 0
"EO" 0 0
"EP" 0.107629526457813 0.0635618950826124
"EQ" 6.11166622523508e-05 5.90889769891231e-05
"ER" 0.0038898641086174 0.00231355368501484
"ES" 0.00516742926110992 0.00301892019274444
"ET" 0.0187819999418719 0.0114456000308125
"EU" 0.000185451437917953 0.000178949476458041
"EV" 0.0198287061059154 0.0126232300333971
"EW" 0.0360138399194873 0.0236102599418888
"EX" 0.0326190386399265 0.0203957629800775
"FA" 0.000190604609719506 0.000175141922805622
"FE" 4.70175709787822e-05 4.63528141297445e-05
"FF" 4.73628665298688e-05 4.55536764646629e-05
"FI" 0.000821458849918077 0.000732509281047054
"FS" 0 0
"FU" 3.04430695803715e-05 2.97700312590767e-05
"FY" 0.000353140840317557 0.000343282437232209
"GA" 0.00063802745295195 0.000615285912981254
"GC" 0.0165908916262874 0.0144236459500293
"GM" 1.41294021844999e-05 1.35879693015971e-05
"GU" 0.00609097979775195 0.00556894762803258
"GY" 0.000314322837568856 0.000306534490076247
"HA" 0.000165864821123413 0.000160911989322663
"HB" 0.000154245534959118 0.000145181318048748
"HE" 1.68496742345902e-05 1.63924382031558e-05
"HF" 2.29144389568555e-05 2.21265599398082e-05
"HI" 6.22718883075126e-05 6.08836728656391e-05
"HL" 0.000472637604626341 0.000448348953877482
"HQ" 0.000979199638031914 0.000849363128985059
"HT" 0.00025551601886721 0.000238022490553079
"HY" 0.000278752023897644 0.000259654449414309
"IA" 0.000974779595027585 0.000908323826631196
"ID" 0.000672550732681534 0.000589784809568807
"IF" 0.00236882514244725 0.0016776862041788
"IG" 0.0228903131948507 0.0183201624492374
"IH" 0.000814615829094809 0.000708284551347397
"II" 0.00203218588096769 0.00180640738694479
"IJ" 0.000935791560332674 0.000781565668453772
"IK" 0.000945232534876511 0.000760759972812773
"IL" 1.90028111099348e-05 1.48404470589054e-05
"IM" 0.00203352667874679 0.00173611906989675
"IO" 0.00118143742689338 0.000988936461645115
"IP" 6.77082627209912e-05 6.00714485355886e-05
"IQ" 0.161421753301666 0.0891517969492319
"IU" 0.00229321899915875 0.0019329790433034
"IX" 0.000437960392997434 0.000396955675694746
"IY" 0.000139129279253669 0.000131498678106123
"JA" 0.02568413441646 0.0217772637990162
"JB" 0.000695242378401703 0.000634781934734172
"JI" 0.000703353430054768 0.000650326671849827
"JM" 0 0
"JO" 1.13080560645804e-05 1.11398210077019e-05
"JS" 2.8261486281816e-05 2.76303339468727e-05
"JU" 0.000277498076434483 0.000264101654009511
"JW" 0 0
"JY" 0.0004484104914095 0.000426255987983344
"KA" 0.00380876573191452 0.00349408537002865
"KI" 0.00070223585418772 0.000675099506058827
"KM" 0.000918358463929925 0.000844263634416712
