"Q" "C"
"AA" 0.000156051269096815 0.000138683385191461
"AC" 0.000214993274922718 0.000195642900091059
"AD" 3.73621818007261e-05 3.61423251416164e-05
"AE" 0.000202706715571572 0.000173242771265056
"AF" 1.79966765688551e-06 1.77218127208676e-06
"AH" 0.000274376092332852 0.000248726209854061
"AI" 0.000242593305071348 0.000206803173026863
"AM" 7.84140227155937e-05 7.47081879043941e-05
"AQ" 2.26366732552194e-05 2.21476261798547e-05
"AY" 3.48529946666065e-05 3.1668988026201e-05
"AZ" 4.40384714777573e-06 4.16535840560237e-06
"BA" 2.78584985412736e-05 2.73231212984064e-05
"BD" 4.69396748962935e-06 4.54205772015073e-06
"BF" 2.67193063862882e-05 2.59587793687664e-05
"BI" 8.38411942681906e-05 8.07835165554498e-05
"BK" 3.05844629704731e-07 2.76228792584518e-07
"BM" 0 0
"BP" 3.17863190097034e-05 2.76750146916564e-05
"BQ" 7.65842917150739e-06 7.36729162927396e-06
"BU" 0.00660390790078502 0.00614397046538196
"BV" 7.94231669947324e-07 7.7502581448191e-07
"CN" 1.67465463665062e-05 1.62234842525078e-05
"CO" 0.00626425138829523 0.00489537611306497
"CQ" 0.0189621521863067 0.0160907393629124
"CT" 1.05370828904943e-06 9.49302099859005e-07
"CU" 0.000954844345184695 0.000829831216958723
"DA" 0.0104871185376885 0.00824969583237711
"DB" 0.00220022170836843 0.00184768660091389
"DE" 0.00057918671965946 0.000539948877965544
"DI" 7.51948972004e-06 7.48069815632693e-06
"DK" 1.85058860320152e-06 1.84306149918779e-06
"DM" 0.000642289672121911 0.000605171303508107
"DQ" 0.000108681580700335 0.000106094447810444
"DR" 0.00266401076736032 0.00236838584266704
"DS" 1.93789314729177e-05 1.88530316688079e-05
"DT" 0.00285597230891544 0.00231694815849642
"DW" 0.0029349818636444 0.00191022911893746
"DX" 0.00173579758151765 0.00141989385232033
"DY" 0.0705503519859171 0.0335054465332188
"EA" 0.00877786079372412 0.00657555983591853
"EC" 0.00897745721289686 0.0059233899273521
"EE" 0.00830264190297308 0.00612563482207034
"EI" 0.14965882127627 0.0595781458363033
"EN" 0 0
"EO" 0 0
"EP" 0.000208591885096731 0.000193839192403264
"EQ" 3.93877228482855e-06 3.90049033831192e-06
"ER" 4.37695677210545e-06 4.07628638842922e-06
"ES" 0.000130746104157311 0.00011993612399996
"ET" 0.000895906375138465 0.000821990989870938
"EU" 8.24038347248761e-07 8.17559916823848e-07
"EV" 0.00374369338091976 0.00296534544811792
"EW" 0.000257713807642434 0.000243126999831833
"EX" 0.00123115473189802 0.00113902071450802
"FA" 8.8542587866265e-05 7.65421721590622e-05
"FE" 5.47971628220977e-07 5.4595152709785e-07
"FF" 3.91759616557892e-06 3.86506322232592e-06
"FI" 0.00373532608948456 0.00210908992939764
"FS" 0 0
"FU" 3.37213309674448e-07 3.34500847332495e-07
"FY" 6.81081100142207e-05 6.67491875226301e-05
"GA" 8.76972187540849e-05 8.45591677671205e-05
"GC" 0.00176514382708867 0.00168114402838159
"GM" 4.35118189618194e-06 4.2658603029165e-06
"GU" 8.71284314663539e-05 8.37721997817619e-05
"GY" 1.49301413045362e-05 1.47977238025324e-05
"HA" 1.77889646409923e-05 1.76018801650824e-05
"HB" 0.000329199337172847 0.000302872981667102
"HE" 0 0
"HF" 0 0
"HI" 1.00800740872382e-06 1.00273478759511e-06
"HL" 4.39409362572402e-06 4.31977061481702e-06
"HQ" 0.00664289703078156 0.0039099266087849
"HT" 2.95978242962962e-05 2.78599877147956e-05
"HY" 7.58362915467202e-05 6.95670329988345e-05
"IA" 0.00035602351566376 0.00033070796113846
"ID" 0.00885835221802578 0.00605503868571175
"IF" 0.00168381537910761 0.00108432310310116
"IG" 0.000885581802220687 0.000722646085310948
"IH" 0.0020889192061674 0.00166501060168079
"II" 0.00883435591084971 0.00565914396366739
"IJ" 5.59204777382712e-05 5.18025973757904e-05
"IK" 0.00010367126885706 8.32190139961017e-05
"IL" 3.35700440556168e-07 3.06494465604107e-07
"IM" 0.000317484953527254 0.000269139896709656
"IO" 8.83260529130783e-06 8.34782315747334e-06
"IP" 6.03943085461892e-05 4.87916290540004e-05
"IQ" 0.00356821830892371 0.0028933013091744
"IU" 0.00122118669081568 0.000974200251028868
"IX" 1.2389455512661e-05 1.17786746581263e-05
"IY" 7.69734639255186e-05 7.29839824482089e-05
"JA" 0.00787099185646336 0.00672231735468874
