"Q" "C"
"AA" 0.00240405715847855 0.00209867739606334
"AC" 0.00120798770780207 0.00106271110832742
"AD" 2.81500403414841e-05 2.76866395919758e-05
"AE" 1.72649061962254e-05 1.6000341409963e-05
"AF" 8.69056061480545e-06 8.57661079722016e-06
"AH" 6.40228950381707e-05 6.113183685614e-05
"AI" 0.000747740938940401 0.000603948602400046
"AM" 3.05328392722856e-05 2.9794384858977e-05
"AQ" 1.35122683155838e-05 1.33546494337977e-05
"AY" 5.04529526458436e-05 4.7653686275458e-05
"AZ" 1.76674824332222e-08 1.71736970646654e-08
"BA" 1.8718673633577e-05 1.84648495514921e-05
"BD" 4.76923435674437e-05 4.67671118723826e-05
"BF" 8.21090862723952e-05 8.03468046510254e-05
"BI" 4.57230301948586e-05 4.44546289305069e-05
"BK" 9.31223553251088e-07 8.5802029857255e-07
"BM" 1.10411622134726e-06 1.09617540063218e-06
"BP" 1.06029345396457e-05 9.57103803168244e-06
"BQ" 2.32403101114087e-05 2.24545041230787e-05
"BU" 0.0378309390462343 0.0308332990801272
"BV" 2.84531610650771e-05 2.78955540286618e-05
"CN" 0.000160565515092311 0.000156795357611512
"CO" 0.00130026060855548 0.00114551508195108
"CQ" 0.00518328653177552 0.00479136075537974
"CT" 2.02749629909558e-05 1.91068365379544e-05
"CU" 0.00194002769355273 0.00178891017714635
"DA" 0.00377406023854587 0.00332933080904615
"DB" 0.000911179917080108 0.000834298206003063
"DE" 0.000214579644093194 0.000207517287744049
"DI" 7.10955293077894e-05 7.05473912228706e-05
"DK" 0.000378125528223406 0.000374688387074599
"DM" 0.000446905415218334 0.000433176214443557
"DQ" 0.000279396657252862 0.000275284800287582
"DR" 0.00175702094853094 0.00165727690602236
"DS" 2.3618340411542e-05 2.32122458427873e-05
"DT" 0.00186678450219058 0.00156601522038772
"DW" 0.000547293937981883 0.000446009662381292
"DX" 0.000183521985636771 0.000167957883483391
"DY" 0.0136670751521091 0.00934538273341578
"EA" 0.00163923088215733 0.00140967603305823
"EC" 0.00162604473773118 0.00133177807245884
"EE" 0.000817821058823098 0.000719549815323517
"EI" 0.0271787801579536 0.0168031066557505
"EN" 0 0
"EO" 0 0
"EP" 0.00163025945220716 0.00146763309638096
"EQ" 6.02160257057926e-06 5.9707710523088e-06
"ER" 0.000200753361540086 0.000180415514736494
"ES" 0.000575362687438812 0.000508564241307209
"ET" 0.00114212371114201 0.00102558119223758
"EU" 1.48349830482694e-05 1.46969377534629e-05
"EV" 0.00439573291461471 0.00344005697209921
