"Q" "C"
"AA" 0.000917233352007144 0.000844468595635708
"AC" 8.18340683932683e-05 8.01918378781976e-05
"AD" 0.00162892843080007 0.00141817646175995
"AE" 7.69781932010412e-05 6.9256847620018e-05
"AF" 1.04029593430228e-05 1.01644061813094e-05
"AH" 0.000485162419118053 0.000406549316568476
"AI" 6.62836315065566e-05 6.47176162640963e-05
"AM" 0.000760993635256169 0.000678516452520206
"AQ" 0.00114404102911629 0.000970380038737625
"AY" 0.00229237925400099 0.00118019559564529
"AZ" 0.000235673056828282 0.000165776324109096
"BA" 0.00284125362301085 0.00217514753581493
"BD" 0.000494806933170089 0.000452188394101712
"BF" 0.000242107760013941 0.000214902683144676
"BI" 5.04476687715223e-06 4.91797681635576e-06
"BK" 6.15751413765246e-07 5.97755413495232e-07
"BM" 3.01799519232831e-06 2.97475719347033e-06
"BP" 5.13696515218763e-06 4.89098495589739e-06
"BQ" 7.99654410935352e-06 7.01961262827664e-06
"BU" 7.1684254482645e-05 7.14831098197036e-05
"BV" 0.00428187968770313 0.00287171894233178
"CN" 0.00912191580315141 0.00587445639641744
"CO" 0.00474882621812625 0.00313629679879096
"CQ" 0.0879215430263637 0.0457933952368568
"CT" 0.000239569588512809 0.000135306417111939
"CU" 0.0187920402899348 0.00878474938035964
"DA" 0.0163411035707288 0.00887202392382077
"DB" 0.00489114079424363 0.00315912990387877
"DE" 0.0026843415115866 0.00212101889328094
"DI" 3.61923185390138e-05 3.58395707291704e-05
"DK" 7.431327903715e-06 7.40260398893344e-06
"DM" 0.0115285018406631 0.0081395298004121
"DQ" 0.0367724814765682 0.0273017644302373
"DR" 0.0530122191454653 0.027525819912026
"DS" 0.00562596692006713 0.00411099226606873
"DT" 7.42352018366481e-05 7.31443564899668e-05
"DW" 0.00075566830868918 0.000635885058557165
"DX" 0.00191631618286441 0.00123615998117783
"DY" 0.00144307504607407 0.00127402053303237
"EA" 0.00131012451100027 0.00115352087159117
"EC" 0.000122423619805397 0.000115315012535987
"EE" 0.000476435245175661 0.000425067418367581
"EI" 0.000669330666224884 0.000628238625812973
"EN" 0 0
"EO" 0 0
"EP" 0.00123825453334671 0.00117217804941075
"EQ" 0.0010789859709929 0.000908157719468623
"ER" 0.000350851056112536 0.000318949737144325
"ES" 5.10145766448826e-05 4.9889125912452e-05
"ET" 0.000145829831446441 0.000138172048711605
"EU" 3.92928993038172e-05 3.77460766983837e-05
"EV" 0.00122100715172127 0.00102602035179731
"EW" 0.000114656960066529 0.000111817835360582
"EX" 0.000237837723908302 0.00022919135788859
"FA" 0.000136889684522978 0.000134923966566702
"FE" 9.94019956933219e-06 9.42124115971205e-06
"FF" 0.000390037043049555 0.00032119738497529
"FI" 8.44592289562753e-05 7.63987574809714e-05
"FS" 0 0
"FU" 9.04170659032654e-06 8.5687836988706e-06
"FY" 0.00114455015435654 0.00104829626529747
"GA" 0.00112573507381529 0.00092183239733887
"GC" 8.52526648955939e-05 8.43825603241123e-05
"GM" 0.000562022890999795 0.000455265011567618
"GU" 0.00483545904764722 0.00429008865515737
"GY" 9.48289435388209e-05 9.354997414919e-05
"HA" 0.000430895388997477 0.000413421946192149
"HB" 0.00108131985116138 0.000994189944825931
"HE" 4.62394573066067e-05 4.05514438650909e-05
"HF" 2.91339757358239e-05 2.66139710381183e-05
"HI" 0.000235134282054683 0.000218102863353211
"HL" 0.000789002623435853 0.000664003688156699
"HQ" 0.000126637130744377 0.000120478242112892
"HT" 0.0017543137362695 0.00135101217539965
"HY" 0.00603714920089061 0.00353454881109524
"IA" 0.0433528915959199 0.0246887589505164
"ID" 0.000107481323682702 0.000103577027578912
"IF" 0.000155969838401029 0.000149420761402632
"IG" 0.00718903750460159 0.00515056775002397
"IH" 0.000204436174283675 0.000193931648323221
"II" 0.000157979479323952 0.000150049413485136
"IJ" 0.000420538051311315 0.000408755028588407
"IK" 2.98212474130423e-05 2.92543922954909e-05
"IL" 0 0
"IM" 0.000169109826797909 0.000163459810360978
"IO" 8.6675135318279e-06 8.55020369653012e-06
"IP" 1.16417788517653e-06 1.14329769957176e-06
"IQ" 0.000695379731948763 0.000678940963143629
"IU" 0.000191342290950982 0.00018769141613851
"IX" 2.66195159433524e-06 2.64413050358211e-06
"IY" 0.00812425106198122 0.00655913696478196
"JA" 0.00290850836501489 0.00267433606137388
"JB" 9.216477075414e-05 8.92554104199165e-05
"JI" 0.000506500077771403 0.000456474921814774
"JM" 2.14283439709271e-06 2.00065925587878e-06
"JO" 3.69302886706607e-05 3.45209554106201e-05
"JS" 3.02574822762447e-06 2.92347706598848e-06
"JU" 0.0036520153204877 0.00325468717463724
"JW" 0 0
"JY" 0.00233385771697842 0.00197669044032845
"KA" 0.000238215118682477 0.000222504366639804
