"Q" "C"
"AA" 5.40602807508755e-05 5.03454568425046e-05
"AC" 5.70865002176608e-05 5.3128374246599e-05
"AD" 5.9612787718002e-06 5.92053683887741e-06
"AE" 2.31700224239307e-06 2.24212584796775e-06
"AF" 0 0
"AH" 3.20322938358639e-06 3.13363014505264e-06
"AI" 0.000350640541314665 0.000293334993815039
"AM" 1.02111513814095e-05 1.00931275828423e-05
"AQ" 2.54190069099028e-07 2.53120240803347e-07
"AY" 1.48134332588519e-05 1.44753626037145e-05
"AZ" 0 0
"BA" 0 0
"BD" 4.59737510129106e-06 4.55294211254659e-06
"BF" 1.15371313614926e-05 1.13767716878941e-05
"BI" 1.07898932536015e-05 1.05585646401042e-05
"BK" 0 0
"BM" 0 0
"BP" 1.84378323625677e-06 1.73451682042661e-06
"BQ" 6.78750206719248e-06 6.63271518165867e-06
"BU" 0.165316927155815 0.0863846491939865
"BV" 0 0
"CN" 0 0
"CO" 9.83612894986182e-05 9.2437956259195e-05
"CQ" 0.000198994278919357 0.000193119139250372
"CT" 0 0
"CU" 8.71598098665043e-05 8.38104395359625e-05
"DA" 0.000199115130377718 0.000188899710121165
"DB" 4.42530245108046e-05 4.27304000555418e-05
"DE" 1.63902945374547e-05 1.6171941734721e-05
"DI" 5.21751342785266e-06 5.20044824275282e-06
"DK" 1.25556664588437e-06 1.2506353876866e-06
"DM" 0.000206812141017279 0.000203951416253863
"DQ" 3.39339695089738e-05 3.37207694956749e-05
"DR" 7.99332559265153e-05 7.82054191350643e-05
"DS" 5.45447601302199e-07 5.41664144308044e-07
"DT" 0.000142965123951282 0.00013161482202039
"DW" 5.08630353920084e-05 4.73545728567106e-05
"DX" 1.37848029136972e-05 1.33381917446633e-05
"DY" 0.000396909841322823 0.000349634014331796
"EA" 0.00049554376233455 0.000458452127937231
"EC" 0.000902032727575582 0.000839488944298881
"EE" 4.07279581889642e-05 3.90650241462402e-05
"EI" 0.00137746443054061 0.0011666412796918
"EN" 0 0
"EO" 7.15497972278746e-07 7.14464365892387e-07
"EP" 0.000175838417112618 0.000166063106052561
"EQ" 1.60987043762718e-06 1.60451217276935e-06
"ER" 8.76641236130515e-06 8.26476501342117e-06
"ES" 0.000166494833072224 0.000156291361859081
"ET" 0.000351733317424873 0.000332839894775502
"EU" 3.21974087525436e-06 3.20598186370167e-06
"EV" 0.00441445111121013 0.00384476419065219
"EW" 0.000203365175610212 0.000193230445785255
"EX" 0.00115667204477755 0.00108267995980417
"FA" 3.09212738476982e-05 2.95283737025479e-05
"FE" 0 0
"FF" 7.15497972278746e-07 7.12262044222787e-07
"FI" 0.000590295157726757 0.000525970109898112
"FS" 1.28789635010174e-06 1.27566319552741e-06
"FU" 2.45285713951196e-06 2.44363537275961e-06
"FY" 8.5234049454609e-06 8.47622954982355e-06
"GA" 1.59453833822121e-06 1.58213258110328e-06
"GC" 0.000463828498155522 0.000428255207042273
"GM" 4.71181591500638e-07 4.68714628957958e-07
"GU" 2.54201812450531e-05 2.51122096274223e-05
"GY" 4.01306999673997e-06 3.98924726895862e-06
"HA" 5.55126655993512e-06 5.50761772888363e-06
"HB" 0.000284699278662423 0.00026819051488772
"HE" 0 0
"HF" 6.89944473268791e-07 6.86898089782004e-07
"HI" 0 0
"HL" 4.26232363486053e-06 4.23199229393831e-06
"HQ" 0.000180912418287977 0.000161038191931274
"HT" 6.42031662625125e-06 6.33207731542758e-06
"HY" 4.22011229848656e-06 4.15108586216764e-06
"IA" 2.31403504439066e-05 2.28031906310003e-05
"ID" 9.84495558709723e-05 9.01961152368896e-05
"IF" 0.000339717978525855 0.000282040182500463
"IG" 0.000752247606888474 0.000703936401362178
"IH" 5.80362027308723e-05 5.5365653524847e-05
"II" 0.000121890045070855 0.000112145571999335
"IJ" 1.81496535536222e-05 1.74926461242163e-05
"IK" 3.23657217021238e-05 2.99137127479665e-05
"IL" 0 0
"IM" 3.66660120272993e-05 3.48037000232527e-05
"IO" 1.52549459740969e-05 1.43083243909042e-05
"IP" 3.06641988119463e-07 2.89881900299974e-07
"IQ" 0.00463150902268726 0.00410340107141469
"IU" 0.000115561777503217 0.000104127205165593
"IX" 1.20740282822038e-05 1.17158632099566e-05
"IY" 5.64422312806656e-06 5.58259921974492e-06
"JA" 0.000445065987238464 0.000426810838333977
"JB" 2.24890170179562e-05 2.2164232609275e-05
"JI" 0 0
"JM" 0 0
"JO" 0 0
"JS" 7.10326239606713e-07 7.0844108522864e-07
"JU" 2.61170900157874e-06 2.59203519178427e-06
"JW" 0 0
"JY" 2.76919006405868e-05 2.71262512186356e-05
"KA" 6.03701414110192e-06 5.96475660335e-06
"KI" 2.75193309672651e-05 2.73345537333092e-05
"KM" 2.13404474324734e-05 2.09261380686639e-05
"KU" 4.59795722912947e-06 4.55636433796542e-06
