"Q" "C"
"AA" 0.00212472980764436 0.00181943106414909
"AC" 0.00294665709532539 0.00248122702246235
"AD" 1.04255906007392e-05 1.02400771051012e-05
"AE" 1.94215909717719e-05 1.81733341434473e-05
"AF" 3.95722224073991e-06 3.88033740308388e-06
"AH" 2.00230741884947e-05 1.91773771231987e-05
"AI" 0.00115388560045367 0.000907298600230093
"AM" 2.27959589341759e-05 2.22058492865372e-05
"AQ" 6.02410001451808e-07 5.94604388665321e-07
"AY" 4.77198019198598e-05 4.48129095321562e-05
"AZ" 0 0
"BA" 1.20656698054362e-05 1.18610668396189e-05
"BD" 8.47616434124589e-05 8.27234997890169e-05
"BF" 0.000119099035040878 0.000116267140473027
"BI" 1.64834356041655e-05 1.60913482754937e-05
"BK" 4.14156875998118e-07 3.83951650365106e-07
"BM" 1.98795300479097e-06 1.967770847458e-06
"BP" 5.30934583209377e-06 4.88622425440787e-06
"BQ" 5.95254044136426e-06 5.71949209759041e-06
"BU" 0.0180546939151993 0.0155018311054614
"BV" 4.55693012022837e-05 4.4336757476667e-05
"CN" 0.000243843798859194 0.000236077511311391
"CO" 0.00145661746521512 0.00130219127305957
"CQ" 0.00636653333112378 0.0058766290716782
"CT" 9.94970137298556e-06 9.36216549662992e-06
"CU" 0.00419732475457489 0.00382634848584219
"DA" 0.00501918682988864 0.0044765658630155
"DB" 0.000868205078326183 0.000797605406012577
"DE" 0.000145244172181642 0.000140075634700672
"DI" 8.08108010161554e-05 7.96616393252951e-05
"DK" 0.000345105460055959 0.000339367392962429
"DM" 0.00035268644099369 0.000341110595364554
"DQ" 0.000493472133177417 0.000485155749867315
"DR" 0.00248156181214267 0.00232673513235713
"DS" 2.75234807931528e-05 2.69760491619565e-05
"DT" 0.00280794939805733 0.00231873696579867
"DW" 0.000177660578586937 0.000154906955622444
"DX" 6.11800117483753e-05 5.67362468967113e-05
"DY" 0.0047679755329092 0.00376571964853105
"EA" 0.000721034536352302 0.000648594659015418
"EC" 0.000326482203195484 0.000289050221392195
"EE" 0.000203896840915143 0.000187865082514135
"EI" 0.0128258985760253 0.00953179900106825
"EN" 0 0
"EO" 0 0
"EP" 0.0041263546430119 0.00351103908648125
"EQ" 1.0642435462349e-05 1.05200617547025e-05
"ER" 0.000516193400432623 0.000438240769007378
"ES" 0.00112432552378626 0.000955126334555449
"ET" 0.00276495408656904 0.00236080390054903
"EU" 1.69259784237011e-05 1.66896470825788e-05
"EV" 0.0208629128993798 0.0145447670775129
"EW" 0.00353898947503022 0.00299552838442717
"EX" 0.00549968800767003 0.00456015647094178
"FA" 0.000139963290780695 0.000126337351953764
"FE" 6.98150162396828e-06 6.94122386021167e-06
"FF" 3.6072129710994e-06 3.56720687798192e-06
"FI" 0.00169106146648445 0.00137390872682504
"FS" 0 0
"FU" 1.89056266698261e-05 1.86642994439653e-05
"FY" 5.39610770262588e-05 5.3276994659434e-05
"GA" 1.15617901182149e-05 1.13274304172598e-05
"GC" 0.00261215115774011 0.00247620518561263
"GM" 1.10441833599498e-06 1.08666742620432e-06
"GU" 0.00170969632749234 0.00165840356855285
"GY" 0.00119625332282914 0.00116781035437503
"HA" 1.93302174376796e-05 1.89820034038147e-05
"HB" 0.000686060454804626 0.000637075567976217
"HE" 1.10441833599498e-06 1.09380717229944e-06
"HF" 9.93976502395484e-07 9.79777329972167e-07
"HI" 0 0
"HL" 1.76332993875448e-05 1.72810332725955e-05
"HQ" 0.000585270557636547 0.000479053960577203
"HT" 0.000421172279688712 0.000403167432223783
"HY" 0.000328890725422895 0.000312212224740936
"IA" 0.000121893682222149 0.000116816642911777
"ID" 0.000810946310686883 0.000687092555410322
"IF" 0.00506911491863276 0.00324795765131216
"IG" 0.00178779070858365 0.00156614637909239
"IH" 0.000247330329778267 0.000226353422183309
"II" 0.00268422371961243 0.00226641627901094
"IJ" 0.000434241234067333 0.000390574563537732
"IK" 0.00051222078861765 0.000425798008652473
"IL" 1.2597146179915e-05 1.08021952729072e-05
"IM" 0.000938295585743763 0.000833772309550205
"IO" 0.000170074610213208 0.000153203834427734
"IP" 0.000181870123711927 0.000164285347816384
"IQ" 0.0201752599415175 0.0159213848339905
"IU" 0.00591082871562448 0.004572987505327
"IX" 0.000230073685759449 0.000216816010362941
"IY" 3.98807192498143e-05 3.86240739902867e-05
"JA" 0.000977065970322293 0.000910678172699245
"JB" 0.000183194037226573 0.000177484206046563
"JI" 7.32407439103305e-06 7.11389965472095e-06
"JM" 0 0
"JO" 2.48848105834767e-06 2.47434781023088e-06
"JS" 7.84137018556437e-06 7.77432938100995e-06
"JU" 2.04645598871945e-05 2.00601376595327e-05
