"Q" "C"
"AA" 0.000554092602155598 0.000496714472945223
"AC" 0.000311520561130309 0.000289471035035848
"AD" 0.00010282345990591 9.76000781231688e-05
"AE" 0.00154295202616348 0.00123812328270794
"AF" 1.86295244291298e-06 1.82608935274976e-06
"AH" 0.00107205727210886 0.000919939921818181
"AI" 0.000219814042611772 0.000192938606233835
"AM" 0.000533199571880379 0.000497644008392505
"AQ" 4.23650018953521e-05 4.09934538834835e-05
"AY" 8.42083268791149e-05 7.44257797898049e-05
"AZ" 3.1598374385087e-06 2.93277899284382e-06
"BA" 2.1229115802486e-05 2.06085253733849e-05
"BD" 3.82806771881552e-06 3.69244697620499e-06
"BF" 6.23530452305946e-06 6.04366544883415e-06
"BI" 3.2941383353058e-05 3.18648554654703e-05
"BK" 2.41392020883306e-07 2.14536050839712e-07
"BM" 1.05537891958577e-06 1.04766427540569e-06
"BP" 2.74509156704003e-05 2.38954512845468e-05
"BQ" 6.59977990424851e-06 6.34814647059809e-06
"BU" 9.30338876319638e-05 9.16158458228534e-05
"BV" 3.51421013672717e-06 3.39767006368965e-06
"CN" 1.84102964332773e-05 1.7620685984865e-05
"CO" 0.00470094806995502 0.00358612863207913
"CQ" 0.0233032172081527 0.0188841082934589
"CT" 0.000150907120031578 0.000128756960859979
"CU" 0.000577907879580659 0.000484910747101385
"DA" 0.0060288786552549 0.0045817756776732
"DB" 0.00932744123162517 0.00733362077829169
"DE" 0.000925953283893861 0.00084232182032106
"DI" 5.23842940956488e-06 5.2101941984698e-06
"DK" 2.47142149392985e-06 2.4657412182987e-06
"DM" 0.000939347379317408 0.000868078243852864
"DQ" 0.000364001535518323 0.000350691133953281
"DR" 0.0030196169978956 0.00258830574319138
"DS" 9.71849346539691e-05 9.31310960829143e-05
"DT" 0.001113457884195 0.000896128667680385
"DW" 0.0183976710149767 0.0103804738710957
"DX" 0.00214296295278867 0.00163111099207113
"DY" 0.0693910359228244 0.0309670595541109
"EA" 0.0119522546125685 0.00886303179199451
"EC" 0.00662506948598101 0.0042679049364579
"EE" 0.02566743079651 0.0173397313100422
"EI" 0.0789346687599128 0.0338051327357282
"EN" 0 0
"EO" 0 0
"EP" 0.000197215416574935 0.000187152494722132
"EQ" 4.76144908133967e-06 4.69145609397144e-06
"ER" 2.14580406128117e-05 2.04231593911091e-05
"ES" 6.0211476447368e-05 5.71020305103507e-05
"ET" 8.37987363169483e-05 7.86588176125018e-05
"EU" 1.50783801616037e-06 1.49576846875665e-06
"EV" 0.000862059499317662 0.000698398910334577
"EW" 0.000111415777146712 0.0001073271809564
"EX" 9.15664106837332e-05 8.74057450870081e-05
"FA" 0.000855718920058237 0.000710127666337884
"FE" 1.07460958503012e-06 1.06955614803224e-06
"FF" 2.84512892802575e-05 2.77985049301661e-05
"FI" 0.0028719872232123 0.00160231417095887
"FS" 0 0
"FU" 2.13229618446921e-07 2.11299208942853e-07
"FY" 0.000976552846601459 0.000939626722825707
"GA" 0.000346075398575065 0.000328905440111409
"GC" 0.000146081538551767 0.000141364931350195
"GM" 5.06582191975723e-06 4.91396625509747e-06
"GU" 7.95911839479945e-05 7.61065718288703e-05
"GY" 1.8386461222584e-05 1.82535914475703e-05
"HA" 2.69856578749016e-06 2.67337147084031e-06
"HB" 8.84529343829771e-05 8.21855496830211e-05
"HE" 0 0
"HF" 1.85375792239936e-06 1.82422250302829e-06
"HI" 0 0
"HL" 9.38291166202307e-06 9.15674696790894e-06
"HQ" 0.00844525561060395 0.00502864235546874
"HT" 2.58266405292162e-05 2.395602841072e-05
"HY" 0.000152374402294628 0.000136145787466879
"IA" 0.000371186632430412 0.000335996643200336
"ID" 0.00592926490315814 0.0039942393233518
"IF" 0.00277448837777799 0.00179319433434455
"IG" 0.0145871862940973 0.0109410875866212
"IH" 0.00414066670477306 0.0031971984364257
"II" 0.0407472190460575 0.0231323739521221
"IJ" 0.000709855112184728 0.000651285073997883
"IK" 0.00461558244422053 0.00354178134032224
"IL" 0 0
"IM" 0.00152282429488383 0.00125155657346751
"IO" 4.03061065250997e-05 3.84245660000622e-05
"IP" 0.000199865993513415 0.000158526789506753
"IQ" 0.00348650611142024 0.00300206874937077
"IU" 0.00333185601746505 0.00258197927197743
"IX" 7.85376648909287e-05 7.4276622394103e-05
"IY" 8.97567374270175e-05 8.37276628108405e-05
"JA" 0.00471358839321866 0.00397664785420135
"JB" 1.76852001141748e-05 1.69769609668083e-05
"JI" 4.10151989072751e-05 4.02195036624634e-05
"JM" 0 0
"JO" 2.2702682905231e-06 2.25766291391847e-06
"JS" 1.37321759020441e-06 1.36692454828779e-06
"JU" 3.9305640798702e-05 3.78350577215518e-05
"JW" 0 0
"JY" 0.00680356431871209 0.00578875972299286
"KA" 0.000588219533033529 0.000561609155767274
"KI" 0.000136449240981847 0.000130748689666439
"KM" 0.000651746226313716 0.000570706513392088
"KU" 4.16435916299105e-06 4.09362441859457e-06
"KV" 9.12566034077229e-06 8.86690503981728e-06
"KY" 1.01252924826637e-05 9.93732180654549e-06
"LE" 0.000301326872389274 0.000289771691819941
"LI" 2.88987282919593e-05 2.68760707507697e-05
"LJ" 3.23341195166171e-06 3.16075429142143e-06
"LQ" 5.77009738927012e-06 5.66895952055946e-06
"MA" 0.000529088651075483 0.000491039780184178
"MC" 7.15647842834502e-05 5.89971172694492e-05
"ML" 7.49380832232811e-07 7.30953806299873e-07
"MM" 5.76385355241869e-06 5.74237111691353e-06
"MQ" 5.65164310917872e-06 5.33980384046237e-06
"MR" 3.79637302872856e-08 3.77556161551989e-08
"MU" 6.30307346166375e-05 5.89033051776453e-05
"MW" 0 0
"MY" 1.21845496255383e-06 1.20248175060263e-06
"NE" 0.000177574072522097 0.000170052355043056
"NI" 0.000595454941922022 0.000554538519702157
"NM" 0 0
"NN" 0.000224586893702468 0.000213267890913441
"NQ" 7.38039006624515e-06 7.33527616597178e-06
"NS" 0.010608728973991 0.0046753392680685
"NU" 4.65139690353602e-05 4.58134762184019e-05
"OA" 0.00385691166763159 0.00268818769220663
"OE" 1.91245147830692e-06 1.90033824800849e-06
"OI" 9.69989100766776e-05 8.46133032059685e-05
"OM" 4.00951501253961e-05 3.98615103776801e-05
"OO" 3.36678344916191e-07 3.27577291329154e-07
"OP" 6.42623319939036e-05 5.76043546128343e-05
"OR" 2.59757478259349e-06 2.5780225022334e-06
"OT" 1.31767142441568e-06 1.30557103597028e-06
"OU" 3.40220057987977e-05 3.14680129052298e-05
"OX" 0 0
"OY" 4.46700728412324e-06 4.44943244697291e-06
"OZ" 1.37276294503784e-06 1.33594713531001e-06
"PA" 6.36545421162184e-07 6.34024006027396e-07
"PC" 7.40425542037212e-06 7.35708516286058e-06
"PD" 0 0
"PE" 8.53865650666207e-05 8.22956884036514e-05
"PF" 0 0
"PG" 0 0
"PH" 0 0
"PI" 0.000302322681456333 0.000286869684227486
"PJ" 0.00271897011076315 0.00181741592291993
"PK" 0.00231856013387111 0.0013103364849055
"PM" 0.0782532992822429 0.0350995123164753
"PN" 0.00053460278292096 0.000509676754766843
"PO" 0.000261549377057584 0.000216554622211299
"PQ" 4.65448119951322e-05 4.59569531853131e-05
"PS" 4.77670790768523e-06 4.71131127237622e-06
"PT" 3.84073229472689e-05 3.60246066966186e-05
"PU" 0.0099702182307026 0.00788698772863802
"PW" 9.53462303193471e-05 8.37419023748262e-05
"PY" 0.000303442033879341 0.000285915143731919
"PZ" 0.00177785553249912 0.00109769611397377
"QA" 0.00100104272010897 0.000853362499062517
"QC" 2.72208023549261e-07 2.71324437464244e-07
"QD" 0 0
"QE" 0.0174949864787363 0.0109257620340024
"QF" 0.00447857178913752 0.00249489189352547
"QG" 0.00610376899873449 0.00330808334876846
"QH" 0.0178933753636507 0.00994472569126782
"QJ" 0.00588946572198438 0.00269010413289788
"QK" 0 0
"QQ" 0.000182252992496971 0.000174976071526857
"QU" 0.00151860727104162 0.00136313901542479
"RA" 0.000332822087841604 0.000213590278219302
"RB" 0.00012379853941504 0.00011531768900003
"RE" 0.000955529770569071 0.000825228349064592
"RO" 0.000664093722496788 0.000499149245724244
"RP" 7.8489430103161e-08 7.74050448387505e-08
"RQ" 4.16555583865905e-05 3.69179837670457e-05
"RT" 0.000161157674193483 0.000154781033877094
"RU" 0.000570143134551192 0.000537535179415568
"RX" 1.11256039879811e-05 1.07882457173084e-05
"RY" 0.00211901324293849 0.00170940010505491
"RZ" 9.09405567079555e-06 8.92012590875739e-06
"SA" 0.000973655298866251 0.000870759223947959
"SD" 5.72111397750163e-05 5.53901224686374e-05
"SI" 6.66452848399199e-05 6.44385891064278e-05
"SR" 1.01571976265244e-05 9.65166097335398e-06
"SU" 0.000267067916416341 0.000259014820779855
