"Q" "C"
"AA" 0.00160336306304206 0.00147945667917726
"AC" 0.000149237642747577 0.000145851893594668
"AD" 0.000114450909355191 0.000107986902523182
"AE" 5.3843337425427e-07 5.21535895898146e-07
"AF" 2.08575338663777e-06 2.03033878952757e-06
"AH" 3.84526674035266e-05 3.60788273760261e-05
"AI" 2.89692251491918e-05 2.83835532251675e-05
"AM" 3.68278682589482e-06 3.56373222344379e-06
"AQ" 0.000185520899662356 0.000171923793788886
"AY" 0.000224349112358633 0.000147024354711079
"AZ" 1.16548080688433e-05 1.01285406877799e-05
"BA" 0.00147256781701017 0.00108467187589547
"BD" 3.88145760596227e-05 3.75920629665037e-05
"BF" 0.00055677426570904 0.000496654348202985
"BI" 2.53013297115654e-05 2.487722628502e-05
"BK" 7.60141234241322e-07 7.29894741235355e-07
"BM" 3.89368982119515e-05 3.77684388086943e-05
"BP" 3.16548300185328e-05 2.95290153006708e-05
"BQ" 6.44238353930637e-05 5.03703442809771e-05
"BU" 5.05199038395127e-06 5.04558071997734e-06
"BV" 0.0132814208458363 0.00582439426557618
"CN" 0.0302611982450477 0.0135748308000287
"CO" 0.000727671288177757 0.000625351229300725
"CQ" 0.00522260622657293 0.00424166342732715
"CT" 4.4053639711713e-07 3.55377738152924e-07
"CU" 0.00382836107452723 0.0026470843132919
"DA" 0.00134647856023624 0.00111621500930902
"DB" 0.000308023483623278 0.000268840145956185
"DE" 5.82527466690642e-05 5.46605603540003e-05
"DI" 0.000951988358676608 0.000908529566442831
"DK" 7.12784859649372e-05 7.02545850278955e-05
"DM" 0.0105917373679413 0.00916116750320391
"DQ" 0.0031448223204227 0.00282680997806067
"DR" 0.00124798119643772 0.00101754608379423
"DS" 0.000810168382436821 0.000646715142258459
"DT" 1.31332517197311e-05 1.30329001762141e-05
"DW" 7.22458249144993e-05 6.79503517171295e-05
"DX" 0.000167517450527529 0.000138965963607494
"DY" 0.000104213152323222 9.9810673845408e-05
"EA" 0.000106226204771072 0.000101273973649914
"EC" 1.04796312678761e-05 1.0285242106455e-05
"EE" 5.10335418028794e-05 4.90632549231972e-05
"EI" 2.39570934481728e-05 2.34951789447633e-05
"EN" 3.31343614925705e-07 3.04167261241258e-07
"EO" 0 0
"EP" 0.00311332556071571 0.002890480574698
