"Q" "C"
"AA" 0 0
"AC" 0 0
"AD" 0 0
"AE" 0 0
"AF" 0 0
"AH" 0 0
"AI" 0 0
"AM" 0 0
"AQ" 0.000291932521104247 0.000276183082861182
"AY" 1.76360202575919e-05 1.41162736422741e-05
"AZ" 0 0
"BA" 0.000829387103628325 0.000675340935534924
"BD" 0 0
"BF" 0.000790719985299664 0.000716338945049848
"BI" 0 0
"BK" 0 0
"BM" 0 0
"BP" 0.000108436347863804 0.000103388072056394
"BQ" 0.00506862782818707 0.00410968915167755
"BU" 0 0
"BV" 0.0018769843782519 0.00106822342733788
"CN" 0.00382456238621713 0.00224414161758019
"CO" 8.84612311520506e-05 8.18972593345634e-05
"CQ" 0.00127589836802495 0.00114935438654164
"CT" 0 0
"CU" 0.0014842698087857 0.00121193314919228
"DA" 8.61799822985773e-06 7.88345845355039e-06
"DB" 7.45346041897061e-05 6.95655625987905e-05
"DE" 2.40969661919564e-05 2.33965249664456e-05
"DI" 0.000269635663259606 0.00026160082096994
"DK" 0.000228090248954898 0.000225864387191052
"DM" 0.0036707216849558 0.0033576369556589
"DQ" 0.0022526519642562 0.00209696178915233
"DR" 0.000183864060794142 0.000166462565219129
"DS" 0.000106353586704767 9.12202838171543e-05
"DT" 0 0
"DW" 5.12297706443168e-06 4.95854555625056e-06
"DX" 2.50237725839548e-05 2.23388855158676e-05
"DY" 0 0
"EA" 0 0
"EC" 0 0
"EE" 0 0
"EI" 3.25309043591412e-05 3.22638141422838e-05
"EN" 0 0
"EO" 0.000146708000051029 0.000145170379352277
"EP" 0.000108599798240063 0.000104765942966294
"EQ" 0.101439962610944 0.0326183538562939
"ER" 0.000108436347863804 9.9038750613739e-05
"ES" 0 0
"ET" 9.06488240240188e-05 8.83078807130126e-05
"EU" 0.00108828127686922 0.000960759039369534
"EV" 6.77727174148775e-05 6.40314415439917e-05
"EW" 0 0
"EX" 1.31178317476577e-05 1.28414264061054e-05
"FA" 0 0
"FE" 0.00148936762067551 0.00104006379621129
"FF" 0 0
"FI" 0 0
"FS" 0 0
"FU" 6.73973608261181e-05 6.04098121253997e-05
"FY" 0.000693678193686125 0.000669260536597894
"GA" 0.000730763171504473 0.00068679957377456
"GC" 3.25309043591412e-05 3.24703196340257e-05
"GM" 0.00274852582032514 0.0013213146015731
"GU" 0.000196734516838616 0.000192780371028558
"GY" 0.000401894218454965 0.000392662188406282
"HA" 0.000812759565301774 0.000727662043903398
"HB" 0.000529630864485099 0.000483279246830922
"HE" 0.000361988308869223 0.000245761235285257
"HF" 0.00026465496855302 0.000228991059677118
"HI" 0.00318276663006765 0.00238331261644946
"HL" 0.00390310842261341 0.00305702035012895
"HQ" 0 0
"HT" 0.000127399354509937 0.000122055650352785
"HY" 0.000160942145299267 0.000143598841140434
"IA" 0.0034692827085448 0.00290406288800736
"ID" 0 0
"IF" 0 0
"IG" 5.03454472224804e-05 4.51860919161329e-05
"IH" 0 0
"II" 5.12297706443168e-06 5.08222183394783e-06
"IJ" 0 0
"IK" 0 0
"IL" 0 0
"IM" 0 0
"IO" 0 0
"IP" 0 0
"IQ" 5.37700898498201e-06 5.32497744281219e-06
"IU" 0 0
"IX" 0 0
"IY" 0 0
"JA" 4.33745391455216e-05 4.23393477481684e-05
"JB" 0.000130123617436565 0.000126776985306287
"JI" 8.235671989656e-06 6.88732192109044e-06
"JM" 8.74215517661675e-05 6.54280723523334e-05
"JO" 0.00242983851603724 0.0015676413492873
"JS" 0.000121990891346779 0.000108678682326356
"JU" 0 0
"JW" 0 0
"JY" 3.78419866763316e-05 3.64173869352909e-05
"KA" 0 0
"KI" 0.00202949177887981 0.00188592019132557
"KM" 0.000490220867309622 0.000440780889785862
"KU" 0 0
"KV" 0 0
"KY" 0 0
"LE" 0 0
"LI" 0.00115643553938458 0.000679976376018634
"LJ" 0.00146112813629233 0.000867277542052484
"LQ" 0.00241131389589489 0.00174336750690929
"MA" 0.000667681809896679 0.000609805527863485
"MC" 5.73189655226154e-05 5.10614691541785e-05
"ML" 6.2963040695112e-05 4.71592942844663e-05
"MM" 0.000771705342297405 0.000753894917659659
"MQ" 0.000866850211249808 0.000752161415583397
"MR" 0.000352638529638387 0.000328995963856453
"MU" 0 0
"MW" 0 0
"MY" 0.0213107232384326 0.0112413343624692
"NE" 0.00967092879564594 0.00722875886743855
"NI" 0.00127886907758455 0.00118043292282172
"NM" 2.82877429209923e-05 2.67834356095589e-05
"NN" 0.000267595335631069 0.000247033708568666
"NQ" 0.00402829394013067 0.00328867654720024
"NS" 0 0
"NU" 1.35545434829755e-05 1.30208508484548e-05
"OA" 0 0
"OE" 0.000302072683334882 0.000296310735640184
"OI" 0.000376933468441729 0.000301638572007652
"OM" 0.00106462819212935 0.000962615602595267
"OO" 0.000105699648281089 8.2018638769412e-05
"OP" 0.000131585381929827 0.000112255208777333
"OR" 0.000130123617436565 0.000125956890221833
"OT" 0.00104965507645825 0.000859823352572504
"OU" 0 0
"OX" 0.000309818136753726 0.000286224700447429
"OY" 0.000644686189822179 0.000599387047185123
"OZ" 0.000392288774108646 0.000320863451937713
"PA" 0.000792665008670214 0.000754286570473665
"PC" 0.000556071919116812 0.000538109037417514
"PD" 7.22908985758693e-05 7.11074973236682e-05
"PE" 0 0
"PF" 0 0
"PG" 0 0
"PH" 0 0
"PI" 0 0
"PJ" 0 0
"PK" 0 0
"PM" 0 0
"PN" 4.38977370749948e-05 4.35870992983762e-05
"PO" 0.000337602978355532 0.000328868823594022
"PQ" 0.000108436347863804 0.000108222800926428
"PS" 0.000174903066715593 0.000167495233306487
"PT" 0.00048432068534659 0.000405007944504315
"PU" 0 0
"PW" 5.40223976172338e-05 4.57680568322828e-05
"PY" 0.0185815075907112 0.0134659672785191
"PZ" 0 0
"QA" 0.00117619334509048 0.000973643778155086
"QC" 0 0
"QD" 0 0
"QE" 0 0
"QF" 0 0
"QG" 0 0
"QH" 0 0
"QJ" 5.12297706443168e-06 5.06517946601307e-06
"QK" 0 0
"QQ" 1.80727246439673e-05 1.79933055287707e-05
"QU" 6.164090012496e-05 5.87038427766861e-05
"RA" 0 0
"RB" 0 0
"RE" 0 0
"RO" 0.000288829257032053 0.000234378142841896
"RP" 4.64727205130588e-05 3.79083441569467e-05
"RQ" 0 0
"RT" 0.0161436405812315 0.00966323951313594
"RU" 0.0236223928461398 0.014577204257013
"RX" 0.00121441376045815 0.000799308737026181
"RY" 0 0
"RZ" 0.00115609567128096 0.000839826626893537
"SA" 0.00175844328813104 0.00149289646188498
"SD" 0.00130159916697226 0.00117439549676844
"SI" 0 0
"SR" 0 0
"SU" 4.67521365200921e-05 4.35176574565165e-05
"SY" 0 0
"TA" 0 0
"TC" 0.000184445794069404 0.000171021122653874
"TD" 0.000829885078172716 0.00072769908602966
"TE" 0 0
"TI" 1.54909068376863e-05 1.45351203254646e-05
"TM" 2.4473745324538e-05 2.08399598759742e-05
"TQ" 0.00449929123334254 0.00340963021373713
"TU" 0.00394841172005928 0.00284896273563192
"UA" 0.00147932203679697 0.00135389267868104
"UB" 0 0
"UE" 0 0
"UF" 1.58687338337274e-05 1.5737151465705e-05
"UH" 3.25309043591412e-05 3.23062381540444e-05
"UI" 0.000338863587074387 0.000336628908487843
"UK" 0 0
"UM" 0.000670539784278693 0.00052183919049322
"UN" 0 0
"UP" 0 0
"UQ" 0 0
"UR" 7.00869077656294e-05 6.93143429441911e-05
"UT" 0 0
"UU" 0.00062520401973317 0.000609316055145371
"UY" 0 0
"VE" 0.200603253611951 0.06280023702025
"VI" 0.0406087717989249 0.0169223725727081
"VJ" 0.026950145077137 0.0117325924931272
"VM" 0.000112309074573226 0.000108220611043974
"VP" 0.411028262954001 0.12498609864925
"VS" 0.000238486213144118 0.000184165346163949
"VX" 0.00654945927612055 0.00425001101972385
"VY" 0.00121381810482548 0.00103892564161311
"WC" 0.00211986260958994 0.001458984052792
"WE" 0.000489507251288949 0.000444227750492411
"WF" 0.000378069563270013 0.000356277942417481
"WH" 0.00145164846134605 0.00133852466360123
"WM" 0.000838669433525723 0.00059526352279599
"WQ" 0.0118107982599975 0.00852908783508823
"WU" 0.00315560179180755 0.00226363822476695
"WV" 0.00250493247656491 0.00179567301755583
"WY" 0.00212302367405824 0.0014366856160117
"XA" 0.00126390461005168 0.00113059152725629
"XE" 0 0
"XQ" 0 0
"XW" 0.000542099930914177 0.000478469996317878
"XY" 0.000506187759699573 0.000488918391464474
"YA" 0.00130481355871781 0.00117698138891026
"YE" 5.37700898498201e-06 5.35484316186489e-06
"YG" 0 0
"YI" 0.00012296963500607 0.000101759219569874
"YO" 0.000131197741229626 0.00011371506658798
"YP" 0.000614959679757947 0.00057115463074518
"YQ" 8.235671989656e-06 7.60416098897866e-06
"YR" 0 0
"YU" 7.07193573024808e-06 6.42419422718569e-06
"YY" 0 0
"ZA" 0.00150823757133756 0.00141128380406089
"ZC" 2.57388283156527e-05 2.44549323711707e-05
"ZD" 0.000713880933287273 0.000637774980241095
"ZE" 0.000278298622179855 0.000262548791446629
"ZK" 0.000631400182597339 0.000429261460191034
"ZM" 0.000250927481534922 0.000227410478119177
"ZQ" 0 0
"ZR" 0 0
