"Q" "C"
"AA" 0.00330438580350281 0.00301408751872976
"AC" 0.000333840109408353 0.000322638821665667
"AD" 8.0721000808347e-05 7.67171794567698e-05
"AE" 0 0
"AF" 2.50661244362629e-06 2.44041412992267e-06
"AH" 1.321669274782e-05 1.2574094241844e-05
"AI" 1.53989177989968e-05 1.50045031727041e-05
"AM" 3.59161795270487e-06 3.49755583151008e-06
"AQ" 3.18242236131215e-05 3.03477011812925e-05
"AY" 0.000285129461804451 0.000184386444325006
"AZ" 5.93931318858018e-06 5.36470754066609e-06
"BA" 0.00049495285294003 0.000369417962033914
"BD" 5.52912731853707e-05 5.34716606572763e-05
"BF" 0.000856187058242077 0.000769803161188873
"BI" 5.46286628643754e-05 5.36368541317383e-05
"BK" 5.65221240103265e-06 5.42195103461546e-06
"BM" 1.95229382983144e-06 1.89502306617696e-06
"BP" 0.000193213765319154 0.000177299863879748
"BQ" 0.000376435506386391 0.000279554947371179
"BU" 5.25902420496861e-06 5.24926398293959e-06
"BV" 0.0210975468555881 0.00738361501087525
"CN" 0.044300451572811 0.0169023197343011
"CO" 0.000781676550025284 0.00068372650234572
"CQ" 0.00404874020310744 0.00338117247917306
"CT" 0 0
"CU" 0.0059920037307311 0.00419780827308399
"DA" 0.00100515843349301 0.000854382979227235
"DB" 0.000133217924033118 0.000119644659738375
"DE" 9.68761177032361e-05 9.20240037276313e-05
"DI" 0.00288710909427977 0.00273228390718162
"DK" 0.000142817210380173 0.000140313014484297
"DM" 0.00016653371899669 0.000151169087305904
"DQ" 0.00053050497876849 0.000496077278780677
"DR" 0.0004255449401763 0.000357454262194805
"DS" 0.000155597613314132 0.000129987101743179
"DT" 1.2644278835555e-05 1.25318442518701e-05
"DW" 2.65260908279086e-05 2.53176138227014e-05
"DX" 1.86518446724569e-05 1.60377449931611e-05
"DY" 6.94038129697684e-05 6.69774010755692e-05
"EA" 5.91917327721534e-05 5.69135035440722e-05
"EC" 1.7272855189723e-06 1.7003771605296e-06
"EE" 4.37690309401798e-06 4.24277083201924e-06
"EI" 2.89634262684135e-05 2.84772013030837e-05
"EN" 1.0161640432325e-05 9.26820663486285e-06
"EO" 0 0
"EP" 0.00795771944692111 0.00719111489684083
"EQ" 0.0135162913882912 0.00805144475701612
"ER" 0.00210167142611198 0.00170405590527992
"ES" 0.000487250018721594 0.000466098211079779
"ET" 0.00243631130337193 0.00227633472431806
"EU" 0.00509985535820104 0.00443703144729599
"EV" 0.00264364391604753 0.00233726405601954
"EW" 0.00142403128497645 0.0013518354941855
"EX" 0.00187928323652875 0.00175962217561385
"FA" 1.99570817118938e-05 1.972908689703e-05
"FE" 0.000721748708140648 0.000590344420628754
"FF" 3.56726009073846e-05 3.21666383769571e-05
"FI" 1.70222803411508e-06 1.66235677682016e-06
"FS" 3.48069465265597e-06 1.59837146273514e-06
"FU" 9.42425881722059e-05 8.69859389824513e-05
"FY" 0.000173709359738319 0.000166992617607687
"GA" 5.00392402975683e-05 4.70102611328414e-05
"GC" 1.2150890200292e-05 1.20943718604828e-05
"GM" 0.000924110589755629 0.000605719117712989
"GU" 0.000738958795556365 0.000703134502666926
"GY" 0.00128606045476579 0.00124504005886197
"HA" 0.00775554178243469 0.00667518675934203
"HB" 0.000351788046461114 0.000324949381605134
"HE" 0.00126478648369496 0.000908535917004305
"HF" 0.000614646940512932 0.000528330374217825
"HI" 0.0134272474526073 0.00945444932674514
"HL" 0.000551907698125791 0.000473222958571445
"HQ" 6.64534659580026e-06 6.53879386092756e-06
"HT" 0.000553686037371736 0.000507829524284174
"HY" 0.000618486409276432 0.000499415125487773
"IA" 0.00179506779020957 0.00140875966843
"ID" 1.28076645319387e-05 1.26576390452783e-05
"IF" 0.000128692021196627 0.000123543080526506
"IG" 0.00122189276624985 0.0010050473599082
"IH" 2.66300872341867e-05 2.61897414974963e-05
"II" 0.000112705956601321 0.000111035062721206
"IJ" 0.000688535891614282 0.000646157259133153
