"Q" "C"
"AA" 0.015806634608487 0.0124501400460378
"AC" 0.000425692733582462 0.000393448900916292
"AD" 4.9910529316549e-05 4.69926821975503e-05
"AE" 1.56829852639716e-05 1.47150721464751e-05
"AF" 3.03340261624909e-07 2.99032151930053e-07
"AH" 5.75616588013828e-05 5.2878575729252e-05
"AI" 0.000144033432502652 0.000134736739527937
"AM" 4.86544770872213e-05 4.63856576406006e-05
"AQ" 0.000219970332836523 0.000199600733493973
"AY" 0.00195085267658828 0.00133466960675293
"AZ" 7.24927362669175e-05 5.90717636284089e-05
"BA" 0.00151858883539053 0.00121857378151228
"BD" 1.20385398951248e-05 1.16470497884099e-05
"BF" 0.000107358083094171 9.95969151683809e-05
"BI" 2.3200497101476e-05 2.27200591605058e-05
"BK" 0 0
"BM" 8.59147104633558e-07 8.4941999891745e-07
"BP" 1.04379473810464e-05 9.85423069671913e-06
"BQ" 6.85162762805049e-06 6.29622435842709e-06
"BU" 0.000421964599865542 0.000417308644435019
"BV" 0.000432679956482653 0.000337793456200395
"CN" 0.00173493461566294 0.00132446973754214
"CO" 0.00757691198522745 0.00602539906614074
"CQ" 0.0100071470736949 0.00766332152284811
"CT" 6.94439981897603e-05 5.02175310719261e-05
"CU" 0.00501840016669516 0.00349256766029315
"DA" 0.00884164999328799 0.00669069616362751
"DB" 0.00271568042307543 0.00219161202674558
"DE" 0.000239117035526411 0.000218605643773774
"DI" 3.61426702944328e-05 3.58002234305326e-05
"DK" 6.80107619885334e-06 6.77259884425853e-06
"DM" 0.075757838614101 0.0516603471886209
"DQ" 0.0337379283059451 0.0264158214312331
"DR" 0.00616237779290267 0.00464423330840535
"DS" 0.00232172130714752 0.00178627797965887
"DT" 8.4647146757233e-05 8.17239816175049e-05
"DW" 0.000157464581899786 0.000141587861603521
"DX" 0.00122663031309281 0.000974796748769965
"DY" 0.00326007384754571 0.002922718776059
"EA" 0.00227831547004494 0.00206002876294369
"EC" 0.00346541534315152 0.00324780539534263
"EE" 0.00099877605855578 0.000925981153463096
"EI" 0.00206191143807811 0.00189917665899848
"EN" 0 0
"EO" 0 0
"EP" 0.00704272731243749 0.00625999947238504
"EQ" 0.000382162883670945 0.000335697143207256
"ER" 0.000200116809340546 0.00017456626414254
"ES" 0.000266681372699582 0.000244103008519718
"ET" 0.0018473471918339 0.00166627486731338
"EU" 2.69595426747841e-05 2.60444234136553e-05
"EV" 0.00889473772078165 0.00721571390766879
"EW" 0.00190554347510424 0.00176256312593932
"EX" 0.00356342120354767 0.00323251693552792
"FA" 8.41946374347235e-05 8.16877723562601e-05
"FE" 6.0388371210751e-06 5.80591155365515e-06
"FF" 0.00138465752894548 0.00112043285433737
"FI" 0.000153595179001613 0.000140922044972332
"FS" 0 0
"FU" 1.94177411594257e-05 1.85885187869869e-05
"FY" 0.00416875229304766 0.00378492781139275
"GA" 0.00213844552426291 0.0018266601655439
"GC" 0.000363250979091208 0.000356878632330201
"GM" 0.000115312815214982 9.9992131709165e-05
"GU" 0.000102849994741333 9.83272418178629e-05
"GY" 8.56137695237511e-05 8.4533744153916e-05
"HA" 6.15306147834583e-05 5.96026206182718e-05
"HB" 0.000344172266007894 0.000317803610582373
"HE" 1.8071937550362e-05 1.64128547442517e-05
"HF" 3.98253595226556e-05 3.6973273653363e-05
"HI" 3.63692208387664e-05 3.45619803376074e-05
"HL" 0.00160434752133444 0.00133398490253935
"HQ" 0.000262653402928374 0.000244813168994177
"HT" 8.68780225329933e-05 7.8720796047104e-05
"HY" 0.000748829519142173 0.000595096200732583
"IA" 0.00876698624428624 0.00665800787685774
"ID" 9.62812345711653e-05 9.14376466781317e-05
"IF" 0.000523125271421734 0.000471318011575836
"IG" 0.0269776230873594 0.0181088200421628
"IH" 0.000215508986816886 0.000204481359729602
"II" 0.000312549119337547 0.000294674660225938
"IJ" 8.87509553637689e-05 8.45238033219824e-05
"IK" 0.000112665763171714 0.000106265641205555
"IL" 0 0
"IM" 0.000138643536859684 0.00013233807367527
"IO" 2.71268105257203e-05 2.62878738678365e-05
"IP" 1.91517083473487e-05 1.85917217241135e-05
"IQ" 0.0185898186924101 0.0165416764968469
"IU" 0.000513124490379415 0.00048467332814806
"IX" 2.62068610652835e-05 2.58014507017778e-05
"IY" 3.29319009509174e-05 3.04729273556053e-05
"JA" 0.00656670728791119 0.00613150434785587
"JB" 0.000447331689650549 0.000436394443940416
"JI" 6.01319841944612e-05 5.54473554418263e-05
"JM" 2.82551908031034e-07 2.67025802339023e-07
"JO" 2.66404260738827e-05 2.52875118281573e-05
"JS" 6.62960678204155e-06 6.46485512585667e-06
"JU" 1.87507195732055e-05 1.79550586661312e-05
"JW" 0 0
"JY" 0.000309618457789441 0.000284712003900653
"KA" 2.13194374061427e-05 2.0710968765049e-05
"KI" 0.0147520457481587 0.0119656621018094
"KM" 0.00431491539018433 0.00340720017385597
"KU" 3.29518785755175e-06 3.23885839236436e-06
"KV" 3.36768156841629e-05 3.28621648077667e-05
"KY" 2.18413646454558e-05 2.15965135068219e-05
"LE" 0.000396712316067807 0.000387973906154286
"LI" 0.000882498638816584 0.000638082606095791
"LJ" 0.000217841202469999 0.000185763061094652
"LQ" 0.000434005778418333 0.000380299349729348
"MA" 0.011605952808094 0.00852398508566839
"MC" 0.000750345017823451 0.000573765499937625
"ML" 1.12129450373655e-05 9.16297390891616e-06
"MM" 4.16730125632393e-06 4.13532322017935e-06
"MQ" 1.65079638159898e-05 1.4881617783585e-05
"MR" 7.87048760989192e-07 7.73319537701232e-07
"MU" 2.0766649519687e-05 1.96764810353363e-05
"MW" 1.07061268808791e-07 1.03120970813574e-07
"MY" 0.000291683806605629 0.00025927715148503
"NE" 0.00654202904939889 0.0054557175790077
"NI" 0.00257136625124055 0.00215182213583479
"NM" 0 0
"NN" 0.0010145303797588 0.000903177734384036
