"Q" "C"
"AA" 0.00289716976613139 0.00260132145970108
"AC" 1.2924908768117e-05 1.27732515141603e-05
"AD" 0.0320152025988345 0.0240736476909889
"AE" 2.46020335955711e-05 2.21287067294589e-05
"AF" 2.42417813566156e-06 2.3580007756086e-06
"AH" 0.000461409989761944 0.000384932160194549
"AI" 1.79141058016262e-06 1.76358205097271e-06
"AM" 0.000172880791574139 0.000153938664766811
"AQ" 0.00053326426503861 0.000450140914410382
"AY" 0.00300770772737586 0.0017404167550574
"AZ" 0.00911425630302979 0.00422048877866592
"BA" 0.000734191531655754 0.000637720345568738
"BD" 0.000344484850475161 0.0003183318947839
"BF" 0.000363215309798135 0.00032457672130306
"BI" 8.14791721840629e-06 7.96727592086802e-06
"BK" 0 0
"BM" 1.07205305028322e-05 1.05642778036986e-05
"BP" 1.99952811136572e-06 1.94002659740695e-06
"BQ" 6.72633275081973e-06 6.2070462758619e-06
"BU" 9.55278758678948e-06 9.53764394089564e-06
"BV" 0.000308434922167622 0.000262816664847787
"CN" 0.00142136042075796 0.00117667187587058
"CO" 0.00397930548582027 0.00277899935912911
"CQ" 0.0542684132576524 0.0308573989875465
"CT" 0.000562959995329775 0.000336886809945111
"CU" 0.00674039377522346 0.00361395989742184
"DA" 0.00512433475752684 0.0030750873312329
"DB" 0.00775626649835125 0.00508588163112568
"DE" 0.00289515431883876 0.00232028348884342
"DI" 2.39144681306133e-05 2.37777630806978e-05
"DK" 0 0
"DM" 0.0199556265011844 0.0134515116054456
"DQ" 0.00350378063013874 0.00295148858562563
"DR" 0.0487640565654712 0.0268105334525653
"DS" 0.000504477622648756 0.000413343797887362
"DT" 1.46620779777599e-05 1.4502992281313e-05
"DW" 0.00030687902621945 0.000262570452669716
"DX" 0.000849158875315647 0.000593253279330219
"DY" 0.000604398524652608 0.000547018844221004
"EA" 0.000875972961176896 0.00078594084025007
"EC" 2.07875982887759e-05 1.98508070965898e-05
"EE" 0.000169594117365487 0.000154679301134833
"EI" 0.00011365088005827 0.000108300604157882
"EN" 6.6587655959371e-06 6.43557757877434e-06
"EO" 0 0
"EP" 7.59490387096791e-05 7.38208758482545e-05
"EQ" 0.000975183190182828 0.000890178298552622
"ER" 1.57204279100477e-06 1.51164063848982e-06
"ES" 3.41786160895935e-06 3.37768744790516e-06
"ET" 3.60122028923823e-05 3.4636108266849e-05
"EU" 6.22494554770203e-05 6.02951764343836e-05
"EV" 0.00046299920412569 0.000404819156821836
"EW" 1.75066253301414e-05 1.72593859541672e-05
"EX" 3.86416611532245e-05 3.78030164416084e-05
"FA" 4.12722960735002e-06 4.0798938744124e-06
"FE" 1.79166910607193e-05 1.72846013860914e-05
"FF" 0.000248351699123901 0.000217992441191472
"FI" 1.69621671059195e-05 1.56509904433123e-05
"FS" 6.42101985058287e-07 5.80897703841006e-07
"FU" 0.000383270089108085 0.00035464459168503
"FY" 0.000284202360511566 0.000262351754522813
"GA" 0.000906622280024191 0.000743219444519096
"GC" 5.57773116689478e-06 5.53275210187945e-06
"GM" 0.00030405198681011 0.000268474106731211
"GU" 0.00174771711858402 0.00157025251137431
"GY" 0.000103126043440239 0.000101888513791669
"HA" 3.933890068522e-05 3.83300633457135e-05
"HB" 0.000113016830166794 0.000104907226540976
"HE" 2.02684602596658e-05 1.89151227326362e-05
"HF" 0.000371652784597872 0.000342406256839538
"HI" 8.38304405424542e-05 8.09763409875398e-05
"HL" 0.000887439166391784 0.000748556856025625
"HQ" 1.55360408024635e-05 1.49420053262163e-05
"HT" 0.00121075446242336 0.000939922802095192
"HY" 0.051035096996048 0.0280620244584782
"IA" 0.0573698214524905 0.0334449842567756
"ID" 5.44273062286881e-06 5.26611744098309e-06
"IF" 1.27664737458849e-05 1.23992089660733e-05
"IG" 0.000627930913184359 0.000503977233317917
"IH" 0.000358448970504232 0.00034001393547491
"II" 1.47250887292693e-05 1.4087384410624e-05
"IJ" 4.2921027715675e-06 4.22838224585016e-06
"IK" 2.26485011075848e-06 2.23792106193447e-06
"IL" 0 0
"IM" 1.47173936482939e-05 1.4258328472223e-05
"IO" 0 0
"IP" 0 0
"IQ" 6.07457797174318e-05 5.99486570799507e-05
"IU" 2.23101307026097e-05 2.2015469785582e-05
"IX" 2.53273560772991e-06 2.52044625960738e-06
"IY" 0.000245288178488241 0.000204830562966698
"JA" 0.00370327189745384 0.00340632307326772
"JB" 1.77758354918021e-05 1.72659634989325e-05
"JI" 5.29703561388084e-06 5.00318876480533e-06
"JM" 0 0
"JO" 0.000595501057666329 0.000558293588525864
"JS" 4.42613989700372e-07 4.34655002280638e-07
"JU" 0.00217831907627498 0.00193445145471906
"JW" 0 0
"JY" 0.0037881935645483 0.00319607736612715
"KA" 5.59259920126195e-05 5.26038087562633e-05
"KI" 0.00223547897679985 0.00185620181230437
"KM" 0.0271350380252463 0.0160778455198103
"KU" 5.09745428979017e-06 4.99889404734295e-06
"KV" 8.82537939533665e-06 8.55331173639546e-06
"KY" 9.7350694703837e-06 9.65110731421049e-06
"LE" 3.82062387211789e-05 3.74965493955682e-05
"LI" 0.000970328851505943 0.000689160669576038
"LJ" 9.70557563259833e-05 8.48883037164379e-05
"LQ" 0.000447471831747316 0.000387334502509431
"MA" 0.00774366724102628 0.00538344526019685
"MC" 0.000302219428332189 0.0002002100020509
