"Q" "C"
"AA" 0.000143298282092078 0.000136532702699871
"AC" 0.000761349740219999 0.000730826965346088
"AD" 0.000116805700139549 0.000112902144141467
"AE" 3.83993495029853e-05 3.68177081140994e-05
"AF" 0.000596655681387857 0.000505561986781734
"AH" 0.00034001134351452 0.000321440559150431
"AI" 0.000181462999898263 0.000175897227144665
"AM" 0.000114659207230671 0.000111055237156064
"AQ" 0.00035125444963364 0.000328530879358024
"AY" 3.97205664486236e-05 3.50004239897892e-05
"AZ" 5.2884329512055e-05 4.80014427156344e-05
"BA" 0.000556809416248651 0.000497437624596781
"BD" 0.000422139417647235 0.000401679525683841
"BF" 0.0120889997185005 0.010567718144502
"BI" 0.0012530253934391 0.00120570082929936
"BK" 0.000237584655621906 0.000211207250005757
"BM" 0.00555739823699257 0.00450007564437162
"BP" 0.0008773571197137 0.000804257436375416
"BQ" 0.00339151364850245 0.00252536550233341
"BU" 0.00034587201042954 0.00034437189929532
"BV" 0.00180247729441248 0.00145057028915983
"CN" 0.00494697985185109 0.00405954325106083
"CO" 0.000187382372698757 0.000174700011320982
"CQ" 0.000912259537345733 0.000840174971944823
"CT" 0 0
"CU" 0.00279222650250256 0.00239640260870086
"DA" 0.000164155193860842 0.000152147582720994
"DB" 0.000351920717368158 0.000325298718743579
"DE" 0.00030144495728747 0.000290571475734861
"DI" 0.0156489746775964 0.0130516396916439
"DK" 0.0024668318712938 0.0021951500367961
"DM" 0.004886223976274 0.00442433615898685
"DQ" 0.00107296417749446 0.000996978411487407
"DR" 0.000342016250116835 0.00031546013010209
"DS" 0.00124241600088462 0.00109638944663539
"DT" 1.91852774127379e-05 1.88237271812537e-05
"DW" 0.000168026792601761 0.000161027455280265
"DX" 0.000111802645001085 0.000103146051557579
"DY" 0.000491609342674972 0.000477389853203108
"EA" 0.000182730628859881 0.000176712138684625
"EC" 3.8510724316147e-05 3.79797855141211e-05
"EE" 3.2542482038429e-05 3.1874074205715e-05
"EI" 0.000100894076161616 9.88537014122132e-05
"EN" 0.000215451818873084 0.000163628885347559
"EO" 0.000131741031877145 0.000130315146159999
"EP" 0.00439554773440472 0.00409118329646853
"EQ" 0.0248990472963456 0.0182194109624374
"ER" 0.00158510497383785 0.00140832911331698
"ES" 0.000711657683434094 0.000678582447397507
"ET" 0.00431711403612122 0.00394473480316574
