"Q" "C"
"AA" 6.25004200297045e-06 6.01568762965011e-06
"AC" 3.19916554568669e-05 3.16195202836505e-05
"AD" 0 0
"AE" 5.93154991399253e-06 5.79950972580689e-06
"AF" 0.000162002690651619 0.000147499056066079
"AH" 3.18799991378436e-05 3.06447318692902e-05
"AI" 0 0
"AM" 1.36351704581166e-05 1.33793842289683e-05
"AQ" 9.34179499457853e-05 8.66178604370936e-05
"AY" 0 0
"AZ" 1.65659715455077e-05 1.49585364386656e-05
"BA" 0.000200025182209464 0.000174138368420728
"BD" 4.02337544220218e-05 3.93169120050598e-05
"BF" 0.00259928514577619 0.00230056248601041
"BI" 3.76071301644805e-05 3.69041769116363e-05
"BK" 4.70433269040787e-06 4.36384099298602e-06
"BM" 0.00173404096693705 0.00152147779015414
"BP" 0 0
"BQ" 0.000311460719395317 0.000238972336398173
"BU" 1.9738453069393e-05 1.97156911922542e-05
"BV" 0.000286316124883336 0.000215536125517629
"CN" 0.00207047047843746 0.0016034300418561
"CO" 2.78419689840466e-06 2.62693919684374e-06
"CQ" 0.000218929700403832 0.000203502408021872
"CT" 0 0
"CU" 0.000240740663770477 0.000207567776514717
"DA" 4.06766948376771e-05 3.81402884014682e-05
"DB" 0.000103442541816192 9.70196278888437e-05
"DE" 2.25999450530365e-05 2.20444912557155e-05
"DI" 0.00268734197917552 0.0024430488238405
"DK" 0.000687024290786568 0.000645548130789217
"DM" 0.00213857803954217 0.00193446890604681
"DQ" 0.000631639753146829 0.00058334655515298
"DR" 0.000171877617376841 0.000159806549837314
"DS" 0.00049966128558684 0.000432210017017589
"DT" 2.26899067281059e-05 2.25445385034503e-05
"DW" 5.93154991399253e-06 5.75109203574769e-06
"DX" 2.12573696515727e-05 1.96598400094173e-05
"DY" 0.000164405912579589 0.000161352507011486
"EA" 2.07886701747548e-05 2.03027073051798e-05
"EC" 0 0
"EE" 0 0
"EI" 2.20369899043958e-05 2.18372348783887e-05
"EN" 5.91177808094588e-05 4.79257399457187e-05
"EO" 0 0
"EP" 0.000108607391581152 0.000105065151756785
"EQ" 0.0443943083354914 0.0244922913127304
"ER" 0.000138867669803136 0.000128518118323842
"ES" 3.35896622260076e-05 3.30797159568804e-05
"ET" 0.000587306091380062 0.000563182615566129
"EU" 0.00336930726474983 0.00268441194143781
"EV" 0.000530347713076838 0.000494971454215353
"EW" 0.000160085744706553 0.000156540324764134
"EX" 0.000147808448524796 0.000143952053242653
"FA" 2.39770460009781e-05 2.35757412714643e-05
"FE" 0.0134610722590606 0.00891146598280176
"FF" 0.000916308755785006 0.000790417128921559
"FI" 2.90267336216656e-06 2.8718043653412e-06
"FS" 4.134110546116e-06 3.19041383551634e-06
"FU" 0.00508019558980783 0.00368191354651583
"FY" 0.000561850921349822 0.000539092183683512
"GA" 0.000204342921723718 0.000190831986726435
"GC" 4.5475216007276e-06 4.52510148993188e-06
"GM" 0.0110785059185625 0.00710896019410153
"GU" 0.000187863055872923 0.000182339554583344
"GY" 0.0131447279424117 0.0117947901820987
"HA" 0.0207444875146154 0.0167767008111566
"HB" 0.001537444576151 0.00131240722029406
"HE" 0.00359888614869581 0.00264850771100505
"HF" 0.00105081776218052 0.000835628091032428
"HI" 0.0121143249894887 0.00852283526897718
"HL" 0.0124463756016509 0.00856506232081937
"HQ" 0 0
"HT" 3.47267721170474e-05 3.33674707682344e-05
"HY" 0.000110261735338283 0.000102321026912272
"IA" 0.00152247359909055 0.00131943686229175
"ID" 1.60510347947325e-05 1.58202469976383e-05
"IF" 6.79862717572546e-05 6.64073194621338e-05
"IG" 8.70382157650609e-05 8.03995292887516e-05
"IH" 5.83321647557395e-05 5.64874929833235e-05
"II" 0.000122822557161861 0.000121177927668588
"IJ" 0.00010788506148973 0.000101085536271451
"IK" 2.99489709189391e-05 2.93644342591827e-05
"IL" 0 0
"IM" 0.000119626094437965 0.000116462931593789
"IO" 0 0
"IP" 9.41986617293575e-06 9.34700068198803e-06
"IQ" 0.000110607876270376 0.000109282080535285
"IU" 2.26899067281059e-05 2.24887342505928e-05
"IX" 1.64368250628709e-06 1.63560596958802e-06
"IY" 5.93154991399253e-06 5.72797849812445e-06
