"Q" "C"
"AA" 3.930221570896e-05 3.82184073149718e-05
"AC" 7.69726778019736e-05 7.54768528279819e-05
"AD" 0.000360804915820335 0.000350812576810682
"AE" 0.000101694779593737 9.72931040088581e-05
"AF" 0.00103339329652415 0.000812469530824061
"AH" 0.00177989084923805 0.00168027132061279
"AI" 2.97898327300892e-06 2.92421223989929e-06
"AM" 0.000597956228227614 0.00057623563375018
"AQ" 9.0682645758554e-05 8.69998867196604e-05
"AY" 1.35487982550486e-05 1.25530736263458e-05
"AZ" 3.73384832493106e-05 3.50549504175112e-05
"BA" 9.34966128591853e-05 8.77065542276202e-05
"BD" 0.00132799677472283 0.0012350530956703
"BF" 0.0192453071121165 0.0164131658223138
"BI" 0.000676250985380329 0.000640468170954908
"BK" 0.000114327244817226 9.88432687494315e-05
"BM" 0.00686099023080509 0.00495448456395825
"BP" 0.000235387215895281 0.000215712010814932
"BQ" 0.00425652905447641 0.00297594496181664
"BU" 1.99469215274474e-05 1.98715193205914e-05
"BV" 0.000657599593113509 0.000569715462765417
"CN" 0.00187256167380019 0.00164743219776605
"CO" 9.77976771129605e-05 9.34679995735679e-05
"CQ" 0.000613814547709371 0.000583145962329252
"CT" 5.87071923935699e-06 5.5930858488923e-06
"CU" 0.00171030798462257 0.00153939444110867
"DA" 5.72063161727612e-05 5.46135088229689e-05
"DB" 0.000630705706029078 0.000596523598615047
"DE" 0.000787202088911706 0.000760563754665175
"DI" 0.0115555522421346 0.00959713691866572
"DK" 0.00186107228510339 0.00157829861023674
"DM" 0.000573487880901467 0.000541614431648326
"DQ" 0.000266367518347769 0.000255738543069447
"DR" 0.000255305670195783 0.000243351956512344
"DS" 8.51292107442085e-05 7.92748992998043e-05
"DT" 1.4958695210195e-05 1.47222620686665e-05
"DW" 9.65285959411246e-05 9.33867678496889e-05
"DX" 0.000225095869763539 0.000214438764222163
"DY" 0.000163597094032388 0.000160437822405354
"EA" 8.45239497059821e-05 8.244247811585e-05
"EC" 8.70843533648469e-06 8.6272146657604e-06
"EE" 3.27829738547948e-05 3.2353045763186e-05
"EI" 5.41537268807807e-05 5.33545416589638e-05
"EN" 0.000560627669689842 0.00036443921142571
"EO" 2.10481474166179e-05 2.07674464094276e-05
"EP" 0.00041432304843346 0.000398148907129617
"EQ" 0.00849494777766161 0.00671997016140017
"ER" 0.000302640512578731 0.000281041433629345
"ES" 0.000203609424788997 0.000198917877681494
"ET" 0.00121729829330488 0.00114810508094841
"EU" 0.0181713011024581 0.0137632817404644
"EV" 0.00133562287850036 0.00122821435996114
"EW" 0.000489563554981672 0.000473333000520978
"EX" 0.000547992099068523 0.000528342926472023
