"Q" "C"
"AA" 0.000277470933861334 0.000247321007797707
"AC" 0.00106231778595066 0.000958604471043345
"AD" 0.000601104497440276 0.000562278908248398
"AE" 0.00119909815678447 0.000997050292386033
"AF" 1.07667440520908e-05 1.05089315617435e-05
"AH" 0.00272189279553022 0.00227255627310021
"AI" 0.000451390604164961 0.000393441676617277
"AM" 0.00128832081684976 0.00117505894039386
"AQ" 0.000161806887361018 0.000154571875442751
"AY" 0.000203334198126097 0.000171844608825082
"AZ" 9.1793873469205e-06 8.2444893173111e-06
"BA" 0.000133056500128607 0.000127370535475138
"BD" 0.000137971092959328 0.000130050253802559
"BF" 0.000555407187960478 0.000525222843176044
"BI" 0.00205906258666003 0.00193452281075878
"BK" 1.56599474250922e-05 1.41947498046766e-05
"BM" 6.38251382877996e-06 6.31661486283097e-06
"BP" 0.000989101549952679 0.00083273589941843
"BQ" 9.19997155153718e-05 8.73791888336464e-05
"BU" 0.0121396269764687 0.011323668159658
"BV" 2.2835984529979e-05 2.16061333070464e-05
"CN" 0.00011014608820292 0.000102764627041837
"CO" 0.029595602191194 0.0191045164834382
"CQ" 0.0342315949544889 0.0261386313691511
"CT" 3.12462943488082e-05 2.62176579318888e-05
"CU" 0.00128360986652156 0.00100231549591063
"DA" 0.0140471743710766 0.0100749386813344
"DB" 0.00575085688869357 0.00436607167600226
"DE" 0.00407587083436292 0.00357381296156572
"DI" 1.29547169024395e-05 1.28775000118636e-05
"DK" 3.92614885753305e-06 3.91250789494056e-06
"DM" 0.00393745075534514 0.00349680661005298
"DQ" 0.000799992670212242 0.000760056888026972
"DR" 0.00503010225040989 0.00407596879514502
"DS" 0.000181491705140603 0.000171044217931675
"DT" 0.00157136074989722 0.00135447492669397
"DW" 0.00916638145510398 0.00607244154506837
"DX" 0.00692755067963044 0.00516029488976956
"DY" 0.0434438970466624 0.0251341736540934
"EA" 0.0867767390976709 0.0544130164789661
"EC" 0.0203562636584804 0.0145294570341884
"EE" 0.0155135458434168 0.0116492208978017
"EI" 0.0630303564672607 0.0362402108110977
"EN" 0 0
"EO" 6.70834786808705e-07 6.68581342976569e-07
"EP" 0.00184402140047548 0.00169572247575421
"EQ" 2.16327163877373e-05 2.11022029850159e-05
"ER" 4.14145464542683e-05 3.82102829341628e-05
"ES" 0.000145630220759018 0.000133748952255888
"ET" 0.000339037697351571 0.000309212267149902
"EU" 3.54584101598887e-06 3.50448127049265e-06
"EV" 0.00194982882307751 0.00155182117640696
"EW" 0.000320697712222062 0.000302781006287527
"EX" 0.0004023076663999 0.000374005055305245
"FA" 0.000518935279778 0.000462623592210772
"FE" 3.56234088490508e-06 3.5325454102226e-06
"FF" 4.1187667092345e-05 3.98666376505997e-05
"FI" 0.0132014992067463 0.00854448255606382
"FS" 0 0
"FU" 1.57483294700587e-06 1.55005610544407e-06
"FY" 0.00040973250668053 0.000396054924081478
"GA" 0.000769531567648091 0.000719022010427864
"GC" 0.00728685149868536 0.00681123961460936
"GM" 7.83376184499685e-05 7.4953500728651e-05
"GU" 0.00130872170618893 0.0012196075852269
"GY" 6.37960100124272e-05 6.31474158508048e-05
"HA" 1.01759077429873e-05 1.00508213464101e-05
"HB" 0.00018761317279113 0.000174270947528326
"HE" 2.74510398694099e-06 2.69423679675679e-06
"HF" 3.76074047150334e-06 3.67518680385103e-06
"HI" 4.0463050632906e-06 4.0056285694839e-06
"HL" 4.57814784656815e-05 4.40623756416065e-05
"HQ" 0.00421256837374656 0.00273023232744583
"HT" 0.000196553653749025 0.00017582128794287
"HY" 0.000230371590422318 0.000196797725447861
"IA" 0.00232056401069926 0.00201442799992544
"ID" 0.0043386125380015 0.00328942974468121
"IF" 0.00160297103119111 0.00116923852568909
"IG" 0.00370868081477406 0.00294928474819067
"IH" 0.00406333678939981 0.00327538355802966
"II" 0.00725072517092299 0.00520408102237448
"IJ" 8.78476611579783e-05 8.21672269175092e-05
"IK" 0.00023837353104754 0.000202030370411642
"IL" 0 0
"IM" 0.00136535571516568 0.00116337494279293
"IO" 0.000115802133539403 0.000108568155653619
"IP" 0.000161714610685645 0.00013664246583831
"IQ" 0.00974999452858747 0.00816056961766138
"IU" 0.00157828773862061 0.0013345370688792
"IX" 8.17342350216644e-05 7.74149109703288e-05
"IY" 0.000245579831354556 0.000223285237576351
"JA" 0.0118831403756709 0.00990084291083333
"JB" 9.99591565212404e-05 9.48100145316855e-05
