"Q" "C"
"AA" 0.000415679832630825 0.000374713942583137
"AC" 0.00715340606683696 0.00595164099132156
"AD" 0.000237124836128628 0.000224600104451753
"AE" 6.42998142600943e-05 5.77531751734823e-05
"AF" 0.000187142067135513 0.000158216620238577
"AH" 0.000404870970405759 0.000366075254605259
"AI" 0.000249571382424852 0.000220792007943892
"AM" 0.000536748821007825 0.000498649040461701
"AQ" 6.04491734464567e-05 5.73300821565239e-05
"AY" 3.55738192087587e-05 3.07268517418371e-05
"AZ" 8.28958613303505e-06 7.50221267998135e-06
"BA" 0.000122430038734391 0.000116411060252754
"BD" 0.000280495485294856 0.000261466915648651
"BF" 0.000289034075947805 0.000269960348210355
"BI" 3.9145726311536e-05 3.80513173599215e-05
"BK" 6.82256622594457e-06 6.28518455822471e-06
"BM" 7.68973376863907e-05 7.07390196609668e-05
"BP" 6.21765478776178e-06 5.7842532506588e-06
"BQ" 1.04075579449644e-05 9.49253844828141e-06
"BU" 0.00111390310526565 0.00109366157573385
"BV" 4.31020015682233e-05 4.01569778434279e-05
"CN" 0.000248371431749015 0.000228849612242351
"CO" 0.0113214905060952 0.00906426741615295
"CQ" 0.0128086345955652 0.010594256395264
"CT" 7.42192138700867e-07 6.39755903197287e-07
"CU" 0.0193999129735527 0.0152489631904201
"DA" 0.00146514653461994 0.00121159624945334
"DB" 0.0116284818418667 0.00938962948731938
"DE" 0.000795400135618516 0.000720573078288498
"DI" 0.00160100702491449 0.00149275118470245
"DK" 0.00810470350685383 0.00696773972862678
"DM" 0.00535047615045248 0.0047730645188669
"DQ" 0.000687889391379938 0.000652470947865056
"DR" 0.00217203810900291 0.00183799994667086
"DS" 0.00016142351194815 0.000150807800922479
"DT" 0.000298571200380151 0.000276915989929114
"DW" 0.000445411400870255 0.000402220056287146
"DX" 0.000575824492023047 0.000496796933688431
"DY" 0.00179105022460395 0.00163002209773011
"EA" 0.00613947558173604 0.00546325289910881
"EC" 6.64156874889824e-05 6.33433530418605e-05
"EE" 0.000225792076382945 0.000212664749912802
"EI" 0.000828172368728556 0.000767686021861935
"EN" 0 0
"EO" 1.29883624272652e-06 1.29470700393167e-06
"EP" 0.0156035997231061 0.0123223143883122
"EQ" 0.000555016717358871 0.000525530857643437
"ER" 0.000973568394117372 0.000775267675941532
"ES" 0.00284152451107161 0.00239719738400331
"ET" 0.00644336221798723 0.00518526784314864
"EU" 0.000560198492688846 0.000528398067722562
"EV" 0.0272143116896978 0.017653807268469
"EW" 0.00521170179206601 0.00424853693107319
"EX" 0.0137130686147463 0.010871568351907
"FA" 0.000199756213608729 0.000188708970898805
"FE" 0.000152619204529133 0.000146859774324672
"FF" 5.53581253114828e-05 5.28119431300908e-05
