"Q" "C"
"AA" 0.000851273920978167 0.000773438140748398
"AC" 9.5254716892823e-05 9.39629834254251e-05
"AD" 2.81144467577813e-05 2.64039947286263e-05
"AE" 2.23512140837112e-06 2.14207113057454e-06
"AF" 5.12929937873926e-07 5.07026933349322e-07
"AH" 2.81799924051714e-05 2.61923613629691e-05
"AI" 7.75470796948564e-06 7.64082675026272e-06
"AM" 5.85268274016263e-06 5.62575858206551e-06
"AQ" 0.000445285451188003 0.000372580548611969
"AY" 0.00211940098607549 0.00143860757668643
"AZ" 6.41865161266603e-05 5.16332578679015e-05
"BA" 0.00731111593249653 0.00536971480763262
"BD" 2.64203248997676e-06 2.58579870399144e-06
"BF" 0.000127884151111294 0.000118104039381119
"BI" 6.53650028290994e-06 6.46010426754036e-06
"BK" 1.83581577450979e-06 1.8075917504335e-06
"BM" 3.30455112475277e-06 3.26592121469576e-06
"BP" 3.8341512856076e-06 3.74732379605076e-06
"BQ" 4.48398651682019e-06 4.19095461397587e-06
"BU" 5.15746722194295e-06 5.15236739002837e-06
"BV" 6.28736177218128e-05 5.31343645410175e-05
"CN" 0.000383800732593563 0.000317990941526578
"CO" 0.000866135978528884 0.000723039089457105
"CQ" 0.00860803733921168 0.0066579734660746
"CT" 0.000175276584642328 0.000121033084623009
"CU" 0.00101960757313969 0.000729040062523435
"DA" 0.00212654788613161 0.00166173883993818
"DB" 0.00192483897162364 0.00155987240372744
"DE" 8.73900775434788e-05 8.04099930378728e-05
"DI" 2.8481830768327e-05 2.83204119266361e-05
"DK" 8.30378420824963e-06 8.28080276217161e-06
"DM" 0.0469045151519807 0.032458457449133
"DQ" 0.0349617992977073 0.0248285038395683
"DR" 0.00885268243166498 0.00661157040198069
"DS" 0.0172893111178589 0.0102151761855778
"DT" 1.14807423490615e-05 1.14014928373138e-05
"DW" 7.14742197070099e-05 6.64059641223028e-05
"DX" 0.000320053269708837 0.000259235552205642
"DY" 0.000347702024464612 0.000329307163214522
"EA" 0.000189554826931879 0.000179342053543103
"EC" 2.88819717664969e-05 2.81850441915061e-05
"EE" 7.88849078953322e-05 7.51647677525761e-05
"EI" 0.000149086227160985 0.000145298968475232
"EN" 0 0
"EO" 6.06189926578276e-07 6.04194746010029e-07
"EP" 0.000248814275791776 0.000240857648779192
"EQ" 0.00056605910014982 0.000499970837906604
"ER" 4.5645053277126e-05 4.33999538206845e-05
"ES" 5.84194024826174e-05 5.75463353023113e-05
"ET" 0.000297724353776147 0.000287950567825433
"EU" 8.73922934760679e-05 8.4421397522617e-05
"EV" 0.000659943659540294 0.000598103115264858
"EW" 0.000173416200269362 0.000170452877454982
"EX" 0.000211501020687833 0.000206339325004353
"FA" 7.87212486909536e-06 7.80612567761389e-06
"FE" 1.20053869151725e-05 1.15315081734294e-05
"FF" 0.00539935866864037 0.00339716633039839
"FI" 7.14482583701373e-06 6.87490283246187e-06
"FS" 3.15971546696847e-07 2.73088935768144e-07
"FU" 2.95519177395618e-05 2.79708994319684e-05
"FY" 0.0135905083664881 0.0117257793861044
"GA" 0.0138775923729558 0.0105929159322184
"GC" 5.11819878814428e-06 5.1004789062002e-06
"GM" 0.000198863813420314 0.000173719146933563
"GU" 2.15390142943861e-05 2.0833654925185e-05
"GY" 0.000142184004586221 0.000140590836467311
"HA" 0.000105310731526938 0.000102072943628536
"HB" 0.00108875639692024 0.000978007212916207
"HE" 2.26979158197552e-05 2.0517670353961e-05
"HF" 0.000156455402699488 0.000143471523903659
"HI" 2.23051262789206e-05 2.13681357994874e-05
"HL" 0.00349960804662357 0.00272729501501058
"HQ" 2.1193431100711e-05 2.07497854510696e-05
"HT" 6.25684880364876e-05 5.72028219114242e-05
"HY" 0.00102362386564983 0.000821721188692208
"IA" 0.00984522662684321 0.00728347484159741
"ID" 1.26581824228296e-05 1.24741859588894e-05
"IF" 4.02639256791215e-05 3.92641320572094e-05
"IG" 0.0056047106615193 0.00410597366541148
"IH" 2.29478273793704e-05 2.24738114538372e-05
"II" 3.09647431203616e-05 3.0317247920392e-05
"IJ" 9.06068867548208e-05 8.87558255271152e-05
"IK" 0.000174308949145947 0.000171882255561944
"IL" 0 0
"IM" 2.30533788894926e-05 2.27322610230454e-05
"IO" 2.04029033440177e-06 2.02987024855169e-06
"IP" 3.65941821508027e-06 3.63529071241586e-06
"IQ" 0.00112912407148658 0.00110777964545388
"IU" 0.000196862889988842 0.000194227569232587
"IX" 1.04478299692151e-06 1.04229503208301e-06
"IY" 1.52143216999508e-05 1.41814816135105e-05
"JA" 0.000200149461740416 0.000193036803582538
"JB" 1.87109664944395e-05 1.84973894703373e-05
"JI" 0.000219820627235497 0.000201696703808726
"JM" 7.21816993734125e-06 6.74714818430108e-06
"JO" 6.17190942959455e-05 5.80364607565339e-05
"JS" 8.71103823300084e-06 8.53611096433129e-06
"JU" 5.76786102784332e-06 5.52077804757851e-06
"JW" 1.37807176642128e-06 1.35571022484675e-06
"JY" 0.000138797520698606 0.000128289614796951
"KA" 1.84555473166811e-06 1.81351069895663e-06
"KI" 0.0488829929920728 0.0327551039308259
"KM" 0.00454143420414824 0.00359781222268116
"KU" 6.79062423295404e-06 6.72405654919409e-06
"KV" 3.71525362072051e-06 3.68118497955061e-06
"KY" 4.31320971369515e-06 4.30071828895773e-06
"LE" 1.52088203100092e-05 1.51154068200579e-05
"LI" 0.000921141515043539 0.0006543786419459
"LJ" 0.000474538034571147 0.000394341950246852
"LQ" 0.00131071732118364 0.00108786248026757
"MA" 0.0107708358106883 0.00742280310762115
"MC" 0.000164397128060671 0.000133225062427754
"ML" 2.51158337275701e-05 1.82623108454824e-05
"MM" 1.0581737043675e-05 1.05081323011997e-05
"MQ" 6.20065348930223e-05 5.62549025397349e-05
"MR" 3.48951638289161e-06 3.436638415948e-06
"MU" 5.81600898304275e-06 5.53823093133028e-06
"MW" 6.52097579395544e-06 6.23340792821988e-06
"MY" 0.000212264668935166 0.000191564959969057
"NE" 0.00542634510171973 0.00435227438351425
"NI" 0.0165194991957783 0.0124784880011146
"NM" 6.91680802971092e-06 6.78853646393542e-06
"NN" 0.00430160339348624 0.00353457153350411
"NQ" 0.000134191303375824 0.000129011179074624
"NS" 8.60330612142508e-05 8.34934963527388e-05
"NU" 0.000117713351466962 0.000114705842250584
"OA" 0.000127093357206644 0.000122697569106821
"OE" 7.92812979543601e-06 7.86783302749939e-06
"OI" 0.000146525022228661 0.000111049751131332
"OM" 6.26875887369894e-05 6.11943764568433e-05
"OO" 0.000151870040732708 0.000124853257406824
"OP" 0.000318944231985207 0.000259441541651692
"OR" 3.70449399575613e-07 3.66049695305479e-07
"OT" 9.60418048911519e-05 8.99596455726168e-05
"OU" 9.93985996706117e-07 9.78621672435829e-07
"OX" 4.44539279490736e-07 4.35537847423097e-07
"OY" 5.03278637616462e-06 4.94364802820962e-06
"OZ" 3.21152602543559e-06 2.96912838148619e-06
"PA" 3.16380869562958e-06 3.1225944930357e-06
"PC" 4.84151510743888e-05 4.81057842715394e-05
"PD" 2.25670015617361e-06 2.25224067555528e-06
"PE" 3.83643780661291e-05 3.79226243106784e-05
"PF" 1.0069488224828e-06 1.00582493871435e-06
"PG" 9.05170478601046e-07 9.02913270782036e-07
"PH" 0 0
"PI" 4.27607110068244e-05 4.11679330996301e-05
"PJ" 2.41345310355513e-06 2.33467705419569e-06
"PK" 2.21294600669602e-05 2.18690347179443e-05
"PM" 0.000203177528547749 0.000199350657030594
"PN" 6.9888283186237e-05 6.92381371938157e-05
"PO" 0.000100674910542582 9.77833092385795e-05
"PQ" 1.00956029301476e-05 1.00730579341048e-05
"PS" 3.15767552781027e-05 3.10414006191562e-05
"PT" 0.000817151883811989 0.00064989637127222
"PU" 5.04808064543153e-05 4.98926355351119e-05
"PW" 0.00194905227682515 0.00117963224687288
"PY" 0.0332592111516034 0.0190309554624148
"PZ" 1.59317185704359e-05 1.58142253775672e-05
"QA" 0.00966204400390111 0.00584549609267052
"QC" 7.51177537001837e-07 7.44461272203234e-07
"QD" 0 0
"QE" 0.00162819574303116 0.0013739542712226
"QF" 1.35764200853456e-05 1.33588691736946e-05
"QG" 1.7096756692134e-05 1.69115349900925e-05
"QH" 8.92886928631382e-06 8.84254078344811e-06
"QJ" 5.61287652101656e-06 5.4168337693859e-06
"QK" 6.17415665959355e-07 6.12991484076137e-07
"QQ" 1.162258992869e-05 1.15540453659607e-05
"QU" 0.00297425141660633 0.00254657118446325
"RA" 0.00019893888235461 0.000158164313540902
"RB" 0.000132508241842732 0.000127453621346579
"RE" 2.09406469880172e-06 2.08258110197602e-06
"RO" 0.000137529575640777 9.734307304391e-05
"RP" 3.40448567018145e-06 3.15368139094974e-06
"RQ" 6.35307301697093e-05 5.4881266392233e-05
"RT" 0.051402063136577 0.0346082775153108
"RU" 0.0128122825692243 0.00997301404418864
"RX" 0.00398579844661933 0.00311217522376384
"RY" 9.48754731111728e-05 9.05334183808356e-05
"RZ" 0.00111789980356048 0.000894520144306866
"SA" 0.00267194091872216 0.00210110351092473
"SD" 0.00654144078750044 0.00531155530547395
"SI" 2.60237605798862e-06 2.57542313285634e-06
"SR" 1.96628635492993e-05 1.94959227452647e-05
"SU" 0.0169935445498647 0.0145282489083855
"SY" 0.000663517707855146 0.000646504064017986
"TA" 1.11134819872684e-06 1.08499367253837e-06
"TC" 0.0516734932187403 0.0326731122235447
"TD" 0.0142247346601463 0.0102228741277898
"TE" 2.67491446001685e-06 2.65646075654754e-06
"TI" 0.000141365584258369 0.000119996832636681
"TM" 0.0129080318608434 0.00786870654453603
"TQ" 0.0202409120146856 0.0130526747926375
"TU" 0.00654773306436671 0.004580757846192
"UA" 1.24132086464305e-05 1.20478685763254e-05
"UB" 0.000165008757493409 0.000162052767268426
"UE" 0.000227461710535153 0.000216050733391353
"UF" 1.56146995182711e-05 1.53794421423837e-05
"UH" 2.24322534615287e-05 2.19585539590213e-05
"UI" 3.59861939995151e-05 3.55031784813539e-05
"UK" 4.6144774582546e-05 4.5538278028766e-05
"UM" 0.00342091184573789 0.00240694638130508
"UN" 4.13546855438001e-06 4.11699424928153e-06
"UP" 1.00315357579844e-05 1.001371995751e-05
"UQ" 1.55228046032336e-05 1.5327831005235e-05
"UR" 2.06204686544718e-05 2.03085305223257e-05
"UT" 1.82444465863426e-06 1.82294047212003e-06
"UU" 1.91335119474868e-05 1.90198566172184e-05
"UY" 0.000129332222966541 0.000125512606363393
"VE" 0.00290846750754876 0.00240462382190837
"VI" 0.000658347463836695 0.00054375250080553
"VJ" 0.000316878855515876 0.000272608310812399
"VM" 5.32858694586223e-06 5.26009972315943e-06
"VP" 2.14384163248091e-05 1.98307687233206e-05
"VS" 3.74100851179711e-05 3.53702626879336e-05
"VX" 0.000297017233869118 0.000262343959627087
"VY" 0.0240328980626302 0.0177739504297194
"WC" 0.00244179506744431 0.00184691949143512
"WE" 0.0236152315726827 0.0152727971545249
"WF" 0.000846809628086775 0.000734692446221692
"WH" 0.00293824158492998 0.00243866318130566
"WM" 0.000125427248154001 0.00010891275755325
"WQ" 9.55066035695583e-05 9.1836854391238e-05
"WU" 0.000257869868211546 0.000230845739826954
"WV" 0.000364442984280808 0.000306776236464139
"WY" 3.85641045527128e-05 3.61146469823597e-05
"XA" 2.43784215237828e-05 2.37497274368625e-05
"XE" 2.6152108240895e-06 2.56943785382319e-06
"XQ" 9.71029905696026e-05 9.06968634598518e-05
"XW" 0.0114037995763764 0.00859944451870662
"XY" 0.000451815039138677 0.000433046130487434
"YA" 0.315874143279159 0.140565318647946
"YE" 0.000570089979109367 0.0005648952464506
"YG" 3.81057723290733e-06 3.77874062785069e-06
"YI" 5.0550287178354e-06 4.84350548733537e-06
"YO" 0.00110300286721632 0.000869078043689018
"YP" 0.021723197706855 0.0125052082123878
"YQ" 0.0001454453995934 0.000139645064653275
"YR" 6.03552465456684e-05 5.96452926147267e-05
"YU" 0.000276020725108948 0.000233407768248857
"YY" 5.35303292355232e-06 5.30309543418701e-06
"ZA" 0.014213701683486 0.0113816846483589
"ZC" 0.000509250177485745 0.000449635805308717
"ZD" 0.0258167003098811 0.0165684200422631
"ZE" 0.000681042572713517 0.000568177686325396
"ZK" 6.55461254772861e-05 5.66163805511378e-05
"ZM" 0.000185109194055635 0.000167313146138361
"ZQ" 7.23523631193341e-07 7.1736213156805e-07
"ZR" 1.06538743854737e-05 1.05156623604375e-05
