"Q" "C"
"AA" 0.00384233927061161 0.00277360760385882
"AC" 0.00590175578446217 0.00258401226579577
"AD" 8.80342373918715e-06 8.72534273081647e-06
"AE" 1.93336011899581e-05 1.85590434484933e-05
"AF" 1.01926360805364e-05 9.98119127500371e-06
"AH" 5.59850534966463e-05 5.43767357040101e-05
"AI" 0.00463476366425602 0.0031280445868117
"AM" 2.29108218597179e-05 2.25585775451246e-05
"AQ" 1.39198632339373e-05 1.38262937155906e-05
"AY" 8.47266734191452e-06 8.16491744193146e-06
"AZ" 1.09035083128347e-06 1.07408592022546e-06
"BA" 1.69011997774824e-05 1.66606411852274e-05
"BD" 2.28229281614236e-05 2.24928043383158e-05
"BF" 0.000125828425436268 0.000123648337712579
"BI" 2.30732304942567e-06 2.26184690958317e-06
"BK" 6.00105666311769e-06 5.56174426427176e-06
"BM" 4.80232361729567e-05 4.73324419872291e-05
"BP" 2.18545035889465e-05 1.96477404573352e-05
"BQ" 8.46455378256835e-06 8.03027144608928e-06
"BU" 0.00152717937844018 0.00149320514897055
"BV" 3.755525652631e-05 3.6588674369127e-05
"CN" 0.000163941022446594 0.00015966726653394
"CO" 0.000474218125772611 0.000442068373542236
"CQ" 0.000539180238298793 0.000521556501823822
"CT" 1.74456133005356e-06 1.69134701553044e-06
"CU" 0.000459781784609137 0.000438387860381776
"DA" 0.000435384069472566 0.000412732046026279
"DB" 0.000415255045061811 0.000397088172757997
"DE" 8.51561031863962e-05 8.38204598246723e-05
"DI" 0.00205673350313812 0.00195098788789161
"DK" 0.000303330967467225 0.00029838318800592
"DM" 0.000258186039764465 0.000253561771326603
"DQ" 0.000110630725182645 0.000109348679119112
"DR" 0.000181833763474472 0.000177139363173503
"DS" 3.96237814495259e-05 3.90300207173691e-05
"DT" 0.000179024109059103 0.000162288416517574
"DW" 5.86200860370136e-05 5.52734182193355e-05
"DX" 3.58102484229408e-05 3.45327852510265e-05
"DY" 0.000641453599928688 0.000576011289584062
"EA" 0.000657002735582616 0.000609084250928317
"EC" 3.3190709508257e-05 3.15966582313439e-05
"EE" 4.82357368494363e-05 4.67613540279937e-05
"EI" 0.000564523680044385 0.000498703347586562
"EN" 9.1192978616436e-06 8.93019107810654e-06
"EO" 0 0
"EP" 0.0183878573837339 0.00832828871679144
"EQ" 0.00010239872823056 0.000101077397503858
"ER" 0.00213830710484588 0.000933482733422851
"ES" 0.0398631468035845 0.010734064516713
"ET" 0.0889997261497295 0.0323549445510587
"EU" 0.00104856397075173 0.000996125558631641
"EV" 0.00672638172507188 0.00383895629874408
"EW" 0.0196741321405757 0.00983395040117311
"EX" 0.0377511458726118 0.0174162239342914
"FA" 0.000260446120341403 0.00024209772835869
"FE" 8.51844791921386e-06 8.43906814118636e-06
"FF" 2.5741642426627e-05 2.54414890530541e-05
"FI" 0.000147725750658575 0.000132606675303005
"FS" 0 0
"FU" 7.46979987726373e-06 7.3697548722863e-06
"FY" 3.03465376056343e-05 3.00603677566602e-05
"GA" 2.23460828778433e-05 2.20977367189294e-05
"GC" 0.00393231610691461 0.00367867740702946
"GM" 1.54156807414691e-05 1.51975123009e-05
"GU" 0.000226770773196706 0.000222815117768988
"GY" 0.00236457231119394 0.0023062250112184
"HA" 0.00056694341299294 0.000548826039109597
"HB" 0.000188507860553049 0.000176421904660161
"HE" 2.58321444954103e-05 2.55473212175009e-05
"HF" 4.66678201072575e-05 4.52139569640499e-05
"HI" 7.38362899675218e-05 7.27755255136096e-05
"HL" 0.000273891041062068 0.000263558812240123
"HQ" 0.000775179895421296 0.000671235405052271
"HT" 4.46074107007128e-05 4.372680711302e-05
"HY" 2.75043703698188e-05 2.6908838733732e-05
"IA" 0.000131108454242955 0.00012833220622534
"ID" 0.00112626247565459 0.00100387528103056
"IF" 0.00193377921751376 0.00122007950733358
"IG" 0.00230994866025614 0.00194766286037746
"IH" 0.000201430975330252 0.000191509580767699
"II" 0.000406701781305099 0.000374558782096482
"IJ" 0.0016637204422138 0.001290186656977
"IK" 0.00172303702423885 0.00127514908477093
"IL" 8.14025156356002e-05 5.85875058441923e-05
"IM" 0.00158114414010558 0.00143289861631676
"IO" 0.000662998578101274 0.000562026772002817
"IP" 2.38932733348999e-05 2.24545862932678e-05
"IQ" 0.364103560660645 0.0843364871650055
"IU" 0.0012734001345139 0.0010322998872483
"IX" 6.20760825885483e-05 5.95516015363062e-05
"IY" 2.93668896592047e-05 2.8930117230105e-05
"JA" 0.000666677387778855 0.000635557649462639
"JB" 0.000369221517067215 0.000355474843567074
"JI" 0.000558870948756141 0.000511262104404688
"JM" 1.29226765189152e-06 1.2747037535503e-06
"JO" 5.37178307126834e-06 5.32638697105896e-06
"JS" 2.58236118215465e-05 2.51653337628435e-05
"JU" 4.13167169316695e-05 4.08657083422024e-05
"JW" 0 0
"JY" 0.000100492057585673 9.84421025693652e-05
"KA" 4.29470897690067e-05 4.2140653860607e-05
"KI" 0.000113672196997765 0.00011245722349786
"KM" 0.000234921261575284 0.000228670607997897
"KU" 0.000199273821445032 0.000192324992991433
"KV" 0.000212874868500151 0.00020332202368569
"KY" 3.03107029253611e-05 2.95873407077142e-05
"LE" 0.001535558752507 0.00146696189736522
"LI" 5.49243339921103e-05 5.35704223837066e-05
"LJ" 4.10779318097065e-05 4.04876758902361e-05
"LQ" 3.55483506887819e-05 3.48896974529017e-05
"MA" 5.02770895590738e-05 4.94960548925203e-05
"MC" 0.000460573463656143 0.000399476065782006
"ML" 0 0
"MM" 2.20678826687096e-05 2.18868299943761e-05
"MQ" 2.91302247356452e-05 2.77310510070619e-05
"MR" 3.33052617555679e-06 3.26862345106511e-06
"MU" 1.10529909320818e-05 1.09223648343417e-05
"MW" 9.39515590254151e-06 9.06220157410024e-06
"MY" 0.000109706494411266 0.00010818040282497
"NE" 0.000293760902657046 0.000287403725010467
"NI" 0.00010842333442475 0.000107017363680501
"NM" 2.14023922612398e-05 2.07975011351574e-05
"NN" 4.21208950225592e-05 4.16931890278207e-05
"NQ" 0.000411800615472144 0.000399667400413766
"NS" 0.000964191950396841 0.000775982633679138
"NU" 0.00242506003970511 0.00200316607751813
"OA" 0.00564541545931528 0.00306064418057663
"OE" 6.64160957870539e-05 6.56987905834064e-05
"OI" 9.83496526257102e-06 9.59622118291615e-06
"OM" 0.00015619171687475 0.000154830965835992
"OO" 5.61288613028693e-06 5.52409653702284e-06
"OP" 2.03905408804137e-05 1.98242829862872e-05
"OR" 6.259896537251e-06 6.1912328187685e-06
"OT" 0.000132632979697135 0.000129823371221105
"OU" 1.79470656973671e-05 1.73694166832822e-05
"OX" 0 0
"OY" 6.2833334145722e-05 6.17604424538912e-05
"OZ" 1.46183815011685e-05 1.42928352558294e-05
"PA" 1.65070247069141e-05 1.61882464560558e-05
"PC" 0.00320547909239468 0.00299948695546465
"PD" 1.74456133005356e-06 1.72863484308722e-06
"PE" 0.00590002021566843 0.00422384896863665
"PF" 0 0
"PG" 1.93840147783729e-06 1.9360158511029e-06
"PH" 0 0
"PI" 8.55598923992502e-05 8.41391512527493e-05
"PJ" 3.56586218210744e-05 3.41419840156784e-05
"PK" 0.000171573615239134 0.000145303319569406
"PM" 0.00303346127568308 0.00249499965743867
"PN" 0.00716984901131238 0.00585198456752557
"PO" 0.0010920929791821 0.000847219901722434
"PQ" 0.00135121934866942 0.00126980644515959
"PS" 0.000323591596547362 0.000309598470601537
"PT" 0.000647739732053223 0.000520801443772138
"PU" 0.00095943845696068 0.000809391210269132
"PW" 3.33365175018287e-05 3.22693111291329e-05
"PY" 0.000301190658200967 0.000294574054260218
"PZ" 0.000160415961097002 0.000140637320978259
"QA" 0.000108073522613375 0.000104573501570135
"QC" 0 0
"QD" 5.81520443351186e-07 5.78972546860978e-07
"QE" 5.18824682566708e-05 4.82200089129173e-05
"QF" 0.000151440584332335 0.00012316021329241
"QG" 0.00014604657777751 0.000117137432953016
"QH" 0.000148673638669524 0.000133175459193286
"QJ" 4.84479557465334e-05 4.41215416227884e-05
"QK" 0 0
"QQ" 0.00259246796967905 0.00249019924933545
"QU" 0.000139125390421159 0.000136726600053521
"RA" 3.3197390970217e-05 2.76708658093388e-05
"RB" 0.00124643338227148 0.000743457142008699
"RE" 9.97280905475931e-06 9.49673407673356e-06
"RO" 0.000457679560306736 0.00041557923013542
"RP" 9.3363669878707e-05 8.78172232429825e-05
"RQ" 3.95881224896769e-06 3.87920842522345e-06
"RT" 0.000226754103691112 0.0002216994259339
"RU" 0.00122142292140342 0.00118312740532027
"RX" 0.000115518846739777 0.000110394966565761
"RY" 0.000242746650287987 0.000204378836119446
"RZ" 4.88103927646011e-05 4.80404254087103e-05
"SA" 6.44088811575311e-05 6.32018075623631e-05
"SD" 2.78355264935282e-05 2.75078068348383e-05
"SI" 0.00089971856403658 0.000869079435338284
"SR" 0.00486878369692202 0.00351189449482288
"SU" 0.000167933487227923 0.000165652765851636
"SY" 0.0304731641040209 0.019600097610686
"TA" 1.58596484550323e-06 1.5688509506695e-06
"TC" 7.78332508172013e-05 7.70271481956551e-05
"TD" 7.52978701188266e-05 7.41641042937361e-05
"TE" 2.30165145999087e-05 2.26536892148172e-05
"TI" 6.50086094778779e-06 6.39129980636567e-06
"TM" 2.48211999153669e-05 2.42687437211358e-05
"TQ" 7.14721662124242e-05 7.03444147798181e-05
"TU" 0.000172562682511116 0.000166558599247027
"UA" 2.01622228092224e-05 1.97501394830755e-05
"UB" 0.0189634126401239 0.013023271589038
"UE" 0.00274486417908915 0.00141571211644821
"UF" 0.00160555643956234 0.00140016453723216
"UH" 0.000802416920152865 0.000713945773192249
"UI" 0.00557772678591914 0.00470049161836785
"UK" 0.0025104632257818 0.00201854171425751
"UM" 0.000210758513927563 0.000204096059154862
"UN" 0.000100950920050749 9.40197805414249e-05
"UP" 0.00017599252247464 0.000169087895560029
"UQ" 0.000306897334758605 0.000295722745634769
"UR" 0.00578643690129679 0.00479047826706366
"UT" 8.30743490501694e-07 8.30457626156809e-07
"UU" 0.000109413307857964 0.000108264197577568
"UY" 0.000172990796978506 0.000160573992754741
"VE" 0.000154433893726154 0.000151657395535101
"VI" 0.000270193313790267 0.000262827282604923
"VJ" 0.000469810758536977 0.000454647089259342
"VM" 0.000102993764805214 0.000100041442917103
"VP" 5.99501904184556e-06 5.95136416551924e-06
"VS" 4.71595678509139e-05 4.54694063428534e-05
"VX" 0.000408049549093179 0.000396020432574686
"VY" 0.00141176882392741 0.00129591709439635
"WC" 0.000258852941743825 0.000253228109814622
"WE" 4.6110392360209e-05 4.54914544285503e-05
"WF" 1.50056826722584e-05 1.48399583492111e-05
"WH" 1.02037182688253e-05 1.01069469096257e-05
"WM" 8.20288605393619e-05 7.97965719061006e-05
"WQ" 0.00019046940743768 0.000187744544597118
"WU" 0.000250313537782369 0.000238468937712638
"WV" 2.30496831121615e-05 2.27052950664752e-05
"WY" 1.09226135221149e-05 1.08115012509828e-05
"XA" 0.000282550836723084 0.000278000417696072
"XE" 3.612797091733e-05 3.54155256302008e-05
"XQ" 0.000297579638875088 0.000263926712188294
"XW" 0.000149099935078143 0.000146937900220902
"XY" 0.00230882247926763 0.00208525077943186
"YA" 0.000148919160895908 0.000146712094138904
"YE" 0.230529737921881 0.0606551993088063
"YG" 4.24025323276906e-06 4.21580076808963e-06
"YI" 9.69200738918643e-07 9.60460254081921e-07
"YO" 4.56789039120501e-05 4.41814233567656e-05
"YP" 4.32131715631271e-05 4.26917355897718e-05
"YQ" 0.000303738329057982 0.000286340437454761
