"Q" "C"
"AA" 0 0
"AC" 0 0
"AD" 0 0
"AE" 0 0
"AF" 0 0
"AH" 0 0
"AI" 0 0
"AM" 0 0
"AQ" 0 0
"AY" 0 0
"AZ" 0 0
"BA" 0.00050761421319797 0.00048750680773895
"BD" 0 0
"BF" 0.0191264530731536 0.0164969917081104
"BI" 0.00655283802491924 0.00601272293784856
"BK" 0.00391588107324148 0.00348553389242774
"BM" 0.0121832904827829 0.00984280410167585
"BP" 0.00889350356355433 0.00771519088140628
"BQ" 0.0456375310503015 0.029851226955177
"BU" 0 0
"BV" 0.000362581580855692 0.000324589996619966
"CN" 0.00118663062825499 0.00107536712877785
"CO" 0 0
"CQ" 0.00275781747862966 0.00265745370821774
"CT" 0 0
"CU" 0 0
"DA" 0 0
"DB" 0 0
"DE" 0 0
"DI" 0.00954614423057307 0.00851315418964278
"DK" 0 0
"DM" 0.000922934933087217 0.000895863709744876
"DQ" 0 0
"DR" 0.00118663062825499 0.0011461772391684
"DS" 0 0
"DT" 0 0
"DW" 0 0
"DX" 0 0
"DY" 0 0
"EA" 0 0
"EC" 0 0
"EE" 0 0
"EI" 0 0
"EN" 0.00603808205331048 0.0041236028595607
"EO" 0.00253807106598985 0.00243832871640596
"EP" 0.000725163161711385 0.000698947079372774
"EQ" 0.00341692993977258 0.00305924048845316
"ER" 0.00145032632342277 0.00135989970167452
"ES" 0 0
"ET" 0.000846023688663283 0.000805407326293346
"EU" 0.0170648394495227 0.0140757105761551
"EV" 0.000846023688663283 0.000793870803320266
"EW" 0.00145032632342277 0.00140530130936776
"EX" 0 0
"FA" 0 0
"FE" 0 0
"FF" 0 0
"FI" 0 0
"FS" 0.00764497769573912 0.00602423942677729
"FU" 0.00145032632342277 0.00122383540604065
"FY" 0 0
"GA" 0 0
"GC" 0 0
"GM" 0 0
"GU" 0.00266497461928934 0.00254406466506357
"GY" 0.00461789218004571 0.00414442578772047
"HA" 0.0399072163031554 0.0335592856722866
"HB" 0.000725163161711385 0.000673456087496573
"HE" 0 0
"HF" 0.00241721053903795 0.00209095346795188
"HI" 0.0075471905421144 0.00647709674035685
"HL" 0.000725163161711385 0.000662076341824826
"HQ" 0 0
"HT" 0 0
"HY" 0 0
"IA" 0 0
"ID" 0 0
"IF" 0 0
"IG" 0 0
"IH" 0 0
"II" 0 0
"IJ" 0 0
"IK" 0 0
"IL" 0 0
"IM" 0 0
"IO" 0 0
"IP" 0 0
"IQ" 0 0
"IU" 0 0
"IX" 0 0
"IY" 0 0
"JA" 0.00201232777374909 0.00191144791801291
"JB" 0.0144603091800179 0.0122911297587395
"JI" 0 0
"JM" 0.00487067923616147 0.003749630701412
"JO" 0.00262267343485618 0.00229094706743421
"JS" 0.00690717911530094 0.00558584742603195
"JU" 0 0
"JW" 0.00253807106598985 0.0022014244207487
"JY" 0 0
"KA" 0 0
"KI" 0 0
"KM" 0.000846023688663283 0.000810384016991932
"KU" 0.026027609535016 0.0218450623389021
"KV" 0 0
"KY" 0 0
"LE" 0 0
"LI" 0 0
"LJ" 0 0
"LQ" 0.00241721053903795 0.00217402482550639
"MA" 0 0
"MC" 0 0
"ML" 0 0
"MM" 0.0198726235142037 0.0165142362176031
"MQ" 0.0028076830107287 0.00242246307344275
"MR" 0.000725163161711385 0.000609896465030671
"MU" 0 0
"MW" 0.00239248906761597 0.00196487878511655
"MY" 0.00726811259806184 0.00639940181028428
"NE" 0.00169796362689764 0.00152455935663667
"NI" 0 0
"NM" 0.000390472471690746 0.000332393880223772
"NN" 0 0
"NQ" 0.00314226805343557 0.00273553252010299
"NS" 0 0
"NU" 0.00419757907067552 0.0038273475627745
"OA" 0 0
"OE" 0.00469254132904541 0.00414856060845737
"OI" 0.00050761421319797 0.000483287374557366
"OM" 0.00473443646032479 0.00438181409508983
"OO" 0 0
"OP" 0 0
"OR" 0.0230883893320442 0.0183944092781704
"OT" 0.00455864377852088 0.0039629826306193
"OU" 0 0
"OX" 0.00745910885504794 0.00544040321226067
"OY" 0.0134469813737781 0.0118009683416898
"OZ" 0.0075416968817984 0.00526756609125016
"PA" 0.0643498516905347 0.0462318670061155
"PC" 0.00971850720153263 0.00862326982179727
"PD" 0.00174039158810732 0.00141434994077898
"PE" 0.00104242204496012 0.000988911456317573
"PF" 0.00253807106598985 0.00213058792507283
"PG" 0.0400178827910594 0.0304008535012512
"PH" 0.00368624607203287 0.00318182193826182
"PI" 0 0
"PJ" 0 0
"PK" 0 0
"PM" 0 0
"PN" 0 0
"PO" 0 0
"PQ" 0 0
"PS" 0 0
"PT" 0 0
"PU" 0 0
"PW" 0 0
"PY" 0.00187883182807041 0.00174338599340453
"PZ" 0 0
"QA" 0.000461467466543609 0.000438430009591364
"QC" 0 0
"QD" 0 0
"QE" 0 0
"QF" 0 0
"QG" 0 0
"QH" 0 0
"QJ" 0 0
"QK" 0.00581466356245945 0.00464200490631336
"QQ" 0 0
"QU" 0 0
"RA" 0 0
"RB" 0 0
"RE" 0 0
"RO" 0.000846023688663283 0.000785124014086608
"RP" 0.0116872129562485 0.0103376081499266
"RQ" 0 0
"RT" 0 0
"RU" 0.00494319555233261 0.00455284998409567
"RX" 0.00101522842639594 0.000944810845157229
"RY" 0 0
"RZ" 0 0
"SA" 0.00015382248884787 0.000146588780778039
"SD" 0.00050761421319797 0.000491384924042518
"SI" 0 0
"SR" 0 0
"SU" 0 0
"SY" 0 0
"TA" 0 0
"TC" 0 0
"TD" 0 0
"TE" 0 0
"TI" 0 0
"TM" 0 0
"TQ" 0.00050761421319797 0.000479137139630333
"TU" 0 0
"UA" 0.00929417452260092 0.00832689818667092
"UB" 0 0
"UE" 0 0
"UF" 0 0
"UH" 0 0
"UI" 0.00111318906403063 0.00110144024548199
"UK" 0 0
"UM" 0.00126903553299492 0.00118879992875926
"UN" 0 0
"UP" 0 0
"UQ" 0.00481878030399977 0.00402763778137194
"UR" 0 0
"UT" 0.000846023688663283 0.000715375474446381
"UU" 0.0086626424410578 0.00750139157297326
"UY" 0 0
"VE" 0.00124156723141495 0.00113413397320539
"VI" 0.00159316149163865 0.00139357181676564
"VJ" 0.00525413672621794 0.0043432887125665
"VM" 0.00315348963550244 0.00270154284891696
"VP" 0.000725163161711385 0.000678397019233717
"VS" 0 0
"VX" 0.00452018370800097 0.00400148365531508
"VY" 0.00101522842639594 0.000978192618844456
"WC" 0 0
"WE" 0 0
"WF" 0.00050761421319797 0.00049595670948881
"WH" 0 0
"WM" 0.00402575427956139 0.0033054466615723
"WQ" 0.00418426750914061 0.00362416292250951
"WU" 0.0258722312656323 0.0197721572804883
"WV" 0.00215351484387017 0.0018760633934086
"WY" 0.00050761421319797 0.000446275190098638
"XA" 0.0276440117424448 0.0216130919441174
"XE" 0 0
"XQ" 0 0
"XW" 0.000922934933087217 0.000881678946139533
"XY" 0 0
"YA" 0 0
"YE" 0 0
"YG" 0.339529376655345 0.191704911728522
"YI" 0.00314237370074934 0.00265577711924005
"YO" 0 0
"YP" 0 0
"YQ" 0 0
"YR" 0 0
"YU" 0 0
"YY" 0.00648061254958836 0.00551113275133385
"ZA" 0 0
"ZC" 0 0
"ZD" 0 0
"ZE" 0 0
"ZK" 0.00326323422770123 0.00269662605190171
"ZM" 0 0
"ZQ" 0.00126903553299492 0.00125259448082272
"ZR" 0 0
