"Q" "C"
"AA" 4.83372003093581e-05 4.6948005987112e-05
"AC" 2.5779840164991e-05 2.54818618298501e-05
"AD" 0 0
"AE" 3.86697602474865e-05 3.77929591875317e-05
"AF" 2.14832001374925e-05 1.94299154130142e-05
"AH" 4.994844031967e-05 4.81122145989211e-05
"AI" 0 0
"AM" 0.000106589723759097 0.000104318893106608
"AQ" 4.62865312053247e-05 4.43757394657812e-05
"AY" 5.29828691415259e-05 4.74091395200597e-05
"AZ" 5.1559680329982e-05 4.82555697786901e-05
"BA" 0.000257197961113217 0.000234472655359364
"BD" 0.000199472908289614 0.000193095605642591
"BF" 0.0220158207996405 0.0185701420148928
"BI" 0.00904954498189993 0.00841129712569545
"BK" 9.39122748867529e-05 8.5728237110851e-05
"BM" 0.0119906187098368 0.00958271094313964
"BP" 0.00158538849534129 0.00143847948488098
"BQ" 0.00800311437956774 0.00542838652479011
"BU" 0.000304290513717794 0.000303117983755611
"BV" 0.00195240650590692 0.00155624606039419
"CN" 0.00406044133607818 0.00332381719101732
"CO" 0.000156268540130553 0.000148501945637103
"CQ" 0.00149638988422205 0.00140512886470176
"CT" 1.1718109165905e-05 1.09771141669578e-05
"CU" 0.00219550041501081 0.00194419932350618
"DA" 0.000101260669423196 9.56937218702381e-05
"DB" 0.000644582598671407 0.000610952431587677
"DE" 0.000169196259953288 0.000164689834909257
"DI" 0.00303404469859081 0.00275192847798848
"DK" 0.00057040950312412 0.000534016469288396
"DM" 0.0023227921702535 0.00217183097094963
"DQ" 0.00121907302020345 0.00116079105562371
"DR" 0.000990928217068727 0.000931614941366083
"DS" 0.000466032121562195 0.000426713708988752
"DT" 3.41631340532305e-05 3.38942267945143e-05
"DW" 0.000350483065100234 0.000340992185323882
"DX" 8.28637719588996e-05 7.81791186245645e-05
"DY" 0.000204862748622347 0.000200920641373529
"EA" 0.00034293219648048 0.000335250599809873
"EC" 0.000119692115051744 0.000118526903492915
"EE" 0 0
"EI" 0.00032927886756193 0.000325100430352464
"EN" 0.000295588946014313 0.000204934280388371
"EO" 0.00715928975748184 0.00684652497080195
"EP" 0.000282673356207918 0.000273802004681699
"EQ" 0.0211424896552834 0.0153701823718939
"ER" 0 0
"ES" 5.9322927652394e-05 5.84348224272121e-05
"ET" 0.000167568961072441 0.000161389763820563
"EU" 0.00565783690227454 0.00448662061993161
"EV" 0.000132952123876104 0.000125097812644191
"EW" 3.70585202371745e-05 3.62509689309058e-05
"EX" 0.000115702377883352 0.000112767070102334
"FA" 5.10834517555055e-05 5.03468849680312e-05
"FE" 0.00115287429539299 0.000885034238353018
"FF" 0.000228944926488253 0.000211147407373638
"FI" 0 0
"FS" 4.83372003093581e-05 3.80924799592024e-05
"FU" 0.00529030148241716 0.00387149667274242
"FY" 4.31847413290139e-05 4.20994810985868e-05
"GA" 9.7600525128845e-05 9.35190204979902e-05
"GC" 0.000368243948730388 0.000363752066981739
"GM" 0.00232793658012557 0.00182755068072877
"GU" 0.000765048511974546 0.000735414309039181
"GY" 0.0060477900068117 0.00538820951580637
"HA" 0.0188388299952524 0.0158226310095727
"HB" 0.00075204034209252 0.000679248247252528
"HE" 0.000195051287941788 0.000165337958580192
"HF" 0.00738298996135238 0.00598526137067705
"HI" 0.00348053573703423 0.00275634171788329
"HL" 0.00407975950647538 0.00332515398891607
"HQ" 0.000165727543917799 0.000163629573038371
"HT" 0.000208222449499336 0.00019800722415768
"HY" 0.000288547554403463 0.000270309404317916
"IA" 0.000676407998857283 0.000613961390935035
"ID" 0.000319654298631153 0.000314064227747957
"IF" 0.00014322133424995 0.000139711999915315
"IG" 0.00028316568387315 0.000266573412589748
"IH" 4.80442475802105e-05 4.66753431947615e-05
"II" 1.88632976817007e-05 1.85836596757505e-05
"IJ" 1.10485029278533e-05 1.04732202530175e-05
"IK" 4.0101973589986e-05 3.93449856583652e-05
"IL" 0 0
"IM" 1.76639645574938e-05 1.72098682835943e-05
"IO" 0 0
"IP" 0 0
"IQ" 0.000215906161381799 0.000213207944156931
"IU" 1.38106286598166e-05 1.36742069397994e-05
"IX" 0 0
"IY" 9.72603060770114e-05 9.38683675489792e-05
"JA" 0.000627409476654002 0.00059745421554913
"JB" 0.00210405433666957 0.00183616460871435
"JI" 0 0
"JM" 0.00361647505035746 0.00215209236676358
"JO" 0.00776867724232968 0.00550253424828508
"JS" 0.000680635046678448 0.000551684193881675
"JU" 4.2966400274985e-05 4.20483361383436e-05
"JW" 0.000644956358413435 0.000555135850922668
"JY" 0.000140074485816263 0.000135877479457261
"KA" 1.99207855820385e-05 1.93878736468713e-05
"KI" 0.00024161097180272 0.000230749736840067
"KM" 0.000702709947950384 0.000654501675770995
"KU" 0.00161809160560934 0.00142105278020608
"KV" 1.75771637488575e-05 1.70243039663794e-05
"KY" 0 0
"LE" 0.000539298176886962 0.000526093304205381
"LI" 0.00267420599049695 0.00215535094782338
"LJ" 0.00581936439394338 0.0045846753167961
"LQ" 0.00318207978197067 0.00248060716968196
"MA" 0.000382178450763697 0.000359111269694189
"MC" 0.000102278713698062 9.41995974927125e-05
"ML" 0 0
"MM" 0.0364413392518461 0.0299584200182673
"MQ" 0.00717220222674928 0.00578836770564111
"MR" 0.0017163598551087 0.00141611345834326
"MU" 0 0
"MW" 0.000168291461553256 0.000128416309589965
"MY" 0.0130113287770307 0.00971864315839397
"NE" 0.0179226690046508 0.0138504944888706
"NI" 0.000760096503778656 0.000717891969604936
"NM" 0.000357911526611474 0.000288962117400573
"NN" 0.000344874714075913 0.000321583889013523
"NQ" 0.00665175646655982 0.0053680123279573
"NS" 0.000104996054005308 0.000103587596329083
"NU" 0.000555065968280916 0.000513256943562301
"OA" 0.000164963814389102 0.000162179507852079
"OE" 0.00481952266747927 0.00416607622270787
"OI" 0.000887248500712544 0.000794709261761884
"OM" 0.00371580065234412 0.00330258931255455
"OO" 0.0017205703341121 0.00135866534870439
"OP" 0.000296244184556832 0.000268164151301298
"OR" 0.0112445590217436 0.00895839900501498
"OT" 0.00124709301194018 0.00107757904296836
"OU" 0 0
"OX" 0.00146834542325312 0.00127252302043713
"OY" 0.00115494374103484 0.00105242319841235
"OZ" 0.00178712324884019 0.00130104269836013
"PA" 0.00550488154757841 0.00473997593641568
"PC" 0.00268017767829305 0.00241435732810584
"PD" 0.000533173967048677 0.000491003223444379
"PE" 0 0
"PF" 0.00074939363924588 0.000703680919869264
"PG" 0.000549356117801593 0.000527832672045674
"PH" 5.52425146392664e-05 5.21264553084913e-05
"PI" 7.03086549954299e-06 6.84715719396138e-06
"PJ" 3.22248002062387e-05 3.17686467095011e-05
"PK" 0 0
"PM" 0.000477264279662589 0.000472166186738086
"PN" 0.000103594191498582 0.000102248926847966
"PO" 0.00152144811251733 0.00144679552931896
"PQ" 0.000125676720804331 0.000124949737105984
"PS" 0.00138961493421399 0.00123693734397927
"PT" 0.000118545100582518 0.000102034271013436
"PU" 0 0
"PW" 4.07050107868279e-06 3.68517692900296e-06
"PY" 0.0127429803498522 0.0105144615004617
"PZ" 0.000225573601443671 0.000224092281911486
"QA" 0.000757329609114392 0.000678108475447262
"QC" 0.000390937707765159 0.000360084502338393
"QD" 0 0
"QE" 0.000184755521182435 0.000179247849855991
"QF" 0 0
"QG" 0.000116009280742459 0.000115112342931568
"QH" 0 0
"QJ" 0.000105267680673713 0.000103700801658216
"QK" 0.00242026507807182 0.00210658738516583
"QQ" 0.000121147220915202 0.000119004176546589
